,Unnamed: 0,rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,geometry
44,44,00000031081012,E09000007,Camden,Inner London - West,112634063,GND F 88,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,28.2,10000.0,2009-11-16 00:00:00+00:00,2010,2010-06,4070.0,ADMIRAL PROPERTY PARTNERSHIP LTD,1700.48,True,2010-04-01,91.0,True,5018920,17691977.0,I,,,C,,526788.0,184875.0,51.548533,-0.1728283,2,5210,E,2007-12-21,2017-03-26,2002-10-08,,,,,,,88.0,,,,,,,88.0,,,,,,20400294,1,,,N,osgb1000002298669340,14.0,osgb4000000030329928,6,osgb1000004337222,7,,112634063.0,BELSIZE LANE,,,BELSIZE LANE,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 5BE,NW3 5BE,S,1R,D,,E05000133,,2012-03-19,1,CO,203.0,,POINT (526789.763450867 184875.2942939029)
45,45,00000031081012,E09000007,Camden,Inner London - West,112634063,GND F 88,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,28.2,10000.0,2009-11-16 00:00:00+00:00,2010,2010-09,4070.0,ADMIRAL PROPERTY PARTNERSHIP LTD,1700.48,True,2010-04-01,183.0,True,5018920,17691977.0,I,,,C,,526788.0,184875.0,51.548533,-0.1728283,2,5210,E,2007-12-21,2017-03-26,2002-10-08,,,,,,,88.0,,,,,,,88.0,,,,,,20400294,1,,,N,osgb1000002298669340,14.0,osgb4000000030329928,6,osgb1000004337222,7,,112634063.0,BELSIZE LANE,,,BELSIZE LANE,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 5BE,NW3 5BE,S,1R,D,,E05000133,,2012-03-19,1,CO,203.0,,POINT (526789.763450867 184875.2942939029)
46,46,00000031081012,E09000007,Camden,Inner London - West,112634063,GND F 88,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,28.2,10000.0,2009-11-16 00:00:00+00:00,2010,2010-12,4070.0,ADMIRAL PROPERTY PARTNERSHIP LTD,1700.48,True,2010-04-01,275.0,True,5018920,17691977.0,I,,,C,,526788.0,184875.0,51.548533,-0.1728283,2,5210,E,2007-12-21,2017-03-26,2002-10-08,,,,,,,88.0,,,,,,,88.0,,,,,,20400294,1,,,N,osgb1000002298669340,14.0,osgb4000000030329928,6,osgb1000004337222,7,,112634063.0,BELSIZE LANE,,,BELSIZE LANE,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 5BE,NW3 5BE,S,1R,D,,E05000133,,2012-03-19,1,CO,203.0,,POINT (526789.763450867 184875.2942939029)
47,47,00000031081012,E09000007,Camden,Inner London - West,112634063,GND F 88,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,28.2,10000.0,2009-11-16 00:00:00+00:00,2010,2011-03,4070.0,ADMIRAL PROPERTY PARTNERSHIP LTD,1700.48,True,2010-04-01,365.0,True,5018920,17691977.0,I,,,C,,526788.0,184875.0,51.548533,-0.1728283,2,5210,E,2007-12-21,2017-03-26,2002-10-08,,,,,,,88.0,,,,,,,88.0,,,,,,20400294,1,,,N,osgb1000002298669340,14.0,osgb4000000030329928,6,osgb1000004337222,7,,112634063.0,BELSIZE LANE,,,BELSIZE LANE,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 5BE,NW3 5BE,S,1R,D,,E05000133,,2012-03-19,1,CO,203.0,,POINT (526789.763450867 184875.2942939029)
48,48,00000031081012,E09000007,Camden,Inner London - West,112634063,GND F 88,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,28.2,10000.0,2009-11-16 00:00:00+00:00,2010,2011-06,4260.0,ADMIRAL PROPERTY PARTNERSHIP LTD,1700.48,True,2010-04-01,456.0,True,5018920,17691977.0,I,,,C,,526788.0,184875.0,51.548533,-0.1728283,2,5210,E,2007-12-21,2017-03-26,2002-10-08,,,,,,,88.0,,,,,,,88.0,,,,,,20400294,1,,,N,osgb1000002298669340,14.0,osgb4000000030329928,6,osgb1000004337222,7,,112634063.0,BELSIZE LANE,,,BELSIZE LANE,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 5BE,NW3 5BE,S,1R,D,,E05000133,,2012-03-19,1,CO,203.0,,POINT (526789.763450867 184875.2942939029)
49,49,31081012,E09000007,Camden,Inner London - West,112634063,GND F 88,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,28.2,10000.0,2009-11-16 00:00:00+00:00,2010,2011-09,4260.0,ADMIRAL PROPERTY PARTNERSHIP LTD,1700.48,True,01/04/2010,548.0,True,5018920,17691977.0,I,,,C,,526788.0,184875.0,51.548533,-0.1728283,2,5210,E,2007-12-21,2017-03-26,2002-10-08,,,,,,,88.0,,,,,,,88.0,,,,,,20400294,1,,,N,osgb1000002298669340,14.0,osgb4000000030329928,6,osgb1000004337222,7,,112634063.0,BELSIZE LANE,,,BELSIZE LANE,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 5BE,NW3 5BE,S,1R,D,,E05000133,,2012-03-19,1,CO,203.0,,POINT (526789.763450867 184875.2942939029)
50,50,00000031081012,E09000007,Camden,Inner London - West,112634063,GND F 88,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,28.2,10000.0,2009-11-16 00:00:00+00:00,2010,2011-12,4260.0,ADMIRAL PROPERTY PARTNERSHIP LTD,1700.48,True,2010-04-01,640.0,True,5018920,17691977.0,I,,,C,,526788.0,184875.0,51.548533,-0.1728283,2,5210,E,2007-12-21,2017-03-26,2002-10-08,,,,,,,88.0,,,,,,,88.0,,,,,,20400294,1,,,N,osgb1000002298669340,14.0,osgb4000000030329928,6,osgb1000004337222,7,,112634063.0,BELSIZE LANE,,,BELSIZE LANE,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 5BE,NW3 5BE,S,1R,D,,E05000133,,2012-03-19,1,CO,203.0,,POINT (526789.763450867 184875.2942939029)
51,51,00000031081012,E09000007,Camden,Inner London - West,112634063,GND F 88,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,28.2,10000.0,2009-11-16 00:00:00+00:00,2010,2012-03,4260.0,ADMIRAL PROPERTY PARTNERSHIP LTD,1700.48,True,2010-04-01,731.0,True,5018920,17691977.0,I,,,C,,526788.0,184875.0,51.548533,-0.1728283,2,5210,E,2007-12-21,2017-03-26,2002-10-08,,,,,,,88.0,,,,,,,88.0,,,,,,20400294,1,,,N,osgb1000002298669340,14.0,osgb4000000030329928,6,osgb1000004337222,7,,112634063.0,BELSIZE LANE,,,BELSIZE LANE,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 5BE,NW3 5BE,S,1R,D,,E05000133,,2012-03-19,1,CO,203.0,,POINT (526789.763450867 184875.2942939029)
52,52,00000031081012,E09000007,Camden,Inner London - West,112634063,GND F 88,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,28.2,10000.0,2009-11-16 00:00:00+00:00,2010,2012-06,4500.0,ADMIRAL PROPERTY PARTNERSHIP LTD,1700.48,True,2010-04-01,822.0,True,5018920,17691977.0,I,,,C,,526788.0,184875.0,51.548533,-0.1728283,2,5210,E,2007-12-21,2017-03-26,2002-10-08,,,,,,,88.0,,,,,,,88.0,,,,,,20400294,1,,,N,osgb1000002298669340,14.0,osgb4000000030329928,6,osgb1000004337222,7,,112634063.0,BELSIZE LANE,,,BELSIZE LANE,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 5BE,NW3 5BE,S,1R,D,,E05000133,,2012-03-19,1,CO,203.0,,POINT (526789.763450867 184875.2942939029)
53,53,00000031081012,E09000007,Camden,Inner London - West,112634063,GND F 88,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,28.2,10000.0,2009-11-16 00:00:00+00:00,2010,2012-09,4500.0,ADMIRAL PROPERTY PARTNERSHIP LTD,1700.48,True,2010-04-01,914.0,True,5018920,17691977.0,I,,,C,,526788.0,184875.0,51.548533,-0.1728283,2,5210,E,2007-12-21,2017-03-26,2002-10-08,,,,,,,88.0,,,,,,,88.0,,,,,,20400294,1,,,N,osgb1000002298669340,14.0,osgb4000000030329928,6,osgb1000004337222,7,,112634063.0,BELSIZE LANE,,,BELSIZE LANE,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 5BE,NW3 5BE,S,1R,D,,E05000133,,2012-03-19,1,CO,203.0,,POINT (526789.763450867 184875.2942939029)
