,Unnamed: 0,rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,geometry
31416,31416,0023300030000B,E09000007,Camden,Inner London - West,11957063,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,12500.0,2009-11-17 00:00:00+00:00,2010,2010-06,5087.5,,,True,2009-11-17,,True,5068769,15533926.0,I,,,C,,529775.0,185005.0,51.5490231,-0.1297257,2,5210,E,2007-12-21,2017-03-26,2002-10-08,INSIDE OUT ESCAPE LONDON,,,,,,3.0,,,,,,,3.0,,,,,,20400233,1,,,N,osgb1000002298928997,11.0,osgb4000000030250596,4,osgb1000005440421,4,,11957063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1N,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529776.7972362216 185005.3245432741)
31417,31417,0023300030000B,E09000007,Camden,Inner London - West,11957063,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,12500.0,2009-11-17 00:00:00+00:00,2010,2010-09,5087.5,,,True,2009-11-17,,True,5068769,15533926.0,I,,,C,,529775.0,185005.0,51.5490231,-0.1297257,2,5210,E,2007-12-21,2017-03-26,2002-10-08,INSIDE OUT ESCAPE LONDON,,,,,,3.0,,,,,,,3.0,,,,,,20400233,1,,,N,osgb1000002298928997,11.0,osgb4000000030250596,4,osgb1000005440421,4,,11957063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1N,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529776.7972362216 185005.3245432741)
31418,31418,0023300030000B,E09000007,Camden,Inner London - West,11957063,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,12500.0,2009-11-17 00:00:00+00:00,2010,2010-12,5087.5,,,True,2009-11-17,,True,5068769,15533926.0,I,,,C,,529775.0,185005.0,51.5490231,-0.1297257,2,5210,E,2007-12-21,2017-03-26,2002-10-08,INSIDE OUT ESCAPE LONDON,,,,,,3.0,,,,,,,3.0,,,,,,20400233,1,,,N,osgb1000002298928997,11.0,osgb4000000030250596,4,osgb1000005440421,4,,11957063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1N,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529776.7972362216 185005.3245432741)
31419,31419,0023300030000B,E09000007,Camden,Inner London - West,11957063,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,12500.0,2009-11-17 00:00:00+00:00,2010,2011-03,5087.5,,,True,2009-11-17,,True,5068769,15533926.0,I,,,C,,529775.0,185005.0,51.5490231,-0.1297257,2,5210,E,2007-12-21,2017-03-26,2002-10-08,INSIDE OUT ESCAPE LONDON,,,,,,3.0,,,,,,,3.0,,,,,,20400233,1,,,N,osgb1000002298928997,11.0,osgb4000000030250596,4,osgb1000005440421,4,,11957063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1N,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529776.7972362216 185005.3245432741)
31420,31420,0023300030000B,E09000007,Camden,Inner London - West,11957063,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,12500.0,2009-11-17 00:00:00+00:00,2010,2011-06,5325.0,,,True,2009-11-17,,True,5068769,15533926.0,I,,,C,,529775.0,185005.0,51.5490231,-0.1297257,2,5210,E,2007-12-21,2017-03-26,2002-10-08,INSIDE OUT ESCAPE LONDON,,,,,,3.0,,,,,,,3.0,,,,,,20400233,1,,,N,osgb1000002298928997,11.0,osgb4000000030250596,4,osgb1000005440421,4,,11957063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1N,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529776.7972362216 185005.3245432741)
31421,31421,0023300030000B,E09000007,Camden,Inner London - West,11957063,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,12500.0,2009-11-17 00:00:00+00:00,2010,2011-09,5325.0,,,True,17/11/2009,,True,5068769,15533926.0,I,,,C,,529775.0,185005.0,51.5490231,-0.1297257,2,5210,E,2007-12-21,2017-03-26,2002-10-08,INSIDE OUT ESCAPE LONDON,,,,,,3.0,,,,,,,3.0,,,,,,20400233,1,,,N,osgb1000002298928997,11.0,osgb4000000030250596,4,osgb1000005440421,4,,11957063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1N,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529776.7972362216 185005.3245432741)
31422,31422,0023300030000B,E09000007,Camden,Inner London - West,11957063,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,12500.0,2009-11-17 00:00:00+00:00,2010,2011-12,5325.0,,,True,2009-11-17,,True,5068769,15533926.0,I,,,C,,529775.0,185005.0,51.5490231,-0.1297257,2,5210,E,2007-12-21,2017-03-26,2002-10-08,INSIDE OUT ESCAPE LONDON,,,,,,3.0,,,,,,,3.0,,,,,,20400233,1,,,N,osgb1000002298928997,11.0,osgb4000000030250596,4,osgb1000005440421,4,,11957063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1N,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529776.7972362216 185005.3245432741)
31423,31423,0023300030000B,E09000007,Camden,Inner London - West,11957063,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,12500.0,2009-11-17 00:00:00+00:00,2010,2012-03,5325.0,,,True,2009-11-17,,True,5068769,15533926.0,I,,,C,,529775.0,185005.0,51.5490231,-0.1297257,2,5210,E,2007-12-21,2017-03-26,2002-10-08,INSIDE OUT ESCAPE LONDON,,,,,,3.0,,,,,,,3.0,,,,,,20400233,1,,,N,osgb1000002298928997,11.0,osgb4000000030250596,4,osgb1000005440421,4,,11957063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1N,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529776.7972362216 185005.3245432741)
31424,31424,0023300030000B,E09000007,Camden,Inner London - West,11957063,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,12500.0,2009-11-17 00:00:00+00:00,2010,2012-06,5625.0,,,True,2009-11-17,,True,5068769,15533926.0,I,,,C,,529775.0,185005.0,51.5490231,-0.1297257,2,5210,E,2007-12-21,2017-03-26,2002-10-08,INSIDE OUT ESCAPE LONDON,,,,,,3.0,,,,,,,3.0,,,,,,20400233,1,,,N,osgb1000002298928997,11.0,osgb4000000030250596,4,osgb1000005440421,4,,11957063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1N,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529776.7972362216 185005.3245432741)
31425,31425,0023300030000B,E09000007,Camden,Inner London - West,11957063,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,12500.0,2009-11-17 00:00:00+00:00,2010,2012-09,5625.0,,,True,2009-11-17,,True,5068769,15533926.0,I,,,C,,529775.0,185005.0,51.5490231,-0.1297257,2,5210,E,2007-12-21,2017-03-26,2002-10-08,INSIDE OUT ESCAPE LONDON,,,,,,3.0,,,,,,,3.0,,,,,,20400233,1,,,N,osgb1000002298928997,11.0,osgb4000000030250596,4,osgb1000005440421,4,,11957063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1N,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529776.7972362216 185005.3245432741)
