,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
1405063,91957,91957,00577090020012,E09000007,Camden,Inner London - West,1,ADELAIDE ROAD,LONDON,NW3 2BN,Offices (Inc Computer Centres),203,Office General,Office,79.6,18750.0,2010-04-01 00:00:00+00:00,2010,2011-06,7987.5,WILLIAMS LEWIS & CO LTD,7096.21,True,2010-04-01,456.0,True,5072991,17681859.0,CR08,5105059.0,528107.0,184411.0,51.5440655,-0.15398489999999998,1,,,,1.0,1.0,,,,,,,CHALK FARM PARADE,20400577,,N,osgb1000002298774475,20.0,osgb4000000030250457,5,osgb1000005301948,4,1405063.0,ADELAIDE ROAD,CHALK FARM PARADE,ADELAIDE ROAD,LONDON,CAMDEN,LONDON,NW3 2BN,NW3 2BN,S,1L,D,E05000136,2012-03-19,0,CO,203.0,POINT (528108.7700315574 184411.2910830836),2010-04-01 00:00:00,1405063,2011-07-01,456,2010-04-01,0 days,456,1,456,0,1,False,True,CamdenT
1405063,91988,91988,00577090020012,E09000007,Camden,Inner London - West,1,ADELAIDE ROAD,LONDON,NW3 2BN,Offices (Inc Computer Centres),203,Office General,Office,79.6,18750.0,2017-04-01 00:00:00+00:00,2017,2019-03,9000.0,C H PEPPIATT ESTATE AGENTS LIMITED,4343.12,True,2013-09-30,2009.0,True,5072991,17681859.0,CR08,5105059.0,528107.0,184411.0,51.5440655,-0.15398489999999998,1,,,,1.0,1.0,,,,,,,CHALK FARM PARADE,20400577,,N,osgb1000002298774475,20.0,osgb4000000030250457,5,osgb1000005301948,4,1405063.0,ADELAIDE ROAD,CHALK FARM PARADE,ADELAIDE ROAD,LONDON,CAMDEN,LONDON,NW3 2BN,NW3 2BN,S,1L,D,E05000136,2012-03-19,0,CO,203.0,POINT (528108.7700315574 184411.2910830836),2013-09-30 00:00:00,1405063,2019-04-01,2009,2010-04-01,1278 days,3287,1,2009,1278,1,False,True,CamdenT
1409063,92027,92027,00577090020065,E09000007,Camden,Inner London - West,6,ADELAIDE ROAD,LONDON,NW3 2BN,Shops,249,Retail High Street,Retail,33.6,10000.0,2017-04-01 00:00:00+00:00,2017,2017-12,4660.0,1409063,,True,2017-04-01,,True,5072990,17681856.0,CR08,5105059.0,528078.0,184410.0,51.5440631,-0.15440320000000002,1,,,,6.0,6.0,,,,,,,CHALK FARM PARADE,20400577,,N,osgb1000002298774480,17.0,osgb4000000030250457,5,osgb1000005301952,4,1409063.0,ADELAIDE ROAD,CHALK FARM PARADE,ADELAIDE ROAD,LONDON,CAMDEN,LONDON,NW3 2BN,NW3 2BN,S,1E,D,E05000136,2012-03-19,0,CS,249.0,POINT (528079.7719685701 184410.2923323005),2017-04-01 00:00:00,1409063,2018-01-01,275,2010-04-01,2557 days,2832,1,275,2557,1,False,True,CamdenT
4697063,398469,398469,00021733010101,E09000007,Camden,Inner London - West,180,ARLINGTON ROAD,LONDON,NW1 7HL,Bingo Halls (National Scheme),25,Leisure Amusement & Entertainment Centres,Leisure,236.596532995304,80500.0,2017-04-01 00:00:00+00:00,2017,2021-03,41216.0,MECCA BINGO LTD,37279.62,True,2010-04-01,4018.0,True,5001859,17647276.0,CL10RE,,528805.0,183883.0,51.539161799999995,-0.1441179,2,MECCA BINGO CLUB,,,180.0,,,,180.0,,,,,20400726,,N,osgb1000002298766844,10.0,osgb4000000030250343,7,osgb1000005297344,3,4697063.0,ARLINGTON ROAD,,ARLINGTON ROAD,LONDON,CAMDEN,LONDON,NW1 7HL,NW1 7HL,S,1A,D,E05000130,2012-03-19,0,LT2,25.0,POINT (528806.7786363821 183883.2903616131),2010-04-01 00:00:00,4697063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,CamdenT
6393063,137972,137972,00783005700006,E09000007,Camden,Inner London - West,57,BAYHAM PLACE,LONDON,NW1 0ET,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,97.84,12500.0,2010-04-01 00:00:00+00:00,2010,2011-03,5087.5,PLAYABLES LIMITED,2676.99,True,2010-04-01,365.0,True,5013082,17631055.0,C,,529298.0,183451.0,51.53516679999999,-0.1371719,1,,,,57.0,,,,57.0,,,,,20499077,,N,osgb1000002298949920,9.0,osgb5000005152504842,0,osgb1000005433338,3,6393063.0,BAYHAM PLACE,,BAYHAM PLACE,LONDON,CAMDEN,LONDON,NW1 0ET,NW1 0ET,S,1A,D,E05000143,2012-03-19,0,IF3,96.0,POINT (529299.7752962026 183451.2726475193),2010-04-01 00:00:00,6393063,2011-04-01,365,2010-04-01,0 days,365,1,365,0,1,False,True,CamdenT
6393063,137990,137990,00783005700006,E09000007,Camden,Inner London - West,57,BAYHAM PLACE,LONDON,NW1 0ET,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,97.84,12500.0,2010-04-01 00:00:00+00:00,2010,2015-09,6000.0,PLASTIC PICTURES LTD,2173.6,True,2011-07-11,1543.0,True,5013082,17631055.0,C,,529298.0,183451.0,51.53516679999999,-0.1371719,1,,,,57.0,,,,57.0,,,,,20499077,,N,osgb1000002298949920,9.0,osgb5000005152504842,0,osgb1000005433338,3,6393063.0,BAYHAM PLACE,,BAYHAM PLACE,LONDON,CAMDEN,LONDON,NW1 0ET,NW1 0ET,S,1A,D,E05000143,2012-03-19,0,IF3,96.0,POINT (529299.7752962026 183451.2726475193),2011-07-11 00:00:00,6393063,2015-10-01,1543,2010-04-01,466 days,2009,1,1543,466,1,False,True,CamdenT
6393063,138012,138012,00783005700006,E09000007,Camden,Inner London - West,57,BAYHAM PLACE,LONDON,NW1 0ET,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,97.84,14750.0,2017-04-01 00:00:00+00:00,2017,2021-03,7360.25,THREEFOLD ARCHITECTURE LIMITED,1320.2,True,2016-01-04,1914.0,True,5013082,17631055.0,C,,529298.0,183451.0,51.53516679999999,-0.1371719,1,,,,57.0,,,,57.0,,,,,20499077,,N,osgb1000002298949920,9.0,osgb5000005152504842,0,osgb1000005433338,3,6393063.0,BAYHAM PLACE,,BAYHAM PLACE,LONDON,CAMDEN,LONDON,NW1 0ET,NW1 0ET,S,1A,D,E05000143,2012-03-19,0,IF3,96.0,POINT (529299.7752962026 183451.2726475193),2016-01-04 00:00:00,6393063,2021-04-01,1914,2010-04-01,2104 days,4018,0,1914,2104,1,False,True,CamdenT
6474063,120583,120583,007370007B0012,E09000007,Camden,Inner London - West,7B,BAYHAM STREET,LONDON,NW1 0EY,Offices (Inc Computer Centres),203,Office General,Office,59.3,25000.0,2017-04-01 00:00:00+00:00,2017,2019-12,12275.0,ACADEMY CLASS LTD,2918.87,True,2010-09-18,3392.0,True,5088097,17631075.0,CO01,,529239.0,183459.0,51.5352522,-0.1380191,2,J F H LAW,,7B,,,,,7.0,B,,,,20400737,,N,osgb1000002298948560,10.0,osgb4000000030153054,0,osgb1000005433311,4,6474063.0,BAYHAM STREET,,BAYHAM STREET,LONDON,CAMDEN,LONDON,NW1 0EY,NW1 0EY,S,2T,D,E05000142,2012-03-19,0,CO,203.0,POINT (529240.7776603377 183459.2737614404),2010-09-18 00:00:00,6474063,2020-01-01,3392,2010-04-01,170 days,3562,1,3392,170,1,False,True,CamdenT
6487063,120632,120632,00737005300001,E09000007,Camden,Inner London - West,53,BAYHAM STREET,LONDON,NW1 0AA,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,243.8,31250.0,2017-04-01 00:00:00+00:00,2017,2021-03,15593.75,SHARESENSE LTD,6890.72,True,2010-04-01,4018.0,True,5109353,54244274.0,C,,529123.0,183607.0,51.536608799999996,-0.1396364,2,,,,53.0,,,,53.0,,,,,20400737,,N,,,osgb4000000030355039,3,osgb1000005432682,5,6487063.0,BAYHAM STREET,,BAYHAM STREET,LONDON,CAMDEN,LONDON,NW1 0AA,NW1 0AA,S,2U,D,E05000142,2016-03-21,0,CW,96.0,POINT (529124.7769451606 183607.2797978039),2010-04-01 00:00:00,6487063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,CamdenT
6498063,120782,120782,0073700750000A,E09000007,Camden,Inner London - West,75,BAYHAM STREET,LONDON,NW1 0AA,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,355.9,51000.0,2010-04-01 00:00:00+00:00,2010,2014-09,24021.0,6498063,,True,2010-04-01,,True,5006499,17630232.0,C,,529106.0,183670.0,51.5371789,-0.1398583,2,W12 STUDIOS,,,75.0,,,,75.0,,,,,20400737,,N,osgb1000002298825898,12.0,osgb4000000030153053,2,osgb1000005432433,4,6498063.0,BAYHAM STREET,,BAYHAM STREET,LONDON,CAMDEN,LONDON,NW1 0AA,NW1 0AA,S,2W,D,E05000142,2012-03-19,0,CO,203.0,POINT (529107.7760340993 183670.285950478),2010-04-01 00:00:00,6498063,2014-10-01,1644,2010-04-01,0 days,1644,1,1644,0,1,False,True,CamdenT
