,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
1405063,91996,91996,00577090020012,E09000007,Camden,Inner London - West,1,ADELAIDE ROAD,LONDON,NW3 2BN,Offices (Inc Computer Centres),203,Office General,Office,79.6,18750.0,2017-04-01 00:00:00+00:00,2017,2021-03,9356.25,CAMBRIDGE GATE PROPERTIES LTD,-4.54747350886464e-13,False,2019-04-05,727.0,True,5072991,17681859.0,CR08,5105059.0,528107.0,184411.0,51.5440655,-0.15398489999999998,1,,,,1.0,1.0,,,,,,,CHALK FARM PARADE,20400577,,N,osgb1000002298774475,20.0,osgb4000000030250457,5,osgb1000005301948,4,1405063.0,ADELAIDE ROAD,CHALK FARM PARADE,ADELAIDE ROAD,LONDON,CAMDEN,LONDON,NW3 2BN,NW3 2BN,S,1L,D,E05000136,2012-03-19,0,CO,203.0,POINT (528108.7700315574 184411.2910830836),2019-04-05 00:00:00,1405063,2021-04-01,727,2010-04-01,3291 days,4018,0,727,3291,0,False,False,CamdenT
1409063,92040,92040,00577090020065,E09000007,Camden,Inner London - West,6,ADELAIDE ROAD,LONDON,NW3 2BN,Shops,249,Retail High Street,Retail,33.6,10000.0,2017-04-01 00:00:00+00:00,2017,2021-03,4990.0,CAMBRIDGE GATE PROPERTIES LTD,0.0,False,2018-01-31,1156.0,True,5072990,17681856.0,CR08,5105059.0,528078.0,184410.0,51.5440631,-0.15440320000000002,1,,,,6.0,6.0,,,,,,,CHALK FARM PARADE,20400577,,N,osgb1000002298774480,17.0,osgb4000000030250457,5,osgb1000005301952,4,1409063.0,ADELAIDE ROAD,CHALK FARM PARADE,ADELAIDE ROAD,LONDON,CAMDEN,LONDON,NW3 2BN,NW3 2BN,S,1E,D,E05000136,2012-03-19,0,CS,249.0,POINT (528079.7719685701 184410.2923323005),2018-01-31 00:00:00,1409063,2021-04-01,1156,2010-04-01,2862 days,4018,0,1156,2862,0,False,True,CamdenT
6393063,137991,137991,00783005700006,E09000007,Camden,Inner London - West,57,BAYHAM PLACE,LONDON,NW1 0ET,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,97.84,12500.0,2010-04-01 00:00:00+00:00,2010,2015-12,6000.0,THREEFOLD ARCHITECTURE LIMITED,0.0,False,2015-12-22,10.0,True,5013082,17631055.0,C,,529298.0,183451.0,51.53516679999999,-0.1371719,1,,,,57.0,,,,57.0,,,,,20499077,,N,osgb1000002298949920,9.0,osgb5000005152504842,0,osgb1000005433338,3,6393063.0,BAYHAM PLACE,,BAYHAM PLACE,LONDON,CAMDEN,LONDON,NW1 0ET,NW1 0ET,S,1A,D,E05000143,2012-03-19,0,IF3,96.0,POINT (529299.7752962026 183451.2726475193),2015-12-22 00:00:00,6393063,2016-01-01,10,2010-04-01,2091 days,2101,1,10,2091,0,False,True,CamdenT
6474063,120588,120588,007370007B0012,E09000007,Camden,Inner London - West,7B,BAYHAM STREET,LONDON,NW1 0EY,Offices (Inc Computer Centres),203,Office General,Office,59.3,25000.0,2017-04-01 00:00:00+00:00,2017,2021-03,12475.0,CAMDEN LIFESTYLE (UK) LTD,53.28,False,2020-02-01,425.0,True,5088097,17631075.0,CO01,,529239.0,183459.0,51.5352522,-0.1380191,2,J F H LAW,,7B,,,,,7.0,B,,,,20400737,,N,osgb1000002298948560,10.0,osgb4000000030153054,0,osgb1000005433311,4,6474063.0,BAYHAM STREET,,BAYHAM STREET,LONDON,CAMDEN,LONDON,NW1 0EY,NW1 0EY,S,2T,D,E05000142,2012-03-19,0,CO,203.0,POINT (529240.7776603377 183459.2737614404),2020-02-01 00:00:00,6474063,2021-04-01,425,2010-04-01,3593 days,4018,0,425,3593,0,False,True,CamdenT
6498063,120785,120785,0073700750000A,E09000007,Camden,Inner London - West,75,BAYHAM STREET,LONDON,NW1 0AA,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,355.9,51000.0,2010-04-01 00:00:00+00:00,2010,2015-06,24480.0,MAAN INVESTMENTS (UK) LIMITED,0.0,False,2015-04-01,91.0,True,5006499,17630232.0,C,,529106.0,183670.0,51.5371789,-0.1398583,2,W12 STUDIOS,,,75.0,,,,75.0,,,,,20400737,,N,osgb1000002298825898,12.0,osgb4000000030153053,2,osgb1000005432433,4,6498063.0,BAYHAM STREET,,BAYHAM STREET,LONDON,CAMDEN,LONDON,NW1 0AA,NW1 0AA,S,2W,D,E05000142,2012-03-19,0,CO,203.0,POINT (529107.7760340993 183670.285950478),2015-04-01 00:00:00,6498063,2015-07-01,91,2010-04-01,1826 days,1917,1,91,1826,0,False,True,CamdenT
14601063,108828,108828,00641019700003,E09000007,Camden,Inner London - West,197,CAMDEN HIGH STREET,LONDON,NW1 7BT,Shops,249,Retail High Street,Retail,315.44,213000.0,2017-04-01 00:00:00+00:00,2017,2017-06,102027.0,THE ADMINISTRATORS OF AMERICAN APPAREL (,0.0,False,2017-01-27,155.0,True,5003986,17646677.0,CR08,,528864.0,183893.0,51.53923820000001,-0.143264,1,TOURIST LAND,,,197.0,,,,197.0,,,,,20400641,,N,osgb1000002298766869,14.0,osgb4000000030250323,3,osgb1000005297349,3,14601063.0,CAMDEN HIGH STREET,,CAMDEN HIGH STREET,LONDON,CAMDEN,LONDON,NW1 7BT,NW1 7BT,S,1E,D,E05000130,2012-03-19,0,CS,249.0,POINT (528865.778465783 183893.288915456),2017-01-27 00:00:00,14601063,2017-07-01,155,2010-04-01,2493 days,2648,1,155,2493,0,False,True,CamdenT
14655063,110339,110339,00641025100002,E09000007,Camden,Inner London - West,BST & GND FS 251,CAMDEN HIGH STREET,LONDON,NW1 7BU,Shops,249,Retail High Street,Retail,65.86,81500.0,2017-04-01 00:00:00+00:00,2017,2021-03,41728.0,LOREMAR INVESTMENTS LTD,0.0,False,2016-11-01,1612.0,True,5145049,,CR08,5087236.0,528804.0,184013.0,51.540330299999994,-0.14408479999999999,1,,,,,,,SHOP AND PREMISES AT BASEMENT AND GROUND FLOOR,251.0,,,,,20400641,,N,,,osgb4000000030250326,3,osgb5000005156542816,1,14655063.0,CAMDEN HIGH STREET,,,LONDON,CAMDEN,,,NW1 7BU,,,C,E05000130,,0,CS,249.0,POINT (528805.777500107 184013.2907042531),2016-11-01 00:00:00,14655063,2021-04-01,1612,2010-04-01,2406 days,4018,0,1612,2406,0,False,False,CamdenT
14661063,110427,110427,00641025700008,E09000007,Camden,Inner London - West,257,CAMDEN HIGH STREET,LONDON,NW1 7BU,Shops,249,Retail High Street,Retail,46.7,78500.0,2017-04-01 00:00:00+00:00,2017,2021-03,40192.0,LOREMAR INVESTMENTS LTD,0.0,False,2016-11-25,1588.0,True,5048831,17646685.0,CR08,,528794.0,184023.0,51.5404224,-0.1442253,2,,,,257.0,,,,257.0,,,,,20400641,,N,osgb1000002298774011,14.0,osgb4000000030250326,3,osgb1000005301102,4,14661063.0,CAMDEN HIGH STREET,,CAMDEN HIGH STREET,LONDON,CAMDEN,LONDON,NW1 7BU,NW1 7BU,S,2A,D,E05000130,2012-03-19,1,CS,249.0,POINT (528795.7746751079 184023.2854476836),2016-11-25 00:00:00,14661063,2021-04-01,1588,2010-04-01,2430 days,4018,0,1588,2430,0,False,True,CamdenT
14724063,105596,105596,6.41007E+11,E09000007,Camden,Inner London - West,71,CAMDEN HIGH STREET,LONDON,NW1 7JL,Shops,249,Retail High Street,Retail,156.32,46750.0,2010-04-01 00:00:00+00:00,2010,2011-09,19915.5,E GELBER INVESTMENTS LTD,0.0,False,2011-08-16,46.0,True,5087643,,C,,529067.0,183566.0,51.5362531,-0.14045839999999998,1,,,,,,,,71.0,,,,,20400641,,N,,,osgb4000000030250318,4,osgb1000005432349,4,14724063.0,CAMDEN HIGH STREET,,,LONDON,CAMDEN,,,NW1 7JL,,,L,E05000142,,0,CS,249.0,POINT (529068.7758930493 183566.275208686),2011-08-16 00:00:00,14724063,2011-10-01,46,2010-04-01,502 days,548,1,46,502,0,False,False,CamdenT
14762063,107144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CamdenT
