,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
22705063,18800,18800,0010601001001B,E09000007,Camden,Inner London - West,GND F 100,CRICKLEWOOD BROADWAY,LONDON,NW2 3EL,Shops,249,Retail High Street,Retail,158.8,16750.0,2010-04-01 00:00:00+00:00,2010,2013-06,7738.5,22705063,,True,2010-04-01,,True,5055465,17663306.0,C,,523996.0,185520.0,51.5549497,-0.21284679999999997,1,,,,100.0,,,,100.0,,,,,20400106,,N,osgb1000002298526463,11.0,osgb4000000030139138,5,osgb1000003924368,6,22705063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EL,NW2 3EL,S,1A,D,E05000132,2012-03-19,2,CS,249.0,POINT (523997.7167786763 185520.318363332),2010-04-01 00:00:00,22705063,2013-07-01,1187,2010-04-01,0 days,1187,1,1187,0,1,False,True,Cricklewood
22705063,18831,18831,0010601001001B,E09000007,Camden,Inner London - West,GND F 100,CRICKLEWOOD BROADWAY,LONDON,NW2 3EL,Shops,249,Retail High Street,Retail,158.8,23750.0,2017-04-01 00:00:00+00:00,2017,2021-03,11851.25,GRAYS TYRE EXHAUST & BRAKE CENTRES LTD,5809.18,True,2013-07-01,2831.0,True,5055465,17663306.0,C,,523996.0,185520.0,51.5549497,-0.21284679999999997,1,,,,100.0,,,,100.0,,,,,20400106,,N,osgb1000002298526463,11.0,osgb4000000030139138,5,osgb1000003924368,6,22705063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EL,NW2 3EL,S,1A,D,E05000132,2012-03-19,2,CS,249.0,POINT (523997.7167786763 185520.318363332),2013-07-01 00:00:00,22705063,2021-04-01,2831,2010-04-01,1187 days,4018,0,2831,1187,1,False,True,Cricklewood
22711063,18665,18665,00106009210019,E09000007,Camden,Inner London - West,GND F 92,CRICKLEWOOD BROADWAY,LONDON,NW2 3EL,Shops,249,Retail High Street,Retail,79.0,17750.0,2010-04-01 00:00:00+00:00,2010,2012-09,7987.5,ORMONDE JAYNE LTD,2773.8,True,2010-04-01,914.0,True,5022267,17663312.0,C,,524004.0,185497.0,51.5547412,-0.21273960000000008,2,,,,92.0,,,,92.0,,,,,20400106,,N,osgb1000002298526465,10.0,osgb4000000030223625,2,osgb1000004056421,4,22711063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EL,NW2 3EL,S,1G,D,E05000132,2012-03-19,1,CS,249.0,POINT (524005.7148336108 185497.3136171798),2010-04-01 00:00:00,22711063,2012-10-01,914,2010-04-01,0 days,914,1,914,0,1,False,True,Cricklewood
22711063,18699,18699,00106009210019,E09000007,Camden,Inner London - West,GND F 92,CRICKLEWOOD BROADWAY,LONDON,NW2 3EL,Shops,249,Retail High Street,Retail,79.0,25500.0,2017-04-01 00:00:00+00:00,2017,2021-03,12724.5,IMPERIAL SWEETS LTD,6076.7,True,2019-06-15,656.0,True,5022267,17663312.0,C,,524004.0,185497.0,51.5547412,-0.21273960000000008,2,,,,92.0,,,,92.0,,,,,20400106,,N,osgb1000002298526465,10.0,osgb4000000030223625,2,osgb1000004056421,4,22711063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EL,NW2 3EL,S,1G,D,E05000132,2012-03-19,1,CS,249.0,POINT (524005.7148336108 185497.3136171798),2019-06-15 00:00:00,22711063,2021-04-01,656,2010-04-01,3362 days,4018,0,656,3362,1,False,True,Cricklewood
22714063,18567,18567,00106008610014,E09000007,Camden,Inner London - West,GND F 86,CRICKLEWOOD BROADWAY,LONDON,NW2 3EL,Betting Offices,24,Retail Financial & Professional Services,Retail,73.6,20750.0,2017-04-01 00:00:00+00:00,2017,2021-03,10354.25,CORAL ESTATE LIMITED,4732.71,True,2010-04-01,4018.0,True,5011749,17663309.0,C,,524018.0,185486.0,51.5546393,-0.2125417,2,,,,86.0,,,,86.0,,,,,20400106,,N,osgb1000002298573134,9.0,osgb4000000030223625,2,osgb1000004056424,2,22714063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EL,NW2 3EL,S,1D,D,E05000132,2012-03-19,1,CS2,24.0,POINT (524019.7109708854 185486.3170334127),2010-04-01 00:00:00,22714063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Cricklewood
22721063,18755,18755,00106009810029,E09000007,Camden,Inner London - West,GND F 98,CRICKLEWOOD BROADWAY,LONDON,NW2 3EL,Shops,249,Retail High Street,Retail,81.4,18000.0,2010-01-29 00:00:00+00:00,2010,2013-03,8100.0,22721063,,True,2010-04-01,,True,5064170,17663315.0,C,,523998.0,185514.0,51.5548953,-0.2128201,1,,,,98.0,,,,98.0,,,,,20400106,,N,osgb1000002298526461,13.0,osgb4000000030139138,5,osgb1000003924367,5,22721063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EL,NW2 3EL,S,1L,D,E05000132,2012-03-19,1,CS,249.0,POINT (523999.7155354358 185514.3140139231),2010-04-01,22721063,2013-04-01,1096,2010-04-01,0 days,1096,1,1096,0,1,False,True,Cricklewood
22726063,18177,18177,0010600701001B,E09000007,Camden,Inner London - West,70,CRICKLEWOOD BROADWAY,LONDON,NW2 3EP,Shops,249,Retail High Street,Retail,38.7,9500.0,2010-04-01 00:00:00+00:00,2010,2011-09,4047.0,22726063,,True,2010-04-01,,True,5031377,17663320.0,C,,524054.0,185436.0,51.554182,-0.2120403,2,,,,70.0,,,,70.0,,,,,20400106,,N,osgb1000002298573200,11.0,osgb4000000030330034,2,osgb1000004056384,3,22726063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EP,NW2 3EP,S,1E,D,E05000132,2012-03-19,5,CS,249.0,POINT (524055.7131898987 185436.3123548698),2010-04-01,22726063,2011-10-01,548,2010-04-01,0 days,548,1,548,0,1,False,True,Cricklewood
22726063,18215,18215,0010600701001B,E09000007,Camden,Inner London - West,70,CRICKLEWOOD BROADWAY,LONDON,NW2 3EP,Shops,249,Retail High Street,Retail,38.7,12250.0,2017-04-01 00:00:00+00:00,2017,2021-03,6112.75,CATS PROTECTION TRUSTEE LTD,78.09,True,2012-02-20,3328.0,True,5031377,17663320.0,C,,524054.0,185436.0,51.554182,-0.2120403,2,,,,70.0,,,,70.0,,,,,20400106,,N,osgb1000002298573200,11.0,osgb4000000030330034,2,osgb1000004056384,3,22726063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EP,NW2 3EP,S,1E,D,E05000132,2012-03-19,5,CS,249.0,POINT (524055.7131898987 185436.3123548698),2012-02-20 00:00:00,22726063,2021-04-01,3328,2010-04-01,690 days,4018,0,3328,690,1,False,True,Cricklewood
22727063,18290,18290,00106007200006,E09000007,Camden,Inner London - West,72,CRICKLEWOOD BROADWAY,LONDON,NW2 3EP,Shops,249,Retail High Street,Retail,92.4,21250.0,2017-04-01 00:00:00+00:00,2017,2017-12,9902.5,22727063,,True,2017-04-01,,True,5008819,17663318.0,CR,,524050.0,185440.0,51.554218799999994,-0.21209650000000002,2,,,,72.0,,,,72.0,,,,,20400106,,N,osgb1000002298573199,14.0,osgb4000000030330034,2,osgb1000004056382,3,22727063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EP,NW2 3EP,S,1F,D,E05000132,2012-03-19,3,CS,249.0,POINT (524051.7171032314 185440.3094783315),2017-04-01 00:00:00,22727063,2018-01-01,275,2010-04-01,2557 days,2832,1,275,2557,1,False,True,Cricklewood
22727063,18303,18303,00106007200006,E09000007,Camden,Inner London - West,72,CRICKLEWOOD BROADWAY,LONDON,NW2 3EP,Shops,249,Retail High Street,Retail,70.3,20250.0,2019-07-01 00:00:00+00:00,2017,2021-03,10104.75,MONARCH CONCEPT LIMITED,1780.9,True,2018-01-15,1172.0,True,5008819,17663318.0,CR,,524050.0,185440.0,51.554218799999994,-0.21209650000000002,2,,,,72.0,,,,72.0,,,,,20400106,,N,osgb1000002298573199,14.0,osgb4000000030330034,2,osgb1000004056382,3,22727063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EP,NW2 3EP,S,1F,D,E05000132,2012-03-19,3,CS,249.0,POINT (524051.7171032314 185440.3094783315),2018-01-15 00:00:00,22727063,2021-04-01,1172,2010-04-01,2846 days,4018,0,1172,2846,1,False,True,Cricklewood
