,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
22711063,18691,18691,00106009210019,E09000007,Camden,Inner London - West,GND F 92,CRICKLEWOOD BROADWAY,LONDON,NW2 3EL,Shops,249,Retail High Street,Retail,79.0,25500.0,2017-04-01 00:00:00+00:00,2017,2019-03,12240.0,LBC - XG600CE020,0.0,False,2012-10-25,2349.0,True,5022267,17663312.0,C,,524004.0,185497.0,51.5547412,-0.21273960000000008,2,,,,92.0,,,,92.0,,,,,20400106,,N,osgb1000002298526465,10.0,osgb4000000030223625,2,osgb1000004056421,4,22711063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EL,NW2 3EL,S,1G,D,E05000132,2012-03-19,1,CS,249.0,POINT (524005.7148336108 185497.3136171798),2012-10-25 00:00:00,22711063,2019-04-01,2349,2010-04-01,938 days,3287,1,2349,938,0,False,True,Cricklewood
22721063,18787,18787,00106009810029,E09000007,Camden,Inner London - West,GND F 98,CRICKLEWOOD BROADWAY,LONDON,NW2 3EL,Shops,249,Retail High Street,Retail,81.4,25750.0,2017-04-01 00:00:00+00:00,2017,2021-03,12849.25,MEADCROWN LIMITED,5453.93,False,2013-04-01,2922.0,True,5064170,17663315.0,C,,523998.0,185514.0,51.5548953,-0.2128201,1,,,,98.0,,,,98.0,,,,,20400106,,N,osgb1000002298526461,13.0,osgb4000000030139138,5,osgb1000003924367,5,22721063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EL,NW2 3EL,S,1L,D,E05000132,2012-03-19,1,CS,249.0,POINT (523999.7155354358 185514.3140139231),2013-04-01 00:00:00,22721063,2021-04-01,2922,2010-04-01,1096 days,4018,0,2922,1096,0,False,True,Cricklewood
22726063,18178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cricklewood
95513063,17511,17511,00106001010026,E09000007,Camden,Inner London - West,GND F CEN 10,CRICKLEWOOD BROADWAY,LONDON,NW2 3HD,Offices (Inc Computer Centres),203,Office General,Office,33.49,5400.0,2017-04-01 00:00:00+00:00,2017,2021-03,2694.6,ALAN MILLER & CO,0.0,False,2011-03-31,3654.0,True,5159890,,CO01,5086865.0,524181.0,185281.0,51.55276110000001,-0.21026399999999998,2,,,,,,,OFFICES AND PREMISES AT GROUND FLOOR CENTRE,10.0,,,,,20400106,,N,,,osgb4000000030223194,2,osgb1000004056290,3,95513063.0,CRICKLEWOOD BROADWAY,,,LONDON,CAMDEN,,,NW2 3HD,,,L,E05000132,,0,CO,203.0,POINT (524182.7211465074 185281.3122770343),2011-03-31 00:00:00,95513063,2021-04-01,3654,2010-04-01,364 days,4018,0,3654,364,0,False,True,Cricklewood
95514063,17430,17430,00106001010011,E09000007,Camden,Inner London - West,GND F FRNT 10,CRICKLEWOOD BROADWAY,LONDON,NW2 3HD,Shops,249,Retail High Street,Retail,50.57,11250.0,2010-04-01 00:00:00+00:00,2010,2011-12,4792.5,ACEMARK PROPERIES LTD,0.0,False,2011-04-11,265.0,True,5159891,17663423.0,CR08,5086865.0,524181.0,185281.0,51.55276110000001,-0.21026399999999998,2,,,10A,,,,SHOP AND PREMISES AT GROUND FLOOR FRONT,10.0,,,,,20400106,,N,osgb1000002298572646,7.0,osgb4000000030223194,2,osgb1000004056290,3,95514063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3HD,NW2 3HD,S,1P,D,E05000132,2012-03-19,0,CS,249.0,POINT (524182.7211465074 185281.3122770343),2011-04-11 00:00:00,95514063,2012-01-01,265,2010-04-01,375 days,640,1,265,375,0,False,True,Cricklewood
95516063,17591,17591,00106001410015,E09000007,Camden,Inner London - West,GND F FRNT 14,CRICKLEWOOD BROADWAY,LONDON,NW2 3HD,Shops,249,Retail High Street,Retail,56.37,13750.0,2017-04-01 00:00:00+00:00,2017,2019-03,6600.0,HUNGARIAN DELICATESSEN LTD,0.0,False,2015-06-09,1392.0,True,5066515,17663425.0,C,,524174.0,185291.0,51.5528525,-0.2103614,2,SPEED MOTORCYCLES LTD,,,14.0,,,,14.0,,,,,20400106,,N,osgb1000002298572592,10.0,osgb4000000030223194,2,osgb1000004056288,3,95516063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3HD,NW2 3HD,S,1D,D,E05000132,2012-03-19,8,CS,249.0,POINT (524175.7200147778 185291.3112303041),2015-06-09 00:00:00,95516063,2019-04-01,1392,2010-04-01,1895 days,3287,1,1392,1895,0,False,True,Cricklewood
95518063,322688,322688,00106001810019,E09000007,Camden,Inner London - West,GND F 18,CRICKLEWOOD BROADWAY,LONDON,NW2 3HD,Shops,249,Retail High Street,Retail,107.81,18750.0,2017-04-01 00:00:00+00:00,2017,2019-03,9000.0,REZA CATERING EQUIPMENT LTD,0.0,False,2013-11-20,1958.0,True,5035654,17663430.0,C,,524167.0,185300.0,51.5529349,-0.21045909999999998,1,,,,18.0,,,,18.0,,,,,20400106,,N,osgb1000002298572588,8.0,osgb4000000030223194,2,osgb1000004056286,2,95518063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3HD,NW2 3HD,S,1F,D,E05000132,2012-03-19,3,CS,249.0,POINT (524168.7225981035 185300.3088359231),2013-11-20 00:00:00,95518063,2019-04-01,1958,2010-04-01,1329 days,3287,1,1958,1329,0,False,True,Cricklewood
95520063,814,814,00000073417034,E09000007,Camden,Inner London - West,GND F EXC R/O 22 AT 22-26,CRICKLEWOOD BROADWAY,LONDON,NW2 3HD,Showrooms,251,Retail Other Superstores/ Retail Warehouses,Retail,332.7,50500.0,2010-04-01 00:00:00+00:00,2010,2015-12,24240.0,CO-OPERATIVE GROUP LTD,21631.38,False,2015-04-01,275.0,True,5087177,50693146.0,CR08,,524147.0,185322.0,51.553137,-0.2107397,2,,,22-26,,,,,22.0,,26.0,,,20400106,,N,osgb1000002298941341,5.0,osgb4000000030223635,5,osgb1000004056281,2,95520063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3HD,NW2 3HD,S,2U,D,E05000132,2012-03-19,0,CS7,251.0,POINT (524148.719757105 185322.3075452971),2015-04-01 00:00:00,95520063,2016-01-01,275,2010-04-01,1826 days,2101,1,275,1826,0,False,True,Cricklewood
95532063,18127,18127,00106006610018,E09000007,Camden,Inner London - West,GND F 66,CRICKLEWOOD BROADWAY,LONDON,NW2 3EP,Restaurants,234,Retail Restaurants & Cafes,Retail,114.78,27750.0,2017-04-01 00:00:00+00:00,2017,2021-03,13847.25,LBC - RK20NCE020,0.0,False,2010-04-01,4018.0,True,5057653,52217982.0,CR07,,524060.0,185426.0,51.5540908,-0.2119573,2,LIHINIYA RESTAURANT,,,66.0,,,,66.0,,,,,20400106,,N,osgb1000002298985688,5.0,osgb4000000030330034,2,osgb1000004056386,3,95532063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EP,NW2 3EP,S,2S,D,E05000132,2012-03-19,3,CR,234.0,POINT (524061.7150742415 185426.3110780764),2010-04-01 00:00:00,95532063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,0,False,True,Cricklewood
177317063,18325,18325,0010600760000A,E09000007,Camden,Inner London - West,GND F 76,CRICKLEWOOD BROADWAY,LONDON,NW2 3EP,Shops,249,Retail High Street,Retail,37.84,11000.0,2010-04-01 00:00:00+00:00,2010,2015-09,5280.0,SATHY ESTATES LTD,0.0,False,2014-10-01,365.0,True,5055004,17663327.0,C,,524044.0,185450.0,51.55431,-0.21217950000000002,1,,,,76.0,,,,76.0,,,,,20400106,,N,osgb1000002298573155,13.0,osgb4000000031077463,2,osgb1000004056380,2,177317063.0,CRICKLEWOOD BROADWAY,,CRICKLEWOOD BROADWAY,LONDON,CAMDEN,LONDON,NW2 3EP,NW2 3EP,S,1H,D,E05000132,2012-03-19,4,CS,249.0,POINT (524045.7152538191 185450.3107666024),2014-10-01 00:00:00,177317063,2015-10-01,365,2010-04-01,1644 days,2009,1,365,1644,0,False,True,Cricklewood
