,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
18017063,139816,139816,00794004600007,E09000007,Camden,Inner London - West,46,CHALTON STREET,LONDON,NW1 1HS,Shops,249,Retail High Street,Retail,35.6,10250.0,2017-04-01 00:00:00+00:00,2017,2021-03,5114.75,VAPERZ LTD,224.94,True,2013-09-17,2753.0,True,5015557,28536147.0,CR07,,529827.0,182846.0,51.5296085,-0.129772,1,,,,46.0,,,,46.0,,,,,20400794,,N,osgb1000002298921690,13.0,osgb5000005152504833,0,osgb1000005429592,3,18017063.0,CHALTON STREET,,CHALTON STREET,LONDON,CAMDEN,LONDON,NW1 1JB,NW1 1JB,S,1N,D,E05000143,2012-03-19,0,CS,249.0,POINT (529828.7811651311 182846.2614433382),2013-09-17 00:00:00,18017063,2021-04-01,2753,2010-04-01,1265 days,4018,0,2753,1265,1,False,True,Eversholt
18038063,139508,139508,00794003400007,E09000007,Camden,Inner London - West,34,CHALTON STREET,LONDON,NW1 1JB,Shops,249,Retail High Street,Retail,51.36,15250.0,2017-04-01 00:00:00+00:00,2017,2021-03,7609.75,BABAN MED LTD,2785.05,True,2014-07-01,2466.0,True,5040838,17634092.0,CR08,,529854.0,182810.0,51.52927879999999,-0.1293963,2,,,,34.0,,,,34.0,,,,,20400794,,N,osgb1000002298819549,10.0,osgb5000005152504833,0,osgb1000005429590,5,18038063.0,CHALTON STREET,,CHALTON STREET,LONDON,CAMDEN,LONDON,NW1 1JB,NW1 1JB,S,1D,D,E05000143,2012-03-19,0,CS,249.0,POINT (529855.7776362868 182810.2637185261),2014-07-01 00:00:00,18038063,2021-04-01,2466,2010-04-01,1552 days,4018,0,2466,1552,1,False,True,Eversholt
18041063,139684,139684,00794004000001,E09000007,Camden,Inner London - West,40,CHALTON STREET,LONDON,NW1 1JB,Shops,249,Retail High Street,Retail,64.6,9200.0,2017-04-01 00:00:00+00:00,2017,2021-03,4590.8,18041063,,True,2017-04-01,,True,5013963,17634094.0,CR08,,529843.0,182823.0,51.5293981,-0.12955,1,R P S HALAL & GROCERIES,,,40.0,,,,40.0,,,,,20400794,,N,osgb1000002298819540,14.0,osgb5000005152504833,0,osgb1000005429594,3,18041063.0,CHALTON STREET,,CHALTON STREET,LONDON,CAMDEN,LONDON,NW1 1JB,NW1 1JB,S,1G,D,E05000143,2012-03-19,0,CS,249.0,POINT (529844.7775491369 182823.2577833721),2017-04-01 00:00:00,18041063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Eversholt
18042063,139728,139728,00794004200003,E09000007,Camden,Inner London - West,42,CHALTON STREET,LONDON,NW1 1JB,Shops,249,Retail High Street,Retail,57.8,10000.0,2017-04-01 00:00:00+00:00,2017,2021-03,4990.0,GAZELLE DATES LTD,0.0,True,2018-12-21,832.0,True,5005773,17634093.0,LP03,,529841.0,182826.0,51.529425599999996,-0.12957770000000002,2,,,,42.0,,,,42.0,,,,,20400794,,N,osgb1000002298900304,14.0,osgb5000005152504833,0,osgb1000005429593,3,18042063.0,CHALTON STREET,,CHALTON STREET,LONDON,CAMDEN,LONDON,NW1 1JB,NW1 1JB,S,1H,D,E05000143,2012-03-19,0,CS,249.0,POINT (529842.7780501989 182826.2667714396),2018-12-21 00:00:00,18042063,2021-04-01,832,2010-04-01,3186 days,4018,0,832,3186,1,False,True,Eversholt
18043063,139772,139772,00794004400005,E09000007,Camden,Inner London - West,44,CHALTON STREET,LONDON,NW1 1JB,Cafes,409,Retail Restaurants & Cafes,Retail,66.73,11250.0,2017-04-01 00:00:00+00:00,2017,2021-03,5613.75,18043063,,True,2017-04-01,,True,5064527,17634096.0,CR07,,529838.0,182832.0,51.5294802,-0.1296187,1,PINNER CAFE,,,44.0,,,,44.0,,,,,20400794,,N,osgb1000002298819543,13.0,osgb5000005152504833,0,osgb1000005429661,3,18043063.0,CHALTON STREET,,CHALTON STREET,LONDON,CAMDEN,LONDON,NW1 1JB,NW1 1JB,S,1J,D,E05000143,2012-03-19,0,CR1,409.0,POINT (529839.7790042449 182832.2658012089),2017-04-01 00:00:00,18043063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Eversholt
19501063,145140,145140,00859006800008,E09000007,Camden,Inner London - West,68,CHURCHWAY,LONDON,NW1 1LT,Offices (Inc Computer Centres),203,Office General,Office,129.4,41250.0,2019-01-17 00:00:00+00:00,2017,2021-03,20583.75,SOMERSTOWN ISLAMIC CULTURAL & EDUCATION,1500.56,True,2010-06-01,3957.0,True,5024681,17634580.0,CR08,,529765.0,182849.0,51.5296497,-0.1306642,2,SOMERTON ISLAMIC CULTURAL & EDUCATION CENTRE,,,68.0,,,,68.0,,,,,20400859,,N,osgb1000002298987011,3.0,osgb5000005263931887,0,osgb1000005429511,3,19501063.0,CHURCHWAY,,CHURCHWAY,LONDON,CAMDEN,LONDON,NW1 1LT,NW1 1LT,S,1D,D,E05000143,2012-03-19,0,CO,203.0,POINT (529766.7797999989 182849.2615698411),2010-06-01 00:00:00,19501063,2021-04-01,3957,2010-04-01,61 days,4018,0,3957,61,1,False,True,Eversholt
28707063,135152,135152,00782004000006,E09000007,Camden,Inner London - West,40,EVERSHOLT STREET,LONDON,NW1 1DA,Shops,249,Retail High Street,Retail,63.97,13750.0,2017-04-01 00:00:00+00:00,2017,2021-03,6861.25,28707063,,True,2017-04-01,,True,5087426,17633213.0,CR08,,529646.0,182783.0,51.529083899999996,-0.1324031,2,EUSTON BOOKSHOP,,,40.0,,,,40.0,,,,,20400782,,N,osgb1000002298819772,7.0,osgb4000000030250354,2,osgb1000005429445,5,28707063.0,EVERSHOLT STREET,,EVERSHOLT STREET,LONDON,CAMDEN,LONDON,NW1 1DA,NW1 1DA,S,1E,D,E05000143,2012-03-19,12,CS,249.0,POINT (529647.7732490143 182783.262304763),2017-04-01 00:00:00,28707063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Eversholt
28708063,135213,135213,00782004600001,E09000007,Camden,Inner London - West,46,EVERSHOLT STREET,LONDON,NW1 1DA,Shops,249,Retail High Street,Retail,62.88,9600.0,2009-10-13 00:00:00+00:00,2010,2014-06,4521.6,28708063,,True,2010-04-01,,True,5045070,17633221.0,CI04,,529637.0,182795.0,51.529193799999994,-0.1325283,1,MAIL BOXES ETC,,,46.0,,,,46.0,,,,,20400782,,N,osgb1000002298820797,21.0,osgb4000000030250354,2,osgb1000005429443,4,28708063.0,EVERSHOLT STREET,,EVERSHOLT STREET,LONDON,CAMDEN,LONDON,NW1 1DA,NW1 1DA,S,1F,D,E05000143,2012-03-19,2,CS,249.0,POINT (529638.7771590534 182795.2619510951),2010-04-01,28708063,2014-07-01,1552,2010-04-01,0 days,1552,1,1552,0,1,False,True,Eversholt
28708063,135240,135240,00782004600001,E09000007,Camden,Inner London - West,46,EVERSHOLT STREET,LONDON,NW1 1DA,Shops,249,Retail High Street,Retail,62.88,9600.0,2017-04-01 00:00:00+00:00,2017,2021-03,4790.4,SAS MAILING LTD T/A MAIL BOXES ETC,1476.18,True,2014-10-30,2345.0,True,5045070,17633221.0,CI04,,529637.0,182795.0,51.529193799999994,-0.1325283,1,MAIL BOXES ETC,,,46.0,,,,46.0,,,,,20400782,,N,osgb1000002298820797,21.0,osgb4000000030250354,2,osgb1000005429443,4,28708063.0,EVERSHOLT STREET,,EVERSHOLT STREET,LONDON,CAMDEN,LONDON,NW1 1DA,NW1 1DA,S,1F,D,E05000143,2012-03-19,2,CS,249.0,POINT (529638.7771590534 182795.2619510951),2014-10-30 00:00:00,28708063,2021-04-01,2345,2010-04-01,1673 days,4018,0,2345,1673,1,False,True,Eversholt
28720063,135416,135416,00782006000002,E09000007,Camden,Inner London - West,60,EVERSHOLT STREET,LONDON,NW1 1DA,Shops,249,Retail High Street,Retail,54.8,10000.0,2017-04-01 00:00:00+00:00,2017,2021-03,4990.0,B & R BUILDING LTD,1391.61,True,2010-04-01,4018.0,True,5059296,17633228.0,CR02,,529613.0,182823.0,51.52945089999999,-0.1328638,1,,,,60.0,,,,60.0,,,,,20400782,,N,osgb1000002298820560,11.0,osgb4000000030250354,2,osgb1000005429436,4,28720063.0,EVERSHOLT STREET,,EVERSHOLT STREET,LONDON,CAMDEN,LONDON,NW1 1DA,NW1 1DA,S,1P,D,E05000143,2012-03-19,2,CS,249.0,POINT (529614.7765634779 182823.2585600709),2010-04-01 00:00:00,28720063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Eversholt
