,Unnamed: 0,rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,geometry
131765,131765,00780008810007,E09000007,Camden,Inner London - West,196542063,INCL BST R/O 92 EVERSHOLT STREET AT 88,EVERSHOLT STREET,LONDON,NW1 1BP,Garages (Transport and Commercial),113,Other Public,,77.5,89500.0,2009-10-13 00:00:00+00:00,2010,2010-06,37053.0,AVIS RENT-A-CAR LTD,39537.18,True,2010-04-01,91.0,True,5024500,17633122.0,I,,,CR08,,529557.0,182908.0,51.5302276,-0.1336394,1,5210,E,2007-12-21,2019-11-17,2002-10-08,AVIS RENT A CAR LTD,,,,,,88.0,,,,,,,88.0,,,,,,20400782,1,,,N,osgb1000002298820482,8.0,osgb4000000030425214,4,osgb1000005429619,3,,196542063.0,EVERSHOLT STREET,,,EVERSHOLT STREET,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 1BP,NW1 1BP,S,1R,D,,E05000143,,2012-03-19,0,CG2,113.0,,POINT (529558.7763677174 182908.2580559738)
131766,131766,00780008810007,E09000007,Camden,Inner London - West,196542063,INCL BST R/O 92 EVERSHOLT STREET AT 88,EVERSHOLT STREET,LONDON,NW1 1BP,Garages (Transport and Commercial),113,Other Public,,77.5,89500.0,2009-10-13 00:00:00+00:00,2010,2010-09,37053.0,AVIS RENT-A-CAR LTD,39537.18,True,2010-04-01,183.0,True,5024500,17633122.0,I,,,CR08,,529557.0,182908.0,51.5302276,-0.1336394,1,5210,E,2007-12-21,2019-11-17,2002-10-08,AVIS RENT A CAR LTD,,,,,,88.0,,,,,,,88.0,,,,,,20400782,1,,,N,osgb1000002298820482,8.0,osgb4000000030425214,4,osgb1000005429619,3,,196542063.0,EVERSHOLT STREET,,,EVERSHOLT STREET,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 1BP,NW1 1BP,S,1R,D,,E05000143,,2012-03-19,0,CG2,113.0,,POINT (529558.7763677174 182908.2580559738)
131767,131767,00780008810007,E09000007,Camden,Inner London - West,196542063,INCL BST R/O 92 EVERSHOLT STREET AT 88,EVERSHOLT STREET,LONDON,NW1 1BP,Garages (Transport and Commercial),113,Other Public,,77.5,89500.0,2009-10-13 00:00:00+00:00,2010,2010-12,37053.0,AVIS RENT-A-CAR LTD,39537.18,True,2010-04-01,275.0,True,5024500,17633122.0,I,,,CR08,,529557.0,182908.0,51.5302276,-0.1336394,1,5210,E,2007-12-21,2019-11-17,2002-10-08,AVIS RENT A CAR LTD,,,,,,88.0,,,,,,,88.0,,,,,,20400782,1,,,N,osgb1000002298820482,8.0,osgb4000000030425214,4,osgb1000005429619,3,,196542063.0,EVERSHOLT STREET,,,EVERSHOLT STREET,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 1BP,NW1 1BP,S,1R,D,,E05000143,,2012-03-19,0,CG2,113.0,,POINT (529558.7763677174 182908.2580559738)
131768,131768,00780008810007,E09000007,Camden,Inner London - West,196542063,INCL BST R/O 92 EVERSHOLT STREET AT 88,EVERSHOLT STREET,LONDON,NW1 1BP,Garages (Transport and Commercial),113,Other Public,,77.5,89500.0,2009-10-13 00:00:00+00:00,2010,2011-03,37053.0,AVIS RENT-A-CAR LTD,39537.18,True,2010-04-01,365.0,True,5024500,17633122.0,I,,,CR08,,529557.0,182908.0,51.5302276,-0.1336394,1,5210,E,2007-12-21,2019-11-17,2002-10-08,AVIS RENT A CAR LTD,,,,,,88.0,,,,,,,88.0,,,,,,20400782,1,,,N,osgb1000002298820482,8.0,osgb4000000030425214,4,osgb1000005429619,3,,196542063.0,EVERSHOLT STREET,,,EVERSHOLT STREET,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 1BP,NW1 1BP,S,1R,D,,E05000143,,2012-03-19,0,CG2,113.0,,POINT (529558.7763677174 182908.2580559738)
131769,131769,00780008810007,E09000007,Camden,Inner London - West,196542063,INCL BST R/O 92 EVERSHOLT STREET AT 88,EVERSHOLT STREET,LONDON,NW1 1BP,Garages (Transport and Commercial),113,Other Public,,77.5,89500.0,2009-10-13 00:00:00+00:00,2010,2011-06,38753.5,AVIS RENT-A-CAR LTD,39537.18,True,2010-04-01,456.0,True,5024500,17633122.0,I,,,CR08,,529557.0,182908.0,51.5302276,-0.1336394,1,5210,E,2007-12-21,2019-11-17,2002-10-08,AVIS RENT A CAR LTD,,,,,,88.0,,,,,,,88.0,,,,,,20400782,1,,,N,osgb1000002298820482,8.0,osgb4000000030425214,4,osgb1000005429619,3,,196542063.0,EVERSHOLT STREET,,,EVERSHOLT STREET,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 1BP,NW1 1BP,S,1R,D,,E05000143,,2012-03-19,0,CG2,113.0,,POINT (529558.7763677174 182908.2580559738)
131770,131770,7.80009E+11,E09000007,Camden,Inner London - West,196542063,INCL BST R/O 92 EVERSHOLT STREET AT 88,EVERSHOLT STREET,LONDON,NW1 1BP,Garages (Transport and Commercial),113,Other Public,,77.5,89500.0,2009-10-13 00:00:00+00:00,2010,2011-09,38753.5,AVIS RENT-A-CAR LTD,39537.18,True,01/04/2010,548.0,True,5024500,17633122.0,I,,,CR08,,529557.0,182908.0,51.5302276,-0.1336394,1,5210,E,2007-12-21,2019-11-17,2002-10-08,AVIS RENT A CAR LTD,,,,,,88.0,,,,,,,88.0,,,,,,20400782,1,,,N,osgb1000002298820482,8.0,osgb4000000030425214,4,osgb1000005429619,3,,196542063.0,EVERSHOLT STREET,,,EVERSHOLT STREET,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 1BP,NW1 1BP,S,1R,D,,E05000143,,2012-03-19,0,CG2,113.0,,POINT (529558.7763677174 182908.2580559738)
131771,131771,00780008810007,E09000007,Camden,Inner London - West,196542063,INCL BST R/O 92 EVERSHOLT STREET AT 88,EVERSHOLT STREET,LONDON,NW1 1BP,Garages (Transport and Commercial),113,Other Public,,77.5,89500.0,2009-10-13 00:00:00+00:00,2010,2011-12,38753.5,AVIS RENT-A-CAR LTD,39537.18,True,2010-04-01,640.0,True,5024500,17633122.0,I,,,CR08,,529557.0,182908.0,51.5302276,-0.1336394,1,5210,E,2007-12-21,2019-11-17,2002-10-08,AVIS RENT A CAR LTD,,,,,,88.0,,,,,,,88.0,,,,,,20400782,1,,,N,osgb1000002298820482,8.0,osgb4000000030425214,4,osgb1000005429619,3,,196542063.0,EVERSHOLT STREET,,,EVERSHOLT STREET,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 1BP,NW1 1BP,S,1R,D,,E05000143,,2012-03-19,0,CG2,113.0,,POINT (529558.7763677174 182908.2580559738)
131772,131772,00780008810007,E09000007,Camden,Inner London - West,196542063,INCL BST R/O 92 EVERSHOLT STREET AT 88,EVERSHOLT STREET,LONDON,NW1 1BP,Garages (Transport and Commercial),113,Other Public,,77.5,89500.0,2009-10-13 00:00:00+00:00,2010,2012-03,38753.5,AVIS RENT-A-CAR LTD,39537.18,True,2010-04-01,731.0,True,5024500,17633122.0,I,,,CR08,,529557.0,182908.0,51.5302276,-0.1336394,1,5210,E,2007-12-21,2019-11-17,2002-10-08,AVIS RENT A CAR LTD,,,,,,88.0,,,,,,,88.0,,,,,,20400782,1,,,N,osgb1000002298820482,8.0,osgb4000000030425214,4,osgb1000005429619,3,,196542063.0,EVERSHOLT STREET,,,EVERSHOLT STREET,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 1BP,NW1 1BP,S,1R,D,,E05000143,,2012-03-19,0,CG2,113.0,,POINT (529558.7763677174 182908.2580559738)
131773,131773,00780008810007,E09000007,Camden,Inner London - West,196542063,INCL BST R/O 92 EVERSHOLT STREET AT 88,EVERSHOLT STREET,LONDON,NW1 1BP,Garages (Transport and Commercial),113,Other Public,,77.5,89500.0,2009-10-13 00:00:00+00:00,2010,2012-06,40991.0,AVIS RENT-A-CAR LTD,39537.18,True,2010-04-01,822.0,True,5024500,17633122.0,I,,,CR08,,529557.0,182908.0,51.5302276,-0.1336394,1,5210,E,2007-12-21,2019-11-17,2002-10-08,AVIS RENT A CAR LTD,,,,,,88.0,,,,,,,88.0,,,,,,20400782,1,,,N,osgb1000002298820482,8.0,osgb4000000030425214,4,osgb1000005429619,3,,196542063.0,EVERSHOLT STREET,,,EVERSHOLT STREET,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 1BP,NW1 1BP,S,1R,D,,E05000143,,2012-03-19,0,CG2,113.0,,POINT (529558.7763677174 182908.2580559738)
131774,131774,00780008810007,E09000007,Camden,Inner London - West,196542063,INCL BST R/O 92 EVERSHOLT STREET AT 88,EVERSHOLT STREET,LONDON,NW1 1BP,Garages (Transport and Commercial),113,Other Public,,77.5,89500.0,2009-10-13 00:00:00+00:00,2010,2012-09,40991.0,AVIS RENT-A-CAR LTD,39537.18,True,2010-04-01,914.0,True,5024500,17633122.0,I,,,CR08,,529557.0,182908.0,51.5302276,-0.1336394,1,5210,E,2007-12-21,2019-11-17,2002-10-08,AVIS RENT A CAR LTD,,,,,,88.0,,,,,,,88.0,,,,,,20400782,1,,,N,osgb1000002298820482,8.0,osgb4000000030425214,4,osgb1000005429619,3,,196542063.0,EVERSHOLT STREET,,,EVERSHOLT STREET,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 1BP,NW1 1BP,S,1R,D,,E05000143,,2012-03-19,0,CG2,113.0,,POINT (529558.7763677174 182908.2580559738)
