,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
18017063,139785,139785,00794004600007,E09000007,Camden,Inner London - West,46,CHALTON STREET,LONDON,NW1 1HS,Shops,249,Retail High Street,Retail,35.6,6800.0,2010-04-01 00:00:00+00:00,2010,2013-06,3141.6,LBC - RK20NCE020,0.0,False,2010-09-21,1014.0,True,5015557,28536147.0,CR07,,529827.0,182846.0,51.5296085,-0.129772,1,,,,46.0,,,,46.0,,,,,20400794,,N,osgb1000002298921690,13.0,osgb5000005152504833,0,osgb1000005429592,3,18017063.0,CHALTON STREET,,CHALTON STREET,LONDON,CAMDEN,LONDON,NW1 1JB,NW1 1JB,S,1N,D,E05000143,2012-03-19,0,CS,249.0,POINT (529828.7811651311 182846.2614433382),2010-09-21 00:00:00,18017063,2013-07-01,1014,2010-04-01,173 days,1187,1,1014,173,0,False,True,Eversholt
18038063,139481,139481,00794003400007,E09000007,Camden,Inner London - West,34,CHALTON STREET,LONDON,NW1 1JB,Shops,249,Retail High Street,Retail,51.36,10000.0,2010-04-01 00:00:00+00:00,2010,2014-06,4710.0,TURAY CONSULTING LTD,0.0,False,2010-04-01,1552.0,True,5040838,17634092.0,CR08,,529854.0,182810.0,51.52927879999999,-0.1293963,2,,,,34.0,,,,34.0,,,,,20400794,,N,osgb1000002298819549,10.0,osgb5000005152504833,0,osgb1000005429590,5,18038063.0,CHALTON STREET,,CHALTON STREET,LONDON,CAMDEN,LONDON,NW1 1JB,NW1 1JB,S,1D,D,E05000143,2012-03-19,0,CS,249.0,POINT (529855.7776362868 182810.2637185261),2010-04-01 00:00:00,18038063,2014-07-01,1552,2010-04-01,0 days,1552,1,1552,0,0,False,True,Eversholt
18042063,139718,139718,00794004200003,E09000007,Camden,Inner London - West,42,CHALTON STREET,LONDON,NW1 1JB,Shops,249,Retail High Street,Retail,57.8,10000.0,2017-04-01 00:00:00+00:00,2017,2018-09,4800.0,BABAN MED LTD,0.0,False,2016-04-01,913.0,True,5005773,17634093.0,LP03,,529841.0,182826.0,51.529425599999996,-0.12957770000000002,2,,,,42.0,,,,42.0,,,,,20400794,,N,osgb1000002298900304,14.0,osgb5000005152504833,0,osgb1000005429593,3,18042063.0,CHALTON STREET,,CHALTON STREET,LONDON,CAMDEN,LONDON,NW1 1JB,NW1 1JB,S,1H,D,E05000143,2012-03-19,0,CS,249.0,POINT (529842.7780501989 182826.2667714396),2016-04-01 00:00:00,18042063,2018-10-01,913,2010-04-01,2192 days,3105,1,913,2192,0,False,True,Eversholt
28708063,135214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eversholt
96250063,403797,403797,00807003209992,E09000007,Camden,Inner London - West,ST ALOYSIUS PRIMARY SCHOOL,PHOENIX ROAD,LONDON,NW1 1TA,Local Authority Schools (National Scheme),159,Other Public,,130.004268593006,35250.0,2017-04-01 00:00:00+00:00,2017,2021-03,17589.75,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST,458.25,False,2020-04-01,365.0,True,5019560,17636005.0,CE03IS,,529624.0,182907.0,51.5302033,-0.1326744,2,,,,28.0,,,,28.0,,,,ST ALOYSIUS RC INFANT SCHOOL,20400807,,N,osgb1000002298820539,11.0,osgb4000000030425216,4,osgb1000005429566,4,96250063.0,PHOENIX ROAD,,PHOENIX ROAD,LONDON,CAMDEN,LONDON,NW1 1TA,NW1 1TA,S,1U,D,E05000143,2012-03-19,0,EL,159.0,POINT (529625.7782754846 182907.2636166312),2020-04-01 00:00:00,96250063,2021-04-01,365,2010-04-01,3653 days,4018,0,365,3653,0,False,True,Eversholt
98966063,323515,323515,0079400241002A,E09000007,Camden,Inner London - West,24,CHALTON STREET,LONDON,NW1 1JD,Shops,249,Retail High Street,Retail,37.8,11500.0,2017-04-01 00:00:00+00:00,2017,2021-03,5738.5,LBC - RK20NCE020,0.0,False,2011-04-01,3653.0,True,5029628,17634154.0,CM01,,529875.0,182779.0,51.5289954,-0.12910510000000006,2,,,,24.0,,,,24.0,,,,,20400794,,N,osgb1000002298819943,14.0,osgb5000005152504851,0,osgb1000005429599,4,98966063.0,CHALTON STREET,,CHALTON STREET,LONDON,CAMDEN,LONDON,NW1 1JH,NW1 1JH,S,1F,D,E05000143,2012-03-19,0,CS,249.0,POINT (529876.7816953199 182779.2649951042),2011-04-01 00:00:00,98966063,2021-04-01,3653,2010-04-01,365 days,4018,0,3653,365,0,False,True,Eversholt
98968063,139332,139332,00794002800002,E09000007,Camden,Inner London - West,GND F 28,CHALTON STREET,LONDON,NW1 1JH,Shops,249,Retail High Street,Retail,34.4,9300.0,2017-04-01 00:00:00+00:00,2017,2021-03,4640.7,LBC - XG600CE020,0.0,False,2015-05-15,2148.0,True,5035041,17634158.0,CR02,,529863.0,182795.0,51.5291419,-0.1292721,1,,,,28.0,,,,28.0,,,,,20400794,,N,osgb1000002298819541,13.0,osgb5000005152504851,0,osgb1000005429596,3,98968063.0,CHALTON STREET,,CHALTON STREET,LONDON,CAMDEN,LONDON,NW1 1JH,NW1 1JH,S,1H,D,E05000143,2012-03-19,1,CS,249.0,POINT (529864.7816364941 182795.2601723932),2015-05-15 00:00:00,98968063,2021-04-01,2148,2010-04-01,1870 days,4018,0,2148,1870,0,False,True,Eversholt
98971063,139420,139420,00794003020007,E09000007,Camden,Inner London - West,30-32,CHALTON STREET,LONDON,NW1 1JB,Shops,249,Retail High Street,Retail,91.3,27250.0,2017-04-01 00:00:00+00:00,2017,2021-03,13597.75,LBC - RK20NCE020,0.0,False,2014-01-28,2620.0,True,5083052,17634098.0,CM01,,529859.0,182803.0,51.529214700000004,-0.1293268,2,,,30-32,,,,,30.0,,32.0,,,20400794,,N,osgb1000002298819547,12.0,osgb5000005152504851,0,osgb1000005429590,5,98971063.0,CHALTON STREET,,CHALTON STREET,LONDON,CAMDEN,LONDON,NW1 1JB,NW1 1JB,S,1A,D,E05000143,2012-03-19,0,CS,249.0,POINT (529860.7805415215 182803.2588032815),2014-01-28 00:00:00,98971063,2021-04-01,2620,2010-04-01,1398 days,4018,0,2620,1398,0,False,True,Eversholt
100798063,145096,145096,0085900641001B,E09000007,Camden,Inner London - West,64,CHURCHWAY,LONDON,NW1 1LT,Shops,249,Retail High Street,Retail,26.5,4550.0,2017-04-01 00:00:00+00:00,2017,2021-03,2270.45,"TRAVEL STAR LTD,",0.0,False,2013-06-30,2832.0,True,5019648,52561990.0,C,,529764.0,182837.0,51.5295421,-0.13068310000000002,2,,,,64.0,,,,64.0,,,,,20400859,,N,osgb5000005100795477,6.0,osgb5000005263931887,0,osgb1000005429509,5,100798063.0,CHURCHWAY,,CHURCHWAY,LONDON,CAMDEN,LONDON,NW1 1LT,NW1 1LT,S,1R,D,E05000143,2012-03-19,0,CS,249.0,POINT (529765.7745757529 182837.2625436746),2013-06-30 00:00:00,100798063,2021-04-01,2832,2010-04-01,1186 days,4018,0,2832,1186,0,False,True,Eversholt
101898063,135196,135196,00782004220001,E09000007,Camden,Inner London - West,42-44,EVERSHOLT STREET,LONDON,NW1 1DA,Betting Offices,24,Retail Financial & Professional Services,Retail,102.24,26250.0,2017-04-01 00:00:00+00:00,2017,2021-03,13098.75,WILLIAM HILL ORGANIZATION LTD,0.0,False,2019-09-19,560.0,True,5083009,17633222.0,CR08,,529640.0,182787.0,51.52912120000001,-0.13248800000000002,2,,,42-44,,,,,42.0,,44.0,,,20400782,,N,osgb1000002298819770,9.0,osgb4000000030250354,2,osgb1000005429444,5,101898063.0,EVERSHOLT STREET,,EVERSHOLT STREET,LONDON,CAMDEN,LONDON,NW1 1DA,NW1 1DA,S,2G,D,E05000143,2012-03-19,0,CS2,24.0,POINT (529641.7785189134 182787.2598976219),2019-09-19 00:00:00,101898063,2021-04-01,560,2010-04-01,3458 days,4018,0,560,3458,0,False,True,Eversholt
