,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
33903063,57724,57724,00362012000003,E09000007,Camden,Inner London - West,120,FORTESS ROAD,LONDON,NW5 2HL,Shops,249,Retail High Street,Retail,74.8,26250.0,2017-04-01 00:00:00+00:00,2017,2021-03,13098.75,PIZZA HUT (UK) LTD,5984.26,True,2010-04-01,4018.0,True,5028721,17715649.0,CR07,,529110.0,185723.0,51.55562800000001,-0.1390477,2,PIZZA HUT (UK) LTD,,,120.0,,,,120.0,,,,,20400362,,N,osgb1000002298836741,11.0,osgb4000000030425658,3,osgb1000005439173,5,33903063.0,FORTESS ROAD,,FORTESS ROAD,LONDON,CAMDEN,LONDON,NW5 2HL,NW5 2HL,S,1E,D,E05000139,2012-03-19,0,CS,249.0,POINT (529111.797117368 185723.3338374427),2010-04-01 00:00:00,33903063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Fortress
33950063,58032,58032,003620136A0009,E09000007,Camden,Inner London - West,136A,FORTESS ROAD,LONDON,NW5 2HP,Sales Kiosks,243,Retail High Street,Retail,22.46,6700.0,2017-04-01 00:00:00+00:00,2017,2021-03,3343.3,HARRINGTON & SQUIRES LTD,461.89,True,2010-04-01,4018.0,True,5078335,17715679.0,CR08,,529129.0,185771.0,51.556055,-0.13875620000000002,1,,,136A,,,,,136.0,A,,,,20400362,,N,osgb1000002298835796,12.0,osgb4000000030153412,4,osgb1000005439204,4,33950063.0,FORTESS ROAD,,FORTESS ROAD,LONDON,CAMDEN,LONDON,NW5 2HP,NW5 2HP,S,1U,D,E05000139,2012-03-19,0,CS4,243.0,POINT (529130.7961049852 185771.3323072659),2010-04-01 00:00:00,33950063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Fortress
33999063,58076,58076,00362013700008,E09000007,Camden,Inner London - West,137,FORTESS ROAD,LONDON,NW5 2HR,Restaurants,234,Retail Restaurants & Cafes,Retail,69.0,23750.0,2017-04-01 00:00:00+00:00,2017,2021-03,11851.25,33999063,,True,2017-04-01,,True,5042368,17715722.0,CR08,,529097.0,185777.0,51.55611629999999,-0.1392153,2,LA LIBELA,,,137.0,,,,137.0,,,,,20400362,,N,osgb1000002298836697,16.0,osgb4000000030153412,4,osgb1000005438760,6,33999063.0,FORTESS ROAD,,FORTESS ROAD,LONDON,CAMDEN,LONDON,NW5 2HR,NW5 2HR,S,3R,D,E05000139,2012-03-19,4,CR,234.0,POINT (529098.7972531635 185777.3393498985),2017-04-01 00:00:00,33999063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Fortress
34012063,58648,58648,00362015110015,E09000007,Camden,Inner London - West,151,FORTESS ROAD,LONDON,NW5 2HR,Shops,249,Retail High Street,Retail,64.7,23000.0,2017-04-01 00:00:00+00:00,2017,2021-03,11477.0,34012063,,True,2017-04-01,,True,5053511,17715734.0,C,,529115.0,185815.0,51.55645360000001,-0.13894189999999998,2,,,,151.0,,,,151.0,,,,,20400362,,N,osgb1000002298836657,15.0,osgb4000000030153412,4,osgb1000005438768,7,34012063.0,FORTESS ROAD,,FORTESS ROAD,LONDON,CAMDEN,LONDON,NW5 2HR,NW5 2HR,S,2D,D,E05000139,2012-03-19,3,CS,249.0,POINT (529116.7952419393 185815.3308131609),2017-04-01 00:00:00,34012063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Fortress
34013063,58699,58699,0036201530000B,E09000007,Camden,Inner London - West,153,FORTESS ROAD,LONDON,NW5 2HR,Shops,249,Retail High Street,Retail,108.5,19500.0,2010-04-01 00:00:00+00:00,2010,2011-12,8307.0,34013063,,True,2010-04-01,,True,5063359,17715735.0,C,,529117.0,185821.0,51.5565071,-0.1389108,2,,,,153.0,,,,153.0,,,,,20400362,,N,osgb1000002298836658,13.0,osgb4000000030153412,4,osgb1000005438769,5,34013063.0,FORTESS ROAD,,FORTESS ROAD,LONDON,CAMDEN,LONDON,NW5 2HR,NW5 2HR,S,2E,D,E05000139,2012-03-19,3,CS,249.0,POINT (529118.7997277817 185821.3351069962),2010-04-01 00:00:00,34013063,2012-01-01,640,2010-04-01,0 days,640,1,640,0,1,False,True,Fortress
34013063,58706,58706,0036201530000B,E09000007,Camden,Inner London - West,153,FORTESS ROAD,LONDON,NW5 2HR,Shops,249,Retail High Street,Retail,108.5,19500.0,2010-04-01 00:00:00+00:00,2010,2013-09,9009.0,HEALTHY PLANET FOUNDATION,1222.6,True,2012-06-25,463.0,True,5063359,17715735.0,C,,529117.0,185821.0,51.5565071,-0.1389108,2,,,,153.0,,,,153.0,,,,,20400362,,N,osgb1000002298836658,13.0,osgb4000000030153412,4,osgb1000005438769,5,34013063.0,FORTESS ROAD,,FORTESS ROAD,LONDON,CAMDEN,LONDON,NW5 2HR,NW5 2HR,S,2E,D,E05000139,2012-03-19,3,CS,249.0,POINT (529118.7997277817 185821.3351069962),2012-06-25 00:00:00,34013063,2013-10-01,463,2010-04-01,816 days,1279,1,463,816,1,False,True,Fortress
34030063,56555,56555,00362000300002,E09000007,Camden,Inner London - West,3,FORTESS ROAD,LONDON,NW5 1AA,Shops,249,Retail High Street,Retail,38.4,9100.0,2010-04-01 00:00:00+00:00,2010,2014-12,4286.1,URBAN OFFICES LTD,1056.54,True,2010-04-19,1718.0,True,5023517,17710979.0,C,,528966.0,185336.0,51.552183,-0.1412655,1,,,,3.0,,,,3.0,,,,,20400362,,N,osgb1000002298777236,15.0,osgb4000000030355836,3,osgb1000005304436,4,34030063.0,FORTESS ROAD,,FORTESS ROAD,LONDON,CAMDEN,LONDON,NW5 1AA,NW5 1AA,S,1B,D,E05000139,2012-03-19,2,CS,249.0,POINT (528967.7904128883 185336.3252232947),2010-04-19 00:00:00,34030063,2015-01-01,1718,2010-04-01,18 days,1736,1,1718,18,1,False,True,Fortress
46151063,398821,398821,00091002000003,E09000007,Camden,Inner London - West,20,HIGHGATE ROAD,LONDON,NW5 1NS,Fire Stations,101,Other Public,,210.247258979206,70500.0,2017-04-01 00:00:00+00:00,2017,2021-03,36096.0,LONDON FIRE & EMERGENCY,37967.61,True,2010-04-01,4018.0,True,5024751,17712706.0,CX02,,528933.0,185393.0,51.5527028,-0.1417203,2,LONDON FIRE COMMISSIONER,,KENTISH TOWN FIRE STATION,20.0,,,,20.0,,,,KENTISH TOWN FIRE STATION,20400091,,N,osgb1000002298777399,17.0,osgb4000000031138592,3,osgb1000005304468,5,46151063.0,HIGHGATE ROAD,,HIGHGATE ROAD,LONDON,CAMDEN,LONDON,NW5 1NS,NW5 1NS,S,1E,D,E05000139,2012-03-19,1,MS1,101.0,POINT (528934.7918151922 185393.3281164676),2010-04-01 00:00:00,46151063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Fortress
50251063,60672,60672,00363010700009,E09000007,Camden,Inner London - West,107,KENTISH TOWN ROAD,LONDON,NW1 8PB,Shops,249,Retail High Street,Retail,93.9,16250.0,2017-04-01 00:00:00+00:00,2017,2021-03,8108.75,THATS ENTERTAINMENT PRODUCTION L,4136.88,True,2010-04-01,4018.0,True,5049233,17651004.0,CR08,,528959.0,184437.0,51.5441054,-0.1416957,2,T E R INTERNATIONAL LTD,,,107.0,,,,107.0,,,,,20400363,,N,osgb1000002298939103,12.0,osgb4000000030153111,4,osgb1000005301501,3,50251063.0,KENTISH TOWN ROAD,,KENTISH TOWN ROAD,LONDON,CAMDEN,LONDON,NW1 8PB,NW1 8PB,S,1B,D,E05000130,2012-03-19,0,CS,249.0,POINT (528960.7860674334 184437.303447716),2010-04-01 00:00:00,50251063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Fortress
50259063,392398,392398,00363011100001,E09000007,Camden,Inner London - West,111,KENTISH TOWN ROAD,LONDON,NW1 8PB,Shops,249,Retail High Street,Retail,53.47,15250.0,2017-10-19 00:00:00+00:00,2017,2021-03,7609.75,50259063,,True,2017-10-19,,True,5056399,54913458.0,C,,528956.0,184447.0,51.5441959,-0.14173529999999998,2,,FLAT A-B,,111.0,,,,111.0,,,,,20400363,,N,,,osgb4000000030153111,4,osgb1000005301499,4,50259063.0,KENTISH TOWN ROAD,,KENTISH TOWN ROAD,LONDON,CAMDEN,LONDON,NW1 8PB,NW1 8PB,S,4B,D,E05000130,2017-08-31,3,CS,249.0,POINT (528957.7845679973 184447.2976788498),2017-10-19 00:00:00,50259063,2021-04-01,1260,2010-04-01,2758 days,4018,0,1260,2758,1,False,True,Fortress
