,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
11850063,288099,288099,0500402350000A,E09000007,Camden,Inner London - West,235,BRECKNOCK ROAD,LONDON,N19 5AA,Shops,249,Retail High Street,Retail,62.1,14000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6986.0,STICKLEY LTD,0.0,False,2010-04-01,4018.0,True,5013719,15719745.0,CR08,,529155.0,185826.0,51.5565434,-0.13836120000000002,1,,,,235.0,,,,235.0,,,,,20400233,,N,osgb1000002298835718,16.0,osgb4000000030251147,5,osgb1000005439218,4,11850063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N19 5AA,N19 5AA,S,1Q,D,E05000139,2012-03-19,0,CS,249.0,POINT (529156.7956008993 185826.3414229535),2010-04-01 00:00:00,11850063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,0,False,True,Fortress
33963063,58604,58604,00362015000008,E09000007,Camden,Inner London - West,150,FORTESS ROAD,LONDON,NW5 2HP,Shops,249,Retail High Street,Retail,99.2,25750.0,2017-04-01 00:00:00+00:00,2017,2021-03,12849.25,FIRST QUENCH RETAILING LIMITED - POST AD,0.0,False,2010-04-01,4018.0,True,5048350,17715671.0,CR04,,529146.0,185808.0,51.556383600000004,-0.1384975,2,,,,150.0,,,,150.0,,,,,20400362,,N,osgb1000002298835715,13.0,osgb4000000030153412,4,osgb1000005439212,5,33963063.0,FORTESS ROAD,,FORTESS ROAD,LONDON,CAMDEN,LONDON,NW5 2HP,NW5 2HP,S,1R,D,E05000139,2012-03-19,5,CS,249.0,POINT (529147.7994912392 185808.3304733164),2010-04-01 00:00:00,33963063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,0,False,True,Fortress
34013063,58736,58736,0036201530000B,E09000007,Camden,Inner London - West,153,FORTESS ROAD,LONDON,NW5 2HR,Shops,249,Retail High Street,Retail,108.5,26750.0,2017-04-01 00:00:00+00:00,2017,2021-03,13348.25,BROMLEY PARK GARDEN ESTATES LTD,0.0,False,2013-12-24,2655.0,True,5063359,17715735.0,C,,529117.0,185821.0,51.5565071,-0.1389108,2,,,,153.0,,,,153.0,,,,,20400362,,N,osgb1000002298836658,13.0,osgb4000000030153412,4,osgb1000005438769,5,34013063.0,FORTESS ROAD,,FORTESS ROAD,LONDON,CAMDEN,LONDON,NW5 2HR,NW5 2HR,S,2E,D,E05000139,2012-03-19,3,CS,249.0,POINT (529118.7997277817 185821.3351069962),2013-12-24 00:00:00,34013063,2021-04-01,2655,2010-04-01,1363 days,4018,0,2655,1363,0,False,True,Fortress
34030063,56580,56580,00362000300002,E09000007,Camden,Inner London - West,3,FORTESS ROAD,LONDON,NW5 1AA,Shops,249,Retail High Street,Retail,38.4,10750.0,2017-04-01 00:00:00+00:00,2017,2021-03,5364.25,GROUND GILBEY LTD,0.0,False,2015-02-19,2233.0,True,5023517,17710979.0,C,,528966.0,185336.0,51.552183,-0.1412655,1,,,,3.0,,,,3.0,,,,,20400362,,N,osgb1000002298777236,15.0,osgb4000000030355836,3,osgb1000005304436,4,34030063.0,FORTESS ROAD,,FORTESS ROAD,LONDON,CAMDEN,LONDON,NW5 1AA,NW5 1AA,S,1B,D,E05000139,2012-03-19,2,CS,249.0,POINT (528967.7904128883 185336.3252232947),2015-02-19 00:00:00,34030063,2021-04-01,2233,2010-04-01,1785 days,4018,0,2233,1785,0,False,True,Fortress
50283063,310953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortress
50326063,295651,295651,05007027800001,E09000007,Camden,Inner London - West,278,KENTISH TOWN ROAD,LONDON,NW5 2AA,Shops,249,Retail High Street,Retail,15.12,4500.0,2017-04-01 00:00:00+00:00,2017,2021-03,2245.5,TRANSPORT FOR LONDON,0.0,False,2012-11-07,3067.0,True,5039912,17714307.0,CR08,,529027.0,185136.0,51.5503717,-0.14045950000000001,2,FRUIT BOWL LONDON LTD,,,278.0,,,,278.0,,,,,20400363,,N,osgb5000005163581486,1.0,osgb4000000030250539,5,osgb1000005441521,6,50326063.0,KENTISH TOWN ROAD,,KENTISH TOWN ROAD,LONDON,CAMDEN,LONDON,NW5 2AA,NW5 2AA,S,2N,D,E05000139,2015-09-21,0,CS,249.0,POINT (529028.7889440004 185136.3210670358),2012-11-07 00:00:00,50326063,2021-04-01,3067,2010-04-01,951 days,4018,0,3067,951,0,False,True,Fortress
50327063,61468,61468,00363015100004,E09000007,Camden,Inner London - West,151,KENTISH TOWN ROAD,LONDON,NW1 8PD,Shops,249,Retail High Street,Retail,51.1,8800.0,2010-04-01 00:00:00+00:00,2010,2011-03,3581.6,VIRTUOUS DRAGON HOLDINGS LIMITED,0.0,False,2010-12-08,114.0,True,5020356,17651027.0,CR08,,528948.0,184573.0,51.5453301,-0.1418045,2,,,,151.0,,,,151.0,,,,,20400363,,N,osgb1000002298770324,16.0,osgb5000005256702837,0,osgb1000005300007,4,50327063.0,KENTISH TOWN ROAD,,KENTISH TOWN ROAD,LONDON,CAMDEN,LONDON,NW1 8PD,NW1 8PD,S,1B,D,E05000139,2012-03-19,2,CS,249.0,POINT (528949.7823644098 184573.3036586611),2010-12-08 00:00:00,50327063,2011-04-01,114,2010-04-01,251 days,365,1,114,251,0,False,True,Fortress
50345063,61860,61860,00363016300004,E09000007,Camden,Inner London - West,163,KENTISH TOWN ROAD,LONDON,NW1 8PD,Hairdressing/Beauty Salons,417,Retail High Street,Retail,32.5,15250.0,2017-04-01 00:00:00+00:00,2017,2021-03,7609.75,MAIDENWAY LIMITED,0.0,False,2016-01-30,1888.0,True,5050269,17651021.0,CR08,,528939.0,184619.0,51.545745600000004,-0.14191729999999994,1,,,,163.0,,,,163.0,,,,,20400363,,N,osgb1000002298770157,14.0,osgb5000005256702918,0,osgb1000005299819,8,50345063.0,KENTISH TOWN ROAD,,KENTISH TOWN ROAD,LONDON,CAMDEN,LONDON,NW1 8PD,NW1 8PD,S,1N,D,E05000139,2012-03-19,0,CS3,417.0,POINT (528940.7874188619 184619.3103604514),2016-01-30 00:00:00,50345063,2021-04-01,1888,2010-04-01,2130 days,4018,0,1888,2130,0,False,True,Fortress
50403063,59704,59704,00363006900002,E09000007,Camden,Inner London - West,69,KENTISH TOWN ROAD,LONDON,NW1 8NY,Shops,249,Retail High Street,Retail,46.98,14250.0,2017-04-01 00:00:00+00:00,2017,2021-03,7110.75,CAPITALWIDE PROPERTIES LTD,894.66,False,2020-02-14,412.0,True,5060596,17650939.0,CR,,528941.0,184310.0,51.5429681,-0.1420017,2,PATS NEWSAGENT,,,69.0,,,,69.0,,,,,20400363,,N,osgb1000002298773072,19.0,osgb4000000030250483,5,osgb1000005301322,3,50403063.0,KENTISH TOWN ROAD,,KENTISH TOWN ROAD,LONDON,CAMDEN,LONDON,NW1 8NY,NW1 8NY,S,1D,D,E05000130,2012-03-19,1,CS,249.0,POINT (528942.7804494557 184310.2919050949),2020-02-14 00:00:00,50403063,2021-04-01,412,2010-04-01,3606 days,4018,0,412,3606,0,False,True,Fortress
50442063,294362,294362,0500702040000B,E09000007,Camden,Inner London - West,204,KENTISH TOWN ROAD,LONDON,NW5 2AD,Shops,249,Retail High Street,Retail,179.7,42750.0,2017-04-01 00:00:00+00:00,2017,2017-12,19921.5,KENNY PROPERTIES LTD,0.0,False,2016-09-27,461.0,True,5023755,17714334.0,CR08,,528997.0,184883.0,51.5481049,-0.1409846,2,,,,204.0,,,,204.0,,,,,20400363,,N,osgb1000002298770956,14.0,osgb4000000030355264,4,osgb1000005299290,9,50442063.0,KENTISH TOWN ROAD,,KENTISH TOWN ROAD,LONDON,CAMDEN,LONDON,NW5 2AD,NW5 2AD,S,1A,D,E05000131,2012-03-19,2,CS,249.0,POINT (528998.790311807 184883.3177307881),2016-09-27 00:00:00,50442063,2018-01-01,461,2010-04-01,2371 days,2832,1,461,2371,0,False,True,Fortress
