,Unnamed: 0,rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,geometry
6468,6468,000450056710023,E09000007,Camden,Inner London - West,4032574000,BST & GRD FS 569,FINCHLEY ROAD,LONDON,NW3 7BN,Offices (Inc Computer Centres),203,Office General,Office,119.62,16000.0,2010-04-01 00:00:00+00:00,2010,2010-06,6512.0,VISUAL HOMES LTD,5216.29,True,2010-04-01,91.0,True,5138356,17696750.0,I,,,C,,525177.0,185790.0,51.5571156,-0.1957249,1,5210,E,2007-12-21,2015-10-08,2005-08-24,,,,,,,569.0,,,,,,,569.0,,,,,,20400045,1,,,N,osgb1000002298625019,20.0,osgb4000000030330117,3,osgb1000004205060,5,,4032574000.0,FINCHLEY ROAD,,,FINCHLEY ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 7BN,NW3 7BN,S,1H,D,,E05000132,,2012-03-19,0,CO,203.0,,POINT (525178.7265720932 185790.318292579)
6469,6469,000450056710023,E09000007,Camden,Inner London - West,4032574000,BST & GRD FS 569,FINCHLEY ROAD,LONDON,NW3 7BN,Offices (Inc Computer Centres),203,Office General,Office,119.62,16000.0,2010-04-01 00:00:00+00:00,2010,2010-09,6512.0,VISUAL HOMES LTD,5216.29,True,2010-04-01,183.0,True,5138356,17696750.0,I,,,C,,525177.0,185790.0,51.5571156,-0.1957249,1,5210,E,2007-12-21,2015-10-08,2005-08-24,,,,,,,569.0,,,,,,,569.0,,,,,,20400045,1,,,N,osgb1000002298625019,20.0,osgb4000000030330117,3,osgb1000004205060,5,,4032574000.0,FINCHLEY ROAD,,,FINCHLEY ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 7BN,NW3 7BN,S,1H,D,,E05000132,,2012-03-19,0,CO,203.0,,POINT (525178.7265720932 185790.318292579)
6470,6470,000450056710023,E09000007,Camden,Inner London - West,4032574000,BST & GRD FS 569,FINCHLEY ROAD,LONDON,NW3 7BN,Offices (Inc Computer Centres),203,Office General,Office,119.62,16000.0,2010-04-01 00:00:00+00:00,2010,2010-12,6512.0,VISUAL HOMES LTD,5216.29,True,2010-04-01,275.0,True,5138356,17696750.0,I,,,C,,525177.0,185790.0,51.5571156,-0.1957249,1,5210,E,2007-12-21,2015-10-08,2005-08-24,,,,,,,569.0,,,,,,,569.0,,,,,,20400045,1,,,N,osgb1000002298625019,20.0,osgb4000000030330117,3,osgb1000004205060,5,,4032574000.0,FINCHLEY ROAD,,,FINCHLEY ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 7BN,NW3 7BN,S,1H,D,,E05000132,,2012-03-19,0,CO,203.0,,POINT (525178.7265720932 185790.318292579)
6471,6471,000450056710023,E09000007,Camden,Inner London - West,4032574000,BST & GRD FS 569,FINCHLEY ROAD,LONDON,NW3 7BN,Offices (Inc Computer Centres),203,Office General,Office,119.62,16000.0,2010-04-01 00:00:00+00:00,2010,2011-03,6512.0,VISUAL HOMES LTD,5216.29,True,2010-04-01,365.0,True,5138356,17696750.0,I,,,C,,525177.0,185790.0,51.5571156,-0.1957249,1,5210,E,2007-12-21,2015-10-08,2005-08-24,,,,,,,569.0,,,,,,,569.0,,,,,,20400045,1,,,N,osgb1000002298625019,20.0,osgb4000000030330117,3,osgb1000004205060,5,,4032574000.0,FINCHLEY ROAD,,,FINCHLEY ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 7BN,NW3 7BN,S,1H,D,,E05000132,,2012-03-19,0,CO,203.0,,POINT (525178.7265720932 185790.318292579)
6472,6472,000450056710023,E09000007,Camden,Inner London - West,4032574000,BST & GRD FS 569,FINCHLEY ROAD,LONDON,NW3 7BN,Offices (Inc Computer Centres),203,Office General,Office,119.62,16000.0,2010-04-01 00:00:00+00:00,2010,2011-06,6816.0,VISUAL HOMES LTD,5216.29,True,2010-04-01,456.0,True,5138356,17696750.0,I,,,C,,525177.0,185790.0,51.5571156,-0.1957249,1,5210,E,2007-12-21,2015-10-08,2005-08-24,,,,,,,569.0,,,,,,,569.0,,,,,,20400045,1,,,N,osgb1000002298625019,20.0,osgb4000000030330117,3,osgb1000004205060,5,,4032574000.0,FINCHLEY ROAD,,,FINCHLEY ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 7BN,NW3 7BN,S,1H,D,,E05000132,,2012-03-19,0,CO,203.0,,POINT (525178.7265720932 185790.318292579)
6473,6473,4.50057E+11,E09000007,Camden,Inner London - West,4032574000,BST & GRD FS 569,FINCHLEY ROAD,LONDON,NW3 7BN,Offices (Inc Computer Centres),203,Office General,Office,119.62,16000.0,2010-04-01 00:00:00+00:00,2010,2011-09,6816.0,VISUAL HOMES LTD,5216.29,True,01/04/2010,548.0,True,5138356,17696750.0,I,,,C,,525177.0,185790.0,51.5571156,-0.1957249,1,5210,E,2007-12-21,2015-10-08,2005-08-24,,,,,,,569.0,,,,,,,569.0,,,,,,20400045,1,,,N,osgb1000002298625019,20.0,osgb4000000030330117,3,osgb1000004205060,5,,4032574000.0,FINCHLEY ROAD,,,FINCHLEY ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 7BN,NW3 7BN,S,1H,D,,E05000132,,2012-03-19,0,CO,203.0,,POINT (525178.7265720932 185790.318292579)
6474,6474,000450056710023,E09000007,Camden,Inner London - West,4032574000,BST & GRD FS 569,FINCHLEY ROAD,LONDON,NW3 7BN,Offices (Inc Computer Centres),203,Office General,Office,119.62,16000.0,2010-04-01 00:00:00+00:00,2010,2011-12,6816.0,VISUAL HOMES LTD,5216.29,True,2010-04-01,640.0,True,5138356,17696750.0,I,,,C,,525177.0,185790.0,51.5571156,-0.1957249,1,5210,E,2007-12-21,2015-10-08,2005-08-24,,,,,,,569.0,,,,,,,569.0,,,,,,20400045,1,,,N,osgb1000002298625019,20.0,osgb4000000030330117,3,osgb1000004205060,5,,4032574000.0,FINCHLEY ROAD,,,FINCHLEY ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 7BN,NW3 7BN,S,1H,D,,E05000132,,2012-03-19,0,CO,203.0,,POINT (525178.7265720932 185790.318292579)
6475,6475,000450056710023,E09000007,Camden,Inner London - West,4032574000,BST & GRD FS 569,FINCHLEY ROAD,LONDON,NW3 7BN,Offices (Inc Computer Centres),203,Office General,Office,119.62,16000.0,2010-04-01 00:00:00+00:00,2010,2012-03,6816.0,VISUAL HOMES LTD,5216.29,True,2010-04-01,731.0,True,5138356,17696750.0,I,,,C,,525177.0,185790.0,51.5571156,-0.1957249,1,5210,E,2007-12-21,2015-10-08,2005-08-24,,,,,,,569.0,,,,,,,569.0,,,,,,20400045,1,,,N,osgb1000002298625019,20.0,osgb4000000030330117,3,osgb1000004205060,5,,4032574000.0,FINCHLEY ROAD,,,FINCHLEY ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 7BN,NW3 7BN,S,1H,D,,E05000132,,2012-03-19,0,CO,203.0,,POINT (525178.7265720932 185790.318292579)
6476,6476,000450056710023,E09000007,Camden,Inner London - West,4032574000,BST & GRD FS 569,FINCHLEY ROAD,LONDON,NW3 7BN,Offices (Inc Computer Centres),203,Office General,Office,119.62,16000.0,2010-04-01 00:00:00+00:00,2010,2012-06,7200.0,VISUAL HOMES LTD,5216.29,True,2010-04-01,822.0,True,5138356,17696750.0,I,,,C,,525177.0,185790.0,51.5571156,-0.1957249,1,5210,E,2007-12-21,2015-10-08,2005-08-24,,,,,,,569.0,,,,,,,569.0,,,,,,20400045,1,,,N,osgb1000002298625019,20.0,osgb4000000030330117,3,osgb1000004205060,5,,4032574000.0,FINCHLEY ROAD,,,FINCHLEY ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 7BN,NW3 7BN,S,1H,D,,E05000132,,2012-03-19,0,CO,203.0,,POINT (525178.7265720932 185790.318292579)
6477,6477,000450056710023,E09000007,Camden,Inner London - West,4032574000,BST & GRD FS 569,FINCHLEY ROAD,LONDON,NW3 7BN,Offices (Inc Computer Centres),203,Office General,Office,119.62,16000.0,2010-04-01 00:00:00+00:00,2010,2012-09,7200.0,VISUAL HOMES LTD,5216.29,True,2010-04-01,914.0,True,5138356,17696750.0,I,,,C,,525177.0,185790.0,51.5571156,-0.1957249,1,5210,E,2007-12-21,2015-10-08,2005-08-24,,,,,,,569.0,,,,,,,569.0,,,,,,20400045,1,,,N,osgb1000002298625019,20.0,osgb4000000030330117,3,osgb1000004205060,5,,4032574000.0,FINCHLEY ROAD,,,FINCHLEY ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 7BN,NW3 7BN,S,1H,D,,E05000132,,2012-03-19,0,CO,203.0,,POINT (525178.7265720932 185790.318292579)
