,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
34088063,19866,19866,00121010010012,E09000007,Camden,Inner London - West,100,FORTUNE GREEN ROAD,LONDON,NW6 1DS,Shops,249,Retail High Street,Retail,52.1,14250.0,2010-04-01 00:00:00+00:00,2010,2015-12,6840.0,HOLBORN MANAGEMENT LTD,0.0,False,2014-08-21,498.0,True,5011738,17723406.0,CR,,525122.0,185551.0,51.5549799,-0.19660279999999997,2,HAVE AN AVO,,,100.0,,,,100.0,,,,,20400121,,N,osgb1000002298625296,17.0,osgb4000000030602935,7,osgb1000004205012,4,34088063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DS,NW6 1DS,S,1A,D,E05000132,2012-03-19,1,CS,249.0,POINT (525123.726245771 185551.3164321112),2014-08-21 00:00:00,34088063,2016-01-01,498,2010-04-01,1603 days,2101,1,498,1603,0,False,True,Fortune
34090063,19927,19927,00121010200008,E09000007,Camden,Inner London - West,102,FORTUNE GREEN ROAD,LONDON,NW6 1DS,Cafes,409,Retail Restaurants & Cafes,Retail,72.78,18000.0,2017-04-01 00:00:00+00:00,2017,2020-03,8838.0,TAKAGI UK LTD,3767.61,False,2019-11-01,152.0,True,5016930,17723407.0,C,,525123.0,185556.0,51.5550246,-0.1965866,2,,,,102.0,,,,102.0,,,,,20400121,,N,osgb1000002298625295,17.0,osgb4000000030602706,3,osgb1000004205011,5,34090063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DS,NW6 1DS,S,2L,D,E05000132,2012-03-19,2,CR1,409.0,POINT (525124.7267234097 185556.3149942672),2019-11-01 00:00:00,34090063,2020-04-01,152,2010-04-01,3501 days,3653,1,152,3501,0,False,True,Fortune
34092063,19951,19951,00121010410016,E09000007,Camden,Inner London - West,104,FORTUNE GREEN ROAD,LONDON,NW6 1DS,Shops,249,Retail High Street,Retail,30.2,13250.0,2010-04-01 00:00:00+00:00,2010,2015-03,6240.75,ABACUS ESTATES INTERNATIONAL LTD - IN LI,0.0,False,2011-01-31,1521.0,True,5026292,17723408.0,CR08,,525125.0,185562.0,51.5550781,-0.1965556,2,UNIQUE NAILS & SPA,,,104.0,,,,104.0,,,,,20400121,,N,osgb1000002298625263,20.0,osgb4000000030602706,3,osgb1000004205010,5,34092063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DS,NW6 1DS,S,1D,D,E05000132,2012-03-19,2,CS,249.0,POINT (525126.7290549759 185562.3174596452),2011-01-31 00:00:00,34092063,2015-04-01,1521,2010-04-01,305 days,1826,1,1521,305,0,False,True,Fortune
101388063,293027,293027,05006055910019,E09000007,Camden,Inner London - West,BST & GND FS 559,FINCHLEY ROAD,LONDON,NW3 7BJ,Restaurants,234,Retail Restaurants & Cafes,Retail,144.6,15750.0,2017-04-01 00:00:00+00:00,2017,2021-03,7859.25,SIMORGH RESTAURANT LIMITED,0.0,False,2017-03-23,1470.0,True,5005639,17696729.0,CR08,,525185.0,185767.0,51.5569071,-0.19561779999999998,2,HAFEZ,,,559.0,,,,559.0,,,,,20400045,,N,osgb1000002298008603,35.0,osgb5000005152466959,0,osgb1000004205066,4,101388063.0,FINCHLEY ROAD,,FINCHLEY ROAD,LONDON,CAMDEN,LONDON,NW3 7BJ,NW3 7BJ,S,2B,D,E05000132,2012-03-19,3,CR,234.0,POINT (525186.7227741639 185767.3151542055),2017-03-23 00:00:00,101388063,2021-04-01,1470,2010-04-01,2548 days,4018,0,1470,2548,0,False,True,Fortune
101389063,293071,293071,05006056100003,E09000007,Camden,Inner London - West,BST & GND FS 561,FINCHLEY ROAD,LONDON,NW3 7BJ,Shops,249,Retail High Street,Retail,102.07,18250.0,2017-04-01 00:00:00+00:00,2017,2021-03,9106.75,COLEVIEW LIMITED,0.0,False,2012-06-14,3213.0,True,5064376,17696732.0,CR,,525182.0,185772.0,51.556952700000004,-0.1956592,2,DESIGN SOLUTIONS,,,561.0,,,,561.0,,,,,20400045,,N,osgb1000002298625025,41.0,osgb4000000030330117,3,osgb1000004205065,3,101389063.0,FINCHLEY ROAD,,FINCHLEY ROAD,LONDON,CAMDEN,LONDON,NW3 7BJ,NW3 7BJ,S,1N,D,E05000132,2012-03-19,0,CS,249.0,POINT (525183.7278064344 185772.3153132611),2012-06-14 00:00:00,101389063,2021-04-01,3213,2010-04-01,805 days,4018,0,3213,805,0,False,True,Fortune
101390063,293094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortune
101674063,19098,19098,00121002730011,E09000007,Camden,Inner London - West,27-29,FORTUNE GREEN ROAD,LONDON,NW6 1DU,Restaurants,234,Retail Restaurants & Cafes,Retail,131.45,23500.0,2010-04-01 00:00:00+00:00,2010,2010-12,9564.5,SEVEN RESTAURANTS LTD,0.0,False,2010-09-29,94.0,True,5083808,17723435.0,CR07,,525134.0,185439.0,51.5539706,-0.19646960000000002,1,NAUTILUS FISH RESTAURANT,,27-29,,,,,27.0,,29.0,,,20400121,,N,osgb1000002298627994,16.0,osgb4000000030330120,6,osgb1000004205963,6,101674063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DU,NW6 1DU,S,1A,D,E05000132,2012-03-19,0,CR,234.0,POINT (525135.7276810538 185439.3047124757),2010-09-29 00:00:00,101674063,2011-01-01,94,2010-04-01,181 days,275,1,94,181,0,False,True,Fortune
101676063,322703,322703,00121003130014,E09000007,Camden,Inner London - West,31-35,FORTUNE GREEN ROAD,LONDON,NW6 1DU,Showrooms,251,Retail Other Superstores/ Retail Warehouses,Retail,142.6,26250.0,2011-07-18 00:00:00+00:00,2010,2013-03,11812.5,DECOR INTERIORS EUROPE LIMITED - IN LIQU,0.0,False,2012-01-18,439.0,True,5082486,17723434.0,C,,525124.0,185442.0,51.5539998,-0.19661270000000008,1,PROFICIENCY,,31-33,,,,,31.0,,33.0,,,20400121,,N,osgb1000002298627992,16.0,osgb4000000030411165,2,osgb1000004205965,6,101676063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DU,NW6 1DU,S,1D,D,E05000132,2012-03-19,0,CS7,251.0,POINT (525125.7272124271 185442.3073022058),2012-01-18 00:00:00,101676063,2013-04-01,439,2010-04-01,657 days,1096,1,439,657,0,False,True,Fortune
101694063,19307,19307,00121006410018,E09000007,Camden,Inner London - West,GND F 64,FORTUNE GREEN ROAD,LONDON,NW6 1DT,Shops,249,Retail High Street,Retail,63.4,17000.0,2017-04-01 00:00:00+00:00,2017,2019-03,8160.0,SHAFTESBURY COVENT GARDEN LTD,,False,2018-06-23,282.0,True,5051176,17723432.0,C,,525147.0,185465.0,51.5542014,-0.1962729,2,,,,64.0,,,,64.0,,,,,20400121,,N,osgb1000002298627911,16.0,osgb4000000030330120,6,osgb1000004206015,4,101694063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DT,NW6 1DT,S,1F,D,E05000132,2012-03-19,2,CS,249.0,POINT (525148.7309781449 185465.3071201599),2018-06-23 00:00:00,101694063,2019-04-01,282,2010-04-01,3005 days,3287,1,282,3005,0,False,True,Fortune
101705063,19998,19998,0012101081001A,E09000007,Camden,Inner London - West,GND F FRNT 108,FORTUNE GREEN ROAD,LONDON,NW6 1DS,Shops,249,Retail High Street,Retail,36.7,13750.0,2010-04-01 00:00:00+00:00,2010,2015-12,6600.0,FORTUNE GREEN INTERIORS LTD,0.0,False,2011-05-22,1685.0,True,5049988,54283446.0,C,,525131.0,185574.0,51.555184600000004,-0.1964649,1,OAKHILL RESIDENTIAL LTD,,,108.0,,,,108.0,,,,,20400121,,N,,,osgb4000000031138659,1,osgb1000004205008,3,101705063.0,FORTUNE GREEN ROAD,,FORTUNE GREEN ROAD,LONDON,CAMDEN,LONDON,NW6 1DS,NW6 1DS,S,4D,D,E05000132,2016-04-18,0,CS,249.0,POINT (525132.724648159 185574.3158488165),2011-05-22 00:00:00,101705063,2016-01-01,1685,2010-04-01,416 days,2101,1,1685,416,0,False,True,Fortune
