,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
25638063,25871,25871,00184001B00002,E09000007,Camden,Inner London - West,1B,DOWNSHIRE HILL,LONDON,NW3 1NR,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,500.75,160000.0,2017-04-01 00:00:00+00:00,2017,2021-03,81920.0,NATIONAL CAR PARKS LIMITED,23558.84,True,2011-08-08,3524.0,True,5076354,17680530.0,CM02HL,,526837.0,185589.0,51.55493870000001,-0.17186479999999998,2,THE KEATS GROUP PRACTICE,,1B,,,,,1.0,B,,,,20400184,,N,osgb1000002298674066,10.0,osgb4000000030991227,2,osgb1000004339772,4,25638063.0,DOWNSHIRE HILL,,DOWNSHIRE HILL,LONDON,CAMDEN,LONDON,NW3 1NR,NW3 1NR,S,2G,D,E05000135,2012-03-19,0,MH,437.0,POINT (526838.7620297795 185589.3079796332),2011-08-08 00:00:00,25638063,2021-04-01,3524,2010-04-01,494 days,4018,0,3524,494,1,False,True,Hampstead
32905063,24639,24639,00159001009992,E09000007,Camden,Inner London - West,10,FLASK WALK,LONDON,NW3 1HE,Offices (Inc Computer Centres),203,Office General,Office,124.1,36500.0,2017-04-01 00:00:00+00:00,2017,2021-03,18213.5,CP PLUS LTD,11823.45,True,2010-04-01,4018.0,True,5087885,17680052.0,CR08,,526445.0,185756.0,51.5565274,-0.1774561,2,C P PLUS LTD,,,10.0,,,,10.0,,,,,20400159,,N,osgb1000002298675255,8.0,osgb4000000030330267,3,osgb1000004341090,4,32905063.0,FLASK WALK,,FLASK WALK,LONDON,CAMDEN,LONDON,NW3 1HE,NW3 1HE,S,2G,D,E05000135,2012-03-19,0,CO,203.0,POINT (526446.7521209888 185756.3060914302),2010-04-01 00:00:00,32905063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Hampstead
32907063,24701,24701,00159001200006,E09000007,Camden,Inner London - West,12,FLASK WALK,LONDON,NW3 1HE,Shops,249,Retail High Street,Retail,92.63,37250.0,2010-04-01 00:00:00+00:00,2010,2014-09,17544.75,MYSTICAL FAIRIES LTD,13599.48,True,2010-04-01,1644.0,True,5004953,17680056.0,C,,526448.0,185758.0,51.5565447,-0.17741210000000002,2,,,,12.0,,,,12.0,,,,,20400159,,N,,,osgb4000000030330267,3,osgb1000004341091,4,32907063.0,FLASK WALK,,FLASK WALK,LONDON,CAMDEN,LONDON,NW3 1HE,NW3 1HE,S,2X,D,E05000135,2016-12-07,1,CS,249.0,POINT (526449.7543022456 185758.3059424044),2010-04-01 00:00:00,32907063,2014-10-01,1644,2010-04-01,0 days,1644,1,1644,0,1,False,True,Hampstead
32907063,24727,24727,00159001200006,E09000007,Camden,Inner London - West,12,FLASK WALK,LONDON,NW3 1HE,Shops,249,Retail High Street,Retail,93.06,43500.0,2017-04-01 00:00:00+00:00,2017,2021-03,21706.5,AYMAR LTD,16864.25,True,2015-04-01,2192.0,True,5004953,17680056.0,C,,526448.0,185758.0,51.5565447,-0.17741210000000002,2,,,,12.0,,,,12.0,,,,,20400159,,N,,,osgb4000000030330267,3,osgb1000004341091,4,32907063.0,FLASK WALK,,FLASK WALK,LONDON,CAMDEN,LONDON,NW3 1HE,NW3 1HE,S,2X,D,E05000135,2016-12-07,1,CS,249.0,POINT (526449.7543022456 185758.3059424044),2015-04-01 00:00:00,32907063,2021-04-01,2192,2010-04-01,1826 days,4018,0,2192,1826,1,False,True,Hampstead
32912063,24389,24389,00159000410016,E09000007,Camden,Inner London - West,4,FLASK WALK,LONDON,NW3 1HE,Shops,249,Retail High Street,Retail,36.99,15500.0,2010-04-01 00:00:00+00:00,2010,2013-09,7161.0,32912063,,True,2010-04-01,,True,5016754,17680054.0,CR08,,526435.0,185745.0,51.556430799999994,-0.17760420000000002,1,HAMPSTEAD BARBERS,,,4.0,,,,4.0,,,,,20400159,,N,osgb1000002298675251,12.0,osgb4000000030330267,3,osgb1000004341086,4,32912063.0,FLASK WALK,,FLASK WALK,LONDON,CAMDEN,LONDON,NW3 1HE,NW3 1HE,S,1S,D,E05000135,2012-03-19,1,CS,249.0,POINT (526436.7533504938 185745.3078791327),2010-04-01 00:00:00,32912063,2013-10-01,1279,2010-04-01,0 days,1279,1,1279,0,1,False,True,Hampstead
32912063,24419,24419,00159000410016,E09000007,Camden,Inner London - West,4,FLASK WALK,LONDON,NW3 1HE,Shops,249,Retail High Street,Retail,36.99,20250.0,2017-04-01 00:00:00+00:00,2017,2021-03,10104.75,FEVZI LIMITED,3237.16,True,2013-10-18,2722.0,True,5016754,17680054.0,CR08,,526435.0,185745.0,51.556430799999994,-0.17760420000000002,1,HAMPSTEAD BARBERS,,,4.0,,,,4.0,,,,,20400159,,N,osgb1000002298675251,12.0,osgb4000000030330267,3,osgb1000004341086,4,32912063.0,FLASK WALK,,FLASK WALK,LONDON,CAMDEN,LONDON,NW3 1HE,NW3 1HE,S,1S,D,E05000135,2012-03-19,1,CS,249.0,POINT (526436.7533504938 185745.3078791327),2013-10-18 00:00:00,32912063,2021-04-01,2722,2010-04-01,1296 days,4018,0,2722,1296,1,False,True,Hampstead
32945063,24815,24815,00159001500009,E09000007,Camden,Inner London - West,15,FLASK WALK,LONDON,NW3 1HJ,Shops,249,Retail High Street,Retail,37.7,26750.0,2017-04-01 00:00:00+00:00,2017,2021-03,13348.25,32945063,,True,2017-04-01,,True,5055447,17680108.0,CR,,526444.0,185775.0,51.5566984,-0.17746370000000006,1,UNIQUE TAILORING,,,15.0,,,,15.0,,,,,20400159,,N,osgb1000002298945326,7.0,osgb4000000030455447,6,osgb1000004341036,3,32945063.0,FLASK WALK,,FLASK WALK,LONDON,CAMDEN,LONDON,NW3 1HJ,NW3 1HJ,S,1E,D,E05000135,2012-03-19,1,CS,249.0,POINT (526445.751433128 185775.3090119929),2017-04-01 00:00:00,32945063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Hampstead
32948063,24439,24439,0015900053001B,E09000007,Camden,Inner London - West,5,FLASK WALK,LONDON,NW3 1HJ,Shops,249,Retail High Street,Retail,26.0,23750.0,2010-04-01 00:00:00+00:00,2010,2015-03,11186.25,MAYFAIR JEWELLERS LIMITED,7884.93,True,2010-04-01,1826.0,True,5109715,17680112.0,C,,526429.0,185760.0,51.556567,-0.1776853,1,,,,5.0,,,,5.0,,,,,20400159,,N,osgb1000002298875392,12.0,osgb4000000030330267,3,osgb1000004341032,6,32948063.0,FLASK WALK,,FLASK WALK,LONDON,CAMDEN,LONDON,NW3 1HJ,NW3 1HJ,S,1P,D,E05000135,2012-03-19,0,CS,249.0,POINT (526430.7540398915 185760.3139199012),2010-04-01 00:00:00,32948063,2015-04-01,1826,2010-04-01,0 days,1826,1,1826,0,1,False,True,Hampstead
32948063,24463,24463,0015900053001B,E09000007,Camden,Inner London - West,5,FLASK WALK,LONDON,NW3 1HJ,Shops,249,Retail High Street,Retail,22.39,27750.0,2017-04-01 00:00:00+00:00,2017,2021-03,13847.25,TOKO JEWELLERY LIMITED,4652.46,True,2015-10-12,1998.0,True,5109715,17680112.0,C,,526429.0,185760.0,51.556567,-0.1776853,1,,,,5.0,,,,5.0,,,,,20400159,,N,osgb1000002298875392,12.0,osgb4000000030330267,3,osgb1000004341032,6,32948063.0,FLASK WALK,,FLASK WALK,LONDON,CAMDEN,LONDON,NW3 1HJ,NW3 1HJ,S,1P,D,E05000135,2012-03-19,0,CS,249.0,POINT (526430.7540398915 185760.3139199012),2015-10-12 00:00:00,32948063,2021-04-01,1998,2010-04-01,2020 days,4018,0,1998,2020,1,False,True,Hampstead
41376063,22527,22527,00153004300009,E09000007,Camden,Inner London - West,43,HAMPSTEAD HIGH STREET,LONDON,NW3 1QG,Shops,249,Retail High Street,Retail,57.28,118000.0,2017-04-01 00:00:00+00:00,2017,2021-03,60416.0,PAUL UK LTD,31878.0,True,2010-04-01,4018.0,True,5012073,17680696.0,CR08,,526418.0,185745.0,51.5564346,-0.1778493,1,PAULS,,,43.0,,,,43.0,,,,,20400153,,N,osgb1000002298675212,10.0,osgb4000000030330267,3,osgb1000004341029,3,41376063.0,HAMPSTEAD HIGH STREET,,HAMPSTEAD HIGH STREET,LONDON,CAMDEN,LONDON,NW3 1QG,NW3 1QG,S,1B,D,E05000135,2012-03-19,1,CS,249.0,POINT (526419.7522221874 185745.3071423872),2010-04-01 00:00:00,41376063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Hampstead
