,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
25638063,25832,25832,00184001B00002,E09000007,Camden,Inner London - West,1B,DOWNSHIRE HILL,LONDON,NW3 1NR,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,500.75,137000.0,2010-04-01 00:00:00+00:00,2010,2011-06,59321.0,NATIONAL CAR PARKS LIMITED,29687.43,False,2010-04-01,456.0,True,5076354,17680530.0,CM02HL,,526837.0,185589.0,51.55493870000001,-0.17186479999999998,2,THE KEATS GROUP PRACTICE,,1B,,,,,1.0,B,,,,20400184,,N,osgb1000002298674066,10.0,osgb4000000030991227,2,osgb1000004339772,4,25638063.0,DOWNSHIRE HILL,,DOWNSHIRE HILL,LONDON,CAMDEN,LONDON,NW3 1NR,NW3 1NR,S,2G,D,E05000135,2012-03-19,0,MH,437.0,POINT (526838.7620297795 185589.3079796332),2010-04-01 00:00:00,25638063,2011-07-01,456,2010-04-01,0 days,456,1,456,0,0,False,True,Hampstead
32907063,24703,24703,00159001200006,E09000007,Camden,Inner London - West,12,FLASK WALK,LONDON,NW3 1HE,Shops,249,Retail High Street,Retail,92.63,37250.0,2010-04-01 00:00:00+00:00,2010,2015-03,17544.75,F. SALMON LIMITED,0.0,False,2014-10-27,156.0,True,5004953,17680056.0,C,,526448.0,185758.0,51.5565447,-0.17741210000000002,2,,,,12.0,,,,12.0,,,,,20400159,,N,,,osgb4000000030330267,3,osgb1000004341091,4,32907063.0,FLASK WALK,,FLASK WALK,LONDON,CAMDEN,LONDON,NW3 1HE,NW3 1HE,S,2X,D,E05000135,2016-12-07,1,CS,249.0,POINT (526449.7543022456 185758.3059424044),2014-10-27 00:00:00,32907063,2015-04-01,156,2010-04-01,1670 days,1826,1,156,1670,0,False,True,Hampstead
32948063,24441,24441,0015900053001B,E09000007,Camden,Inner London - West,5,FLASK WALK,LONDON,NW3 1HJ,Shops,249,Retail High Street,Retail,26.0,23750.0,2010-04-01 00:00:00+00:00,2010,2015-09,11400.0,SYNDEX (LONDON) LIMITED,0.0,False,2015-04-05,179.0,True,5109715,17680112.0,C,,526429.0,185760.0,51.556567,-0.1776853,1,,,,5.0,,,,5.0,,,,,20400159,,N,osgb1000002298875392,12.0,osgb4000000030330267,3,osgb1000004341032,6,32948063.0,FLASK WALK,,FLASK WALK,LONDON,CAMDEN,LONDON,NW3 1HJ,NW3 1HJ,S,1P,D,E05000135,2012-03-19,0,CS,249.0,POINT (526430.7540398915 185760.3139199012),2015-04-05 00:00:00,32948063,2015-10-01,179,2010-04-01,1830 days,2009,1,179,1830,0,False,True,Hampstead
41419063,23158,23158,00153007100001,E09000007,Camden,Inner London - West,71,HAMPSTEAD HIGH STREET,LONDON,NW3 1QP,Restaurants,234,Retail Restaurants & Cafes,Retail,41.42,49500.0,2010-04-01 00:00:00+00:00,2010,2013-12,22869.0,RINALDO CLUB UK LIMITED,0.0,False,2013-08-01,153.0,True,5057916,17680744.0,CR08,,526444.0,185684.0,51.5558806,-0.1774964,2,FISH CAFE,,,71.0,,,,71.0,,,,,20400153,,N,osgb1000002298675400,14.0,osgb4000000030330264,4,osgb1000004341068,5,41419063.0,HAMPSTEAD HIGH STREET,,HAMPSTEAD HIGH STREET,LONDON,CAMDEN,LONDON,NW3 1QP,NW3 1QP,S,1Q,D,E05000135,2012-03-19,0,CR,234.0,POINT (526445.7507561912 185684.3091138948),2013-08-01 00:00:00,41419063,2014-01-01,153,2010-04-01,1218 days,1371,1,153,1218,0,False,True,Hampstead
41422063,23333,23333,0015300751003B,E09000007,Camden,Inner London - West,75,HAMPSTEAD HIGH STREET,LONDON,NW3 1QX,Shops,249,Retail High Street,Retail,81.2,68000.0,2009-11-06 00:00:00+00:00,2010,2013-09,32028.0,GENERAL MILLS BERWICK LIMITED,0.0,False,2013-03-22,193.0,True,5007395,17680783.0,C,,526465.0,185669.0,51.5557411,-0.177199,2,,,,75.0,,,,75.0,,,,,20400153,,N,osgb1000002298675496,11.0,osgb4000000030330264,4,osgb1000004341300,5,41422063.0,HAMPSTEAD HIGH STREET,,HAMPSTEAD HIGH STREET,LONDON,CAMDEN,LONDON,NW3 1QX,NW3 1QX,S,1D,D,E05000135,2012-03-19,0,CS,249.0,POINT (526466.753710634 185669.3097769598),2013-03-22 00:00:00,41422063,2013-10-01,193,2010-04-01,1086 days,1279,1,193,1086,0,False,True,Hampstead
41429063,341951,341951,0015300820000B,E09000007,Camden,Inner London - West,82,HAMPSTEAD HIGH STREET,LONDON,NW3 1RE,Restaurants,234,Retail Restaurants & Cafes,Retail,160.5,111000.0,2013-01-25 00:00:00+00:00,2010,2016-03,54723.0,MANISCO LIMITED,0.0,False,2015-11-22,131.0,True,5087706,17680865.0,CR08,,526533.0,185641.0,51.555474200000006,-0.17622870000000002,2,,,,82.0,,,,82.0,,,,,20400153,,N,osgb1000002298674513,17.0,osgb4000000030330271,3,osgb1000004339977,4,41429063.0,HAMPSTEAD HIGH STREET,,HAMPSTEAD HIGH STREET,LONDON,CAMDEN,LONDON,NW3 1RE,NW3 1RE,S,1R,D,E05000135,2012-03-19,1,CR,234.0,POINT (526534.7570623741 185641.3059417485),2015-11-22 00:00:00,41429063,2016-04-01,131,2010-04-01,2061 days,2192,1,131,2061,0,False,True,Hampstead
41452063,21607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hampstead
41472063,21955,21955,00153002210018,E09000007,Camden,Inner London - West,22,HAMPSTEAD HIGH STREET,LONDON,NW3 1QA,Shops,249,Retail High Street,Retail,46.1,39250.0,2017-04-01 00:00:00+00:00,2017,2021-03,19585.75,GM PROPERTY LTD,0.0,False,2019-09-27,552.0,True,5030331,17680664.0,CR08,,526534.0,185679.0,51.5558155,-0.17620070000000002,1,JADE,,,22.0,,,,22.0,,,,,20400153,,N,osgb1000002298674568,10.0,osgb4000000030139291,5,osgb1000004340169,4,41472063.0,HAMPSTEAD HIGH STREET,,HAMPSTEAD HIGH STREET,LONDON,CAMDEN,LONDON,NW3 1QA,NW3 1QA,S,1A,D,E05000135,2012-03-19,0,CS,249.0,POINT (526535.7516928819 185679.308583379),2019-09-27 00:00:00,41472063,2021-04-01,552,2010-04-01,3466 days,4018,0,552,3466,0,False,True,Hampstead
41481063,22114,22114,001530028A0032,E09000007,Camden,Inner London - West,28A,HAMPSTEAD HIGH STREET,LONDON,NW3 1QA,Shops,249,Retail High Street,Retail,122.21,77000.0,2010-04-01 00:00:00+00:00,2010,2016-12,38269.0,CARPHONE WAREHOUSE LTD,0.0,False,2016-07-24,161.0,True,5081909,17680658.0,CR,,526507.0,185692.0,51.555938399999995,-0.1765852,1,,,28A,,,,,28.0,A,,,,20400153,,N,osgb1000002298674555,12.0,osgb4000000030330252,3,osgb1000004340155,5,41481063.0,HAMPSTEAD HIGH STREET,,HAMPSTEAD HIGH STREET,LONDON,CAMDEN,LONDON,NW3 1QA,NW3 1QA,S,1X,D,E05000135,2012-03-19,3,CS,249.0,POINT (526508.7566539253 185692.3111052279),2016-07-24 00:00:00,41481063,2017-01-01,161,2010-04-01,2306 days,2467,1,161,2306,0,False,True,Hampstead
44990063,11879,11879,00069006330108,E09000007,Camden,Inner London - West,63-67,HEATH STREET,LONDON,NW3 6UG,Shops,249,Retail High Street,Retail,216.45,126000.0,2017-04-01 00:00:00+00:00,2017,2021-03,64512.0,ANGORA (2009) LIMITED - POST ADMINISTRATION,0.0,False,2011-08-12,3520.0,True,5082315,17696157.0,CR08,,526370.0,185824.0,51.5571553,-0.178513,1,GARY INGHAM HAIRDRESSING LTD,,63-67,,,,,63.0,,67.0,,,20499121,,N,osgb1000002298884409,16.0,osgb4000000030223883,4,osgb1000004340735,4,44990063.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 6UG,NW3 6UG,S,1X,D,E05000135,2012-03-19,0,CS,249.0,POINT (526371.7478654605 185824.30657204),2011-08-12 00:00:00,44990063,2021-04-01,3520,2010-04-01,498 days,4018,0,3520,498,0,False,True,Hampstead
