,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
43630063,46900,46900,00301019710006,E09000007,Camden,Inner London - West,197,HAVERSTOCK HILL,LONDON,NW3 4QG,Shops,249,Retail High Street,Retail,104.14,52500.0,2017-04-01 00:00:00+00:00,2017,2021-03,26880.0,REVITAL LIMITED,18464.42,True,2010-04-01,4018.0,True,5048916,17690273.0,CR08,,527284.0,185120.0,51.5506233,-0.16559029999999994,1,REVITAL,,,197.0,,,,197.0,,,,,20400301,,N,osgb1000002298731409,20.0,osgb4000000030223544,3,osgb1000005166295,4,43630063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 4QG,NW3 4QG,S,1E,D,E05000128,2012-03-19,0,CS,249.0,POINT (527285.766467465 185120.305543508),2010-04-01 00:00:00,43630063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Haverstock
43661063,45783,45783,0030101550000A,E09000007,Camden,Inner London - West,155,HAVERSTOCK HILL,LONDON,NW3 4QT,Shops,249,Retail High Street,Retail,51.33,29500.0,2010-04-01 00:00:00+00:00,2010,2016-12,14278.0,EFFECTLEASE LTD,10877.49,True,2010-04-01,2467.0,True,5035049,17690343.0,CR02,,527385.0,185021.0,51.54971079999999,-0.16417020000000002,1,FARIMA PERRY FLORALS & EVENTS LTD,,,155.0,,,,155.0,,,,,20400301,,N,osgb1000002298889672,20.0,osgb4000000030223545,3,osgb1000005166196,3,43661063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 4QT,NW3 4QT,S,1Z,D,E05000128,2012-03-19,0,CS,249.0,POINT (527386.7685453553 185021.3013777477),2010-04-01 00:00:00,43661063,2017-01-01,2467,2010-04-01,0 days,2467,1,2467,0,1,False,True,Haverstock
43661063,45800,45800,0030101550000A,E09000007,Camden,Inner London - West,155,HAVERSTOCK HILL,LONDON,NW3 4QT,Shops,249,Retail High Street,Retail,51.33,33000.0,2017-04-01 00:00:00+00:00,2017,2021-03,16467.0,FARIMA PERRY FLORALS AND EVENTS LTD,15840.0,True,2018-04-01,1096.0,True,5035049,17690343.0,CR02,,527385.0,185021.0,51.54971079999999,-0.16417020000000002,1,FARIMA PERRY FLORALS & EVENTS LTD,,,155.0,,,,155.0,,,,,20400301,,N,osgb1000002298889672,20.0,osgb4000000030223545,3,osgb1000005166196,3,43661063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 4QT,NW3 4QT,S,1Z,D,E05000128,2012-03-19,0,CS,249.0,POINT (527386.7685453553 185021.3013777477),2018-04-01 00:00:00,43661063,2021-04-01,1096,2010-04-01,2922 days,4018,0,1096,2922,1,False,True,Haverstock
43663063,45888,45888,00301015700001,E09000007,Camden,Inner London - West,157,HAVERSTOCK HILL,LONDON,NW3 4QT,Restaurants,234,Retail Restaurants & Cafes,Retail,39.1,35000.0,2017-04-01 00:00:00+00:00,2017,2021-03,17465.0,43663063,,True,2017-04-01,,True,5024676,17690336.0,CR07,,527381.0,185024.0,51.549738700000006,-0.16422679999999998,1,CHEZ NOUS RESTAURANT,,,157.0,,,,157.0,,,,,20400301,,N,osgb1000002298731654,16.0,osgb4000000030223545,3,osgb1000005166195,3,43663063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 4QT,NW3 4QT,S,1D,D,E05000128,2012-03-19,0,CR,234.0,POINT (527382.7665329224 185024.3055015795),2017-04-01 00:00:00,43663063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Haverstock
43665063,45932,45932,00301015900003,E09000007,Camden,Inner London - West,159,HAVERSTOCK HILL,LONDON,NW3 4QT,Shops,249,Retail High Street,Retail,178.95,37250.0,2017-04-01 00:00:00+00:00,2017,2021-03,18587.75,FRAME FACTORY TEN LTD,12372.75,True,2010-04-01,4018.0,True,5011065,17690339.0,CR,,527378.0,185027.0,51.549766299999995,-0.1642689,1,FRAME FACTORY,,,159.0,,,,159.0,,,,,20400301,,N,osgb1000002298731647,16.0,osgb4000000030223545,3,osgb1000005166194,3,43665063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 4QT,NW3 4QT,S,1E,D,E05000128,2012-03-19,0,CS,249.0,POINT (527379.7706636779 185027.3014965784),2010-04-01 00:00:00,43665063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Haverstock
43667063,45976,45976,00301016100004,E09000007,Camden,Inner London - West,161,HAVERSTOCK HILL,LONDON,NW3 4QT,Shops,249,Retail High Street,Retail,47.33,31500.0,2017-04-01 00:00:00+00:00,2017,2021-03,15718.5,SUNDALE PROPERTIES LTD,10601.96,True,2010-04-01,4018.0,True,5066320,17690341.0,CR08,,527374.0,185030.0,51.5497942,-0.1643255,1,GREENE & CO,,,161.0,,,,161.0,,,,,20400301,,N,osgb1000002298731589,18.0,osgb4000000030223545,3,osgb1000005166193,4,43667063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 4QT,NW3 4QT,S,1F,D,E05000128,2012-03-19,0,CS,249.0,POINT (527375.7686601032 185030.3056258142),2010-04-01 00:00:00,43667063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Haverstock
43669063,46020,46020,00301016300006,E09000007,Camden,Inner London - West,163,HAVERSTOCK HILL,LONDON,NW3 4QT,Shops,249,Retail High Street,Retail,41.0,28750.0,2017-04-01 00:00:00+00:00,2017,2021-03,14346.25,43669063,,True,2017-04-01,,True,5057309,17690344.0,CR08,,527372.0,185034.0,51.54983060000001,-0.1643529,2,SWANS DRY CLEANERS,,,163.0,,,,163.0,,,,,20400301,,N,osgb1000002298731588,17.0,osgb4000000030223545,3,osgb1000005166192,4,43669063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 4QT,NW3 4QT,S,1G,D,E05000128,2012-03-19,0,CS,249.0,POINT (527373.7674062637 185034.3058021572),2017-04-01 00:00:00,43669063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Haverstock
43685063,46111,46111,0030101670000A,E09000007,Camden,Inner London - West,167,HAVERSTOCK HILL,LONDON,NW3 4QT,Shops,249,Retail High Street,Retail,94.13,38500.0,2010-03-09 00:00:00+00:00,2010,2010-12,15669.5,43685063,,True,2010-04-01,,True,5039467,17690342.0,CR08,,527359.0,185039.0,51.5498785,-0.1645385,1,SAPORI,,,167.0,,,,167.0,,,,,20400301,,N,osgb1000002298731508,11.0,osgb4000000030097630,3,osgb1000005166190,4,43685063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 4QT,NW3 4QT,S,1Y,D,E05000128,2012-03-19,0,CS,249.0,POINT (527360.7659065831 185039.3095984145),2010-04-01,43685063,2011-01-01,275,2010-04-01,0 days,275,1,275,0,1,False,True,Haverstock
43685063,46120,46120,0030101670000A,E09000007,Camden,Inner London - West,167,HAVERSTOCK HILL,LONDON,NW3 4QT,Shops,249,Retail High Street,Retail,94.13,38500.0,2010-03-09 00:00:00+00:00,2010,2013-03,17325.0,RITABELLA LIMITED,2092.2,True,2011-02-07,784.0,True,5039467,17690342.0,CR08,,527359.0,185039.0,51.5498785,-0.1645385,1,SAPORI,,,167.0,,,,167.0,,,,,20400301,,N,osgb1000002298731508,11.0,osgb4000000030097630,3,osgb1000005166190,4,43685063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 4QT,NW3 4QT,S,1Y,D,E05000128,2012-03-19,0,CS,249.0,POINT (527360.7659065831 185039.3095984145),2011-02-07 00:00:00,43685063,2013-04-01,784,2010-04-01,312 days,1096,1,784,312,1,False,True,Haverstock
43685063,46152,46152,0030101670000A,E09000007,Camden,Inner London - West,167,HAVERSTOCK HILL,LONDON,NW3 4QT,Shops,249,Retail High Street,Retail,94.13,43000.0,2017-04-01 00:00:00+00:00,2017,2021-03,21457.0,GAIL'S LIMITED,13066.06,True,2013-07-12,2820.0,True,5039467,17690342.0,CR08,,527359.0,185039.0,51.5498785,-0.1645385,1,SAPORI,,,167.0,,,,167.0,,,,,20400301,,N,osgb1000002298731508,11.0,osgb4000000030097630,3,osgb1000005166190,4,43685063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 4QT,NW3 4QT,S,1Y,D,E05000128,2012-03-19,0,CS,249.0,POINT (527360.7659065831 185039.3095984145),2013-07-12 00:00:00,43685063,2021-04-01,2820,2010-04-01,1198 days,4018,0,2820,1198,1,False,True,Haverstock
