,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
43661063,45787,45787,0030101550000A,E09000007,Camden,Inner London - West,155,HAVERSTOCK HILL,LONDON,NW3 4QT,Shops,249,Retail High Street,Retail,51.33,33000.0,2017-04-01 00:00:00+00:00,2017,2017-12,15378.0,FARIMA PERRY FLORALS AND EVENTS LTD,0.0,False,2017-01-16,350.0,True,5035049,17690343.0,CR02,,527385.0,185021.0,51.54971079999999,-0.16417020000000002,1,FARIMA PERRY FLORALS & EVENTS LTD,,,155.0,,,,155.0,,,,,20400301,,N,osgb1000002298889672,20.0,osgb4000000030223545,3,osgb1000005166196,3,43661063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 4QT,NW3 4QT,S,1Z,D,E05000128,2012-03-19,0,CS,249.0,POINT (527386.7685453553 185021.3013777477),2017-01-16 00:00:00,43661063,2018-01-01,350,2010-04-01,2482 days,2832,1,350,2482,0,False,True,Haverstock
43685063,46121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haverstock
43820063,48225,48225,00301021600005,E09000007,Camden,Inner London - West,216,HAVERSTOCK HILL,LONDON,NW3 2AE,Restaurants,234,Retail Restaurants & Cafes,Retail,267.97,71000.0,2010-04-01 00:00:00+00:00,2010,2011-06,30743.0,PREZZO PLC,0.0,False,2011-05-06,56.0,True,5041862,17681496.0,C,,527289.0,185191.0,51.5512602,-0.1654925,2,,,,216.0,,,,216.0,,,,,20400301,,N,osgb1000002298731352,15.0,osgb4000000030223559,7,osgb1000005166089,5,43820063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 2AE,NW3 2AE,S,1D,D,E05000135,2012-03-19,0,CR,234.0,POINT (527290.7705875784 185191.3018650665),2011-05-06 00:00:00,43820063,2011-07-01,56,2010-04-01,400 days,456,1,56,400,0,False,True,Haverstock
43838063,48292,48292,00301024000004,E09000007,Camden,Inner London - West,240,HAVERSTOCK HILL,LONDON,NW3 2AE,Restaurants,234,Retail Restaurants & Cafes,Retail,254.1,66500.0,2010-04-01 00:00:00+00:00,2010,2017-03,33050.5,TRUSCOTT CELLAR LIMITED - IN LIQUIDATION,0.0,False,2016-08-24,220.0,True,5016172,17681508.0,CR08,,527187.0,185288.0,51.5521549,-0.1669278,2,THE TRUSCOTT CELLAR,,,240.0,,,,240.0,,,,,20400301,,N,osgb1000002298730982,19.0,osgb4000000030223546,2,osgb1000005166076,4,43838063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 2AE,NW3 2AE,S,1J,D,E05000135,2012-03-19,0,CR,234.0,POINT (527188.7694497834 185288.3020306615),2016-08-24 00:00:00,43838063,2017-04-01,220,2010-04-01,2337 days,2557,1,220,2337,0,False,True,Haverstock
43866063,47168,47168,00301020400005,E09000007,Camden,Inner London - West,204,HAVERSTOCK HILL,LONDON,NW3 2AG,Shops,249,Retail High Street,Retail,79.09,44250.0,2010-04-01 00:00:00+00:00,2010,2011-03,18009.75,PRIMETIME (FRANCHISE) LTD - IN LIQUIDATI,0.0,False,2010-11-23,129.0,True,5043822,17681560.0,C,,527321.0,185156.0,51.5509385,-0.1650439,2,,,,204.0,,,,204.0,,,,,20400301,,N,osgb1000002298731371,16.0,osgb4000000030990674,3,osgb1000005166105,4,43866063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 2AG,NW3 2AG,S,1F,D,E05000135,2012-03-19,0,CS,249.0,POINT (527322.7689652474 185156.3074312468),2010-11-23 00:00:00,43866063,2011-04-01,129,2010-04-01,236 days,365,1,129,236,0,False,True,Haverstock
43868063,47265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haverstock
104506063,45698,45698,00301014720007,E09000007,Camden,Inner London - West,147-151,HAVERSTOCK HILL,LONDON,NW3 4RU,Banks/Insurance/Building Society Offices & Other A2 Uses,21,Retail Financial & Professional Services,Retail,219.9,128000.0,2017-04-01 00:00:00+00:00,2017,2017-09,61312.0,HSBC BANK PLC,0.0,False,2014-06-13,1206.0,True,5023851,55921314.0,CR01,,527397.0,185010.0,51.5496093,-0.1640012,1,CHESNEYS,,,147.0,,,,147.0,,151.0,,,20400301,,N,,,osgb4000000030990444,1,osgb1000042511241,8,104506063.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 4RU,NW3 4RU,S,2N,D,E05000128,2019-11-08,0,CS,249.0,POINT (527398.7688303592 185010.3081898174),2014-06-13 00:00:00,104506063,2017-10-01,1206,2010-04-01,1534 days,2740,1,1206,1534,0,False,True,Haverstock
104549063,47510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haverstock
202394000,46713,46713,00301019310036,E09000007,Camden,Inner London - West,196-198,HAVERSTOCK HILL,LONDON,NW3 2AG,Restaurants,234,Retail Restaurants & Cafes,Retail,198.0,120000.0,2017-04-01 00:00:00+00:00,2017,2018-06,59160.0,CL14 LIMITED,0.0,False,2017-04-19,438.0,True,5109866,17681567.0,C,,527342.0,185133.0,51.5507271,-0.1647495,2,,,196-198,,,,,196.0,,198.0,,,20400301,,N,osgb1000002298731384,16.0,osgb4000000030223544,3,osgb1000005166111,5,202394000.0,HAVERSTOCK HILL,,HAVERSTOCK HILL,LONDON,CAMDEN,LONDON,NW3 2AG,NW3 2AG,S,1A,D,E05000135,2012-03-19,0,CR,234.0,POINT (527343.7693628133 185133.3108279845),2017-04-19 00:00:00,202394000,2018-07-01,438,2010-04-01,2575 days,3013,1,438,2575,0,False,True,Haverstock
2343528000,47793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haverstock
