,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
15426063,86197,86197,00535007530011,E09000007,Camden,Inner London - West,75A,CAMDEN ROAD,LONDON,NW1 9EU,Shops,249,Retail High Street,Retail,19.4,7700.0,2010-04-01 00:00:00+00:00,2010,2012-06,3465.0,LBC - D4140JA100,5278.5,True,2010-04-01,822.0,True,5078163,17653585.0,C,,529224.0,184272.0,51.542562,-0.1379369,2,THE TWINS COFFEE SHOP,,75A,,,,,75.0,A,,,,20400535,,N,osgb1000002298833299,24.0,osgb4000000030355197,2,osgb1000005437148,5,15426063.0,CAMDEN ROAD,,CAMDEN ROAD,LONDON,CAMDEN,LONDON,NW1 9EU,NW1 9EU,S,2U,D,E05000131,2012-03-19,0,CS,249.0,POINT (529225.7882547408 184272.2985950735),2010-04-01 00:00:00,15426063,2012-07-01,822,2010-04-01,0 days,822,1,822,0,1,False,True,Kentish
15426063,86232,86232,00535007530011,E09000007,Camden,Inner London - West,75A,CAMDEN ROAD,LONDON,NW1 9EU,Shops,249,Retail High Street,Retail,19.4,11500.0,2017-04-01 00:00:00+00:00,2017,2021-03,5738.5,LBC D4140JA100,0.0,True,2013-04-01,2922.0,True,5078163,17653585.0,C,,529224.0,184272.0,51.542562,-0.1379369,2,THE TWINS COFFEE SHOP,,75A,,,,,75.0,A,,,,20400535,,N,osgb1000002298833299,24.0,osgb4000000030355197,2,osgb1000005437148,5,15426063.0,CAMDEN ROAD,,CAMDEN ROAD,LONDON,CAMDEN,LONDON,NW1 9EU,NW1 9EU,S,2U,D,E05000131,2012-03-19,0,CS,249.0,POINT (529225.7882547408 184272.2985950735),2013-04-01 00:00:00,15426063,2021-04-01,2922,2010-04-01,1096 days,4018,0,2922,1096,1,False,True,Kentish
15493063,346051,346051,00535012610015,E09000007,Camden,Inner London - West,126,CAMDEN ROAD,LONDON,NW1 9EE,Shops,249,Retail High Street,Retail,42.2,9300.0,2013-04-10 00:00:00+00:00,2010,2014-09,4380.3,15493063,,True,2013-04-10,,True,5055818,55483897.0,C,,529244.0,184246.0,51.5423238,-0.1376582,2,LDN CBD,,,126.0,,,,126.0,,,,,20400535,,N,,,osgb4000000030355197,2,osgb1000005437199,5,15493063.0,CAMDEN ROAD,,CAMDEN ROAD,LONDON,CAMDEN,LONDON,NW1 9EE,NW1 9EE,S,2H,D,E05000131,2018-11-16,3,CS,249.0,POINT (529245.7881800467 184246.301719977),2013-04-10 00:00:00,15493063,2014-10-01,539,2010-04-01,1105 days,1644,1,539,1105,1,False,True,Kentish
15493063,346077,346077,00535012610015,E09000007,Camden,Inner London - West,126,CAMDEN ROAD,LONDON,NW1 9EE,Shops,249,Retail High Street,Retail,42.2,14000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6986.0,CRYSTAL TEAM LTD,0.0,True,2020-04-01,365.0,True,5055818,55483897.0,C,,529244.0,184246.0,51.5423238,-0.1376582,2,LDN CBD,,,126.0,,,,126.0,,,,,20400535,,N,,,osgb4000000030355197,2,osgb1000005437199,5,15493063.0,CAMDEN ROAD,,CAMDEN ROAD,LONDON,CAMDEN,LONDON,NW1 9EE,NW1 9EE,S,2H,D,E05000131,2018-11-16,3,CS,249.0,POINT (529245.7881800467 184246.301719977),2020-04-01 00:00:00,15493063,2021-04-01,365,2010-04-01,3653 days,4018,0,365,3653,1,False,True,Kentish
15496063,86804,86804,0053501280000B,E09000007,Camden,Inner London - West,128,CAMDEN ROAD,LONDON,NW1 9EE,Shops,249,Retail High Street,Retail,72.8,17250.0,2017-04-01 00:00:00+00:00,2017,2021-03,8607.75,15496063,,True,2017-04-01,,True,5027628,17653448.0,CR,,529250.0,184250.0,51.5423583,-0.1375703,2,JAYS NEWSAGENTS,,,128.0,,,,128.0,,,,,20400535,,N,osgb1000002298833374,11.0,osgb4000000030250509,2,osgb1000005437200,7,15496063.0,CAMDEN ROAD,,CAMDEN ROAD,LONDON,CAMDEN,LONDON,NW1 9EE,NW1 9EE,S,1N,D,E05000131,2012-03-19,0,CS,249.0,POINT (529251.7856842681 184250.2934381205),2017-04-01 00:00:00,15496063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Kentish
49462063,112045,112045,0065200051999B,E09000007,Camden,Inner London - West,5,JEFFREYS PLACE,LONDON,NW1 9PP,Offices (Inc Computer Centres),203,Office General,Office,26.0,11500.0,2017-04-01 00:00:00+00:00,2017,2018-09,5520.0,DISABILITY ADAPTATION,657.03,True,2010-04-01,3105.0,True,5063389,17654506.0,C,,529070.0,184285.0,51.542714000000004,-0.14015170000000002,1,,,,5.0,,,,5.0,,,,,20400652,,N,osgb1000002298834415,9.0,osgb4000000030250507,2,osgb1000005437081,4,49462063.0,JEFFREY'S PLACE,,JEFFREYS PLACE,LONDON,CAMDEN,LONDON,NW1 9PP,NW1 9PP,S,1R,D,E05000130,2012-03-19,0,CO,203.0,POINT (529071.7801758501 184285.2947340261),2010-04-01 00:00:00,49462063,2018-10-01,3105,2010-04-01,0 days,3105,1,3105,0,1,False,True,Kentish
75247063,82763,82763,00512020110016,E09000007,Camden,Inner London - West,201,ROYAL COLLEGE STREET,LONDON,NW1 0SG,Shops,249,Retail High Street,Retail,30.9,8300.0,2010-04-01 00:00:00+00:00,2010,2011-12,3535.8,75247063,,True,2010-04-01,,True,5070925,17632331.0,CR08,,529228.0,184107.0,51.5410782,-0.13793989999999998,2,TOGUZ LTD,,,201.0,,,,201.0,,,,,20400512,,N,osgb1000002298833737,19.0,osgb4000000030355193,2,osgb1000005437320,5,75247063.0,ROYAL COLLEGE STREET,,ROYAL COLLEGE STREET,LONDON,CAMDEN,LONDON,NW1 0SG,NW1 0SG,S,1U,D,E05000130,2012-03-19,0,CS,249.0,POINT (529229.7802553794 184107.2885801889),2010-04-01 00:00:00,75247063,2012-01-01,640,2010-04-01,0 days,640,1,640,0,1,False,True,Kentish
75247063,82800,82800,00512020110016,E09000007,Camden,Inner London - West,201,ROYAL COLLEGE STREET,LONDON,NW1 0SG,Shops,249,Retail High Street,Retail,30.9,15750.0,2017-04-01 00:00:00+00:00,2017,2021-03,7859.25,DOGUSLAR LTD,114.79,True,2012-03-01,3318.0,True,5070925,17632331.0,CR08,,529228.0,184107.0,51.5410782,-0.13793989999999998,2,TOGUZ LTD,,,201.0,,,,201.0,,,,,20400512,,N,osgb1000002298833737,19.0,osgb4000000030355193,2,osgb1000005437320,5,75247063.0,ROYAL COLLEGE STREET,,ROYAL COLLEGE STREET,LONDON,CAMDEN,LONDON,NW1 0SG,NW1 0SG,S,1U,D,E05000130,2012-03-19,0,CS,249.0,POINT (529229.7802553794 184107.2885801889),2012-03-01 00:00:00,75247063,2021-04-01,3318,2010-04-01,700 days,4018,0,3318,700,1,False,True,Kentish
75285063,81964,81964,00512012600003,E09000007,Camden,Inner London - West,126,ROYAL COLLEGE STREET,LONDON,NW1 0TA,Shops,249,Retail High Street,Retail,122.4,16500.0,2017-04-01 00:00:00+00:00,2017,2021-03,8233.5,NOON (RESTAURANTS) LTD,4255.13,True,2010-04-01,4018.0,True,5066612,17632509.0,C,,529310.0,184012.0,51.5402057,-0.136793,1,,,,126.0,,,,126.0,,,,,20400512,,N,osgb1000002298834625,17.0,osgb4000000030153113,4,osgb1000005437464,5,75285063.0,ROYAL COLLEGE STREET,,ROYAL COLLEGE STREET,LONDON,CAMDEN,LONDON,NW1 0TA,NW1 0TA,S,1F,D,E05000143,2012-03-19,0,CS,249.0,POINT (529311.7821671031 184012.2879667236),2010-04-01 00:00:00,75285063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Kentish
75338063,82888,82888,00512022900003,E09000007,Camden,Inner London - West,229,ROYAL COLLEGE STREET,LONDON,NW1 9LT,Cafes,409,Retail Restaurants & Cafes,Retail,107.1,24250.0,2017-04-01 00:00:00+00:00,2017,2021-03,12100.75,75338063,,True,2017-04-01,,True,5005641,17654157.0,CR08,,529153.0,184231.0,51.5422098,-0.13897520000000002,1,CASTLES PIE & MASH,,,229.0,,,,229.0,,,,,20400512,,N,osgb1000002298833323,20.0,osgb4000000030250489,7,osgb1000005437135,4,75338063.0,ROYAL COLLEGE STREET,,ROYAL COLLEGE STREET,LONDON,CAMDEN,LONDON,NW1 9LT,NW1 9LT,S,1E,D,E05000130,2012-03-19,1,CR1,409.0,POINT (529154.7870005032 184231.3003477302),2017-04-01 00:00:00,75338063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Kentish
