,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
15426063,86200,86200,00535007530011,E09000007,Camden,Inner London - West,75A,CAMDEN ROAD,LONDON,NW1 9EU,Shops,249,Retail High Street,Retail,19.4,7700.0,2010-04-01 00:00:00+00:00,2010,2013-03,3465.0,LBC G26200623140,0.0,False,2012-09-28,185.0,True,5078163,17653585.0,C,,529224.0,184272.0,51.542562,-0.1379369,2,THE TWINS COFFEE SHOP,,75A,,,,,75.0,A,,,,20400535,,N,osgb1000002298833299,24.0,osgb4000000030355197,2,osgb1000005437148,5,15426063.0,CAMDEN ROAD,,CAMDEN ROAD,LONDON,CAMDEN,LONDON,NW1 9EU,NW1 9EU,S,2U,D,E05000131,2012-03-19,0,CS,249.0,POINT (529225.7882547408 184272.2985950735),2012-09-28 00:00:00,15426063,2013-04-01,185,2010-04-01,911 days,1096,1,185,911,0,False,True,Kentish
15493063,346073,346073,00535012610015,E09000007,Camden,Inner London - West,126,CAMDEN ROAD,LONDON,NW1 9EE,Shops,249,Retail High Street,Retail,42.2,14000.0,2017-04-01 00:00:00+00:00,2017,2020-03,6874.0,INGENIOUS PROPERTIES LIMITED,1166.71,False,2014-12-12,1937.0,True,5055818,55483897.0,C,,529244.0,184246.0,51.5423238,-0.1376582,2,LDN CBD,,,126.0,,,,126.0,,,,,20400535,,N,,,osgb4000000030355197,2,osgb1000005437199,5,15493063.0,CAMDEN ROAD,,CAMDEN ROAD,LONDON,CAMDEN,LONDON,NW1 9EE,NW1 9EE,S,2H,D,E05000131,2018-11-16,3,CS,249.0,POINT (529245.7881800467 184246.301719977),2014-12-12 00:00:00,15493063,2020-04-01,1937,2010-04-01,1716 days,3653,1,1937,1716,0,False,True,Kentish
49462063,112055,112055,0065200051999B,E09000007,Camden,Inner London - West,5,JEFFREYS PLACE,LONDON,NW1 9PP,Offices (Inc Computer Centres),203,Office General,Office,26.0,11500.0,2017-04-01 00:00:00+00:00,2017,2021-03,5738.5,MR M F GODDARD & MISS B BALLARD,4636.34,False,2018-10-01,913.0,True,5063389,17654506.0,C,,529070.0,184285.0,51.542714000000004,-0.14015170000000002,1,,,,5.0,,,,5.0,,,,,20400652,,N,osgb1000002298834415,9.0,osgb4000000030250507,2,osgb1000005437081,4,49462063.0,JEFFREY'S PLACE,,JEFFREYS PLACE,LONDON,CAMDEN,LONDON,NW1 9PP,NW1 9PP,S,1R,D,E05000130,2012-03-19,0,CO,203.0,POINT (529071.7801758501 184285.2947340261),2018-10-01 00:00:00,49462063,2021-04-01,913,2010-04-01,3105 days,4018,0,913,3105,0,False,True,Kentish
95657063,123844,123844,0074200631007B,E09000007,Camden,Inner London - West,UNIT 5 AT 63,PRATT STREET,LONDON,NW1 0DP,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,392.48,75000.0,2017-04-01 00:00:00+00:00,2017,2021-03,38400.0,CAMDEN PROPERTY HOLDINGS LTD,0.0,False,2019-09-30,549.0,True,5125802,53276080.0,CI03,5110235.0,529336.0,183958.0,51.5397145,-0.1364381,2,RUBRIC GLOBAL LTD,,UNIT 5,,,,UNIT 5,63.0,,,,ST PANCRAS COMMERCIAL CENTRE,20400742,,N,osgb5000005114839708,6.0,osgb4000000030250328,5,osgb1000005431875,3,95657063.0,PRATT STREET,ST. PANCRAS COMMERCIAL CENTRE,PRATT STREET,LONDON,CAMDEN,LONDON,NW1 0BY,NW1 0BY,S,1X,D,E05000143,2013-10-22,0,IF3,96.0,POINT (529337.7843255643 183958.291385453),2019-09-30 00:00:00,95657063,2021-04-01,549,2010-04-01,3469 days,4018,0,549,3469,0,False,False,Kentish
95659063,123932,123932,0074200631009A,E09000007,Camden,Inner London - West,UNIT 7 AT 63,PRATT STREET,LONDON,NW1 0DP,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,367.94,47750.0,2017-04-01 00:00:00+00:00,2017,2021-03,23827.25,CAMDEN PROPERTY HOLDINGS LTD,0.0,False,2019-06-19,652.0,True,5125804,,CI03,5110235.0,529376.0,183993.0,51.5400199,-0.1358488,2,,,,,,,UNIT 7,63.0,,,,ST PANCRAS COMMERCIAL CENTRE,20400742,,N,,,osgb4000000030250427,3,osgb1000005431885,8,95659063.0,PRATT STREET,,,LONDON,CAMDEN,,,NW1 0BY,,,L,E05000143,,0,IF3,96.0,POINT (529377.7846075087 183993.2942823111),2019-06-19 00:00:00,95659063,2021-04-01,652,2010-04-01,3366 days,4018,0,652,3366,0,False,False,Kentish
95660063,123668,123668,00742006310028,E09000007,Camden,Inner London - West,UNIT 8 AT 63,PRATT STREET,LONDON,NW1 0DP,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,347.29,53500.0,2017-04-01 00:00:00+00:00,2017,2021-03,27392.0,CAMDEN PROPERTY HOLDINGS LTD,0.0,False,2019-06-19,652.0,True,5125805,17630670.0,CI03,5110235.0,529378.0,183985.0,51.5399475,-0.1358229,2,,,UNIT 7-9,,,,UNIT 8,63.0,,,,ST PANCRAS COMMERCIAL CENTRE,20400742,,N,osgb1000002298825776,13.0,osgb4000000030250427,3,osgb1000005431884,4,95660063.0,PRATT STREET,ST. PANCRAS COMMERCIAL CENTRE,PRATT STREET,LONDON,CAMDEN,LONDON,NW1 0BY,NW1 0BY,S,1B,D,E05000143,2012-03-19,0,CW,96.0,POINT (529379.7858233192 183985.2888734691),2019-06-19 00:00:00,95660063,2021-04-01,652,2010-04-01,3366 days,4018,0,652,3366,0,False,True,Kentish
96925063,2991,2991,00000224513039,E09000007,Camden,Inner London - West,ARCHES 78,RANDOLPH STREET,LONDON,NW1 0SR,Stores,268,Retail High Street,Retail,129.92,18250.0,2017-04-01 00:00:00+00:00,2017,2021-03,9106.75,BY APPOINTMENT ONLY DESIGN LTD IN LIQUID,0.0,False,2019-04-01,731.0,True,5131043,,C,5124180.0,529282.0,184178.0,51.541703999999996,-0.1371356,5,,,,,,,ARCH 78,,,,,RAILWAY ARCHES,20400660,,N,,,osgb4000000030153116,8,osgb5000005156541699,3,96925063.0,RANDOLPH STREET,,,LONDON,CAMDEN,,,NW1 0SR,,,L,E05000131,,0,CW3,268.0,POINT (529283.781575461 184178.3000748332),2019-04-01 00:00:00,96925063,2021-04-01,731,2010-04-01,3287 days,4018,0,731,3287,0,False,True,Kentish
99271063,85836,85836,00535005710013,E09000007,Camden,Inner London - West,GND F 57,CAMDEN ROAD,LONDON,NW1 9EU,Betting Offices,24,Retail Financial & Professional Services,Retail,45.52,25500.0,2017-04-01 00:00:00+00:00,2017,2021-03,12724.5,WILLIAM HILL ORGANIZATION LTD,0.0,False,2019-09-29,550.0,True,5087536,17653586.0,CR09,,529195.0,184232.0,51.5422092,-0.1383696,2,,,,57.0,,,,57.0,,,,,20400535,,N,osgb1000002298833333,26.0,osgb4000000030425310,13,osgb1000005437157,5,99271063.0,CAMDEN ROAD,,CAMDEN ROAD,LONDON,CAMDEN,LONDON,NW1 9EU,NW1 9EU,S,1X,D,E05000131,2012-03-19,3,CS2,24.0,POINT (529196.7824470752 184232.3021180349),2019-09-29 00:00:00,99271063,2021-04-01,550,2010-04-01,3468 days,4018,0,550,3468,0,False,True,Kentish
99299063,86330,86330,00535009410028,E09000007,Camden,Inner London - West,GND F 94,CAMDEN ROAD,LONDON,NW1 9EA,Restaurants,234,Retail Restaurants & Cafes,Retail,55.7,12250.0,2010-04-01 00:00:00+00:00,2010,2012-09,5512.5,CYPRIOT COMMUNITY CENTRE (LONDON) LTD,0.0,False,2010-08-31,762.0,True,5087756,17653429.0,CR07,,529185.0,184130.0,51.541294799999996,-0.1385511,2,THAI LONG RESTAURANT,,,94.0,,,,94.0,,,,,20400535,,N,osgb1000002298833759,25.0,osgb4000000030153114,7,osgb1000005437332,5,99299063.0,CAMDEN ROAD,,CAMDEN ROAD,LONDON,CAMDEN,LONDON,NW1 9EA,NW1 9EA,S,1T,D,E05000130,2012-03-19,4,CR,234.0,POINT (529186.7842412135 184130.2967683947),2010-08-31 00:00:00,99299063,2012-10-01,762,2010-04-01,152 days,914,1,762,152,0,False,True,Kentish
99496063,82361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kentish
