,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
9033063,90412,90412,005760213B0002,E09000007,Camden,Inner London - West,213A,BELSIZE ROAD,LONDON,NW6 4AA,Shops,249,Retail High Street,Retail,70.1,14000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6986.0,LBC - HP010CE020,0.0,False,2010-04-01,4018.0,True,5077667,17730643.0,CR08,,525575.0,183705.0,51.5382891,-0.1907304,2,HART & LOVA,,213A,,,,,213.0,A,,,,20499034,,N,osgb1000002298615606,14.0,osgb4000000030223327,5,osgb1000004198197,2,9033063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4AA,NW6 4AA,S,1T,D,E05000140,2012-03-19,0,CS,249.0,POINT (525576.7288867754 183705.2700809705),2010-04-01 00:00:00,9033063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,0,False,True,Kilburn
9041063,353867,353867,00576021510017,E09000007,Camden,Inner London - West,215A,BELSIZE ROAD,LONDON,NW6 4AA,Shops,249,Retail High Street,Retail,72.5,14500.0,2017-04-01 00:00:00+00:00,2017,2021-03,7235.5,CORNHILL INVESTMENTS LTD,0.0,False,2011-02-28,3685.0,True,5075098,17730641.0,CO01,,525570.0,183703.0,51.5382722,-0.1908032,1,,,215A,,,,,215.0,A,,,,20499034,,N,osgb1000002298615605,11.0,osgb4000000030223327,5,osgb1000004198198,2,9041063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4AA,NW6 4AA,S,1X,D,E05000140,2012-03-19,0,CS,249.0,POINT (525571.726769538 183703.2658673864),2011-02-28 00:00:00,9041063,2021-04-01,3685,2010-04-01,333 days,4018,0,3685,333,0,False,True,Kilburn
9051063,353927,353927,00576021910025,E09000007,Camden,Inner London - West,219,BELSIZE ROAD,LONDON,NW6 4AA,Shops,249,Retail High Street,Retail,85.51,21250.0,2017-04-01 00:00:00+00:00,2017,2021-03,10603.75,LBC - RK20NCE020,0.0,False,2017-06-23,1378.0,True,5048337,17730642.0,LU01,,525562.0,183696.0,51.53821110000001,-0.190921,2,,,,219.0,,,,219.0,,,,,20499034,,N,osgb1000002298615609,13.0,osgb5000005256767695,0,osgb1000004198200,2,9051063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4AA,NW6 4AA,S,1P,D,E05000140,2012-03-19,0,CS,249.0,POINT (525563.7254938832 183696.2692358072),2017-06-23 00:00:00,9051063,2021-04-01,1378,2010-04-01,2640 days,4018,0,1378,2640,0,False,True,Kilburn
9269063,90932,90932,00576024400004,E09000007,Camden,Inner London - West,244,BELSIZE ROAD,LONDON,NW6 4BT,Shops,249,Retail High Street,Retail,119.1,14750.0,2017-04-01 00:00:00+00:00,2017,2019-03,7080.0,SWISHBROOK LTD,0.0,False,2018-03-25,372.0,True,5000993,17730912.0,CR08,,525552.0,183725.0,51.5384739,-0.1910547,2,THAI THARA SPA LTD,,,244.0,,,,244.0,,,,,20499034,,N,osgb1000002298615618,19.0,osgb4000000030223327,5,osgb5000005156085293,1,9269063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4BT,NW6 4BT,S,1L,D,E05000140,2012-03-19,0,CS,249.0,POINT (525553.7309308092 183725.2645996106),2018-03-25 00:00:00,9269063,2019-04-01,372,2010-04-01,2915 days,3287,1,372,2915,0,False,True,Kilburn
50798063,66333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kilburn
50802063,66440,66440,00395006400002,E09000007,Camden,Inner London - West,64,KILBURN HIGH ROAD,LONDON,NW6 4HJ,Shops,249,Retail High Street,Retail,325.6,51500.0,2009-11-11 00:00:00+00:00,2010,2015-03,24823.0,BARRATTS TRADING LTD - IN LIQUIDATION,0.0,False,2013-12-27,460.0,True,5015797,17731588.0,C,,525411.0,183682.0,51.5381188,-0.193102,2,,,,64.0,,,,64.0,,,,,20400395,,N,osgb1000002298616804,15.0,osgb4000000030329633,3,osgb1000004199671,2,50802063.0,KILBURN HIGH ROAD,,KILBURN HIGH ROAD,LONDON,CAMDEN,LONDON,NW6 4HJ,NW6 4HJ,S,1J,D,E05000140,2012-03-19,0,CS,249.0,POINT (525412.7289745144 183682.2671870881),2013-12-27 00:00:00,50802063,2015-04-01,460,2010-04-01,1366 days,1826,1,460,1366,0,False,True,Kilburn
50851063,68604,68604,00395025200007,E09000007,Camden,Inner London - West,252,KILBURN HIGH ROAD,LONDON,NW6 2BS,Shops,249,Retail High Street,Retail,104.7,18250.0,2010-04-01 00:00:00+00:00,2010,2017-03,8833.0,PARKPHASE LIMITED,3155.95,False,2016-11-25,127.0,True,5005862,17727041.0,CR08,,524977.0,184236.0,51.5431938,-0.1991599,1,HOMEVIEW ESTATES,,,252.0,,,,252.0,,,,,20400395,,N,osgb1000002298568864,20.0,osgb5000005268672724,0,osgb1000042132444,4,50851063.0,KILBURN HIGH ROAD,,KILBURN HIGH ROAD,LONDON,CAMDEN,LONDON,NW6 2BS,NW6 2BS,S,1L,D,E05000140,2012-03-19,3,CS,249.0,POINT (524978.7265661971 184236.2740219074),2016-11-25 00:00:00,50851063,2017-04-01,127,2010-04-01,2430 days,2557,1,127,2430,0,False,True,Kilburn
50919063,69123,69123,00395030400005,E09000007,Camden,Inner London - West,304,KILBURN HIGH ROAD,LONDON,NW6 2DB,Restaurants,234,Retail Restaurants & Cafes,Retail,93.2,25750.0,2010-04-01 00:00:00+00:00,2010,2014-12,12128.25,LOGICPLOUGH LTD,0.0,False,2010-05-10,1697.0,True,5050652,52014880.0,CR08,,524875.0,184368.0,51.5444027,-0.20058320000000002,1,GERMAN DONAR KEBAB,,,304.0,,,,304.0,,,,,20400395,,N,osgb1000002298981526,9.0,osgb4000000030329693,5,osgb1000042132412,4,50919063.0,KILBURN HIGH ROAD,,KILBURN HIGH ROAD,LONDON,CAMDEN,LONDON,NW6 2DB,NW6 2DB,S,2S,D,E05000140,2012-03-19,3,CR,234.0,POINT (524876.7261161157 184368.2812515242),2010-05-10 00:00:00,50919063,2015-01-01,1697,2010-04-01,39 days,1736,1,1697,39,0,False,True,Kilburn
55792063,70864,70864,00397000320007,E09000007,Camden,Inner London - West,3,LOVERIDGE MEWS,LONDON,NW6 2DP,Stores,268,Retail High Street,Retail,44.2,6400.0,2017-04-01 00:00:00+00:00,2017,2021-03,3193.6,LEONIE COWEN & ASSOCIATES (SOLICITORS),0.0,False,2018-04-03,1094.0,True,5043719,17727108.0,C,,524739.0,184579.0,51.546329,-0.20246860000000005,1,,,,3.0,,,,3.0,,,,,20400397,,N,osgb1000002298566576,8.0,osgb4000000030329695,2,osgb1000004051485,2,55792063.0,LOVERIDGE MEWS,,LOVERIDGE MEWS,LONDON,CAMDEN,LONDON,NW6 2DP,NW6 2DP,S,1N,D,E05000145,2012-03-19,1,CW3,268.0,POINT (524740.7294803972 184579.2816054383),2018-04-03 00:00:00,55792063,2021-04-01,1094,2010-04-01,2924 days,4018,0,1094,2924,0,False,True,Kilburn
70888063,89588,89588,0056000050000B,E09000007,Camden,Inner London - West,5,QUEX ROAD,LONDON,NW6 4PP,Shops,249,Retail High Street,Retail,40.56,13000.0,2010-04-01 00:00:00+00:00,2010,2013-03,5850.0,UKI LTD,0.0,False,2012-03-20,377.0,True,5008097,17732387.0,C,,525266.0,183892.0,51.5400383,-0.195117,1,TIMS CAFE,,,5.0,,,,5.0,,,,,20400560,,N,osgb1000002298616188,16.0,osgb4000000030223150,7,osgb1000004199398,3,70888063.0,QUEX ROAD,,QUEX ROAD,LONDON,CAMDEN,LONDON,NW6 4PP,NW6 4PP,S,1E,D,E05000140,2012-03-19,3,CS,249.0,POINT (525267.7243776849 183892.2756655646),2012-03-20 00:00:00,70888063,2013-04-01,377,2010-04-01,719 days,1096,1,377,719,0,False,True,Kilburn
