,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
29051063,73548,73548,004130001A0009,E09000007,Camden,Inner London - West,1A,FAIRHAZEL GARDENS,LONDON,NW6 3QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,37.8,5500.0,2017-04-01 00:00:00+00:00,2017,2021-03,2744.5,29051063,,True,2017-04-01,,True,5078941,17730262.0,CR,,526286.0,184109.0,51.5417614,-0.1803392,2,NICKS SHOE REPAIRS,,1A,,,,,1.0,A,,,,20400413,,N,osgb1000002298672761,12.0,osgb4000000030411042,5,osgb1000004338798,4,29051063.0,FAIRHAZEL GARDENS,,FAIRHAZEL GARDENS,LONDON,CAMDEN,LONDON,NW6 3QE,NW6 3QE,S,1G,D,E05000140,2012-03-19,0,IF3,96.0,POINT (526287.7412411364 184109.2786828345),2017-04-01 00:00:00,29051063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Loudoun
29052063,73504,73504,00413000100007,E09000007,Camden,Inner London - West,1,FAIRHAZEL GARDENS,LONDON,NW6 3QE,Hairdressing/Beauty Salons,417,Retail High Street,Retail,31.5,13000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6487.0,29052063,,True,2017-04-01,,True,5064581,17730256.0,CR08,,526270.0,184115.0,51.5418189,-0.18056760000000002,1,RONNIES GENTS HAIRSTYLIST,,,1.0,,,,1.0,,,,,20400413,,N,osgb1000002298672762,10.0,osgb4000000031063550,3,osgb1000004338797,4,29052063.0,FAIRHAZEL GARDENS,,FAIRHAZEL GARDENS,LONDON,CAMDEN,LONDON,NW6 3QE,NW6 3QE,S,1A,D,E05000144,2012-03-19,0,CS3,417.0,POINT (526271.7441702345 184115.2790271224),2017-04-01 00:00:00,29052063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Loudoun
29087063,73724,73724,00413001200006,E09000007,Camden,Inner London - West,12,FAIRHAZEL GARDENS,LONDON,NW6 3SG,Shops,249,Retail High Street,Retail,35.27,11500.0,2017-04-01 00:00:00+00:00,2017,2021-03,5738.5,29087063,,True,2017-04-01,,True,5016729,17730533.0,CR08,,526243.0,184167.0,51.54229229999999,-0.18093810000000002,1,BEAUTIFUL,,,12.0,,,,12.0,,,,,20400413,,N,osgb1000002298672373,14.0,osgb4000000030223454,7,osgb1000004339199,2,29087063.0,FAIRHAZEL GARDENS,,FAIRHAZEL GARDENS,LONDON,CAMDEN,LONDON,NW6 3SG,NW6 3SG,S,1X,D,E05000144,2012-03-19,2,CS,249.0,POINT (526244.7434160217 184167.2844530203),2017-04-01 00:00:00,29087063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Loudoun
29090063,73636,73636,00413001000004,E09000007,Camden,Inner London - West,10,FAIRHAZEL GARDENS,LONDON,NW6 3SG,Shops,249,Retail High Street,Retail,148.6,25250.0,2017-04-01 00:00:00+00:00,2017,2021-03,12599.75,29090063,,True,2017-04-01,,True,5041512,17730534.0,CR,,526249.0,184163.0,51.542255,-0.1808531,1,FAIRPRICE SUPERMARKET,,,10.0,,,,10.0,,,,,20400413,,N,osgb1000002298672742,12.0,osgb4000000030223454,7,osgb1000004339200,2,29090063.0,FAIRHAZEL GARDENS,,FAIRHAZEL GARDENS,LONDON,CAMDEN,LONDON,NW6 3SG,NW6 3SG,S,1A,D,E05000144,2012-03-19,2,CS,249.0,POINT (526250.7406865284 184163.2830813315),2017-04-01 00:00:00,29090063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Loudoun
53657063,287395,287395,02812000200002,E09000007,Camden,Inner London - West,2,LANGTRY WALK,LONDON,NW8 0DU,Shops,249,Retail High Street,Retail,96.7,13000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6487.0,53657063,,True,2017-04-01,,True,5025100,17755210.0,CR08,,526341.0,184006.0,51.5408234,-0.17958339999999998,2,MASTERCLEAN,,,2.0,,,,2.0,,,,,20402812,,N,osgb1000002298664414,12.0,osgb4000000030223362,3,osgb1000001786184223,4,53657063.0,LANGTRY WALK,,LANGTRY WALK,LONDON,CAMDEN,LONDON,NW8 0DU,NW8 0DU,S,1B,D,E05000140,2012-03-19,0,CS,249.0,POINT (526342.7466633314 184006.2725527538),2017-04-01 00:00:00,53657063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Loudoun
53658063,287439,287439,02812000300003,E09000007,Camden,Inner London - West,3,LANGTRY WALK,LONDON,NW8 0DU,Shops,249,Retail High Street,Retail,80.6,11000.0,2017-04-01 00:00:00+00:00,2017,2021-03,5489.0,53658063,,True,2017-04-01,,True,5002694,17755209.0,CR08,,526341.0,184006.0,51.5408234,-0.17958339999999998,2,MARINAS,,,3.0,,,,3.0,,,,,20402812,,N,osgb1000002298981828,5.0,osgb4000000030223362,3,osgb1000001786184223,4,53658063.0,LANGTRY WALK,,LANGTRY WALK,LONDON,CAMDEN,LONDON,NW8 0DU,NW8 0DU,S,1D,D,E05000140,2012-03-19,0,CS,249.0,POINT (526342.7466633314 184006.2725527538),2017-04-01 00:00:00,53658063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Loudoun
53659063,287447,287447,02812000400004,E09000007,Camden,Inner London - West,4,LANGTRY WALK,LONDON,NW8 0DU,Shops,249,Retail High Street,Retail,80.2,6500.0,2010-04-01 00:00:00+00:00,2010,2012-03,2769.0,53659063,,True,2010-04-01,,True,5002695,28083629.0,CR08,,526341.0,184006.0,51.5408234,-0.17958339999999998,2,TASTES OF THE NILE,,,4.0,,,,4.0,,,,,20402812,,N,osgb1000002298901870,19.0,osgb4000000030223362,3,osgb1000001786184223,4,53659063.0,LANGTRY WALK,,LANGTRY WALK,LONDON,CAMDEN,LONDON,NW8 0DU,NW8 0DU,S,1N,D,E05000140,2012-03-19,0,CS,249.0,POINT (526342.7466633314 184006.2725527538),2010-04-01 00:00:00,53659063,2012-04-01,731,2010-04-01,0 days,731,1,731,0,1,False,True,Loudoun
53660063,287527,287527,02812000500005,E09000007,Camden,Inner London - West,5,LANGTRY WALK,LONDON,NW8 0DU,Shops,249,Retail High Street,Retail,75.8,10750.0,2017-04-01 00:00:00+00:00,2017,2021-03,5364.25,53660063,,True,2017-04-01,,True,5025095,17755212.0,C,,526341.0,184006.0,51.5408234,-0.17958339999999998,2,MONA LISA,,,5.0,,,,5.0,,,,,20402812,,N,osgb1000002298664409,13.0,osgb4000000030223362,3,osgb1000001786184223,4,53660063.0,LANGTRY WALK,,LANGTRY WALK,LONDON,CAMDEN,LONDON,NW8 0DU,NW8 0DU,S,1E,D,E05000140,2012-03-19,0,CS,249.0,POINT (526342.7466633314 184006.2725527538),2017-04-01 00:00:00,53660063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Loudoun
53661063,287571,287571,02812000600006,E09000007,Camden,Inner London - West,6,LANGTRY WALK,LONDON,NW8 0DU,Shops,249,Retail High Street,Retail,81.08,11000.0,2017-04-01 00:00:00+00:00,2017,2021-03,5489.0,53661063,,True,2017-04-01,,True,5025096,,C,,526341.0,184006.0,51.5408234,-0.17958339999999998,2,,,,,,,,6.0,,,,,20402812,,N,,,osgb4000000030223362,3,osgb1000001786184223,4,53661063.0,LANGTRY WALK,,,LONDON,CAMDEN,,,NW8 0DU,,,L,E05000140,,0,CS,249.0,POINT (526342.7466633314 184006.2725527538),2017-04-01 00:00:00,53661063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Loudoun
53662063,287615,287615,02812000700007,E09000007,Camden,Inner London - West,7,LANGTRY WALK,LONDON,NW8 0DU,Shops,249,Retail High Street,Retail,95.4,13000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6487.0,53662063,,True,2017-04-01,,True,5025097,17755214.0,CR02,,526341.0,184006.0,51.5408234,-0.17958339999999998,2,SWISS COTTAGE LAUNDERETTE,,,7.0,,,,7.0,,,,,20402812,,N,osgb1000002298664411,10.0,osgb4000000030223362,3,osgb1000001786184223,4,53662063.0,LANGTRY WALK,,LANGTRY WALK,LONDON,CAMDEN,LONDON,NW8 0DU,NW8 0DU,S,1G,D,E05000140,2012-03-19,0,CS,249.0,POINT (526342.7466633314 184006.2725527538),2017-04-01 00:00:00,53662063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Loudoun
55744063,25167,25167,0018140415008B,E09000007,Camden,Inner London - West,61,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,59.21,9200.0,2017-04-01 00:00:00+00:00,2017,2021-03,4590.8,55744063,,True,2017-04-01,,True,5047147,17755172.0,CI03,,526346.0,183997.0,51.5407414,-0.1795146,1,,,,61.0,,,,61.0,,,,,20400568,,N,osgb1000002298664401,10.0,osgb4000000030223362,3,osgb1000004334863,6,55744063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DQ,NW8 0DQ,S,1A,D,E05000140,2012-03-19,0,IF3,96.0,POINT (526347.7445087004 183997.2724872957),2017-04-01 00:00:00,55744063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Loudoun
55746063,25211,25211,00181404160059,E09000007,Camden,Inner London - West,63,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,64.44,10250.0,2017-04-01 00:00:00+00:00,2017,2021-03,5114.75,55746063,,True,2017-04-01,,True,5047148,17755167.0,CI03,,526346.0,183997.0,51.5407414,-0.1795146,1,AMBLER BATES DESIGN CONSULTANTS,,,63.0,,,,63.0,,,,,20400568,,N,osgb1000002298664402,11.0,osgb4000000030223362,3,osgb1000004334863,6,55746063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DQ,NW8 0DQ,S,1B,D,E05000140,2012-03-19,0,IF3,96.0,POINT (526347.7445087004 183997.2724872957),2017-04-01 00:00:00,55746063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Loudoun
55752063,25213,25213,00181404190073,E09000007,Camden,Inner London - West,69,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,59.9,7600.0,2010-04-01 00:00:00+00:00,2010,2010-09,3093.2,55752063,,True,2010-04-01,,True,5025065,17755157.0,CI03,,526341.0,184006.0,51.5408234,-0.17958339999999998,2,K K M ARCHITECTS LTD,,,69.0,,,,69.0,,,,,20400568,,N,osgb1000002298664408,10.0,osgb4000000030223362,3,osgb1000001786184223,4,55752063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DB,NW8 0DB,L,1A,D,E05000140,2012-03-19,1,IF3,96.0,POINT (526342.7466633314 184006.2725527538),2010-04-01 00:00:00,55752063,2010-10-01,183,2010-04-01,0 days,183,1,183,0,1,False,True,Loudoun
55752063,25221,25221,00181404190073,E09000007,Camden,Inner London - West,69,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,59.9,7600.0,2010-04-01 00:00:00+00:00,2010,2012-09,3420.0,MAPALIM LTD,962.06,True,2011-12-16,290.0,True,5025065,17755157.0,CI03,,526341.0,184006.0,51.5408234,-0.17958339999999998,2,K K M ARCHITECTS LTD,,,69.0,,,,69.0,,,,,20400568,,N,osgb1000002298664408,10.0,osgb4000000030223362,3,osgb1000001786184223,4,55752063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DB,NW8 0DB,L,1A,D,E05000140,2012-03-19,1,IF3,96.0,POINT (526342.7466633314 184006.2725527538),2011-12-16 00:00:00,55752063,2012-10-01,290,2010-04-01,624 days,914,1,290,624,1,False,True,Loudoun
55752063,25255,25255,00181404190073,E09000007,Camden,Inner London - West,69,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,59.9,9300.0,2017-04-01 00:00:00+00:00,2017,2021-03,4640.7,ORIGINAL JERKY COMPANY LTD,107.74,True,2014-02-18,2599.0,True,5025065,17755157.0,CI03,,526341.0,184006.0,51.5408234,-0.17958339999999998,2,K K M ARCHITECTS LTD,,,69.0,,,,69.0,,,,,20400568,,N,osgb1000002298664408,10.0,osgb4000000030223362,3,osgb1000001786184223,4,55752063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DB,NW8 0DB,L,1A,D,E05000140,2012-03-19,1,IF3,96.0,POINT (526342.7466633314 184006.2725527538),2014-02-18 00:00:00,55752063,2021-04-01,2599,2010-04-01,1419 days,4018,0,2599,1419,1,False,True,Loudoun
55754063,341984,341984,00181404200082,E09000007,Camden,Inner London - West,71,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,70.96,9100.0,2013-02-12 00:00:00+00:00,2010,2016-03,4368.0,55754063,,True,2013-02-12,,True,5047145,17755174.0,CI03,,526346.0,183997.0,51.5407414,-0.1795146,1,CRAWT SIMPKINS PARTNERSHIP,,,71.0,,,,71.0,,,,,20400568,,N,osgb1000002298664399,11.0,osgb4000000030223362,3,osgb1000004334863,6,55754063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DQ,NW8 0DQ,S,1G,D,E05000140,2012-03-19,0,IF3,96.0,POINT (526347.7445087004 183997.2724872957),2013-02-12 00:00:00,55754063,2016-04-01,1144,2010-04-01,1048 days,2192,1,1144,1048,1,False,True,Loudoun
55758063,25343,25343,00181404220029,E09000007,Camden,Inner London - West,75,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,51.08,8200.0,2017-04-01 00:00:00+00:00,2017,2021-03,4091.8,DOWNTOWN ARTISTS LTD,7.09,True,2011-01-20,3724.0,True,5047150,17755176.0,CI03,,526346.0,183997.0,51.5407414,-0.1795146,1,FOUR ROOMS FOUR SEASONS,,,75.0,,,,75.0,,,,,20400568,,N,osgb1000002298664404,11.0,osgb4000000030223362,3,osgb1000004334863,6,55758063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DQ,NW8 0DQ,S,1J,D,E05000140,2012-03-19,0,IF3,96.0,POINT (526347.7445087004 183997.2724872957),2011-01-20 00:00:00,55758063,2021-04-01,3724,2010-04-01,294 days,4018,0,3724,294,1,False,True,Loudoun
55760063,25349,25349,1.81404E+11,E09000007,Camden,Inner London - West,77,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,43.28,5600.0,2010-04-01 00:00:00+00:00,2010,2011-09,2385.6,STINE INGVOLDSTAD & JEMMA SLADE,571.36,True,2010-04-01,548.0,True,5047151,17755168.0,CI03,,526346.0,183997.0,51.5407414,-0.1795146,1,B D S EDUCATION LTD,,,77.0,,,,77.0,,,,,20400568,,N,osgb1000002298664405,11.0,osgb4000000030223362,3,osgb1000004334863,6,55760063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DQ,NW8 0DQ,S,1L,D,E05000140,2012-03-19,0,IF3,96.0,POINT (526347.7445087004 183997.2724872957),2010-04-01,55760063,2011-10-01,548,2010-04-01,0 days,548,1,548,0,1,False,True,Loudoun
