,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
53659063,287483,287483,02812000400004,E09000007,Camden,Inner London - West,4,LANGTRY WALK,LONDON,NW8 0DU,Shops,249,Retail High Street,Retail,80.2,10750.0,2017-04-01 00:00:00+00:00,2017,2021-03,5364.25,LBC - RK20NCE020,0.0,False,2012-04-05,3283.0,True,5002695,28083629.0,CR08,,526341.0,184006.0,51.5408234,-0.17958339999999998,2,TASTES OF THE NILE,,,4.0,,,,4.0,,,,,20402812,,N,osgb1000002298901870,19.0,osgb4000000030223362,3,osgb1000001786184223,4,53659063.0,LANGTRY WALK,,LANGTRY WALK,LONDON,CAMDEN,LONDON,NW8 0DU,NW8 0DU,S,1N,D,E05000140,2012-03-19,0,CS,249.0,POINT (526342.7466633314 184006.2725527538),2012-04-05 00:00:00,53659063,2021-04-01,3283,2010-04-01,735 days,4018,0,3283,735,0,False,False,Loudoun
55752063,25226,25226,00181404190073,E09000007,Camden,Inner London - West,69,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,59.9,7600.0,2010-04-01 00:00:00+00:00,2010,2013-12,3511.2,LBC - RK20NCE020,0.0,False,2012-12-10,387.0,True,5025065,17755157.0,CI03,,526341.0,184006.0,51.5408234,-0.17958339999999998,2,K K M ARCHITECTS LTD,,,69.0,,,,69.0,,,,,20400568,,N,osgb1000002298664408,10.0,osgb4000000030223362,3,osgb1000001786184223,4,55752063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DB,NW8 0DB,L,1A,D,E05000140,2012-03-19,1,IF3,96.0,POINT (526342.7466633314 184006.2725527538),2012-12-10 00:00:00,55752063,2014-01-01,387,2010-04-01,984 days,1371,1,387,984,0,False,False,Loudoun
55754063,342004,342004,00181404200082,E09000007,Camden,Inner London - West,71,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,70.96,11000.0,2017-04-01 00:00:00+00:00,2017,2021-03,5489.0,LBC - RK20NCE020,0.0,False,2016-06-06,1760.0,True,5047145,17755174.0,CI03,,526346.0,183997.0,51.5407414,-0.1795146,1,CRAWT SIMPKINS PARTNERSHIP,,,71.0,,,,71.0,,,,,20400568,,N,osgb1000002298664399,11.0,osgb4000000030223362,3,osgb1000004334863,6,55754063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DQ,NW8 0DQ,S,1G,D,E05000140,2012-03-19,0,IF3,96.0,POINT (526347.7445087004 183997.2724872957),2016-06-06 00:00:00,55754063,2021-04-01,1760,2010-04-01,2258 days,4018,0,1760,2258,0,False,False,Loudoun
55756063,25299,25299,0018140421005B,E09000007,Camden,Inner London - West,73,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,50.21,7800.0,2017-04-01 00:00:00+00:00,2017,2021-03,3892.2,LBC - RK20NCE020,0.0,False,2010-04-01,4018.0,True,5047146,17755175.0,CI03,,526346.0,183997.0,51.5407414,-0.1795146,1,,,,73.0,,,,73.0,,,,,20400568,,N,osgb1000002298664400,10.0,osgb4000000030223362,3,osgb1000004334863,6,55756063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DQ,NW8 0DQ,S,1H,D,E05000140,2012-03-19,0,IF3,96.0,POINT (526347.7445087004 183997.2724872957),2010-04-01 00:00:00,55756063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,0,False,False,Loudoun
55758063,25302,25302,00181404220029,E09000007,Camden,Inner London - West,75,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,51.08,6700.0,2010-04-01 00:00:00+00:00,2010,2010-12,2726.9,LBC - RK20NCE020,0.0,False,2010-07-26,159.0,True,5047150,17755176.0,CI03,,526346.0,183997.0,51.5407414,-0.1795146,1,FOUR ROOMS FOUR SEASONS,,,75.0,,,,75.0,,,,,20400568,,N,osgb1000002298664404,11.0,osgb4000000030223362,3,osgb1000004334863,6,55758063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DQ,NW8 0DQ,S,1J,D,E05000140,2012-03-19,0,IF3,96.0,POINT (526347.7445087004 183997.2724872957),2010-07-26 00:00:00,55758063,2011-01-01,159,2010-04-01,116 days,275,1,159,116,0,False,True,Loudoun
55760063,25387,25387,00181404230105,E09000007,Camden,Inner London - West,77,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,43.28,6900.0,2017-04-01 00:00:00+00:00,2017,2021-03,3443.1,LBC - XG600CE020,0.0,False,2011-12-09,3401.0,True,5047151,17755168.0,CI03,,526346.0,183997.0,51.5407414,-0.1795146,1,B D S EDUCATION LTD,,,77.0,,,,77.0,,,,,20400568,,N,osgb1000002298664405,11.0,osgb4000000030223362,3,osgb1000004334863,6,55760063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DQ,NW8 0DQ,S,1L,D,E05000140,2012-03-19,0,IF3,96.0,POINT (526347.7445087004 183997.2724872957),2011-12-09 00:00:00,55760063,2021-04-01,3401,2010-04-01,617 days,4018,0,3401,617,0,False,False,Loudoun
55762063,25431,25431,00181404240075,E09000007,Camden,Inner London - West,79,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,43.27,6900.0,2017-04-01 00:00:00+00:00,2017,2021-03,3443.1,LBC - XG600CE020,0.0,False,2012-02-01,3347.0,True,5047141,17755171.0,CI03,,526346.0,183997.0,51.5407414,-0.1795146,1,THORNE HENDERSON,,,79.0,,,,79.0,,,,,20400568,,N,osgb1000002298664395,12.0,osgb4000000030223362,3,osgb1000004334863,6,55762063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DQ,NW8 0DQ,S,1N,D,E05000140,2012-03-19,0,IF3,96.0,POINT (526347.7445087004 183997.2724872957),2012-02-01 00:00:00,55762063,2021-04-01,3347,2010-04-01,671 days,4018,0,3347,671,0,False,True,Loudoun
55764063,25475,25475,00181404250043,E09000007,Camden,Inner London - West,81,LOUDOUN ROAD,LONDON,NW8 0DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,45.2,7200.0,2017-04-01 00:00:00+00:00,2017,2021-03,3592.8,LBC - RK20NCE020,0.0,False,2017-07-01,1370.0,True,5047142,17755170.0,CI03,,526346.0,183997.0,51.5407414,-0.1795146,1,LESSIN & BROWN,,,81.0,,,,81.0,,,,,20400568,,N,osgb1000002298664396,10.0,osgb4000000030223362,3,osgb1000004334863,6,55764063.0,LOUDOUN ROAD,,LOUDOUN ROAD,LONDON,CAMDEN,LONDON,NW8 0DQ,NW8 0DQ,S,1P,D,E05000140,2012-03-19,0,IF3,96.0,POINT (526347.7445087004 183997.2724872957),2017-07-01 00:00:00,55764063,2021-04-01,1370,2010-04-01,2648 days,4018,0,1370,2648,0,False,True,Loudoun
102361063,1187,1187,0000009306700B,E09000007,Camden,Inner London - West,BST & GND FS 35-37,FAIRFAX ROAD,LONDON,NW6 4EL,Showrooms,251,Retail Other Superstores/ Retail Warehouses,Retail,277.7,51500.0,2017-04-01 00:00:00+00:00,2017,2021-03,26368.0,HALEV LIMITED,0.0,False,2019-06-01,670.0,True,5083748,17731489.0,CR,,526366.0,184316.0,51.54360379999999,-0.1791119,2,POSNERS THE FLOOR STORE,,35A-37,,,,,35.0,,37.0,,,20400423,,N,osgb1000002298672405,7.0,osgb4000000030223451,2,osgb1000004339089,2,102361063.0,FAIRFAX ROAD,,FAIRFAX ROAD,LONDON,CAMDEN,LONDON,NW6 4EW,NW6 4EW,L,1A,D,E05000144,2012-03-19,0,CS7,251.0,POINT (526367.746672733 184316.2799185408),2019-06-01 00:00:00,102361063,2021-04-01,670,2010-04-01,3348 days,4018,0,670,3348,0,False,True,Loudoun
102366063,75874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loudoun
102372063,1197,1197,00000093085028,E09000007,Camden,Inner London - West,BST & GND FS 59-61,FAIRFAX ROAD,LONDON,NW6 4EG,Shops,249,Retail High Street,Retail,859.2,97000.0,2010-04-01 00:00:00+00:00,2010,2012-09,44426.0,CHARLES PAGE INTERIORS LTD,0.0,False,2012-06-12,111.0,True,5109666,17731366.0,CR08,,526336.0,184229.0,51.5428287,-0.1795755,2,CAMERICH,,,61.0,,,,61.0,,,,,20400423,,N,osgb1000002298672540,14.0,osgb4000000030329908,6,osgb1000004339093,6,102372063.0,FAIRFAX ROAD,,FAIRFAX ROAD,LONDON,CAMDEN,LONDON,NW6 4EE,NW6 4EE,S,1H,D,E05000144,2012-03-19,0,CS,249.0,POINT (526337.7453041407 184229.2850456822),2012-06-12 00:00:00,102372063,2012-10-01,111,2010-04-01,803 days,914,1,111,803,0,False,True,Loudoun
