,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
60475063,32940,32940,00242003700008,E09000007,Camden,Inner London - West,37,MILL LANE,LONDON,NW6 1NB,Shops,249,Retail High Street,Retail,34.7,8900.0,2017-04-01 00:00:00+00:00,2017,2017-06,4147.4,60475063,,True,2017-04-01,,True,5052575,17724548.0,CR08,,525058.0,185223.0,51.5520463,-0.19764189999999998,2,THE MILL CAFE,,,37.0,,,,37.0,,,,,20400242,,N,osgb1000002298628258,16.0,osgb4000000030223270,2,osgb1000004206094,4,60475063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NB,NW6 1NB,S,1B,D,E05000132,2012-03-19,1,CS,249.0,POINT (525059.7309604756 185223.3093366935),2017-04-01 00:00:00,60475063,2017-07-01,91,2010-04-01,2557 days,2648,1,91,2557,1,False,True,Mill
60475063,32955,32955,00242003700008,E09000007,Camden,Inner London - West,37,MILL LANE,LONDON,NW6 1NB,Shops,249,Retail High Street,Retail,34.7,8900.0,2017-04-01 00:00:00+00:00,2017,2021-03,4441.1,THE MILL HOUSE CAFE LTD,0.0,True,2017-07-20,1351.0,True,5052575,17724548.0,CR08,,525058.0,185223.0,51.5520463,-0.19764189999999998,2,THE MILL CAFE,,,37.0,,,,37.0,,,,,20400242,,N,osgb1000002298628258,16.0,osgb4000000030223270,2,osgb1000004206094,4,60475063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NB,NW6 1NB,S,1B,D,E05000132,2012-03-19,1,CS,249.0,POINT (525059.7309604756 185223.3093366935),2017-07-20 00:00:00,60475063,2021-04-01,1351,2010-04-01,2667 days,4018,0,1351,2667,1,False,True,Mill
60476063,33043,33043,0024200391002B,E09000007,Camden,Inner London - West,39,MILL LANE,LONDON,NW6 1NB,Shops,249,Retail High Street,Retail,36.4,9700.0,2017-04-01 00:00:00+00:00,2017,2021-03,4840.3,60476063,,True,2017-04-01,,True,5052573,50552920.0,CR08,,525068.0,185223.0,51.552044,-0.1974977,1,MILL LANE BARBERS,,,39.0,,,,39.0,,,,,20400242,,N,osgb1000002298938482,11.0,osgb4000000030223270,2,osgb1000004206096,3,60476063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NB,NW6 1NB,S,3T,D,E05000132,2012-03-19,1,CS,249.0,POINT (525069.7343519888 185223.2999098409),2017-04-01 00:00:00,60476063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Mill
60480063,33219,33219,00242004500004,E09000007,Camden,Inner London - West,45,MILL LANE,LONDON,NW6 1NB,Shops,249,Retail High Street,Retail,52.9,13500.0,2017-04-01 00:00:00+00:00,2017,2021-03,6736.5,MR AMAR ELMAHDI,3887.63,True,2010-04-01,4018.0,True,5087461,17724534.0,CR08,,525085.0,185226.0,51.5520672,-0.1972516,1,,,,45.0,,,,45.0,,,,,20400242,,N,osgb1000002298628266,13.0,osgb4000000030223270,2,osgb1000004206100,5,60480063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NB,NW6 1NB,S,4F,D,E05000132,2012-03-19,1,CS,249.0,POINT (525086.7323721286 185226.3003416331),2010-04-01 00:00:00,60480063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Mill
60488063,33430,33430,00242005310017,E09000007,Camden,Inner London - West,53,MILL LANE,LONDON,NW6 1NB,Shops,249,Retail High Street,Retail,43.2,15000.0,2017-04-01 00:00:00+00:00,2017,2019-06,7365.0,60488063,,True,2017-04-01,,True,5087515,17724558.0,CR09,,525109.0,185227.0,51.5520709,-0.19690529999999998,1,,,,53.0,,,,53.0,,,,,20400242,,N,osgb1000002298628273,15.0,osgb4000000030223271,2,osgb1000004206104,4,60488063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NB,NW6 1NB,S,2R,D,E05000132,2012-03-19,2,CS,249.0,POINT (525110.7304816869 185227.3035658541),2017-04-01 00:00:00,60488063,2019-07-01,821,2010-04-01,2557 days,3378,1,821,2557,1,False,True,Mill
60492063,362689,362689,00242005910012,E09000007,Camden,Inner London - West,59,MILL LANE,LONDON,NW6 1NB,Shops,249,Retail High Street,Retail,54.13,18000.0,2017-04-01 00:00:00+00:00,2017,2021-03,8982.0,NASPRAM PHARMA LTD,870.21,True,2014-06-30,2467.0,True,5021389,17724540.0,CR08,,525124.0,185229.0,51.55208560000001,-0.19668829999999998,2,AQUA PHARMACY,,,59.0,,,,59.0,,,,,20400242,,N,osgb1000002298627103,15.0,osgb4000000030223271,2,osgb1000004206107,6,60492063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NB,NW6 1NB,S,1R,D,E05000132,2012-03-19,1,CS,249.0,POINT (525125.7343327294 185229.3091539657),2014-06-30 00:00:00,60492063,2021-04-01,2467,2010-04-01,1551 days,4018,0,2467,1551,1,False,True,Mill
60494063,33745,33745,00242006100007,E09000007,Camden,Inner London - West,61,MILL LANE,LONDON,NW6 1NB,Shops,249,Retail High Street,Retail,80.9,11500.0,2017-04-01 00:00:00+00:00,2017,2021-03,5738.5,YI DAO CLINIC LTD,696.52,True,2010-04-01,4018.0,True,5087578,17724562.0,CM02HL,,525130.0,185229.0,51.5520842,-0.1966018,1,YI DAO,,,61.0,,,,61.0,,,,,20400242,,N,osgb1000002298627042,15.0,osgb4000000030223271,2,osgb1000004206108,5,60494063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NB,NW6 1NB,S,2U,D,E05000132,2012-03-19,0,CS,249.0,POINT (525131.7350319364 185229.301315412),2010-04-01 00:00:00,60494063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Mill
60509063,34229,34229,00242007900002,E09000007,Camden,Inner London - West,79,MILL LANE,LONDON,NW6 1NB,Shops,249,Retail High Street,Retail,71.7,17500.0,2017-04-01 00:00:00+00:00,2017,2021-03,8732.5,60509063,,True,2017-04-01,,True,5087673,17724569.0,C,,525179.0,185234.0,51.5521183,-0.1958937,2,CAFE PLUS,,,79.0,,,,79.0,,,,,20400242,,N,osgb1000002298627055,14.0,osgb4000000030223272,2,osgb1000004206119,4,60509063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NB,NW6 1NB,S,2Z,D,E05000132,2012-03-19,2,CS,249.0,POINT (525180.7325651019 185234.3039854394),2017-04-01 00:00:00,60509063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Mill
60531063,34669,34669,00242010000004,E09000007,Camden,Inner London - West,100,MILL LANE,LONDON,NW6 1NF,Shops,249,Retail High Street,Retail,174.9,44250.0,2017-04-01 00:00:00+00:00,2017,2021-03,22080.75,60531063,,True,2017-04-01,,True,5056871,17724585.0,CR08,,524988.0,185158.0,51.5514776,-0.198674,1,NORMAN MOTORS LTD,,,100.0,,,,100.0,,,,,20400242,,N,osgb1000002298572045,13.0,osgb4000000030329728,2,osgb1000004055323,2,60531063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NF,NW6 1NF,S,1A,D,E05000145,2012-03-19,0,CS,249.0,POINT (524989.735027439 185158.3043354398),2017-04-01 00:00:00,60531063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Mill
60534063,34757,34757,00242010400008,E09000007,Camden,Inner London - West,104,MILL LANE,LONDON,NW6 1NF,Shops,249,Retail High Street,Retail,94.18,26250.0,2017-04-01 00:00:00+00:00,2017,2021-03,13098.75,BRANDON HIRE PLC,5605.52,True,2010-04-01,4018.0,True,5035369,17724577.0,CR02,,524999.0,185166.0,51.551547,-0.1985126,2,BRANDON TOOL HIRE,,,104.0,,,,104.0,,,,,20400242,,N,osgb1000002298572563,11.0,osgb4000000030329728,2,osgb1000004055325,5,60534063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NF,NW6 1NF,S,1D,D,E05000145,2012-03-19,1,CS,249.0,POINT (525000.7346230455 185166.2975473769),2010-04-01 00:00:00,60534063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Mill
60538063,34836,34836,00242011010019,E09000007,Camden,Inner London - West,110,MILL LANE,LONDON,NW6 1NF,Shops,249,Retail High Street,Retail,44.1,22500.0,2017-04-01 00:00:00+00:00,2017,2018-12,10800.0,60538063,,True,2017-04-01,,True,5025916,17724590.0,C,,525029.0,185173.0,51.5516033,-0.1980777,1,,,,110.0,,,,110.0,,,,,20400242,,N,osgb1000002298628317,13.0,osgb4000000030223283,6,osgb1000004206187,3,60538063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NF,NW6 1NF,S,2S,D,E05000145,2012-03-19,5,CS,249.0,POINT (525030.7314428459 185173.3010661021),2017-04-01 00:00:00,60538063,2019-01-01,640,2010-04-01,2557 days,3197,1,640,2557,1,False,True,Mill
60538063,34845,34845,00242011010019,E09000007,Camden,Inner London - West,110,MILL LANE,LONDON,NW6 1NF,Shops,249,Retail High Street,Retail,44.1,22500.0,2017-04-01 00:00:00+00:00,2017,2021-03,11227.5,JSD CONVENIENCE STORES LTD,357.74,True,2019-03-18,745.0,True,5025916,17724590.0,C,,525029.0,185173.0,51.5516033,-0.1980777,1,,,,110.0,,,,110.0,,,,,20400242,,N,osgb1000002298628317,13.0,osgb4000000030223283,6,osgb1000004206187,3,60538063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NF,NW6 1NF,S,2S,D,E05000145,2012-03-19,5,CS,249.0,POINT (525030.7314428459 185173.3010661021),2019-03-18 00:00:00,60538063,2021-04-01,745,2010-04-01,3273 days,4018,0,745,3273,1,False,True,Mill
60555063,33305,33305,00242004810013,E09000007,Camden,Inner London - West,48,MILL LANE,LONDON,NW6 1NJ,Shops,249,Retail High Street,Retail,28.5,13250.0,2017-04-01 00:00:00+00:00,2017,2021-03,6611.75,60555063,,True,2017-04-01,,True,5022813,17724602.0,CR08,,524853.0,185120.0,51.5511659,-0.2006336,2,BERNADITA BEAUTY CLINIC,,,48.0,,,,48.0,,,,,20400242,,N,osgb1000002298571954,16.0,osgb4000000030410955,2,osgb1000004055369,4,60555063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NJ,NW6 1NJ,S,1D,D,E05000132,2012-03-19,2,CS,249.0,POINT (524854.7309547281 185120.2978388285),2017-04-01 00:00:00,60555063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Mill
