,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
60488063,33437,33437,00242005310017,E09000007,Camden,Inner London - West,53,MILL LANE,LONDON,NW6 1NB,Shops,249,Retail High Street,Retail,43.2,15000.0,2017-04-01 00:00:00+00:00,2017,2021-03,7485.0,BYVIEW INVESTMENTS LTD,48.48,False,2019-09-29,550.0,True,5087515,17724558.0,CR09,,525109.0,185227.0,51.5520709,-0.19690529999999998,1,,,,53.0,,,,53.0,,,,,20400242,,N,osgb1000002298628273,15.0,osgb4000000030223271,2,osgb1000004206104,4,60488063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NB,NW6 1NB,S,2R,D,E05000132,2012-03-19,2,CS,249.0,POINT (525110.7304816869 185227.3035658541),2019-09-29 00:00:00,60488063,2021-04-01,550,2010-04-01,3468 days,4018,0,550,3468,0,False,True,Mill
60556063,33349,33349,00242005000008,E09000007,Camden,Inner London - West,50,MILL LANE,LONDON,NW6 1NJ,Shops,249,Retail High Street,Retail,48.5,15500.0,2017-04-01 00:00:00+00:00,2017,2021-03,7734.5,JAZZ CYCLES LTD,0.0,False,2013-12-19,2660.0,True,5036531,17724614.0,CR08,,524857.0,185121.0,51.551173999999996,-0.20057560000000002,1,JUST SEW,,,50.0,,,,50.0,,,,,20400242,,N,osgb1000002298927677,11.0,osgb4000000030138957,2,osgb1000004055368,3,60556063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NJ,NW6 1NJ,S,1E,D,E05000132,2012-03-19,1,CS,249.0,POINT (524858.7298953333 185121.2975193204),2013-12-19 00:00:00,60556063,2021-04-01,2660,2010-04-01,1358 days,4018,0,2660,1358,0,False,True,Mill
60560063,33565,33565,00242005600003,E09000007,Camden,Inner London - West,56,MILL LANE,LONDON,NW6 1NJ,Shops,249,Retail High Street,Retail,22.62,12250.0,2017-04-01 00:00:00+00:00,2017,2020-03,6014.75,SMART DRY CLEANERS LTD.,0.0,False,2019-11-08,145.0,True,5134668,17724609.0,CR08,,524870.0,185127.0,51.551225099999996,-0.20038599999999998,1,A K LOCKSMITHS,,,56.0,,,,56.0,,,,,20400242,,N,osgb1000002298009782,15.0,osgb4000000030138957,2,osgb1000004055365,4,60560063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NJ,NW6 1NJ,S,2Q,D,E05000132,2012-03-19,7,CS,249.0,POINT (524871.7349208387 185127.3034876558),2019-11-08 00:00:00,60560063,2020-04-01,145,2010-04-01,3508 days,3653,1,145,3508,0,False,True,Mill
60579063,34266,34266,00242008000002,E09000007,Camden,Inner London - West,80,MILL LANE,LONDON,NW6 1NL,Offices (Inc Computer Centres),203,Office General,Office,45.3,15750.0,2017-04-01 00:00:00+00:00,2017,2019-06,7733.25,MOYVALE PROPERTIES LTD,0.0,False,2018-04-01,456.0,True,5081086,56097259.0,CR08,,524926.0,185142.0,51.5513475,-0.1995735,1,BRIDAL RELOVED,,,80.0,,,,80.0,,,,,20400242,,N,,,osgb4000000030138957,2,osgb1000004055350,4,60579063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NL,NW6 1NL,S,2W,D,E05000132,2020-04-01,0,CS,249.0,POINT (524927.7298682194 185142.301193345),2018-04-01 00:00:00,60579063,2019-07-01,456,2010-04-01,2922 days,3378,1,456,2922,0,False,True,Mill
105847063,32579,32579,00242002000003,E09000007,Camden,Inner London - West,ADJ 20,MILL LANE,LONDON,NW6 1NS,Stores,268,Retail High Street,Retail,14.7,1800.0,2010-04-01 00:00:00+00:00,2010,2015-03,847.8,ELECTRIC MARKETING LIMITED,24.56,False,2014-04-01,365.0,True,5110114,,C,,524765.0,185081.0,51.5508349,-0.20191589999999998,2,,,,,,,,20.0,,,,,20400242,,N,,,osgb4000000030223245,3,osgb1000004055214,3,105847063.0,MILL LANE,,,LONDON,CAMDEN,,,NW6 1NS,,,L,E05000132,,0,CW3,268.0,POINT (524766.7348136291 185081.302780309),2014-04-01 00:00:00,105847063,2015-04-01,365,2010-04-01,1461 days,1826,1,365,1461,0,False,True,Mill
105895063,34145,34145,00242007810018,E09000007,Camden,Inner London - West,GND F 78,MILL LANE,LONDON,NW6 1NL,Offices (Inc Computer Centres),203,Office General,Office,37.0,11500.0,2010-04-01 00:00:00+00:00,2010,2011-03,4680.5,BARRETT FIRRELL LIMITED,-1.4210854715202e-14,False,2010-04-28,338.0,True,5110122,17724243.0,CR08,,524922.0,185141.0,51.551339399999996,-0.19963150000000002,2,ALAN HEYWOOD & CO,,,78.0,,,,78.0,,,,,20400242,,N,osgb1000002298572072,14.0,osgb4000000030138957,2,osgb1000004055351,4,105895063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1JZ,NW6 1JZ,L,1A,D,E05000132,2012-03-19,1,CO,203.0,POINT (524923.730955823 185141.301457962),2010-04-28 00:00:00,105895063,2011-04-01,338,2010-04-01,27 days,365,1,338,27,0,False,True,Mill
105904063,34625,34625,00242009810014,E09000007,Camden,Inner London - West,GND F 98,MILL LANE,LONDON,NW6 1NF,Shops,249,Retail High Street,Retail,61.6,14000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6986.0,SARA SOFT FURNISHINGS LTD,0.0,False,2010-06-22,3936.0,True,5024824,17724584.0,CR08,,524981.0,185156.0,51.55146120000001,-0.1987756,1,CURLED LEAF,,98A,,,,,98.0,,,,,20400242,,N,osgb1000002298572043,11.0,osgb4000000030329728,2,osgb1000004055322,2,105904063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NF,NW6 1NF,S,1Q,D,E05000145,2012-03-19,2,CS,249.0,POINT (524982.736130238 185156.3071121179),2010-06-22 00:00:00,105904063,2021-04-01,3936,2010-04-01,82 days,4018,0,3936,82,0,False,True,Mill
112147063,32652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mill
137614063,33968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mill
179614063,34706,34706,00242010210027,E09000007,Camden,Inner London - West,BST & GND FS 102,MILL LANE,LONDON,NW6 1NF,Shops,249,Retail High Street,Retail,74.0,20000.0,2017-04-01 00:00:00+00:00,2017,2019-06,9820.0,THAI HAVEN LIMITED,259.46,False,2019-01-18,164.0,True,5016131,17724586.0,C,,524996.0,185161.0,51.5515028,-0.1985576,1,THAI HAVEN,,,102.0,,,,102.0,,,,,20400242,,N,osgb1000002298572046,14.0,osgb4000000030329728,2,osgb1000004055324,2,179614063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NF,NW6 1NF,S,1B,D,E05000145,2012-03-19,1,CS,249.0,POINT (524997.7358844407 185161.3054438023),2019-01-18 00:00:00,179614063,2019-07-01,164,2010-04-01,3214 days,3378,1,164,3214,0,False,True,Mill
211977063,33048,33048,0024200410000B,E09000007,Camden,Inner London - West,41,MILL LANE,LONDON,NW6 1NB,Shops,249,Retail High Street,Retail,37.5,8000.0,2010-04-01 00:00:00+00:00,2010,2011-06,3408.0,FERSTER TRUST,0.0,False,2010-04-01,456.0,True,5021215,17724549.0,CM02HL,,525076.0,185225.0,51.5520602,-0.1973817,1,BEAUTY BLOSSOM,,,41.0,,,,41.0,,,,,20400242,,N,osgb1000002298628263,13.0,osgb4000000030223270,2,osgb1000004206098,3,211977063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NB,NW6 1NB,S,1E,D,E05000132,2012-03-19,0,CS,249.0,POINT (525077.7319958351 185225.2996171188),2010-04-01 00:00:00,211977063,2011-07-01,456,2010-04-01,0 days,456,1,456,0,0,False,True,Mill
223230063,34067,34067,00242007610035,E09000007,Camden,Inner London - West,GND F 76,MILL LANE,LONDON,NW6 1NL,Shops,249,Retail High Street,Retail,24.5,9300.0,2010-04-01 00:00:00+00:00,2010,2013-09,4296.6,ARCHERHOBLIN LIMITED IN LIQUIDATION,0.0,False,2012-01-19,621.0,True,5023857,17724637.0,C,,524917.0,185140.0,51.5513315,-0.1997039,1,ALISON DAVIDSON OPTICIANS,,,76.0,,,,76.0,,,,,20400242,,N,osgb1000002298572074,14.0,osgb4000000030138957,2,osgb1000004055352,4,223230063.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NL,NW6 1NL,S,2E,D,E05000132,2012-03-19,1,CS,249.0,POINT (524918.7331563359 185140.2993953595),2012-01-19 00:00:00,223230063,2013-10-01,621,2010-04-01,658 days,1279,1,621,658,0,False,True,Mill
346238000,33701,33701,0024200583000B,E09000007,Camden,Inner London - West,BST 58,MILL LANE,LONDON,NW6 1NJ,Studios,270,Office General,Office,92.18,6700.0,2017-04-01 00:00:00+00:00,2017,2021-03,3343.3,KILBURN & DISTRICT HOUSES LTD,0.0,False,2010-04-01,4018.0,True,5163105,,CO01,5087548.0,524874.0,185126.0,51.5512152,-0.2003287,2,,,,,,,STUDIO AND PREMISES AT BASEMENT,58.0,,,,,20400242,,N,,,osgb4000000030138957,2,osgb1000004055363,6,346238000.0,MILL LANE,,,LONDON,CAMDEN,,,NW6 1NJ,,,C,E05000132,,0,CX,270.0,POINT (524875.7345715465 185126.300294308),2010-04-01 00:00:00,346238000,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,0,False,True,Mill
1235859000,34915,34915,0024201142000A,E09000007,Camden,Inner London - West,PT BST GND & MEZZ FRONT 114,MILL LANE,LONDON,NW6 1NF,Shops,249,Retail High Street,Retail,28.0,6000.0,2010-04-01 00:00:00+00:00,2010,2016-09,2904.0,CHARTERHOUSE CONSOLIDATED LTD,0.0,False,2010-08-30,2224.0,True,5072336,17724591.0,C,,525039.0,185180.0,51.551664,-0.197931,2,HELENAS HAIR CARE,,,114.0,,,,114.0,,,,,20400242,,N,osgb1000002298628319,12.0,osgb4000000030223270,2,osgb1000004206189,4,1235859000.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NF,NW6 1NF,S,2B,D,E05000145,2012-03-19,5,CS,249.0,POINT (525040.7356499351 185180.3017757238),2010-08-30 00:00:00,1235859000,2016-10-01,2224,2010-04-01,151 days,2375,1,2224,151,0,False,False,Mill
1247899000,33454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mill
2909000000,32636,32636,00242003100006,E09000007,Camden,Inner London - West,31,MILL LANE,LONDON,NW6 1NX,Shops,249,Retail High Street,Retail,56.14,24000.0,2017-04-01 00:00:00+00:00,2017,2018-06,11520.0,STORM ESTATES LIMITED - IN LIQUIDATION,0.0,False,2011-06-15,2573.0,True,5001742,17724782.0,CR02,,524818.0,185138.0,51.5513354,-0.2011317,2,MARTYN GREGORY,,,31.0,,,,31.0,,,,,20400242,,N,osgb1000002298571977,13.0,osgb4000000030097646,5,osgb1000004055428,4,2909000000.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NX,NW6 1NX,S,1A,D,E05000132,2012-03-19,0,CS,249.0,POINT (524819.7344735513 185138.2977464365),2011-06-15 00:00:00,2909000000,2018-07-01,2573,2010-04-01,440 days,3013,1,2573,440,0,False,True,Mill
6440195000,34035,34035,00242007510012,E09000007,Camden,Inner London - West,GND FLR 75,MILL LANE,LONDON,NW6 1NB,Shops,249,Retail High Street,Retail,73.5,8800.0,2010-04-01 00:00:00+00:00,2010,2016-09,4259.2,EXECUTORS OF THE ESTATE OF MRS CLIFFORD,0.0,False,2010-04-01,2375.0,True,5110120,54823772.0,C,,525168.0,185232.0,51.5521028,-0.196053,2,SWING,,,75.0,,,,75.0,,,,,20400242,,N,,,osgb4000000030329731,2,osgb1000004206116,5,6440195000.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NB,NW6 1NB,S,4D,D,E05000132,2017-06-23,2,CS,249.0,POINT (525169.7311544346 185232.3079234938),2010-04-01 00:00:00,6440195000,2016-10-01,2375,2010-04-01,0 days,2375,1,2375,0,0,False,True,Mill
6440198000,34125,34125,00242007710023,E09000007,Camden,Inner London - West,GND FLR 77,MILL LANE,LONDON,NW6 1NB,Shops,249,Retail High Street,Retail,71.1,16500.0,2010-04-01 00:00:00+00:00,2010,2017-03,7986.0,G&C BUC LTD - IN LIQUIDATION,0.0,False,2016-09-06,207.0,True,5110121,17724551.0,P,,525174.0,185233.0,51.5521104,-0.1959661,2,THE SWING,,,77.0,,,,77.0,,,,,20400242,,N,osgb1000002298627053,15.0,osgb4000000030329731,2,osgb1000004206118,5,6440198000.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NB,NW6 1NB,S,2B,D,E05000132,2012-03-19,3,CS,249.0,POINT (525175.7348988841 185233.3016672747),2016-09-06 00:00:00,6440198000,2017-04-01,207,2010-04-01,2350 days,2557,1,207,2350,0,False,True,Mill
7151503000,34889,34889,00242011210012,E09000007,Camden,Inner London - West,BST & GND FLRS 112,MILL LANE,LONDON,NW6 1NF,Shops,249,Retail High Street,Retail,62.1,17000.0,2017-04-01 00:00:00+00:00,2017,2021-03,8483.0,BEST BEGINNINGS,0.0,False,2012-03-26,3293.0,True,5045155,51911850.0,CR08,,525033.0,185178.0,51.5516474,-0.1980182,2,MONSTERS OF ART,,,112.0,,,,112.0,,,,,20400242,,N,osgb1000002298978267,7.0,osgb4000000030223283,6,osgb1000004206188,4,7151503000.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NF,NW6 1NF,S,3E,D,E05000145,2012-03-19,4,CS,249.0,POINT (525034.7356798558 185178.306834348),2012-03-26 00:00:00,7151503000,2021-04-01,3293,2010-04-01,725 days,4018,0,3293,725,0,False,True,Mill
7444313000,310867,310867,00242009200018,E09000007,Camden,Inner London - West,GND F 92,MILL LANE,LONDON,NW6 1NL,Shops,249,Retail High Street,Retail,28.74,16500.0,2017-04-01 00:00:00+00:00,2017,2021-03,8233.5,CHESTERHILL INVESTMENTS LTD,6573.02,False,2018-10-31,883.0,True,5051639,17724640.0,CR08,,524955.0,185149.0,51.551404,-0.1991529,1,IN THE GARDEN,,,92.0,,,,92.0,,,,,20400242,,N,osgb1000002298965734,3.0,osgb4000000030223281,5,osgb1000004055344,4,7444313000.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NL,NW6 1NL,S,1P,D,E05000132,2012-03-19,0,CS,249.0,POINT (524956.7349640132 185149.3021091195),2018-10-31 00:00:00,7444313000,2021-04-01,883,2010-04-01,3135 days,4018,0,883,3135,0,False,True,Mill
8785049000,345597,345597,00242006200014,E09000007,Camden,Inner London - West,GRD FLR 62,MILL LANE,LONDON,NW6 1NJ,Shops,249,Retail High Street,Retail,31.26,14000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6986.0,MILL LEASE LIMITED,0.0,False,2017-10-18,1261.0,True,5156583,17724617.0,CR02,,524882.0,185133.0,51.5512763,-0.2002109,2,MISHKA,,60-62,,,,,60.0,,62.0,,,20400242,,N,osgb1000002298572087,12.0,osgb4000000030138957,2,osgb5000005153434709,1,8785049000.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NJ,NW6 1NJ,S,1W,D,E05000132,2012-03-19,0,CS,249.0,POINT (524883.7343704239 185133.2958752728),2017-10-18 00:00:00,8785049000,2021-04-01,1261,2010-04-01,2757 days,4018,0,1261,2757,0,False,True,Mill
8824136000,355423,355423,00242006610001,E09000007,Camden,Inner London - West,GND FLR FNT 66,MILL LANE,LONDON,NW6 1NJ,Shops,249,Retail High Street,Retail,18.3,10750.0,2017-04-01 00:00:00+00:00,2017,2021-03,5364.25,CENTRAL & DISTRICT INVESTMENTS LIMITED,0.0,False,2012-11-19,3055.0,True,5059858,17724621.0,CR08,,524893.0,185135.0,51.5512919,-0.2000517,2,,,,66.0,,,,66.0,,,,,20400242,,N,osgb1000002298572083,14.0,osgb4000000030138957,2,osgb1000004055357,5,8824136000.0,MILL LANE,,MILL LANE,LONDON,CAMDEN,LONDON,NW6 1NJ,NW6 1NJ,S,1Q,D,E05000132,2012-03-19,3,CS,249.0,POINT (524894.7288790471 185135.3022614706),2012-11-19 00:00:00,8824136000,2021-04-01,3055,2010-04-01,963 days,4018,0,3055,963,0,False,True,Mill
