,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
58407063,49716,49716,0032501180000B,E09000007,Camden,Inner London - West,118,MALDEN ROAD,LONDON,NW5 4BY,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,156.4,14250.0,2017-04-01 00:00:00+00:00,2017,2021-03,7110.75,EXECUTORS OF THE ESTATE OF DR ZAKA UD DE,0.0,False,2016-12-15,1568.0,True,5014970,17720211.0,CM02HL,,528159.0,185024.0,51.5495627,-0.15301220000000001,2,,,,118.0,,,,118.0,,,,,20400325,,N,osgb1000002298778061,12.0,osgb4000000030355226,6,osgb1000005305143,3,58407063.0,MALDEN ROAD,,MALDEN ROAD,LONDON,CAMDEN,LONDON,NW5 4BY,NW5 4BY,S,1F,D,E05000134,2012-03-19,0,MH,437.0,POINT (528160.7813919652 185024.3066723906),2016-12-15 00:00:00,58407063,2021-04-01,1568,2010-04-01,2450 days,4018,0,1568,2450,0,False,True,Queens
70522063,52840,52840,00350009800005,E09000007,Camden,Inner London - West,98,QUEENS CRESCENT,LONDON,NW5 4DY,Restaurants,234,Retail Restaurants & Cafes,Retail,77.63,23500.0,2017-04-01 00:00:00+00:00,2017,2021-03,11726.5,UGURHAN UK LTD,0.0,False,2016-01-19,1899.0,True,5038292,28140928.0,CR08,,528296.0,185080.0,51.5500349,-0.151017,1,MERVE,,,98.0,,,,98.0,,,,,20400350,,N,osgb1000002298904510,22.0,osgb4000000030250528,9,osgb1000005304591,5,70522063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DY,NW5 4DY,S,1Q,D,E05000136,2012-03-19,2,CR,234.0,POINT (528297.7838795793 185080.3122076661),2016-01-19 00:00:00,70522063,2021-04-01,1899,2010-04-01,2119 days,4018,0,1899,2119,0,False,True,Queens
70548063,52260,52260,00350006610015,E09000007,Camden,Inner London - West,66,QUEENS CRESCENT,LONDON,NW5 4EE,Shops,249,Retail High Street,Retail,87.4,11250.0,2017-04-01 00:00:00+00:00,2017,2019-03,5400.0,LA FOODS (UK) LTD,0.0,False,2018-08-31,213.0,True,5059729,28100050.0,C,,528205.0,185004.0,51.54937260000001,-0.1523565,2,,,,66.0,,,,66.0,,,,,20400350,,N,osgb1000002298902083,18.0,osgb4000000030250527,6,osgb1000005305154,7,70548063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4EE,NW5 4EE,S,1Q,D,E05000136,2012-03-19,1,CS,249.0,POINT (528206.7759248805 185004.3148039904),2018-08-31 00:00:00,70548063,2019-04-01,213,2010-04-01,3074 days,3287,1,213,3074,0,False,True,Queens
96436063,52532,52532,00350008210018,E09000007,Camden,Inner London - West,GND F 82,QUEENS CRESCENT,LONDON,NW5 4EB,Shops,249,Retail High Street,Retail,49.0,12250.0,2017-04-01 00:00:00+00:00,2017,2021-03,6112.75,GE COMMERCIAL FINANCIAL SERVICES REAL ES,9.09494701772928e-13,False,2011-04-01,3653.0,True,5048351,28100120.0,CR04,,528250.0,185041.0,51.5496949,-0.1516943,2,ISHA MINI SUPERMARKET,,,82.0,,,,82.0,,,,,20400350,,N,osgb1000002298902087,15.0,osgb4000000030355243,5,osgb1000005305174,2,96436063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4EB,NW5 4EB,S,1N,D,E05000136,2012-03-19,1,CS,249.0,POINT (528251.7816622369 185041.3159088062),2011-04-01 00:00:00,96436063,2021-04-01,3653,2010-04-01,365 days,4018,0,3653,365,0,False,True,Queens
96447063,52863,52863,00350010400005,E09000007,Camden,Inner London - West,ADJ 104,QUEENS CRESCENT,LONDON,NW5 4DU,Offices (Inc Computer Centres),203,Office General,Office,104.1,17500.0,2010-04-01 00:00:00+00:00,2010,2015-12,8400.0,LBC - RK20NCE020,0.0,False,2015-05-26,220.0,True,5133295,17720536.0,C,,528337.0,185119.0,51.5503761,-0.15041179999999998,1,,,104A,,,,,104.0,A,,,,20400350,,N,osgb1000002298778315,14.0,osgb4000000030603257,3,osgb1000005305014,2,96447063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DU,NW5 4DU,S,1D,D,E05000136,2012-03-19,0,CO,203.0,POINT (528338.7833153979 185119.3159811622),2015-05-26 00:00:00,96447063,2016-01-01,220,2010-04-01,1881 days,2101,1,220,1881,0,False,True,Queens
96504063,53544,53544,0035001511001A,E09000007,Camden,Inner London - West,GND F 151,QUEENS CRESCENT,LONDON,NW5 4ED,Shops,249,Retail High Street,Retail,65.2,13750.0,2017-04-01 00:00:00+00:00,2017,2021-03,6861.25,ANDREW KIRK MANAGEMENT LIMITED,0.0,False,2016-09-06,1668.0,True,5110257,17720561.0,CR04,,528228.0,185066.0,51.5499245,-0.15200229999999998,2,SUPERCHOICE,,,151.0,,,,151.0,,,,,20400350,,N,osgb1000002298920203,17.0,osgb4000000030355243,5,osgb1000005305169,2,96504063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4ED,NW5 4ED,S,1G,D,E05000134,2012-03-19,2,CS,249.0,POINT (528229.7826143592 185066.3089198075),2016-09-06 00:00:00,96504063,2021-04-01,1668,2010-04-01,2350 days,4018,0,1668,2350,0,False,True,Queens
96509063,53614,53614,00350016700007,E09000007,Camden,Inner London - West,167,QUEENS CRESCENT,LONDON,NW5 4DS,Shops,249,Retail High Street,Retail,123.64,12750.0,2010-04-01 00:00:00+00:00,2010,2016-09,6171.0,LBC - RK20NCE020,0.0,False,2016-06-23,100.0,True,5070758,17720505.0,CR,,528351.0,185160.0,51.5507414,-0.1501951,2,,,,167.0,,,,167.0,,,,,20400350,,N,osgb1000002298778172,14.0,osgb4000000030250530,5,osgb1000005305004,5,96509063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DS,NW5 4DS,S,1A,D,E05000134,2012-03-19,0,CS,249.0,POINT (528352.7798107177 185160.3188956882),2016-06-23 00:00:00,96509063,2016-10-01,100,2010-04-01,2275 days,2375,1,100,2275,0,False,False,Queens
96704063,53830,53830,00350018100008,E09000007,Camden,Inner London - West,181,QUEENS CRESCENT,LONDON,NW5 4DS,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,84.49,8400.0,2010-04-01 00:00:00+00:00,2010,2015-09,4032.0,LBC - RK20NCE020,0.0,False,2015-02-06,237.0,True,5070762,17720523.0,CR08,,528351.0,185160.0,51.5507414,-0.1501951,2,M A C UK,,,181.0,,,,181.0,,,,,20400350,,N,osgb1000002298778176,15.0,osgb4000000030250530,5,osgb1000005305004,5,96704063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DS,NW5 4DS,S,1J,D,E05000134,2012-03-19,0,IF3,96.0,POINT (528352.7798107177 185160.3188956882),2015-02-06 00:00:00,96704063,2015-10-01,237,2010-04-01,1772 days,2009,1,237,1772,0,False,False,Queens
96705063,53896,53896,0035001830000A,E09000007,Camden,Inner London - West,183,QUEENS CRESCENT,LONDON,NW5 4DS,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,62.17,7400.0,2017-04-01 00:00:00+00:00,2017,2021-03,3692.6,LBC - RK20NCE020,0.0,False,2012-07-11,3186.0,True,5070763,17720507.0,CI04PL,,528351.0,185160.0,51.5507414,-0.1501951,2,PASS THE PARCEL,,,183.0,,,,183.0,,,,,20400350,,N,osgb1000002298778177,14.0,osgb4000000030250530,5,osgb1000005305004,5,96705063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DS,NW5 4DS,S,1L,D,E05000134,2012-03-19,0,IF3,96.0,POINT (528352.7798107177 185160.3188956882),2012-07-11 00:00:00,96705063,2021-04-01,3186,2010-04-01,832 days,4018,0,3186,832,0,False,False,Queens
96706063,53940,53940,00350018500001,E09000007,Camden,Inner London - West,185,QUEENS CRESCENT,LONDON,NW5 4DS,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,84.47,10000.0,2017-04-01 00:00:00+00:00,2017,2021-03,4990.0,LBC - RK20NCE020,0.0,False,2012-07-11,3186.0,True,5070764,17720524.0,C,,528351.0,185160.0,51.5507414,-0.1501951,2,,,,185.0,,,,185.0,,,,,20400350,,N,osgb1000002298778178,13.0,osgb4000000030250530,5,osgb1000005305004,5,96706063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DS,NW5 4DS,S,1N,D,E05000134,2012-03-19,0,IF3,96.0,POINT (528352.7798107177 185160.3188956882),2012-07-11 00:00:00,96706063,2021-04-01,3186,2010-04-01,832 days,4018,0,3186,832,0,False,False,Queens
