,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
72649063,96570,96570,00622015810033,E09000007,Camden,Inner London - West,158,REGENTS PARK ROAD,LONDON,NW1 8XN,Shops,249,Retail High Street,Retail,96.4,45500.0,2017-04-01 00:00:00+00:00,2017,2021-03,22704.5,"SHELTER, THE NATIONAL CAMPAIGN FOR HOMEL",46.87,False,2020-03-03,394.0,True,5087034,17652543.0,C,,527925.0,184115.0,51.5414466,-0.1567155,1,,,,158.0,,,,158.0,,,,,20400622,,N,osgb1000002298725479,14.0,osgb4000000030872392,0,osgb1000005162483,3,72649063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8XN,NW1 8XN,S,2L,D,E05000130,2012-03-19,1,CS,249.0,POINT (527926.7693491713 184115.2833125208),2020-03-03 00:00:00,72649063,2021-04-01,394,2010-04-01,3624 days,4018,0,394,3624,0,False,True,Regents
97424063,95193,95193,00622006910016,E09000007,Camden,Inner London - West,GND F 69,REGENTS PARK ROAD,LONDON,NW1 8UY,Shops,249,Retail High Street,Retail,49.0,56000.0,2017-10-03 00:00:00+00:00,2017,2017-12,26824.0,SPICERHAART ESTATE AGENTS LTD,0.0,False,2013-12-16,1477.0,True,5062853,17652402.0,CR09,,527869.0,184085.0,51.541189700000004,-0.1575335,1,HARRIET KELSALL JEWELLERY DESIGN LTD,,,69.0,,,,69.0,,,,,20400622,,N,osgb1000002298725451,9.0,osgb4000000030329969,2,osgb1000005162426,3,97424063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8UY,NW1 8UY,S,1A,D,E05000130,2012-03-19,2,CS,249.0,POINT (527870.7657115294 184085.285962595),2013-12-16 00:00:00,97424063,2018-01-01,1477,2010-04-01,1355 days,2832,1,1477,1355,0,False,True,Regents
97425063,95218,95218,00622007110017,E09000007,Camden,Inner London - West,GND F 71,REGENTS PARK ROAD,LONDON,NW1 8UY,Restaurants,234,Retail Restaurants & Cafes,Retail,44.24,14500.0,2010-04-01 00:00:00+00:00,2010,2013-03,6525.0,UNLIMIT LTD,0.0,False,2012-12-28,94.0,True,5087647,17652403.0,C,,527870.0,184089.0,51.541225399999995,-0.1575176,1,,,,71.0,,,,71.0,,,,,20400622,,N,osgb1000002298725450,12.0,osgb4000000030329969,2,osgb1000005162425,4,97425063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8UY,NW1 8UY,S,1Y,D,E05000130,2012-03-19,2,CR,234.0,POINT (527871.768294752 184089.2837294669),2012-12-28 00:00:00,97425063,2013-04-01,94,2010-04-01,1002 days,1096,1,94,1002,0,False,True,Regents
97466063,95781,95781,00622010710012,E09000007,Camden,Inner London - West,BST F 107,REGENTS PARK ROAD,LONDON,NW1 8UR,Offices (Inc Computer Centres),203,Office General,Office,28.8,4350.0,2010-04-01 00:00:00+00:00,2010,2010-12,1770.45,ANDREW JOHN ESTATES LTD,0.0,False,2010-04-01,275.0,True,5160067,,CO01,5086900.0,527948.0,184194.0,51.542151399999995,-0.15635529999999995,2,,,,,,,OFFICES AND PREMISES AT BASEMENT FLOOR,107.0,,,,,20400622,,N,,,osgb4000000030223534,4,osgb1000005162640,3,97466063.0,REGENT'S PARK ROAD,,,LONDON,CAMDEN,,,NW1 8UR,,,C,E05000130,,0,CO,203.0,POINT (527949.7716957426 184194.2896035875),2010-04-01 00:00:00,97466063,2011-01-01,275,2010-04-01,0 days,275,1,275,0,0,False,True,Regents
97467063,95859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regents
97618063,96610,96610,0062201601002A,E09000007,Camden,Inner London - West,GND F 160,REGENTS PARK ROAD,LONDON,NW1 8XN,Shops,249,Retail High Street,Retail,43.6409714889123,28000.0,2017-04-01 00:00:00+00:00,2017,2020-03,13748.0,PRESS U.K. LIMITED,5342.65,False,2019-10-12,172.0,True,5087047,17652544.0,C,,527928.0,184120.0,51.5414909,-0.1566705,1,,,,160.0,,,,160.0,,,,,20400622,,N,osgb1000002298725478,13.0,osgb4000000030329976,5,osgb1000005162482,3,97618063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8XN,NW1 8XN,S,2N,D,E05000130,2012-03-19,1,CS,249.0,POINT (527929.7656836103 184120.2882951918),2019-10-12 00:00:00,97618063,2020-04-01,172,2010-04-01,3481 days,3653,1,172,3481,0,False,True,Regents
97624063,96827,96827,00622017010013,E09000007,Camden,Inner London - West,BST & GND FS 170,REGENTS PARK ROAD,LONDON,NW1 8XN,Shops,249,Retail High Street,Retail,73.8,45500.0,2017-04-01 00:00:00+00:00,2017,2019-06,22340.5,THE PURPLE ARK LIMITED,0.0,False,2018-02-01,515.0,True,5087079,17652535.0,CR08,,527946.0,184141.0,51.541675500000004,-0.1564034,1,LAVENDER ON THE HILL,,,170.0,,,,170.0,,,,,20400622,,N,osgb1000002298725467,14.0,osgb4000000030329977,2,osgb1000005162477,3,97624063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8XN,NW1 8XN,S,2D,D,E05000130,2012-03-19,3,CS,249.0,POINT (527947.7700285056 184141.2833650087),2018-02-01 00:00:00,97624063,2019-07-01,515,2010-04-01,2863 days,3378,1,515,2863,0,False,True,Regents
106564063,93599,93599,00609000120063,E09000007,Camden,Inner London - West,6 PRIMROSE MEWS 1A,SHARPLESHALL STREET,LONDON,NW1 8YL,Offices (Inc Computer Centres),203,Office General,Office,41.5,13000.0,2010-04-01 00:00:00+00:00,2010,2014-12,6123.0,BRIGHTON LAND LTD,0.0,False,2013-07-13,537.0,True,5090803,17652787.0,CL07EN,,527925.0,184028.0,51.5406648,-0.1567471,1,,,,6.0,,,,6.0,,,,,20499128,,N,osgb1000002298947305,12.0,osgb5000005152937563,0,osgb1000005162863,3,106564063.0,PRIMROSE MEWS,PRIMROSE MEWS,SHARPLESHALL STREET,LONDON,CAMDEN,LONDON,NW1 8YW,NW1 8YW,S,1G,D,E05000130,2012-03-19,0,CO,203.0,POINT (527926.7686533466 184028.2884961724),2013-07-13 00:00:00,106564063,2015-01-01,537,2010-04-01,1199 days,1736,1,537,1199,0,False,True,Regents
110663063,93115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regents
1844763000,95954,95954,00622011120036,E09000007,Camden,Inner London - West,GND 1ST & 2ND FLOORS (FRONT) 111,REGENTS PARK ROAD,LONDON,NW1 8UR,Offices (Inc Computer Centres),203,Office General,Office,150.4,73000.0,2017-04-01 00:00:00+00:00,2017,2021-03,37376.0,CHURCHILL CAPITAL UK LIMITED,5071.6,False,2019-01-04,818.0,True,5160052,,CO01,5008601.0,527969.0,184221.0,51.542389299999996,-0.15604289999999998,2,,,,,,,OFFICES AND PREMISES AT GROUND 1ST AND 2ND FLOOR FRONT,111.0,,,,,20400622,,N,,,osgb4000000031051867,1,osgb1000005162643,2,1844763000.0,REGENT'S PARK ROAD,,,LONDON,CAMDEN,,,NW1 8UR,,,C,E05000130,,0,CO,203.0,POINT (527970.7674827733 184221.2911253214),2019-01-04 00:00:00,1844763000,2021-04-01,818,2010-04-01,3200 days,4018,0,818,3200,0,False,True,Regents
