,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
21387063,27675,27675,00194000410093,E09000007,Camden,Inner London - West,GND F 4,CONSTANTINE ROAD,LONDON,NW3 2NG,Shops,249,Retail High Street,Retail,31.1,14000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6986.0,21387063,,True,2017-04-01,,True,5162728,17683614.0,CR08,5000849.0,527360.0,185514.0,51.554147,-0.1643522,1,NEWMAN & SON,,,4.0,,,SHOP AND PREMISES AT GROUND FLOOR,4.0,,,,,20400194,,N,,,osgb4000000030223954,5,osgb1000005164593,5,21387063.0,CONSTANTINE ROAD,,CONSTANTINE ROAD,LONDON,CAMDEN,LONDON,NW3 2NG,NW3 2NG,S,1U,D,E05000134,2012-03-19,0,CS,249.0,POINT (527361.7696810133 185514.3109834445),2017-04-01 00:00:00,21387063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,SouthEnd
77987063,26091,26091,0018700011002B,E09000007,Camden,Inner London - West,1,SOUTH END ROAD,LONDON,NW3 2PT,Shops,249,Retail High Street,Retail,59.23,46000.0,2017-04-01 00:00:00+00:00,2017,2021-03,22954.0,LE PAIN QUOTIDIEN LTD,8351.88,True,2010-04-01,4018.0,True,5009093,17683993.0,CR07,,527266.0,185508.0,51.554114299999995,-0.1657095,1,VILLAGE DU PAIN LTD,,,1.0,,,,1.0,,,,,20400187,,N,osgb1000002298729254,13.0,osgb4000000030139311,3,osgb1000005164374,4,77987063.0,SOUTH END ROAD,,SOUTH END ROAD,LONDON,CAMDEN,LONDON,NW3 2PT,NW3 2PT,S,1A,D,E05000135,2012-03-19,0,CS,249.0,POINT (527267.7667871608 185508.3139906432),2010-04-01 00:00:00,77987063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,SouthEnd
77994063,319185,319185,00187002100006,E09000007,Camden,Inner London - West,21,SOUTH END ROAD,LONDON,NW3 2PT,Shops,249,Retail High Street,Retail,86.34,38750.0,2017-04-01 00:00:00+00:00,2017,2021-03,19336.25,77994063,,True,2017-04-01,,True,5058424,17683992.0,CR09,,527244.0,185564.0,51.5546225,-0.1660064,2,RETAIL 24,,,21.0,,,,21.0,,,,,20400187,,N,osgb1000002298728832,11.0,osgb4000000030991087,4,osgb1000005164384,4,77994063.0,SOUTH END ROAD,,SOUTH END ROAD,LONDON,CAMDEN,LONDON,NW3 2PT,NW3 2PT,S,1H,D,E05000135,2012-03-19,1,CS,249.0,POINT (527245.7672796921 185564.3121196802),2017-04-01 00:00:00,77994063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,SouthEnd
78138063,27411,27411,00192001000004,E09000007,Camden,Inner London - West,10,SOUTH HILL PARK,LONDON,NW3 2SB,Shops,249,Retail High Street,Retail,40.6,10500.0,2017-04-01 00:00:00+00:00,2017,2021-03,5239.5,78138063,,True,2017-04-01,,True,5054986,17684551.0,CO01,,527276.0,185707.0,51.5559004,-0.16549339999999998,1,NETWORK TYPING,,,10.0,,,,10.0,,,,,20400192,,N,osgb1000002298875971,10.0,osgb4000000030330335,2,osgb1000005164792,4,78138063.0,SOUTH HILL PARK,,SOUTH HILL PARK,LONDON,CAMDEN,LONDON,NW3 2SB,NW3 2SB,S,1A,D,E05000135,2012-03-19,4,CS,249.0,POINT (527277.7660370102 185707.3125460983),2017-04-01 00:00:00,78138063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,SouthEnd
78139063,367311,367311,00192001210012,E09000007,Camden,Inner London - West,12,SOUTH HILL PARK,LONDON,NW3 2SB,Offices (Inc Computer Centres),203,Office General,Office,33.3,12000.0,2017-04-01 00:00:00+00:00,2017,2021-03,5988.0,LB AGENCY UK LIMITED,354.1,True,2016-02-01,1886.0,True,5055451,17684554.0,CR08,,527276.0,185713.0,51.555954299999996,-0.1654912,1,HARTWIG,,,12.0,,,,12.0,,,,,20400192,,N,osgb1000002298728576,16.0,osgb4000000030330336,3,osgb1000005164793,4,78139063.0,SOUTH HILL PARK,,SOUTH HILL PARK,LONDON,CAMDEN,LONDON,NW3 2SB,NW3 2SB,S,1B,D,E05000135,2012-03-19,1,CO,203.0,POINT (527277.7682053396 185713.3103090745),2016-02-01 00:00:00,78139063,2021-04-01,1886,2010-04-01,2132 days,4018,0,1886,2132,1,False,True,SouthEnd
78155063,27367,27367,00192000610018,E09000007,Camden,Inner London - West,6,SOUTH HILL PARK,LONDON,NW3 2SB,Shops,249,Retail High Street,Retail,38.89,11500.0,2017-04-01 00:00:00+00:00,2017,2021-03,5738.5,78155063,,True,2017-04-01,,True,5054185,17684568.0,CR02,,527275.0,185694.0,51.5557838,-0.1655125,2,AMBERDEN ESTATES,,,6.0,,,,6.0,,,,,20400192,,N,osgb1000002298892417,15.0,osgb4000000030330335,2,osgb1000005164790,5,78155063.0,SOUTH HILL PARK,,SOUTH HILL PARK,LONDON,CAMDEN,LONDON,NW3 2SB,NW3 2SB,S,2H,D,E05000135,2012-03-19,3,CS,249.0,POINT (527276.7672110283 185694.312859145),2017-04-01 00:00:00,78155063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,SouthEnd
84194063,298871,298871,05116000100006,E09000007,Camden,Inner London - West,1,TRANLEY MEWS,LONDON,NW3 2QZ,Offices (Inc Computer Centres),203,Office General,Office,382.17,110000.0,2017-04-01 00:00:00+00:00,2017,2021-03,56320.0,QS QUACQUARELLI SYMONDS LTD,33436.28,True,2010-04-01,4018.0,True,5073287,27518519.0,CR08,,527405.0,185512.0,51.5541189,-0.16370420000000002,1,Q S QUACQUARELLI SYMONDS LTD,,,1.0,,,,1.0,,,,,20401349,,N,osgb1000002298899387,7.0,osgb4000000030223979,6,osgb1000005164599,4,84194063.0,TRANLEY MEWS,TRANLEY MEWS,FLEET ROAD,LONDON,CAMDEN,LONDON,NW3 2DG,NW3 2DG,S,1A,D,E05000134,2012-03-19,1,CO,203.0,POINT (527406.770376784 185512.3137393966),2010-04-01 00:00:00,84194063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,SouthEnd
100582063,28027,28027,001950085A0004,E09000007,Camden,Inner London - West,85A,FLEET ROAD,LONDON,NW3 2QY,Cafes,409,Retail Restaurants & Cafes,Retail,39.28,18500.0,2017-04-01 00:00:00+00:00,2017,2021-03,9231.5,100582063,,True,2017-04-01,,True,5074526,17684286.0,CR07,,527329.0,185494.0,51.55397429999999,-0.1648063,1,ZAMAZINGO BISTRO,,85A,,,,,85.0,A,,,,20400195,,N,osgb1000002298729275,14.0,osgb4000000031138410,3,osgb1000005165934,12,100582063.0,FLEET ROAD,,FLEET ROAD,LONDON,CAMDEN,LONDON,NW3 2QY,NW3 2QY,S,1E,D,E05000135,2012-03-19,0,CR1,409.0,POINT (527330.771313611 185494.315965771),2017-04-01 00:00:00,100582063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,SouthEnd
100769063,28115,28115,00195008700004,E09000007,Camden,Inner London - West,GND F 87,FLEET ROAD,LONDON,NW3 2QY,Shops,249,Retail High Street,Retail,18.1,8100.0,2017-04-01 00:00:00+00:00,2017,2021-03,4041.9,PERRITT & PERRITT LIMITED T/A THE STAG L,,True,2010-04-01,4018.0,True,5054252,17684285.0,CR,,527323.0,185502.0,51.554047499999996,-0.16488989999999998,2,HEATH SHOE REPAIRS,,,87.0,,,,87.0,,,,,20400195,,N,osgb1000002298729273,16.0,osgb4000000030455463,4,osgb1000005164987,12,100769063.0,FLEET ROAD,,FLEET ROAD,LONDON,CAMDEN,LONDON,NW3 2QY,NW3 2QY,S,1D,D,E05000135,2012-03-19,0,CS,249.0,POINT (527324.7715337018 185502.3107421868),2010-04-01 00:00:00,100769063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,SouthEnd
100776063,399365,399365,00195015820001,E09000007,Camden,Inner London - West,THE WHITE HORSE 154,FLEET ROAD,LONDON,NW3 2QX,Public Houses/Pub Restaurants (National Scheme),226,Retail Restaurants & Cafes,Retail,373.89528845428003,89500.0,2017-04-01 00:00:00+00:00,2017,2021-03,45824.0,C&B HAMPSTEAD LIMITED,29314.81,True,2018-07-19,987.0,True,5083479,17684250.0,C,,527350.0,185509.0,51.55410429999999,-0.1644982,2,,,154-156,,,,,154.0,,156.0,,,20400195,,N,osgb1000002298729268,17.0,osgb4000000031138410,3,osgb1000005164594,9,100776063.0,FLEET ROAD,,FLEET ROAD,LONDON,CAMDEN,LONDON,NW3 2QX,NW3 2QX,S,2U,D,E05000134,2012-03-19,4,CL,226.0,POINT (527351.76747245 185509.3085361072),2018-07-19 00:00:00,100776063,2021-04-01,987,2010-04-01,3031 days,4018,0,987,3031,1,False,True,SouthEnd
100778063,399349,399349,00195008720008,E09000007,Camden,Inner London - West,THE ROYAL FREE HOSPITAL RECREATION CLUB,FLEET ROAD,LONDON,NW3 2QX,Sports & Leisure Centres Within/Part of Specialist Property,509,Leisure Sports centres and Private Clubs,Leisure,545.409108931319,62500.0,2017-04-01 00:00:00+00:00,2017,2021-03,32000.0,THE SPECIAL TRUSTEES,29312.67,True,2010-04-01,4018.0,True,5090618,,CL10RE,,527394.0,185453.0,51.55359110000001,-0.1638841,2,,,,,,,,,,,,ROYAL FREE HOSPITAL RECREATION CLUB,20400195,,N,osgb5000000001199939,18.0,osgb4000000031138453,2,osgb1000005166018,5,100778063.0,FLEET ROAD,,,LONDON,CAMDEN,,,NW3 2PF,,,L,E05000135,,0,LC2,509.0,POINT (527395.7723052856 185453.3067951424),2010-04-01 00:00:00,100778063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,SouthEnd
