,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
77998063,367287,367287,00187002700001,E09000007,Camden,Inner London - West,27,SOUTH END ROAD,LONDON,NW3 2PT,Shops,249,Retail High Street,Retail,66.57,26750.0,2017-04-01 00:00:00+00:00,2017,2021-03,13348.25,FIRST QUENCH RETAILING LIMITED - POST AD,0.0,False,2010-04-01,4018.0,True,5032480,17683990.0,CR09,,527239.0,185577.0,51.5547404,-0.1660738,2,PALM REFLEXOLOGY,,,27.0,,,,27.0,,,,,20400187,,N,osgb1000002298728711,9.0,osgb4000000030411307,4,osgb1000005164387,4,77998063.0,SOUTH END ROAD,,SOUTH END ROAD,LONDON,CAMDEN,LONDON,NW3 2PT,NW3 2PT,S,1P,D,E05000135,2012-03-19,0,CS,249.0,POINT (527240.7661190432 185577.3060058195),2010-04-01 00:00:00,77998063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,0,False,True,SouthEnd
78139063,367290,367290,00192001210012,E09000007,Camden,Inner London - West,12,SOUTH HILL PARK,LONDON,NW3 2SB,Offices (Inc Computer Centres),203,Office General,Office,39.9,9000.0,2015-04-01 00:00:00+00:00,2010,2015-12,4320.0,HARTWIG CARE LTD,0.0,False,2013-01-28,1068.0,True,5055451,17684554.0,CR08,,527276.0,185713.0,51.555954299999996,-0.1654912,1,HARTWIG,,,12.0,,,,12.0,,,,,20400192,,N,osgb1000002298728576,16.0,osgb4000000030330336,3,osgb1000005164793,4,78139063.0,SOUTH HILL PARK,,SOUTH HILL PARK,LONDON,CAMDEN,LONDON,NW3 2SB,NW3 2SB,S,1B,D,E05000135,2012-03-19,1,CO,203.0,POINT (527277.7682053396 185713.3103090745),2013-01-28 00:00:00,78139063,2016-01-01,1068,2010-04-01,1033 days,2101,1,1068,1033,0,False,True,SouthEnd
100776063,399354,399354,00195015820001,E09000007,Camden,Inner London - West,THE WHITE HORSE 154,FLEET ROAD,LONDON,NW3 2QX,Public Houses/Pub Restaurants (National Scheme),226,Retail Restaurants & Cafes,Retail,373.89528845428003,89500.0,2017-04-01 00:00:00+00:00,2017,2018-06,44123.5,HABIBE ANA LIMITED - DISSOLVED,0.0,False,2017-05-15,412.0,True,5083479,17684250.0,C,,527350.0,185509.0,51.55410429999999,-0.1644982,2,,,154-156,,,,,154.0,,156.0,,,20400195,,N,osgb1000002298729268,17.0,osgb4000000031138410,3,osgb1000005164594,9,100776063.0,FLEET ROAD,,FLEET ROAD,LONDON,CAMDEN,LONDON,NW3 2QX,NW3 2QX,S,2U,D,E05000134,2012-03-19,4,CL,226.0,POINT (527351.76747245 185509.3085361072),2017-05-15 00:00:00,100776063,2018-07-01,412,2010-04-01,2601 days,3013,1,412,2601,0,False,True,SouthEnd
107031063,355374,355374,00187005300002,E09000007,Camden,Inner London - West,BST & GND FS 53,SOUTH END ROAD,LONDON,NW3 2QB,Shops,249,Retail High Street,Retail,154.5,35750.0,2014-03-11 00:00:00+00:00,2010,2016-03,17160.0,DORRINGTON PLC,0.0,False,2015-12-21,102.0,True,5034493,17684051.0,CR08,,527191.0,185664.0,51.5555331,-0.16673429999999995,2,TOPPS TILES,,,53.0,,,,53.0,,,,,20400187,,N,osgb1000002298728658,13.0,osgb4000000030223957,2,osgb1000005164451,4,107031063.0,SOUTH END ROAD,,SOUTH END ROAD,LONDON,CAMDEN,LONDON,NW3 2QB,NW3 2QB,S,1F,D,E05000135,2012-03-19,0,CS,249.0,POINT (527192.768401147 185664.31017338),2015-12-21 00:00:00,107031063,2016-04-01,102,2010-04-01,2090 days,2192,1,102,2090,0,False,True,SouthEnd
107035063,26949,26949,00187005700006,E09000007,Camden,Inner London - West,BST & GND FS 57,SOUTH END ROAD,LONDON,NW3 2QB,Shops,249,Retail High Street,Retail,149.7,37000.0,2010-04-01 00:00:00+00:00,2010,2015-09,17760.0,DORRINGTON HOUSING LTD,0.0,False,2015-04-14,170.0,True,5016642,17684062.0,CR08,,527187.0,185678.0,51.5556598,-0.1667869,2,BOUTIQUE BY SHELTER,,,57.0,,,,57.0,,,,,20400187,,N,osgb1000002298728684,16.0,osgb4000000030223957,2,osgb1000005164453,5,107035063.0,SOUTH END ROAD,,SOUTH END ROAD,LONDON,CAMDEN,LONDON,NW3 2QB,NW3 2QB,S,1J,D,E05000135,2012-03-19,0,CS,249.0,POINT (527188.7689003615 185678.3084270543),2015-04-14 00:00:00,107035063,2015-10-01,170,2010-04-01,1839 days,2009,1,170,1839,0,False,True,SouthEnd
159553063,25644,25644,001820045A1003,E09000007,Camden,Inner London - West,45A,SOUTH END ROAD,LONDON,NW3 2QB,Restaurants,234,Retail Restaurants & Cafes,Retail,192.0,55000.0,2017-04-01 00:00:00+00:00,2017,2019-06,27720.0,MISU LIMITED - IN LIQUIDATION,25170.42,False,2018-10-09,265.0,True,5124045,17684055.0,CR07,,527204.0,185637.0,51.5552875,-0.1665567,2,LA CUCINA,,45A,,,,,45.0,A,,,,20400187,,N,osgb1000002298876016,14.0,osgb4000000030139320,3,osgb1000005164447,5,159553063.0,SOUTH END ROAD,,SOUTH END ROAD,LONDON,CAMDEN,LONDON,NW3 2QB,NW3 2QB,S,1S,D,E05000135,2012-03-19,0,CR,234.0,POINT (527205.7646855096 185637.3068813007),2018-10-09 00:00:00,159553063,2019-07-01,265,2010-04-01,3113 days,3378,1,265,3113,0,False,True,SouthEnd
175165063,387247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SouthEnd
676943000,28539,28539,00195015200017,E09000007,Camden,Inner London - West,GND F 152,FLEET ROAD,LONDON,NW3 2QX,Shops,249,Retail High Street,Retail,52.4,15500.0,2010-04-01 00:00:00+00:00,2010,2017-03,7502.0,MENDOZA LTD,0.0,False,2016-10-10,173.0,True,5003152,17684276.0,C,,527357.0,185499.0,51.5540129,-0.1644009,2,,,,152.0,,,,152.0,,,,,20400195,,N,osgb1000002298729269,13.0,osgb4000000031138410,3,osgb1000005165820,8,676943000.0,FLEET ROAD,,FLEET ROAD,LONDON,CAMDEN,LONDON,NW3 2QX,NW3 2QX,S,2F,D,E05000134,2012-03-19,1,CS,249.0,POINT (527358.7678289237 185499.3136998094),2016-10-10 00:00:00,676943000,2017-04-01,173,2010-04-01,2384 days,2557,1,173,2384,0,False,True,SouthEnd
831404000,28511,28511,00195015010002,E09000007,Camden,Inner London - West,GND F 150,FLEET ROAD,LONDON,NW3 2QX,Shops,249,Retail High Street,Retail,46.3,19750.0,2017-04-01 00:00:00+00:00,2017,2021-03,9855.25,JR & JA PICKSTOCK,4196.45,False,2010-04-01,4018.0,True,5013140,17684248.0,CR,,527362.0,185498.0,51.5540028,-0.1643292,2,GIACOBAZZIS DELICATESSEN,,,150.0,,,,150.0,,,,,20400195,,N,osgb1000002298729271,14.0,osgb4000000031138410,3,osgb1000005165821,8,831404000.0,FLEET ROAD,,FLEET ROAD,LONDON,CAMDEN,LONDON,NW3 2QX,NW3 2QX,S,2E,D,E05000134,2012-03-19,1,CS,249.0,POINT (527363.7665952062 185498.3152770546),2010-04-01 00:00:00,831404000,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,0,False,True,SouthEnd
1157642000,27508,27508,00194000210015,E09000007,Camden,Inner London - West,GND FLR & 1ST FLR REAR 2,CONSTANTINE ROAD,LONDON,NW3 2LL,Restaurants,234,Retail Restaurants & Cafes,Retail,66.3,9500.0,2010-04-01 00:00:00+00:00,2010,2012-06,4275.0,DARS RESTAURANT LTD,0.0,False,2012-03-12,111.0,True,5073264,17683416.0,C,,527344.0,185540.0,51.5543843,-0.16457349999999998,2,DARS TANDOORI,,,2.0,,,,2.0,,,,,20401419,,N,osgb1000002298728883,11.0,osgb4000000030223954,5,osgb1000005164533,4,1157642000.0,ELM TERRACE,ELM TERRACE,CONSTANTINE ROAD,LONDON,CAMDEN,LONDON,NW3 2LL,NW3 2LL,S,1A,D,E05000134,2012-03-19,0,CR,234.0,POINT (527345.7659785644 185540.3148674491),2012-03-12 00:00:00,1157642000,2012-07-01,111,2010-04-01,711 days,822,1,111,711,0,False,True,SouthEnd
