,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
12496063,72624,72624,00410015910012,E09000007,Camden,Inner London - West,159,BROADHURST GARDENS,LONDON,NW6 3AU,Offices (Inc Computer Centres),203,Office General,Office,99.4,14250.0,2017-04-01 00:00:00+00:00,2017,2021-03,7110.75,KILBURN & DISTRICT HOUSES LIMITED,0.0,False,2020-02-01,425.0,True,5048587,17728825.0,CR08,,525594.0,184595.0,51.5462834,-0.1901391,2,LOE LTD,,,159.0,,,,159.0,,,,,20400410,,N,osgb1000002298621144,11.0,osgb4000000030223429,5,osgb1000004201202,4,12496063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AU,NW6 3AU,S,1E,D,E05000145,2012-03-19,0,CO,203.0,POINT (525595.7408439569 184595.28961787),2020-02-01 00:00:00,12496063,2021-04-01,425,2010-04-01,3593 days,4018,0,425,3593,0,False,True,WestEnd
12499063,72668,72668,00410016110013,E09000007,Camden,Inner London - West,161,BROADHURST GARDENS,LONDON,NW6 3AU,Hairdressing/Beauty Salons,417,Retail High Street,Retail,32.8,14000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6986.0,KILBURN & DISTRICT HOUSES LTD,0.0,False,2013-05-15,2878.0,True,5021767,17728823.0,CR02,,525588.0,184595.0,51.5462847,-0.1902256,1,,,,161.0,,,,161.0,,,,,20400410,,N,osgb1000002298621146,13.0,osgb4000000030223429,5,osgb1000004201203,4,12499063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AU,NW6 3AU,S,1F,D,E05000145,2012-03-19,3,CS3,417.0,POINT (525589.7396479731 184595.2857985531),2013-05-15 00:00:00,12499063,2021-04-01,2878,2010-04-01,1140 days,4018,0,2878,1140,0,False,True,WestEnd
12512063,72771,72771,00410018200004,E09000007,Camden,Inner London - West,182,BROADHURST GARDENS,LONDON,NW6 3AY,Restaurants,234,Retail Restaurants & Cafes,Retail,83.4,15250.0,2010-04-01 00:00:00+00:00,2010,2013-12,7045.5,PROJECT RAINBOW LTD,0.0,False,2011-03-23,1015.0,True,5055694,17728843.0,C,,525612.0,184628.0,51.546576,-0.18986789999999998,2,PHAM HOUSE,,,182.0,,,,182.0,,,,,20400410,,N,osgb1000002298621123,11.0,osgb4000000030223429,5,osgb1000004201098,2,12512063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AY,NW6 3AY,S,1A,D,E05000145,2012-03-19,0,CR,234.0,POINT (525613.7397691876 184628.2934631408),2011-03-23 00:00:00,12512063,2014-01-01,1015,2010-04-01,356 days,1371,1,1015,356,0,False,True,WestEnd
12523063,72976,72976,00410019400004,E09000007,Camden,Inner London - West,194,BROADHURST GARDENS,LONDON,NW6 3AY,Shops,249,Retail High Street,Retail,48.8,12000.0,2017-04-01 00:00:00+00:00,2017,2021-03,5988.0,PHILIP FAITH SETTLEMENT TRUST,0.0,False,2013-02-19,2963.0,True,5023400,17728838.0,CR08,,525573.0,184621.0,51.5465217,-0.1904325,2,WIRED,,,194.0,,,,194.0,,,,,20400410,,N,osgb1000002298621113,12.0,osgb4000000030223429,5,osgb1000001787361502,1,12523063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AY,NW6 3AY,S,1F,D,E05000145,2012-03-19,0,CS,249.0,POINT (525574.7419288778 184621.2864795481),2013-02-19 00:00:00,12523063,2021-04-01,2963,2010-04-01,1055 days,4018,0,2963,1055,0,False,False,WestEnd
12524063,72985,72985,00410019600006,E09000007,Camden,Inner London - West,196,BROADHURST GARDENS,LONDON,NW6 3AY,Shops,249,Retail High Street,Retail,61.51,12000.0,2010-04-01 00:00:00+00:00,2010,2012-06,5400.0,DM BULGARIAN FINE ARTS LIMITED,0.0,False,2011-06-05,392.0,True,5005954,17728844.0,C,,525569.0,184621.0,51.5465226,-0.1904902,2,PRO ARTE,,,196.0,,,,196.0,,,,,20400410,,N,osgb1000002298621112,12.0,osgb4000000030223429,5,osgb1000004201089,3,12524063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AY,NW6 3AY,S,1G,D,E05000145,2012-03-19,0,CS,249.0,POINT (525570.7387497562 184621.2875984519),2011-06-05 00:00:00,12524063,2012-07-01,392,2010-04-01,430 days,822,1,392,430,0,False,True,WestEnd
12525063,73082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WestEnd
31226063,290959,290959,0500602251008B,E09000007,Camden,Inner London - West,GND F 225,FINCHLEY ROAD,LONDON,NW3 6LP,Cafes,409,Retail Restaurants & Cafes,Retail,55.3,29250.0,2017-04-01 00:00:00+00:00,2017,2021-03,14595.75,SMART STAY (SWISS COTTAGE) LIMITED,248.99,False,2020-08-05,239.0,True,5160057,17695292.0,CR07,5109688.0,526286.0,184714.0,51.5471986,-0.1801221,1,NANDO'S,,O2 CENTRE,255.0,,,CAFE AND PREMISES AT GROUND FLOOR,225.0,,,,,20400045,,N,osgb1000002298964004,19.0,osgb4000000030411065,5,osgb1000004337863,3,31226063.0,FINCHLEY ROAD,,FINCHLEY ROAD,LONDON,CAMDEN,LONDON,NW3 6LU,NW3 6LU,S,1S,D,E05000145,2012-03-19,0,CR1,409.0,POINT (526287.7535230223 184714.2958580906),2020-08-05 00:00:00,31226063,2021-04-01,239,2010-04-01,3779 days,4018,0,239,3779,0,False,True,WestEnd
31228063,290979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WestEnd
86686063,357386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WestEnd
86693063,35989,35989,00264011600008,E09000007,Camden,Inner London - West,116,WEST END LANE,LONDON,NW6 2LS,Shops,249,Retail High Street,Retail,47.4,31250.0,2017-04-01 00:00:00+00:00,2017,2021-03,15593.75,NETWORK RAIL LTD,0.0,False,2012-12-21,3023.0,True,5016730,17727945.0,CR,,525539.0,184656.0,51.5468438,-0.1909101,1,WESTERN FOOD STORE,,,116.0,,,,116.0,,,,,20499056,,N,osgb1000002298621103,18.0,osgb4000000030329702,3,osgb1000004201081,3,86693063.0,WEST END LANE,,WEST END LANE,LONDON,CAMDEN,LONDON,NW6 2LS,NW6 2LS,S,1H,D,E05000145,2012-03-19,0,CS,249.0,POINT (525540.741079336 184656.2865309366),2012-12-21 00:00:00,86693063,2021-04-01,3023,2010-04-01,995 days,4018,0,3023,995,0,False,False,WestEnd
86980063,36312,36312,0026401440000B,E09000007,Camden,Inner London - West,144,WEST END LANE,LONDON,NW6 1SD,Shops,249,Retail High Street,Retail,31.52,14000.0,2010-03-10 00:00:00+00:00,2010,2013-12,6468.0,NETWORK RAIL LTD,0.0,False,2010-11-01,1157.0,True,5018876,17725581.0,CR08,,525540.0,184744.0,51.547634499999994,-0.1908643,2,WENZELS,,,144.0,,,,144.0,,,,,20499056,,N,osgb1000002298621085,24.0,osgb4000000030223262,3,osgb1000004201272,4,86980063.0,WEST END LANE,,WEST END LANE,LONDON,CAMDEN,LONDON,NW6 1SD,NW6 1SD,S,1E,D,E05000145,2012-03-19,0,CS,249.0,POINT (525541.741999008 184744.2948509655),2010-11-01 00:00:00,86980063,2014-01-01,1157,2010-04-01,214 days,1371,1,1157,214,0,False,True,WestEnd
86984063,36473,36473,0026401560000B,E09000007,Camden,Inner London - West,156,WEST END LANE,LONDON,NW6 1SD,Industrial Miscellaneous,994,Industrial General,Industrial,2171.87,340000.0,2017-04-01 00:00:00+00:00,2017,2021-03,174080.0,A2 DOMINION DEVELOPMENTS LIMITED,0.0,False,2020-01-10,447.0,True,5087032,17725578.0,CO01LG,,525561.0,184867.0,51.5487352,-0.1905177,2,,,,156.0,,,,156.0,,,,,20499056,,N,osgb1000002298620589,10.0,osgb4000000030329740,3,osgb1000004201282,4,86984063.0,WEST END LANE,,WEST END LANE,LONDON,CAMDEN,LONDON,NW6 1SD,NW6 1SD,S,3F,D,E05000145,2012-03-19,0,IX,994.0,POINT (525562.7454955728 184867.2925921453),2020-01-10 00:00:00,86984063,2021-04-01,447,2010-04-01,3571 days,4018,0,447,3571,0,False,True,WestEnd
87053063,36165,36165,0026401320000B,E09000007,Camden,Inner London - West,132,WEST END LANE,LONDON,NW6 1SA,Shops,249,Retail High Street,Retail,44.8,13000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6487.0,SHAKETASTIC LTD,0.0,False,2013-05-01,2892.0,True,5029555,17725552.0,CR08,,525542.0,184706.0,51.5472925,-0.190849,1,BLUEBERRIES,,,132.0,,,,132.0,,,,,20499056,,N,osgb1000002298621060,23.0,osgb4000000030223262,3,osgb1000004201232,3,87053063.0,WEST END LANE,,WEST END LANE,LONDON,CAMDEN,LONDON,NW6 1SA,NW6 1SA,S,1F,D,E05000145,2012-03-19,3,CS,249.0,POINT (525543.7434306761 184706.2889801395),2013-05-01 00:00:00,87053063,2021-04-01,2892,2010-04-01,1126 days,4018,0,2892,1126,0,False,True,WestEnd
87105063,38408,38408,00264024300007,E09000007,Camden,Inner London - West,243,WEST END LANE,LONDON,NW6 1XN,Shops,249,Retail High Street,Retail,73.7,25500.0,2017-04-01 00:00:00+00:00,2017,2021-03,12724.5,SAFELAND ACTIVE MANAGEMENT LIMITED,0.0,False,2013-05-09,2884.0,True,5011630,17726227.0,C,,525474.0,184973.0,51.54970720000001,-0.191734,1,,FLAT A-C,,243.0,,,,243.0,,,,,20499056,,N,osgb1000002298621811,18.0,osgb4000000030223265,5,osgb1000004202134,2,87105063.0,WEST END LANE,,WEST END LANE,LONDON,CAMDEN,LONDON,NW6 1XN,NW6 1XN,S,2A,D,E05000145,2012-03-19,3,CS,249.0,POINT (525475.7437894436 184973.2985220005),2013-05-09 00:00:00,87105063,2021-04-01,2884,2010-04-01,1134 days,4018,0,2884,1134,0,False,True,WestEnd
98129063,74055,74055,00414000410011,E09000007,Camden,Inner London - West,GND F 4,ROSEMONT ROAD,LONDON,NW3 6NG,Cafes,409,Retail Restaurants & Cafes,Retail,58.8,8000.0,2010-04-01 00:00:00+00:00,2010,2015-12,3840.0,ROSEMONT CAFE' LIMITED,0.0,False,2015-09-23,100.0,True,5046434,50718540.0,C,,526138.0,184941.0,51.5492717,-0.1821741,2,,FLAT,,4.0,,,,4.0,,,,,20400414,,N,osgb1000002298941434,2.0,osgb4000000030139060,7,osgb1000004337903,4,98129063.0,ROSEMONT ROAD,,ROSEMONT ROAD,LONDON,CAMDEN,LONDON,NW3 6NE,NW3 6NE,S,3U,D,E05000145,2012-03-19,2,CR1,409.0,POINT (526139.7486300006 184941.297059606),2015-09-23 00:00:00,98129063,2016-01-01,100,2010-04-01,2001 days,2101,1,100,2001,0,False,True,WestEnd
98532063,72580,72580,00410015710059,E09000007,Camden,Inner London - West,SEMI BST & GND FS 157,BROADHURST GARDENS,LONDON,NW6 3AU,Offices (Inc Computer Centres),203,Office General,Office,54.6,14500.0,2017-04-01 00:00:00+00:00,2017,2021-03,7235.5,KILBURN & DISTRICT HOUSES LTD,0.0,False,2010-04-01,4018.0,True,5071689,17728822.0,C,,525599.0,184595.0,51.546282299999994,-0.190067,1,,,,157.0,,,,157.0,,,,,20400410,,N,osgb1000002298621143,10.0,osgb4000000030223429,5,osgb1000004201201,3,98532063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AU,NW6 3AU,S,1D,D,E05000145,2012-03-19,3,CO,203.0,POINT (525600.7430422906 184595.2909812371),2010-04-01 00:00:00,98532063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,0,False,True,WestEnd
98533063,72712,72712,00410016310015,E09000007,Camden,Inner London - West,GND F 163,BROADHURST GARDENS,LONDON,NW6 3AU,Shops,249,Retail High Street,Retail,28.8,12750.0,2017-04-01 00:00:00+00:00,2017,2021-03,6362.25,KILBURN DISTRICT HOUSES LTD,0.0,False,2013-05-15,2878.0,True,5109420,17728831.0,C,,525583.0,184594.0,51.5462768,-0.190298,1,,,,163.0,,,,163.0,,,,,20400410,,N,osgb1000002298621148,9.0,osgb4000000030223429,5,osgb1000004201204,2,98533063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AU,NW6 3AU,S,1P,D,E05000145,2012-03-19,3,CS,249.0,POINT (525584.7414091695 184594.2830867633),2013-05-15 00:00:00,98533063,2021-04-01,2878,2010-04-01,1140 days,4018,0,2878,1140,0,False,True,WestEnd
