,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
0,31459,31459,0023300030000B,E09000007,Camden,Inner London - West,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,17500,2017-04-01 00:00:00+00:00,2017,2021-03,8732.5,EL-GAMAL & CO LIMITED,0,FALSE,07/11/2014,2337,TRUE,5068769,15533926,C,,529775,185005,51.5490231,-0.1297257,2,INSIDE OUT ESCAPE LONDON,,,3,,,,3,,,,,20400233,,N,osgb1000002298928997,11,osgb4000000030250596,4,osgb1000005440421,4,11957063,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,1N,D,E05000139,19/03/2012,1,CS,249,POINT (529776.7972362216 185005.3245432741),07/11/2014 00:00,11957063,01/04/2021,2337,01/04/2010,1681 days,4018,0,2337,1681,0,FALSE,TRUE,Brecknock
1,31635,31635,2.33001E+11,E09000007,Camden,Inner London - West,GND F 11,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,87.4,17000,2017-04-01 00:00:00+00:00,2017,2021-03,8483,NEWQUEST PROPERTIES LTD,0,FALSE,27/05/2011,3597,TRUE,5061891,15533919,CR08,,529762,185023,51.5491878,-0.1299064,1,UNIVERSAL DRY CLEANERS,,,11,,,,11,,,,,20400233,,N,osgb1000002298837686,13,osgb4000000030250596,4,osgb1000005440417,3,98396063,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,1B,D,E05000139,19/03/2012,1,CS,249,POINT (529763.8006960376 185023.3195495345),27/05/2011 00:00,98396063,01/04/2021,3597,01/04/2010,421 days,4018,0,3597,421,0,FALSE,TRUE,Brecknock
2,32163,32163,2.33004E+11,E09000007,Camden,Inner London - West,PT LGND & GND FS 41,BRECKNOCK ROAD,LONDON,N7 0BT,Betting Offices,24,Retail Financial & Professional Services,Retail,70.9,18000,2017-04-01 00:00:00+00:00,2017,2021-03,8982,WILLIAM HILL ORGANIZATION LTD,0,FALSE,29/09/2019,550,TRUE,5048907,56456277,CR08,,529707,185110,51.5499823,-0.1306671,2,MOOMIN SHOP,,,41,,,,41,,,,,20400233,,Y,,,osgb4000000030250599,2,osgb1000005440288,4,98405063,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BT,N7 0BT,S,3B,D,E05000139,23/03/2021,4,CS,249,POINT (529708.8021379472 185110.3231520839),29/09/2019 00:00,98405063,01/04/2021,550,01/04/2010,3468 days,4018,0,550,3468,0,FALSE,TRUE,Brecknock
3,64852,64852,0038700013013A,E09000007,Camden,Inner London - West,GND F BLK A 7 APOLLO STUDIOS 1-7,CHARLTON KINGS ROAD,LONDON,NW5 2SB,Offices (Inc Computer Centres),203,Office General,Office,73.4,18750,2017-04-01 00:00:00+00:00,2017,2021-03,9356.25,LOGICAL OFFICE LIMITED,61.44,FALSE,01/05/2020,335,TRUE,5087870,50420087,CO01,5104963,529555,185237,51.5511585,-0.1328114,2,LOGICAL OFFICE LTD,UNIT 7,APOLLO STUDIOS,,,,UNIT 7,,,,,APOLLO STUDIOS,20400387,,N,osgb1000002298933826,9,osgb5000005151691295,0,osgb1000005440733,5,109616063,CHARLTON KING'S ROAD,,CHARLTON KINGS ROAD,LONDON,CAMDEN,LONDON,NW5 2SB,NW5 2SB,S,2S,D,E05000139,19/03/2012,0,CO,203,POINT (529556.7978236314 185237.3243976603),01/05/2020 00:00,109616063,01/04/2021,335,01/04/2010,3683 days,4018,0,335,3683,0,FALSE,TRUE,Brecknock
4,64878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brecknock
5,31503,31503,2.33001E+11,E09000007,Camden,Inner London - West,GND F 5,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,70.6,14500,2017-04-01 00:00:00+00:00,2017,2021-03,7235.5,NEWQUEST PROPERTIES LTD,0,FALSE,01/08/2014,2435,TRUE,5046507,15533918,CR,,529770,185007,51.5490422,-0.129797,2,T R HARDWARE,,,5,,,,5,,,,,20400233,,N,osgb1000002298838473,15,osgb4000000030250596,4,osgb1000005440420,4,182729063,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,1P,D,E05000139,19/03/2012,1,CS,249,POINT (529771.7995624695 185007.322148582),01/08/2014 00:00,182729063,01/04/2021,2435,01/04/2010,1583 days,4018,0,2435,1583,0,FALSE,TRUE,Brecknock
6,87775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brecknock
7,286949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brecknock
8,286890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brecknock
9,31665,31665,2.33001E+11,E09000007,Camden,Inner London - West,BST & GND FLR FRONT 13,BRECKNOCK ROAD,LONDON,N7 0BL,Cafes,409,Retail Restaurants & Cafes,Retail,85,8500,2017-04-01 00:00:00+00:00,2017,2017-09,3961,NEWQUEST PROPERTIES LTD,0,FALSE,01/04/2016,548,TRUE,5184393,28377838,CR07,,529755,185025,51.5492074,-0.1300066,1,SKIN HQ,,13A,,,,,13,A,,,,20400233,,,osgb1000002298917644,9,osgb4000000030990857,4,osgb1000005440416,3,3863401000,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,2G,D,E05000139,19/03/2012,0,CR1,409,POINT (529756.797938582 185025.3215445412),01/04/2016 00:00,3863401000,01/10/2017,548,01/04/2010,2192 days,2740,1,548,2192,0,FALSE,TRUE,Brecknock
