
"KS102EW - Age structure"
"ONS Crown Copyright Reserved [from Nomis on 10 September 2021]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","All usual residents","%","Age 0 to 4","%","Age 5 to 7","%","Age 8 to 9","%","Age 10 to 14","%","Age 15","%","Age 16 to 17","%","Age 18 to 19","%","Age 20 to 24","%","Age 25 to 29","%","Age 30 to 44","%","Age 45 to 59","%","Age 60 to 64","%","Age 65 to 74","%","Age 75 to 84","%","Age 85 to 89","%","Age 90 and over","%","Mean Age","%","Median Age","%"

"Camden 001A","E01000907",1430,100.0,97,6.8,61,4.3,38,2.7,84,5.9,15,1.0,30,2.1,27,1.9,84,5.9,116,8.1,372,26.0,281,19.7,62,4.3,90,6.3,57,4.0,8,0.6,8,0.6,36.5,-,36.0,-
"Camden 001B","E01000908",1581,100.0,99,6.3,51,3.2,41,2.6,85,5.4,16,1.0,21,1.3,28,1.8,74,4.7,117,7.4,431,27.3,313,19.8,94,5.9,106,6.7,78,4.9,17,1.1,10,0.6,39.1,-,40.0,-
"Camden 001C","E01000909",1614,100.0,78,4.8,56,3.5,22,1.4,69,4.3,19,1.2,45,2.8,36,2.2,74,4.6,136,8.4,328,20.3,340,21.1,122,7.6,172,10.7,81,5.0,29,1.8,7,0.4,41.7,-,42.0,-
"Camden 001D","E01000912",1589,100.0,89,5.6,41,2.6,25,1.6,80,5.0,25,1.6,37,2.3,32,2.0,129,8.1,158,9.9,352,22.2,313,19.7,82,5.2,132,8.3,60,3.8,24,1.5,10,0.6,38.7,-,38.0,-
"Camden 001E","E01000913",1710,100.0,88,5.1,48,2.8,41,2.4,98,5.7,17,1.0,37,2.2,16,0.9,63,3.7,104,6.1,343,20.1,387,22.6,135,7.9,201,11.8,102,6.0,19,1.1,11,0.6,42.8,-,44.5,-
"Camden 002A","E01000893",1566,100.0,97,6.2,45,2.9,21,1.3,88,5.6,14,0.9,30,1.9,11,0.7,52,3.3,143,9.1,431,27.5,314,20.1,80,5.1,133,8.5,79,5.0,18,1.1,10,0.6,40.0,-,39.0,-
"Camden 002B","E01000894",1389,100.0,114,8.2,50,3.6,25,1.8,64,4.6,6,0.4,20,1.4,12,0.9,51,3.7,85,6.1,422,30.4,244,17.6,73,5.3,127,9.1,70,5.0,17,1.2,9,0.6,39.5,-,39.0,-
"Camden 002C","E01000895",1630,100.0,91,5.6,77,4.7,23,1.4,51,3.1,9,0.6,16,1.0,23,1.4,62,3.8,157,9.6,503,30.9,232,14.2,95,5.8,113,6.9,120,7.4,32,2.0,26,1.6,41.0,-,38.0,-
"Camden 002D","E01000896",1692,100.0,114,6.7,59,3.5,36,2.1,77,4.6,15,0.9,22,1.3,10,0.6,60,3.5,136,8.0,476,28.1,304,18.0,84,5.0,163,9.6,85,5.0,32,1.9,19,1.1,40.4,-,39.0,-
