
"QS102EW - Population density"
"ONS Crown Copyright Reserved [from Nomis on 10 September 2021]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","All usual residents","Area Hectares","Density (number of persons per hectare)"

"Camden 001A","E01000907",1430,10.72,133.4
"Camden 001B","E01000908",1581,17.50,90.3
"Camden 001C","E01000909",1614,22.86,70.6
"Camden 001D","E01000912",1589,89.61,17.7
"Camden 001E","E01000913",1710,161.70,10.6
"Camden 002A","E01000893",1566,52.78,29.7
"Camden 002B","E01000894",1389,22.17,62.7
"Camden 002C","E01000895",1630,9.81,166.2
"Camden 002D","E01000896",1692,15.11,112.0
"Camden 002E","E01000899",1667,108.26,15.4
"Camden 003A","E01000910",1472,13.02,113.1
"Camden 003B","E01000911",1559,8.81,177.0
"Camden 003C","E01000921",1966,12.44,158.0
"Camden 003D","E01000923",1494,8.54,174.9
"Camden 003E","E01000928",1681,25.25,66.6
"Camden 004A","E01000878",1624,19.21,84.5
"Camden 004B","E01000879",1458,17.73,82.2
"Camden 004C","E01000880",1602,20.37,78.6
"Camden 004D","E01000884",1469,24.52,59.9
"Camden 004E","E01000885",1484,30.43,48.8
"Camden 005A","E01000871",1664,30.63,54.3
"Camden 005B","E01000872",1902,14.69,129.5
"Camden 005C","E01000873",1639,12.20,134.3
"Camden 005D","E01000874",1559,8.56,182.1
"Camden 005E","E01000877",1574,11.05,142.4
"Camden 006A","E01000886",1445,10.31,140.2
"Camden 006B","E01000887",1486,9.99,148.7
"Camden 006C","E01000888",1605,9.42,170.4
"Camden 006D","E01000892",1843,12.23,150.7
"Camden 006E","E01000903",1439,10.19,141.2
"Camden 007A","E01000889",1670,11.73,142.4
"Camden 007B","E01000890",1640,7.63,214.9
"Camden 007C","E01000891",1575,7.76,203.0
"Camden 007D","E01000901",1977,10.60,186.5
"Camden 007E","E01000922",1547,19.11,81.0
"Camden 007F","E01000927",1738,10.06,172.8
"Camden 008A","E01000881",1510,14.78,102.2
"Camden 008B","E01000882",1513,12.19,124.1
"Camden 008C","E01000883",1326,14.05,94.4
"Camden 008D","E01000897",1597,19.80,80.7
"Camden 008E","E01000898",1729,17.05,101.4
"Camden 009A","E01000866",2030,14.55,139.5
"Camden 009B","E01000870",1693,12.67,133.6
"Camden 009C","E01000924",1637,9.83,166.5
"Camden 009D","E01000925",1563,8.28,188.8
"Camden 009E","E01000926",1791,9.24,193.8
"Camden 010A","E01000969",2032,16.68,121.8
"Camden 010B","E01000970",1444,6.90,209.3
"Camden 010C","E01000971",1478,8.03,184.1
"Camden 010D","E01000972",2009,14.00,143.5
"Camden 010E","E01000973",1885,23.55,80.0
"Camden 011A","E01000842",1444,10.52,137.3
"Camden 011B","E01000844",1772,11.39,155.6
"Camden 011C","E01000848",1588,10.10,157.2
"Camden 011D","E01000849",1569,7.77,201.9
