Type,Location Name,Commodity,Trading Days,Trading Hours,Number Of Pitches Or Kiosks,Category,Spatial Accuracy,Location,Last Uploaded
Parking within 100 metres,2 paid-for spaces on Mercer Street (WC2H 9HU); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.126585 51.513461),23/01/2019
Parking within 100 metres,2 paid-for spaces on Herbrand Street (WC1N 1LB); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.125174 51.523268),23/01/2019
Parking within 100 metres,4 paid-for spaces on Chalton Street (NW1 2AL); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.129036 51.528563),23/01/2019
Parking within 100 metres,1 paid-for space on Lincoln's Inn Fields (WC2A 3JX); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.118397 51.516316),23/01/2019
Parking within 100 metres,5 paid-for spaces on Argyle Street (WC1H 8EJ); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.123857 51.529344),23/01/2019
Camden Market,Chalton Street,"Fruits and Vegetables, Clothes and Jewellery, Street Food",Wednesday;Thursday;Friday,7am-7pm,36,,Property Level,POINT (-0.129505 51.529074),23/01/2019
Parking within 100 metres,7 paid-for spaces on Bonny Street (NW1 9PE); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",,,N/A,POINT (-0.139714 51.541772),23/01/2019
Parking within 100 metres,3 paid-for spaces on Haverstock Hill (NW3 2AL); tariff is £2.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 09:00-18:30, sat 09:30-13:30",,,N/A,POINT (-0.164199 51.550062),23/01/2019
Parking within 100 metres,10 paid-for spaces on Russell Square (WC1B 5DU); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.12726 51.521251),23/01/2019
Parking within 100 metres,2 paid-for spaces on Guilford Street (WC1N 1ES); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.12366 51.52256),23/01/2019
Parking within 100 metres,1 paid-for space on Hatton Garden (EC1N 8JT); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.108628 51.520763),23/01/2019
Camden Market,Eton Avenue,"Farmer's Market, Street Food, Traditional Retail Market",Tuesday - Saturday,7am-7pm,30,,Property Level,POINT (-0.12951 51.529079),23/01/2019
Parking within 100 metres,2 paid-for spaces on Swain's Lane (N6 6QX); tariff is £2.55 p/h and maximum stay is 1.5 hours.,N/A,,mon-fri 10:00-12:00,,,N/A,POINT (-0.1497 51.56185800000001),23/01/2019
Parking within 100 metres,4 paid-for spaces on Frideswide Place (NW5 2EN); tariff is £2.55 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.140133 51.549881),23/01/2019
Parking within 100 metres,3 paid-for spaces on Chalton Street (NW1 1HS); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.130173 51.529669000000005),23/01/2019
Parking within 100 metres,1 paid-for space on Boswell Street (WC1N 3PZ); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.120575 51.52011),23/01/2019
Kiosk,New Oxford Street,Newspapers,Monday - Saturday,7am-7pm,1,,Property Level,POINT (-0.130106 51.51653),23/01/2019
Parking within 100 metres,6 paid-for spaces on Ossulston Street (NW1 1JJ); tariff is £3.45 p/h and maximum stay is 4 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.1282 51.529251),23/01/2019
Parking within 100 metres,2 paid-for spaces on Weedington Road (NW5 4QB); tariff is £2.55 p/h and maximum stay is 1 hour.,N/A,,mon-fri 09:00-11:00,,,N/A,POINT (-0.150997 51.55053),23/01/2019
