Name,Opening Hours,Building Name,Building Number,Street,Postcode,Telephone,E-Mail,Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID
Chalk Farm night time toilets,"8pm - 5am, Friday- Sunday",Public Convenience,Near Tube Station,,NW1 8BB,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000136,Haverstock,528186.1731667139,184383.34320791095,-0.152854,51.543799,"(51.543799, -0.152854)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,6
5 Pancras Square (Leisure Centre & Library),"Mon - Fri, 10am - 4pm; Sat, 11am to 3.30pm",,5,Pancras Square,N1C 4AG,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000143,St Pancras and Somers Town,530050,183321,-0.126383,51.533826,"(51.533826, -0.126383)",Local Land And Property Gazetteer,03/10/2021 11:46:03 AM,1
Community Toilet Scheme Kiln Theatre,,,269,Kilburn High Road,NW6 7JR,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,,,524916,184251,-0.200033,51.543343,"(51.543343, -0.200033)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,14
Community Toilet Scheme McDonald's,,,293-299,Kentish Town Road,NW5 2TJ,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000139,Kentish Town,528979,185016,-0.141195,51.549305,"(51.549305, -0.141195)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,15
Camden Market Public Toiet,,Public Toilet,,,NW1 8AF, 020 3763 9900,,https://www.camdenmarket.com/visit-us,E05000130,Camden Town with Primrose Hill,528667.4587036266,184143.1042624237,-0.1460052,51.5415306,"(51.5415306, -0.1460052)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,2
Gospel Oak Railway Station Public Conveniences,,Gospel Oak Railway Station,15828,Gordon House Road,NW5 1LT,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,E05000137,Highgate,528266,185682,-0.151237,51.55545,"(51.55545, -0.151237)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,23
Camden Town Gender Neutral Public Conveniences,"Toilets below ground via stairs.1st Nov–31st May 9am-6pm. 1st Jun–31st Oct  9am-8pm, 7 days.",Public Convenience,,Parkway,NW1 7JY,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000130,Camden Town with Primrose Hill,528894,183857,-0.142859,51.5389,"(51.5389, -0.142859)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,3
Castlehaven Road  Pop-up Urinal,"8pm - 5am, Friday- Sunday",Public Convenience,Near 213-219,Castlehaven Road,NW1 8QU,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000130,Camden Town with Primrose Hill,528701,184180,-0.145522,51.541847,"(51.541847, -0.145522)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,5
West Hampstead Library,"Mon – Sat, 11am to 3.30pm",West Hampstead Library,,Dennington Park Road,NW6 1AU,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/westhampsteadlibrary,E05000145,West Hampstead,525481,185042,-0.191623,51.550317,"(51.550317, -0.191623)",Local Land And Property Gazetteer,03/10/2021 11:46:05 AM,51
Community Toilet Scheme Burgh House & Hampstead Museum,,Burgh House,,New End Square,NW3 1LT,020 7974 4444 (Contact Camden call centre),,http://www.burghhouse.org.uk,E05000135,Hampstead Town,526607,185944,-0.175061,51.558178,"(51.558178, -0.175061)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,11
Community Toilet Scheme McDonald's,,,127-129,Kilburn High Road,NW6 6JJ,020 7974 4444 (Contact Camden call centre),,http://www.mcdonalds.co.uk/ukhome/Restaurants/restaurant_locator.html,,,525232,183841,-0.195625,51.539588,"(51.539588, -0.195625)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,16
South End Green Public Conveniences,"Toilets below ground via stairs. 1st Nov–31st May 9am-6pm. 1st Jun–31st Oct 9am-8pm, 7 days.",Public Conveniences,,South End Green,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000134,Gospel Oak,527311,185536,-0.165065,51.554347,"(51.554347, -0.165065)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,45
Inverness Street Pop-up Urinal,"8pm - 5am, Friday- Sunday",Public Convenience,Near 213-219,Camden High Street,NW1 8QR,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000130,Camden Town with Primrose Hill,528852,183940,-0.14343,51.539661,"(51.539661, -0.14343)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,29
Primrose Hill Public Toilet,,Public Toilet,,,NW1 8UD,0300 061 2300,,https://www.royalparks.org.uk/parks/the-regents-park,E05000130,Camden Town with Primrose Hill,527880.7849908298,183644.18381738663,-0.1575239,51.5372254,"(51.5372254, -0.1575239)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,40
Community Toilet Scheme Belsize Community Library,,Belsize Branch Library,,Antrim Road,NW3 4XN,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000128,Belsize,527524,184823,-0.16225,51.547901,"(51.547901, -0.16225)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,9
High Holborn Public Conveniences,24 hours.,Public Convenience,,High Holborn,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000138,Holborn and Covent Garden,530627,181532,-0.118732,51.517616,"(51.517616, -0.118732)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,25
Waterlow Park Centre Conveniences,Daylight hours,Waterlow Park Centre,,Dartmouth Park Hill,N19 5JF,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/ccm/content/contacts/council-contacts/leisure-council-contacts/parks-and-open-spaces/contact-waterlow-park/,E05000137,Highgate,528799,187131,-0.14303,51.568344,"(51.568344, -0.14303)",Local Land And Property Gazetteer,03/10/2021 11:46:05 AM,49
Kilburn Tube Station,,Kilburn Tube station,,,NW6 7QL,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,,,524610.5277328282,184639.93256774638,-0.204299,51.546905,"(51.546905, -0.204299)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,33
West Hampstead Thameslink,,West Hampstead Thameslink Railway Station,,West End Lane,NW6 2LJ,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,E05000145,West Hampstead,525506,184844,-0.191326,51.548535,"(51.548535, -0.191326)",Local Land And Property Gazetteer,03/10/2021 11:46:05 AM,52
