,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
11955063,31883,31883,00233002300007,E09000007,Camden,Inner London - West,23,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,179.0,18000.0,2009-11-17 00:00:00+00:00,2010,2017-03,8712.0,11955063,,True,2010-04-01,,True,5083509,53296364.0,CR,,529734.0,185054.0,51.5494728,-0.13029860000000001,2,CLASSIC SHOES,,23-25,,,,,23.0,,25.0,,,20400233,,N,osgb5000005114835795,3.0,osgb4000000031138724,2,osgb1000005440407,4,11955063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,2N,D,E05000139,2013-10-22,13,CS,249.0,POINT (529735.7986901217 185054.3176096606),2010-04-01,11955063,2017-04-01,2557,2010-04-01,0 days,2557,1,2557,0,1,False,True,Brecknock
11955063,31899,31899,00233002300007,E09000007,Camden,Inner London - West,23,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,179.0,24500.0,2017-04-01 00:00:00+00:00,2017,2021-03,12225.5,THE CLASSIC SHOE REPAIR COMPANY LIMITED,9330.55,True,2017-04-01,1461.0,True,5083509,53296364.0,CR,,529734.0,185054.0,51.5494728,-0.13029860000000001,2,CLASSIC SHOES,,23-25,,,,,23.0,,25.0,,,20400233,,N,osgb5000005114835795,3.0,osgb4000000031138724,2,osgb1000005440407,4,11955063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,2N,D,E05000139,2013-10-22,13,CS,249.0,POINT (529735.7986901217 185054.3176096606),2017-04-01 00:00:00,11955063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Brecknock
11957063,31433,31433,0023300030000B,E09000007,Camden,Inner London - West,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,12500.0,2009-11-17 00:00:00+00:00,2010,2014-09,5887.5,11957063,,True,2010-04-01,,True,5068769,15533926.0,C,,529775.0,185005.0,51.5490231,-0.1297257,2,INSIDE OUT ESCAPE LONDON,,,3.0,,,,3.0,,,,,20400233,,N,osgb1000002298928997,11.0,osgb4000000030250596,4,osgb1000005440421,4,11957063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,1N,D,E05000139,2012-03-19,1,CS,249.0,POINT (529776.7972362216 185005.3245432741),2010-04-01,11957063,2014-10-01,1644,2010-04-01,0 days,1644,1,1644,0,1,False,True,Brecknock
11977063,32339,32339,00233004900009,E09000007,Camden,Inner London - West,49,BRECKNOCK ROAD,LONDON,N7 0BT,Shops,249,Retail High Street,Retail,139.27,23500.0,2017-04-01 00:00:00+00:00,2017,2021-03,11726.5,11977063,,True,2017-04-01,,True,5069627,15533969.0,CR,,529695.0,185144.0,51.550290600000004,-0.13082760000000002,1,BUYWISE SUPERMARKET,,,49.0,,,,49.0,,,,,20400233,,N,osgb1000002298837451,10.0,osgb4000000030250599,2,osgb1000005440281,3,11977063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BT,N7 0BT,S,1Q,D,E05000139,2012-03-19,3,CS,249.0,POINT (529696.7984864264 185144.3230369786),2017-04-01 00:00:00,11977063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Brecknock
15000063,84736,84736,00532000300006,E09000007,Camden,Inner London - West,3,CAMDEN PARK ROAD,LONDON,NW1 9AU,Hairdressing/Beauty Salons,417,Retail High Street,Retail,47.4,7300.0,2017-04-01 00:00:00+00:00,2017,2021-03,3642.7,15000063,,True,2017-04-01,,True,5087984,17653036.0,C,,529981.0,184648.0,51.5457674,-0.1268882,1,,,,3.0,,,,3.0,,,,,20400532,,N,osgb1000002298829949,11.0,osgb4000000030355280,4,osgb1000005434453,5,15000063.0,CAMDEN PARK ROAD,,CAMDEN PARK ROAD,LONDON,CAMDEN,LONDON,NW1 9AU,NW1 9AU,S,1Z,D,E05000131,2012-03-19,4,CS3,417.0,POINT (529982.7975836121 184648.3113666379),2017-04-01 00:00:00,15000063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Brecknock
83532063,65116,65116,00388007910013,E09000007,Camden,Inner London - West,79,TORRIANO AVENUE,LONDON,NW5 2SG,Shops,249,Retail High Street,Retail,59.24,13750.0,2017-04-01 00:00:00+00:00,2017,2021-03,6861.25,83532063,,True,2017-04-01,,True,5011389,17717211.0,CR02,,529538.0,185161.0,51.5504794,-0.1330844,1,MARIAS TRAVEL & TOURS LTD,,79A,,,,,79.0,,,,,20400388,,N,osgb1000002298838374,7.0,osgb4000000030990760,3,osgb1000005440353,5,83532063.0,TORRIANO AVENUE,,TORRIANO AVENUE,LONDON,CAMDEN,LONDON,NW5 2SG,NW5 2SG,S,1P,D,E05000139,2012-03-19,1,CS,249.0,POINT (529539.7985933271 185161.3224852186),2017-04-01 00:00:00,83532063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Brecknock
98394063,31547,31547,0023300071001B,E09000007,Camden,Inner London - West,GND F 7,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,48.6,10250.0,2017-04-01 00:00:00+00:00,2017,2021-03,5114.75,98394063,,True,2017-04-01,,True,5020376,15533914.0,CR08,,529768.0,185014.0,51.549105600000004,-0.1298233,1,HAIR BY DEMETRA,,,7.0,,,,7.0,,,,,20400233,,N,osgb1000002298838472,12.0,osgb4000000030250596,4,osgb1000005440419,3,98394063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,1Q,D,E05000139,2012-03-19,1,CS,249.0,POINT (529769.795872824 185014.3258712663),2017-04-01 00:00:00,98394063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Brecknock
98395063,31565,31565,00233000910012,E09000007,Camden,Inner London - West,GND F 9,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,55.6,9700.0,2009-11-17 00:00:00+00:00,2010,2014-09,4568.7,98395063,,True,2010-04-01,,True,5002520,15533927.0,CR02,,529764.0,185019.0,51.5491514,-0.12987910000000005,2,SELECT DRY CLEANERS & LAUNDRY,,,9.0,,,,9.0,,,,,20400233,,N,osgb1000002298884143,13.0,osgb4000000030250596,4,osgb1000005440418,4,98395063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,1R,D,E05000139,2012-03-19,1,CS,249.0,POINT (529765.796941604 185019.320109525),2010-04-01,98395063,2014-10-01,1644,2010-04-01,0 days,1644,1,1644,0,1,False,True,Brecknock
98395063,31591,31591,00233000910012,E09000007,Camden,Inner London - West,GND F 9,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,55.6,13500.0,2017-04-01 00:00:00+00:00,2017,2021-03,6736.5,KNIGHT FRANK LLP,4875.47,True,2014-11-10,2334.0,True,5002520,15533927.0,CR02,,529764.0,185019.0,51.5491514,-0.12987910000000005,2,SELECT DRY CLEANERS & LAUNDRY,,,9.0,,,,9.0,,,,,20400233,,N,osgb1000002298884143,13.0,osgb4000000030250596,4,osgb1000005440418,4,98395063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,1R,D,E05000139,2012-03-19,1,CS,249.0,POINT (529765.796941604 185019.320109525),2014-11-10 00:00:00,98395063,2021-04-01,2334,2010-04-01,1684 days,4018,0,2334,1684,1,False,True,Brecknock
98396063,31595,31595,00233001110013,E09000007,Camden,Inner London - West,GND F 11,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,87.4,12000.0,2009-11-17 00:00:00+00:00,2010,2011-03,4884.0,98396063,,True,2010-04-01,,True,5061891,15533919.0,CR08,,529762.0,185023.0,51.5491878,-0.12990639999999998,1,UNIVERSAL DRY CLEANERS,,,11.0,,,,11.0,,,,,20400233,,N,osgb1000002298837686,13.0,osgb4000000030250596,4,osgb1000005440417,3,98396063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,1B,D,E05000139,2012-03-19,1,CS,249.0,POINT (529763.8006960376 185023.3195495345),2010-04-01,98396063,2011-04-01,365,2010-04-01,0 days,365,1,365,0,1,False,True,Brecknock
98400063,31767,31767,00233001710019,E09000007,Camden,Inner London - West,GND F 17,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,83.7,10500.0,2017-04-01 00:00:00+00:00,2017,2021-03,5239.5,98400063,,True,2017-04-01,,True,5056731,15533925.0,C,,529745.0,185036.0,51.5493085,-0.13014669999999998,2,,,,17.0,,,,17.0,,,,,20400233,,N,osgb1000002298837653,13.0,osgb4000000030990857,4,osgb1000005440411,5,98400063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,2E,D,E05000139,2012-03-19,3,CS,249.0,POINT (529746.7971715669 185036.3159716321),2017-04-01 00:00:00,98400063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Brecknock
98408063,32251,32251,00233004510026,E09000007,Camden,Inner London - West,GND F UNIT A AT 45,BRECKNOCK ROAD,LONDON,N7 0BT,Shops,249,Retail High Street,Retail,26.88,8700.0,2017-04-01 00:00:00+00:00,2017,2021-03,4341.3,INTERNI LIFESTYLE LIMITED,,True,2010-04-01,4018.0,True,5079868,,C,5032144.0,529703.0,185127.0,51.550136,-0.1307185,2,,,,,,,UNIT A,45.0,,,,,20400233,,N,,,osgb4000000030250599,2,osgb1000005440285,4,98408063.0,BRECKNOCK ROAD,,,LONDON,CAMDEN,,,N7 0BT,,,C,E05000139,,0,CS,249.0,POINT (529704.8017506409 185127.3241648081),2010-04-01 00:00:00,98408063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Brecknock
