,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
9025063,353837,353837,005760211A0009,E09000007,Camden,Inner London - West,211A,BELSIZE ROAD,LONDON,NW6 4AA,Shops,249,Retail High Street,Retail,68.9,14750.0,2017-04-01 00:00:00+00:00,2017,2021-03,7360.25,9025063,,True,2017-04-01,,True,5054101,17730659.0,CR08,,525579.0,183709.0,51.538324100000004,-0.1906713,1,,,,211.0,,,,211.0,,,,,20499034,,N,osgb1000002298615604,14.0,osgb4000000030223327,5,osgb1000004198196,2,9025063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4AA,NW6 4AA,S,1S,D,E05000140,2012-03-19,3,CS,249.0,POINT (525580.7311424945 183709.2636101986),2017-04-01 00:00:00,9025063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Kilburn
9051063,353911,353911,00576021910025,E09000007,Camden,Inner London - West,219,BELSIZE ROAD,LONDON,NW6 4AA,Shops,249,Retail High Street,Retail,85.51,12250.0,2013-10-17 00:00:00+00:00,2010,2017-03,5929.0,LISMORE RECRUITMENT LTD,2768.07,True,2011-09-23,2017.0,True,5048337,17730642.0,LU01,,525562.0,183696.0,51.53821110000001,-0.190921,2,,,,219.0,,,,219.0,,,,,20499034,,N,osgb1000002298615609,13.0,osgb5000005256767695,0,osgb1000004198200,2,9051063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4AA,NW6 4AA,S,1P,D,E05000140,2012-03-19,0,CS,249.0,POINT (525563.7254938832 183696.2692358072),2011-09-23 00:00:00,9051063,2017-04-01,2017,2010-04-01,540 days,2557,1,2017,540,1,False,True,Kilburn
9259063,90748,90748,00576023000002,E09000007,Camden,Inner London - West,230,BELSIZE ROAD,LONDON,NW6 4BT,Shops,249,Retail High Street,Retail,32.83,7800.0,2010-04-01 00:00:00+00:00,2010,2017-03,3775.2,9259063,,True,2010-04-01,,True,5061303,17730945.0,C,,525581.0,183745.0,51.5386472,-0.1906297,1,,,,230.0,,,,230.0,,,,,20499034,,N,osgb1000002298615502,20.0,osgb4000000030223327,5,osgb1000004198482,4,9259063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4BT,NW6 4BT,S,1B,D,E05000140,2012-03-19,1,CS,249.0,POINT (525582.7274233688 183745.2652405591),2010-04-01 00:00:00,9259063,2017-04-01,2557,2010-04-01,0 days,2557,1,2557,0,1,False,True,Kilburn
9259063,90764,90764,00576023000002,E09000007,Camden,Inner London - West,230,BELSIZE ROAD,LONDON,NW6 4BT,Shops,249,Retail High Street,Retail,32.83,12250.0,2017-04-01 00:00:00+00:00,2017,2021-03,6112.75,GRAVITY CONSTRUCTION AND DEVELOPMENT LTD,336.93,True,2017-04-01,1461.0,True,5061303,17730945.0,C,,525581.0,183745.0,51.5386472,-0.1906297,1,,,,230.0,,,,230.0,,,,,20499034,,N,osgb1000002298615502,20.0,osgb4000000030223327,5,osgb1000004198482,4,9259063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4BT,NW6 4BT,S,1B,D,E05000140,2012-03-19,1,CS,249.0,POINT (525582.7274233688 183745.2652405591),2017-04-01 00:00:00,9259063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Kilburn
9266063,90896,90896,0057602400000B,E09000007,Camden,Inner London - West,BST & GND FS 240,BELSIZE ROAD,LONDON,NW6 4BT,Restaurants,234,Retail Restaurants & Cafes,Retail,92.5,14250.0,2017-04-01 00:00:00+00:00,2017,2021-03,7110.75,9266063,,True,2017-04-01,,True,5037833,17730933.0,C,,525560.0,183731.0,51.5385261,-0.19093729999999998,1,EKIN RESTAURANT,,,240.0,,,,240.0,,,,,20499034,,N,osgb1000002298945929,11.0,osgb4000000030223327,5,osgb1000004198477,3,9266063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4BT,NW6 4BT,S,1H,D,E05000140,2012-03-19,2,CR,234.0,POINT (525561.7289056131 183731.2708072122),2017-04-01 00:00:00,9266063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Kilburn
9269063,90927,90927,00576024400004,E09000007,Camden,Inner London - West,244,BELSIZE ROAD,LONDON,NW6 4BT,Shops,249,Retail High Street,Retail,119.1,14750.0,2017-04-01 00:00:00+00:00,2017,2017-12,6873.5,BISQUE LTD,4140.0,True,2010-04-01,2832.0,True,5000993,17730912.0,CR08,,525552.0,183725.0,51.5384739,-0.1910547,2,THAI THARA SPA LTD,,,244.0,,,,244.0,,,,,20499034,,N,osgb1000002298615618,19.0,osgb4000000030223327,5,osgb5000005156085293,1,9269063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4BT,NW6 4BT,S,1L,D,E05000140,2012-03-19,0,CS,249.0,POINT (525553.7309308092 183725.2645996106),2010-04-01 00:00:00,9269063,2018-01-01,2832,2010-04-01,0 days,2832,1,2832,0,1,False,True,Kilburn
9269063,90940,90940,00576024400004,E09000007,Camden,Inner London - West,244,BELSIZE ROAD,LONDON,NW6 4BT,Shops,249,Retail High Street,Retail,119.1,14750.0,2017-04-01 00:00:00+00:00,2017,2021-03,7360.25,THAI THARA SPA LTD,3493.79,True,2019-05-13,689.0,True,5000993,17730912.0,CR08,,525552.0,183725.0,51.5384739,-0.1910547,2,THAI THARA SPA LTD,,,244.0,,,,244.0,,,,,20499034,,N,osgb1000002298615618,19.0,osgb4000000030223327,5,osgb5000005156085293,1,9269063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4BT,NW6 4BT,S,1L,D,E05000140,2012-03-19,0,CS,249.0,POINT (525553.7309308092 183725.2645996106),2019-05-13 00:00:00,9269063,2021-04-01,689,2010-04-01,3329 days,4018,0,689,3329,1,False,True,Kilburn
9280063,368030,368030,00576026800004,E09000007,Camden,Inner London - West,268,BELSIZE ROAD,LONDON,NW6 4BT,Shops,249,Retail High Street,Retail,92.5,17500.0,2017-04-01 00:00:00+00:00,2017,2021-03,8732.5,9280063,,True,2017-04-01,,True,5004195,17730959.0,CR08,,525472.0,183638.0,51.5377098,-0.1922386,1,MAIL BOXES ETC,,,268.0,,,,268.0,,,,,20499034,,N,osgb1000002298987643,5.0,osgb4000000030138861,7,osgb1000004199686,3,9280063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4BT,NW6 4BT,S,6L,D,E05000140,2012-03-19,3,CS,249.0,POINT (525473.7288398184 183638.2635781189),2017-04-01 00:00:00,9280063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Kilburn
9284063,91248,91248,00576027410015,E09000007,Camden,Inner London - West,274,BELSIZE ROAD,LONDON,NW6 4BT,Cafes,409,Retail Restaurants & Cafes,Retail,35.2,14750.0,2017-04-01 00:00:00+00:00,2017,2021-03,7360.25,9284063,,True,2017-04-01,,True,5016219,17730926.0,C,,525459.0,183626.0,51.5376049,-0.1924303,2,,,,274.0,,,,274.0,,,,,20499034,,N,osgb1000002298616945,16.0,osgb4000000030138861,7,osgb1000004199682,3,9284063.0,BELSIZE ROAD,,BELSIZE ROAD,LONDON,CAMDEN,LONDON,NW6 4BT,NW6 4BT,S,1U,D,E05000140,2012-03-19,1,CR1,409.0,POINT (525460.7227199903 183626.2697081538),2017-04-01 00:00:00,9284063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Kilburn
14678000,68488,68488,00395024030017,E09000007,Camden,Inner London - West,NEW WORLD PAYPHONES O/S 240-242,KILBURN HIGH ROAD,LONDON,NW6 2BS,Public Telephone Kiosks (National Scheme),228,Retail High Street,Retail,2.0,200.0,2017-04-01 00:00:00+00:00,2017,2021-03,99.8,SPECTRUM INTERACTIVE (UK) LTD,51.2,True,2010-04-01,4018.0,True,5030298,,P,,524998.0,184204.0,51.5429016,-0.1988686,2,,,,,,,,240.0,,,,,20400395,,N,,,osgb4000000030329699,3,osgb1000042132448,7,14678000.0,KILBURN HIGH ROAD,,,LONDON,CAMDEN,,,NW6 2BS,,,N,E05000140,,27,MT2,228.0,POINT (524999.7257526753 184204.2771940574),2010-04-01 00:00:00,14678000,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Kilburn
