,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
5060063,286780,286780,01316004500009,E09000007,Camden,Inner London - West,45,ASHDOWN CRESCENT,LONDON,NW5 4QE,Community Day Centres,67,Other Public,,364.9,21750.0,2017-04-01 00:00:00+00:00,2017,2021-03,10853.25,QUEENS CRESCENT COMMUNITY,0.0,True,2010-04-01,4018.0,True,5071381,17722113.0,CC08,,528215.0,185089.0,51.5501342,-0.1521814,2,QUEENS CRESCENT COMMUNITY ASSOCIATION LTD,,,45.0,,,,45.0,,,,,20499070,,N,osgb1000002298009593,16.0,osgb4000000030355244,2,osgb1000005305133,3,5060063.0,ASHDOWN CRESCENT,,ASHDOWN CRESCENT,LONDON,CAMDEN,LONDON,NW5 4QE,NW5 4QE,S,1D,D,E05000134,2012-03-19,0,LC,67.0,POINT (528216.7763741412 185089.3148054975),2010-04-01 00:00:00,5060063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Queens
58383063,50156,50156,0032501670000B,E09000007,Camden,Inner London - West,167,MALDEN ROAD,LONDON,NW5 4HT,Shops,249,Retail High Street,Retail,51.0,10000.0,2017-04-01 00:00:00+00:00,2017,2021-03,4990.0,58383063,,True,2017-04-01,,True,5009784,17720895.0,CR08,,527970.0,185135.0,51.550603100000004,-0.15569620000000006,2,SHREEJI,,,167.0,,,,167.0,,,,,20400325,,N,osgb1000002298729941,14.0,osgb4000000030330009,4,osgb1000005165452,5,58383063.0,MALDEN ROAD,,MALDEN ROAD,LONDON,CAMDEN,LONDON,NW5 4HT,NW5 4HT,S,1Q,D,E05000136,2012-03-19,0,CS,249.0,POINT (527971.7788952917 185135.3085542787),2017-04-01 00:00:00,58383063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Queens
58395063,49980,49980,00325016200006,E09000007,Camden,Inner London - West,162,MALDEN ROAD,LONDON,NW5 4BS,Shops,249,Retail High Street,Retail,69.7,11500.0,2017-04-01 00:00:00+00:00,2017,2021-03,5738.5,58395063,,True,2017-04-01,,True,5056469,17720125.0,CR,,528044.0,185152.0,51.5507391,-0.1546233,1,SHARPS FISHING TACKLE,,,162.0,,,,162.0,,,,,20400325,,N,osgb1000002298779154,11.0,osgb4000000030411108,4,osgb1000005305038,2,58395063.0,MALDEN ROAD,,MALDEN ROAD,LONDON,CAMDEN,LONDON,NW5 4BS,NW5 4BS,S,1A,D,E05000134,2012-03-19,1,CS,249.0,POINT (528045.7812427317 185152.3084420942),2017-04-01 00:00:00,58395063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Queens
58407063,49696,49696,0032501180000B,E09000007,Camden,Inner London - West,118,MALDEN ROAD,LONDON,NW5 4BY,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,156.4,17250.0,2010-04-01 00:00:00+00:00,2010,2016-03,8280.0,58407063,,True,2010-04-01,,True,5014970,17720211.0,CM02HL,,528159.0,185024.0,51.5495627,-0.15301220000000001,2,,,,118.0,,,,118.0,,,,,20400325,,N,osgb1000002298778061,12.0,osgb4000000030355226,6,osgb1000005305143,3,58407063.0,MALDEN ROAD,,MALDEN ROAD,LONDON,CAMDEN,LONDON,NW5 4BY,NW5 4BY,S,1F,D,E05000134,2012-03-19,0,MH,437.0,POINT (528160.7813919652 185024.3066723906),2010-04-01 00:00:00,58407063,2016-04-01,2192,2010-04-01,0 days,2192,1,2192,0,1,False,True,Queens
70522063,52818,52818,00350009800005,E09000007,Camden,Inner London - West,98,QUEENS CRESCENT,LONDON,NW5 4DY,Restaurants,234,Retail Restaurants & Cafes,Retail,77.63,14750.0,2010-04-01 00:00:00+00:00,2010,2015-09,7080.0,BILEN LIMITED,837.42,True,2011-01-29,1706.0,True,5038292,28140928.0,CR08,,528296.0,185080.0,51.5500349,-0.151017,1,MERVE,,,98.0,,,,98.0,,,,,20400350,,N,osgb1000002298904510,22.0,osgb4000000030250528,9,osgb1000005304591,5,70522063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DY,NW5 4DY,S,1Q,D,E05000136,2012-03-19,2,CR,234.0,POINT (528297.7838795793 185080.3122076661),2011-01-29 00:00:00,70522063,2015-10-01,1706,2010-04-01,303 days,2009,1,1706,303,1,False,True,Queens
70522063,52819,52819,00350009800005,E09000007,Camden,Inner London - West,98,QUEENS CRESCENT,LONDON,NW5 4DY,Restaurants,234,Retail Restaurants & Cafes,Retail,77.63,14750.0,2010-04-01 00:00:00+00:00,2010,2015-12,7080.0,AEROSKY LIMITED,945.24,True,2015-11-18,44.0,True,5038292,28140928.0,CR08,,528296.0,185080.0,51.5500349,-0.151017,1,MERVE,,,98.0,,,,98.0,,,,,20400350,,N,osgb1000002298904510,22.0,osgb4000000030250528,9,osgb1000005304591,5,70522063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DY,NW5 4DY,S,1Q,D,E05000136,2012-03-19,2,CR,234.0,POINT (528297.7838795793 185080.3122076661),2015-11-18 00:00:00,70522063,2016-01-01,44,2010-04-01,2057 days,2101,1,44,2057,1,False,True,Queens
70533063,52576,52576,00350008405011,E09000007,Camden,Inner London - West,84,QUEENS CRESCENT,LONDON,NW5 4EB,Shops,249,Retail High Street,Retail,52.78,10250.0,2017-04-01 00:00:00+00:00,2017,2021-03,5114.75,70533063,,True,2017-04-01,,True,5067002,28100119.0,CR07,,528254.0,185044.0,51.5497209,-0.1516356,1,QUEENS CRESCENT GRILL,,,84.0,,,,84.0,,,,,20400350,,N,osgb1000002298902086,10.0,osgb4000000030153135,6,osgb1000005305175,2,70533063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4EB,NW5 4EB,S,1L,D,E05000136,2012-03-19,1,CS,249.0,POINT (528255.7783369292 185044.3100633032),2017-04-01 00:00:00,70533063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Queens
70548063,52257,52257,00350006610015,E09000007,Camden,Inner London - West,66,QUEENS CRESCENT,LONDON,NW5 4EE,Shops,249,Retail High Street,Retail,87.4,11250.0,2017-04-01 00:00:00+00:00,2017,2018-06,5400.0,S & M BISCUITS LTD,3813.59,True,2010-04-01,3013.0,True,5059729,28100050.0,C,,528205.0,185004.0,51.54937260000001,-0.1523565,2,,,,66.0,,,,66.0,,,,,20400350,,N,osgb1000002298902083,18.0,osgb4000000030250527,6,osgb1000005305154,7,70548063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4EE,NW5 4EE,S,1Q,D,E05000136,2012-03-19,1,CS,249.0,POINT (528206.7759248805 185004.3148039904),2010-04-01 00:00:00,70548063,2018-07-01,3013,2010-04-01,0 days,3013,1,3013,0,1,False,True,Queens
70548063,52268,52268,00350006610015,E09000007,Camden,Inner London - West,66,QUEENS CRESCENT,LONDON,NW5 4EE,Shops,249,Retail High Street,Retail,87.4,11250.0,2017-04-01 00:00:00+00:00,2017,2021-03,5613.75,LA FOODS (UK) LTD,3682.5,True,2019-04-01,731.0,True,5059729,28100050.0,C,,528205.0,185004.0,51.54937260000001,-0.1523565,2,,,,66.0,,,,66.0,,,,,20400350,,N,osgb1000002298902083,18.0,osgb4000000030250527,6,osgb1000005305154,7,70548063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4EE,NW5 4EE,S,1Q,D,E05000136,2012-03-19,1,CS,249.0,POINT (528206.7759248805 185004.3148039904),2019-04-01 00:00:00,70548063,2021-04-01,731,2010-04-01,3287 days,4018,0,731,3287,1,False,True,Queens
70550063,52312,52312,0035000680000B,E09000007,Camden,Inner London - West,68,QUEENS CRESCENT,LONDON,NW5 4EE,Shops,249,Retail High Street,Retail,51.04,12500.0,2017-04-01 00:00:00+00:00,2017,2021-03,6237.5,70550063,,True,2017-04-01,,True,5006006,17720562.0,CR08,,528209.0,185007.0,51.5493986,-0.1522977,2,DIVINE HAIR CARE & BEAUTY SALON,,,68.0,,,,68.0,,,,,20400350,,N,osgb1000002298772196,21.0,osgb4000000030250527,6,osgb1000005305153,8,70550063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4EE,NW5 4EE,S,1G,D,E05000136,2012-03-19,2,CS,249.0,POINT (528210.779588374 185007.3090971196),2017-04-01 00:00:00,70550063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Queens
