,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
72559063,95998,95998,00622011900006,E09000007,Camden,Inner London - West,119,REGENTS PARK ROAD,LONDON,NW1 8UR,Offices (Inc Computer Centres),203,Office General,Office,100.99,62000.0,2017-04-01 00:00:00+00:00,2017,2021-03,31744.0,72559063,,True,2017-04-01,,True,5086933,17652376.0,CR08,,528004.0,184249.0,51.542633,-0.15552829999999998,2,,,,119.0,,,,119.0,,,,,20400622,,N,osgb1000002298726346,15.0,osgb4000000031051879,1,osgb1000005302078,9,72559063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8UR,NW1 8UR,S,2H,D,E05000130,2012-03-19,1,CO,203.0,POINT (528005.7677104665 184249.2912232528),2017-04-01 00:00:00,72559063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Regents
72576063,95382,95382,00622007710012,E09000007,Camden,Inner London - West,GND F 77,REGENTS PARK ROAD,LONDON,NW1 8UY,Shops,249,Retail High Street,Retail,35.3,39750.0,2017-04-01 00:00:00+00:00,2017,2021-03,19835.25,THE BIG FLOWER SHOP LTD,6224.74,True,2010-04-01,4018.0,True,5068923,17652393.0,CR08,,527871.0,184112.0,51.5414319,-0.1574949,1,FITZROY FLORISTS,,,77.0,,,,77.0,,,,,20400622,,N,osgb1000002298725444,17.0,osgb5000005152937594,0,osgb1000005162413,3,72576063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8UY,NW1 8UY,S,1F,D,E05000130,2012-03-19,0,CS,249.0,POINT (527872.7640344534 184112.2870878546),2010-04-01 00:00:00,72576063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Regents
72602063,95164,95164,00622006700008,E09000007,Camden,Inner London - West,67,REGENTS PARK ROAD,LONDON,NW1 8XD,Shops,249,Retail High Street,Retail,93.0,56500.0,2017-04-01 00:00:00+00:00,2017,2021-03,28928.0,RAPID 7501 LIMITED,9122.88,True,2010-04-01,4018.0,True,5039326,17652446.0,C,,527864.0,184070.0,51.541056,-0.157611,1,,,,67.0,,,,67.0,,,,,20400622,,N,osgb1000002298893740,11.0,osgb4000000030329969,2,osgb1000005162442,3,72602063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8XD,NW1 8XD,S,1N,D,E05000130,2012-03-19,1,CS,249.0,POINT (527865.7659889853 184070.2825826044),2010-04-01 00:00:00,72602063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Regents
72627063,96262,96262,00622013800001,E09000007,Camden,Inner London - West,138,REGENTS PARK ROAD,LONDON,NW1 8XL,Shops,249,Retail High Street,Retail,64.71,44000.0,2017-04-01 00:00:00+00:00,2017,2021-03,21956.0,BOHEMIA LTD,6969.72,True,2010-04-01,4018.0,True,5038044,17652521.0,C,,527896.0,184053.0,51.540896000000004,-0.157156,1,,,,138.0,,,,138.0,,,,,20400622,,N,osgb1000002298726256,15.0,osgb5000005152937563,0,osgb1000005162284,2,72627063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8XL,NW1 8XL,S,1U,D,E05000130,2012-03-19,3,CS,249.0,POINT (527897.7658602213 184053.2845907476),2010-04-01 00:00:00,72627063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Regents
72645063,96442,96442,00622015400004,E09000007,Camden,Inner London - West,154,REGENTS PARK ROAD,LONDON,NW1 8XN,Restaurants,234,Retail Restaurants & Cafes,Retail,137.9,20750.0,2010-04-01 00:00:00+00:00,2010,2011-03,8445.25,MR & MRS A EVANGELOU,7241.46,True,2010-04-01,365.0,True,5064211,17652529.0,CR07,,527918.0,184107.0,51.541376299999996,-0.1568193,2,,,,154.0,,,,154.0,,,,,20400622,,N,osgb1000002298725483,14.0,osgb4000000030329976,5,osgb1000005162485,4,72645063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8XN,NW1 8XN,S,1F,D,E05000130,2012-03-19,0,CR,234.0,POINT (527919.7684428878 184107.2842827771),2010-04-01 00:00:00,72645063,2011-04-01,365,2010-04-01,0 days,365,1,365,0,1,False,True,Regents
72645063,96482,96482,00622015400004,E09000007,Camden,Inner London - West,154,REGENTS PARK ROAD,LONDON,NW1 8XN,Restaurants,234,Retail Restaurants & Cafes,Retail,137.9,66000.0,2017-04-01 00:00:00+00:00,2017,2021-03,33792.0,CLASSICA UK LTD,6576.87,True,2011-06-10,3583.0,True,5064211,17652529.0,CR07,,527918.0,184107.0,51.541376299999996,-0.1568193,2,,,,154.0,,,,154.0,,,,,20400622,,N,osgb1000002298725483,14.0,osgb4000000030329976,5,osgb1000005162485,4,72645063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8XN,NW1 8XN,S,1F,D,E05000130,2012-03-19,0,CR,234.0,POINT (527919.7684428878 184107.2842827771),2011-06-10 00:00:00,72645063,2021-04-01,3583,2010-04-01,435 days,4018,0,3583,435,1,False,True,Regents
72649063,96565,96565,6.22016E+11,E09000007,Camden,Inner London - West,158,REGENTS PARK ROAD,LONDON,NW1 8XN,Shops,249,Retail High Street,Retail,96.4,45500.0,2017-04-01 00:00:00+00:00,2017,2019-12,22340.5,ELIAS & GRACE LTD,7222.21,True,2010-04-01,3562.0,True,5087034,17652543.0,C,,527925.0,184115.0,51.5414466,-0.1567155,1,,,,158.0,,,,158.0,,,,,20400622,,N,osgb1000002298725479,14.0,osgb4000000030872392,0,osgb1000005162483,3,72649063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8XN,NW1 8XN,S,2L,D,E05000130,2012-03-19,1,CS,249.0,POINT (527926.7693491713 184115.2833125208),2010-04-01,72649063,2020-01-01,3562,2010-04-01,0 days,3562,1,3562,0,1,False,True,Regents
97418063,94856,94856,0062200511001B,E09000007,Camden,Inner London - West,BST & GND FS 51,REGENTS PARK ROAD,LONDON,NW1 8XD,Cafes,409,Retail Restaurants & Cafes,Retail,66.8,39750.0,2017-04-01 00:00:00+00:00,2017,2021-03,19835.25,LE TEACOSY LTD,6224.74,True,2010-04-01,4018.0,True,5063089,17652454.0,C,,527853.0,184025.0,51.54065410000001,-0.15778589999999998,1,THE COFFEE SHOP,,,51.0,,,,51.0,,,,,20400622,,N,osgb1000002298947347,5.0,osgb4000000030223420,3,osgb1000005162458,3,97418063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8XD,NW1 8XD,S,1D,D,E05000130,2012-03-19,2,CR1,409.0,POINT (527854.7631353509 184025.2840956353),2010-04-01 00:00:00,97418063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Regents
97419063,94900,94900,00622005120008,E09000007,Camden,Inner London - West,R/O 51-53,REGENTS PARK ROAD,LONDON,NW1 8XD,Stores,268,Retail High Street,Retail,34.0,3950.0,2017-04-01 00:00:00+00:00,2017,2021-03,1971.05,J. BUCKNELL LTD,1255.6,True,2010-04-01,4018.0,True,5158652,,CI04,,527849.0,184025.0,51.540655,-0.1578435,5,,,,,,,,,,,,REAR OF 51-53,20400622,,N,,,osgb4000000030223420,3,osgb1000001786373257,1,97419063.0,REGENT'S PARK ROAD,,,LONDON,CAMDEN,,,NW1 8XD,,,L,E05000130,,0,CW3,268.0,POINT (527850.766347673 184025.2835973325),2010-04-01 00:00:00,97419063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Regents
97422063,95076,95076,0062200631001B,E09000007,Camden,Inner London - West,GND F 63,REGENTS PARK ROAD,LONDON,NW1 8XD,Hairdressing/Beauty Salons,417,Retail High Street,Retail,39.9,38250.0,2017-04-01 00:00:00+00:00,2017,2021-03,19086.75,97422063,,True,2017-04-01,,True,5001233,17652452.0,CR08,,527861.0,184060.0,51.54096679999999,-0.1576579,1,SHAMPOO HAIRDRESSERS,,,63.0,,,,63.0,,,,,20400622,,N,osgb1000002298726197,14.0,osgb4000000030329866,2,osgb1000005162444,3,97422063.0,REGENT'S PARK ROAD,,REGENTS PARK ROAD,LONDON,CAMDEN,LONDON,NW1 8XD,NW1 8XD,S,1J,D,E05000130,2012-03-19,1,CS3,417.0,POINT (527862.7635512442 184060.2812431449),2017-04-01 00:00:00,97422063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Regents
