,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
12496063,72619,72619,4.10016E+11,E09000007,Camden,Inner London - West,159,BROADHURST GARDENS,LONDON,NW6 3AU,Offices (Inc Computer Centres),203,Office General,Office,99.4,14250.0,2017-04-01 00:00:00+00:00,2017,2019-12,6996.75,LOE LTD,1965.61,True,2010-04-01,3562.0,True,5048587,17728825.0,CR08,,525594.0,184595.0,51.5462834,-0.1901391,2,LOE LTD,,,159.0,,,,159.0,,,,,20400410,,N,osgb1000002298621144,11.0,osgb4000000030223429,5,osgb1000004201202,4,12496063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AU,NW6 3AU,S,1E,D,E05000145,2012-03-19,0,CO,203.0,POINT (525595.7408439569 184595.28961787),2010-04-01,12496063,2020-01-01,3562,2010-04-01,0 days,3562,1,3562,0,1,False,True,WestEnd
12512063,72779,72779,00410018200004,E09000007,Camden,Inner London - West,182,BROADHURST GARDENS,LONDON,NW6 3AY,Restaurants,234,Retail Restaurants & Cafes,Retail,83.4,15250.0,2010-04-01 00:00:00+00:00,2010,2015-12,7320.0,ZENT LIMITED,1505.61,True,2014-01-13,718.0,True,5055694,17728843.0,C,,525612.0,184628.0,51.546576,-0.18986789999999998,2,PHAM HOUSE,,,182.0,,,,182.0,,,,,20400410,,N,osgb1000002298621123,11.0,osgb4000000030223429,5,osgb1000004201098,2,12512063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AY,NW6 3AY,S,1A,D,E05000145,2012-03-19,0,CR,234.0,POINT (525613.7397691876 184628.2934631408),2014-01-13 00:00:00,12512063,2016-01-01,718,2010-04-01,1383 days,2101,1,718,1383,1,False,True,WestEnd
12512063,72800,72800,00410018200004,E09000007,Camden,Inner London - West,182,BROADHURST GARDENS,LONDON,NW6 3AY,Restaurants,234,Retail Restaurants & Cafes,Retail,83.4,21000.0,2017-04-01 00:00:00+00:00,2017,2021-03,10479.0,EPULA WEST HAMPSTEAD LTD,6915.9,True,2016-04-24,1803.0,True,5055694,17728843.0,C,,525612.0,184628.0,51.546576,-0.18986789999999998,2,PHAM HOUSE,,,182.0,,,,182.0,,,,,20400410,,N,osgb1000002298621123,11.0,osgb4000000030223429,5,osgb1000004201098,2,12512063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AY,NW6 3AY,S,1A,D,E05000145,2012-03-19,0,CR,234.0,POINT (525613.7397691876 184628.2934631408),2016-04-24 00:00:00,12512063,2021-04-01,1803,2010-04-01,2215 days,4018,0,1803,2215,1,False,True,WestEnd
12523063,72943,72943,00410019400004,E09000007,Camden,Inner London - West,194,BROADHURST GARDENS,LONDON,NW6 3AY,Shops,249,Retail High Street,Retail,48.8,9000.0,2010-04-01 00:00:00+00:00,2010,2012-12,4050.0,YASER MART LTD - DISSOLVED,3648.45,True,2010-04-01,1006.0,True,5023400,17728838.0,CR08,,525573.0,184621.0,51.5465217,-0.1904325,2,WIRED,,,194.0,,,,194.0,,,,,20400410,,N,osgb1000002298621113,12.0,osgb4000000030223429,5,osgb1000001787361502,1,12523063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AY,NW6 3AY,S,1F,D,E05000145,2012-03-19,0,CS,249.0,POINT (525574.7419288778 184621.2864795481),2010-04-01 00:00:00,12523063,2013-01-01,1006,2010-04-01,0 days,1006,1,1006,0,1,False,True,WestEnd
12524063,73020,73020,00410019600006,E09000007,Camden,Inner London - West,196,BROADHURST GARDENS,LONDON,NW6 3AY,Shops,249,Retail High Street,Retail,61.51,16000.0,2017-04-01 00:00:00+00:00,2017,2021-03,7984.0,PRO ARTE STRINGED INSTRUMENTS LTD,3521.1,True,2012-08-06,3160.0,True,5005954,17728844.0,C,,525569.0,184621.0,51.5465226,-0.1904902,2,PRO ARTE,,,196.0,,,,196.0,,,,,20400410,,N,osgb1000002298621112,12.0,osgb4000000030223429,5,osgb1000004201089,3,12524063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AY,NW6 3AY,S,1G,D,E05000145,2012-03-19,0,CS,249.0,POINT (525570.7387497562 184621.2875984519),2012-08-06 00:00:00,12524063,2021-04-01,3160,2010-04-01,858 days,4018,0,3160,858,1,False,True,WestEnd
12525063,73108,73108,004100198A000A,E09000007,Camden,Inner London - West,198A,BROADHURST GARDENS,LONDON,NW6 3AY,Gymnasia/Fitness Suites,416,Leisure Sports centres and Private Clubs,Leisure,188.9,38750.0,2017-04-01 00:00:00+00:00,2017,2021-03,19336.25,RAM KRISHNA LTD,8093.52,True,2014-10-01,2374.0,True,5077317,17728854.0,C,,525575.0,184628.0,51.5465842,-0.19040120000000002,2,,,198A,,,,,198.0,A,,,,20400410,,N,osgb1000002298621110,10.0,osgb4000000030223429,5,osgb1000004201088,3,12525063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AY,NW6 3AY,S,1Q,D,E05000145,2012-03-19,0,LX,416.0,POINT (525576.7402185119 184628.2904764234),2014-10-01 00:00:00,12525063,2021-04-01,2374,2010-04-01,1644 days,4018,0,2374,1644,1,False,True,WestEnd
12526063,73064,73064,00410019800008,E09000007,Camden,Inner London - West,198,BROADHURST GARDENS,LONDON,NW6 3AY,Shops,249,Retail High Street,Retail,83.6,19000.0,2017-04-01 00:00:00+00:00,2017,2021-03,9481.0,12526063,,True,2017-04-01,,True,5050311,17728841.0,CR02,,525563.0,184620.0,51.546515,-0.190577,2,LADY LAUNDERETTE,,,198.0,,,,198.0,,,,,20400410,,N,osgb1000002298621111,8.0,osgb4000000030223429,5,osgb1000004201089,3,12526063.0,BROADHURST GARDENS,,BROADHURST GARDENS,LONDON,CAMDEN,LONDON,NW6 3AY,NW6 3AY,S,1H,D,E05000145,2012-03-19,0,CS5,249.0,POINT (525564.741266066 184620.2935694699),2017-04-01 00:00:00,12526063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,WestEnd
31113063,289823,289823,05006014900005,E09000007,Camden,Inner London - West,149,FINCHLEY ROAD,LONDON,NW3 6JH,Shops,249,Retail High Street,Retail,207.0,48250.0,2010-04-01 00:00:00+00:00,2010,2012-03,20554.5,E B SERVICES LTD - IN CVA,383.09,True,2010-04-01,731.0,True,5056002,17695016.0,C,,526588.0,184378.0,51.5441113,-0.1758899,2,,,,149.0,,,,149.0,,,,,20400045,,N,osgb1000002298671565,33.0,osgb5000005159466243,1,osgb1000004338616,3,31113063.0,FINCHLEY ROAD,,FINCHLEY ROAD,LONDON,CAMDEN,LONDON,NW3 6JH,NW3 6JH,S,1E,D,E05000144,2012-03-19,0,CS,249.0,POINT (526589.7548372973 184378.2823425418),2010-04-01 00:00:00,31113063,2012-04-01,731,2010-04-01,0 days,731,1,731,0,1,False,True,WestEnd
31113063,289859,289859,05006014900005,E09000007,Camden,Inner London - West,149,FINCHLEY ROAD,LONDON,NW3 6JH,Shops,249,Retail High Street,Retail,207.0,50000.0,2017-04-01 00:00:00+00:00,2017,2021-03,24950.0,HILLCREST CATERING CO LTD,19252.94,True,2012-05-18,3240.0,True,5056002,17695016.0,C,,526588.0,184378.0,51.5441113,-0.1758899,2,,,,149.0,,,,149.0,,,,,20400045,,N,osgb1000002298671565,33.0,osgb5000005159466243,1,osgb1000004338616,3,31113063.0,FINCHLEY ROAD,,FINCHLEY ROAD,LONDON,CAMDEN,LONDON,NW3 6JH,NW3 6JH,S,1E,D,E05000144,2012-03-19,0,CS,249.0,POINT (526589.7548372973 184378.2823425418),2012-05-18 00:00:00,31113063,2021-04-01,3240,2010-04-01,778 days,4018,0,3240,778,1,False,True,WestEnd
31219063,290915,290915,050060219C0003,E09000007,Camden,Inner London - West,219C,FINCHLEY ROAD,LONDON,NW3 6LP,Shops,249,Retail High Street,Retail,23.4,18750.0,2017-04-01 00:00:00+00:00,2017,2021-03,9356.25,W H SMITH RETAIL HOLDINGS LIMITED,7094.21,True,2010-04-01,4018.0,True,5087165,17695248.0,C,,526287.0,184674.0,51.5468389,-0.1801221,1,,,219C,,,,,219.0,C,,,,20400045,,N,osgb1000002298669845,13.0,osgb4000000030411037,4,osgb1000004337671,5,31219063.0,FINCHLEY ROAD,,FINCHLEY ROAD,LONDON,CAMDEN,LONDON,NW3 6LP,NW3 6LP,S,1W,D,E05000145,2012-03-19,0,CS,249.0,POINT (526288.7486793 184674.2954790672),2010-04-01 00:00:00,31219063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,WestEnd
