,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
52167063,401221,401221,00550180019996,E09000007,Camden,Inner London - West,KINGSGATE PRIMARY SCHOOL,KINGSGATE ROAD,LONDON,NW6 4LB,Local Authority Schools (National Scheme),159,Other Public,,703.246335637524,155000.0,2017-09-04 00:00:00+00:00,2017,2021-03,79360.0,LBC - EB242CE020,23805.0,True,2010-04-01,4018.0,True,5090693,17731910.0,CE03,,525144.0,184271.0,51.543471399999994,-0.19674049999999998,5,KINGSGATE LOWER SCHOOL,,,,,,,,,,,KINGSGATE LOWER SCHOOL,20400550,,N,osgb1000002298622973,13.0,osgb4000000030223230,5,osgb1000001786047147,6,52167063.0,KINGSGATE ROAD,,MESSINA AVENUE,LONDON,CAMDEN,LONDON,NW6 4LB,NW6 4LB,S,1A,D,E05000140,2012-03-19,1,EL,159.0,POINT (525145.7302060911 184271.2771509562),2010-04-01 00:00:00,52167063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Willesden
52262063,88609,88609,0055000710000A,E09000007,Camden,Inner London - West,71,KINGSGATE ROAD,LONDON,NW6 4JY,Shops,249,Retail High Street,Retail,50.6,8000.0,2010-04-01 00:00:00+00:00,2010,2010-06,3256.0,LBC - DR353CE020,641.71,True,2010-06-08,23.0,True,5004969,17731884.0,C,,525249.0,184161.0,51.5424596,-0.19526629999999998,1,,,,71.0,,,,71.0,,,,,20400550,,N,osgb1000002298623346,10.0,osgb4000000030329706,6,osgb1000004203362,2,52262063.0,KINGSGATE ROAD,,KINGSGATE ROAD,LONDON,CAMDEN,LONDON,NW6 4JY,NW6 4JY,S,1B,D,E05000140,2012-03-19,0,CS,249.0,POINT (525250.7284697135 184161.2807810186),2010-06-08 00:00:00,52262063,2010-07-01,23,2010-04-01,68 days,91,1,23,68,1,False,True,Willesden
52262063,88652,88652,0055000710000A,E09000007,Camden,Inner London - West,71,KINGSGATE ROAD,LONDON,NW6 4JY,Shops,249,Retail High Street,Retail,50.6,9200.0,2017-04-01 00:00:00+00:00,2017,2021-03,4590.8,LEARNING & DEVELOPMENT CENTRE LIMITED,62.77,True,2011-02-15,3698.0,True,5004969,17731884.0,C,,525249.0,184161.0,51.5424596,-0.19526629999999998,1,,,,71.0,,,,71.0,,,,,20400550,,N,osgb1000002298623346,10.0,osgb4000000030329706,6,osgb1000004203362,2,52262063.0,KINGSGATE ROAD,,KINGSGATE ROAD,LONDON,CAMDEN,LONDON,NW6 4JY,NW6 4JY,S,1B,D,E05000140,2012-03-19,0,CS,249.0,POINT (525250.7284697135 184161.2807810186),2011-02-15 00:00:00,52262063,2021-04-01,3698,2010-04-01,320 days,4018,0,3698,320,1,False,True,Willesden
52283063,88946,88946,00550009210013,E09000007,Camden,Inner London - West,92,KINGSGATE ROAD,LONDON,NW6 4LA,Restaurants,234,Retail Restaurants & Cafes,Retail,58.7,14750.0,2017-04-01 00:00:00+00:00,2017,2017-09,6873.5,52283063,,True,2017-04-01,,True,5000372,17731898.0,CR08,,525196.0,184220.0,51.543001600000004,-0.19600920000000002,2,MEZE,,,92.0,,,,92.0,,,,,20400550,,N,osgb1000002298622991,13.0,osgb4000000030138940,7,osgb1000004203077,3,52283063.0,KINGSGATE ROAD,,KINGSGATE ROAD,LONDON,CAMDEN,LONDON,NW6 4LA,NW6 4LA,S,1R,D,E05000140,2012-03-19,2,CR,234.0,POINT (525197.727598605 184220.2832831726),2017-04-01 00:00:00,52283063,2017-10-01,183,2010-04-01,2557 days,2740,1,183,2557,1,False,True,Willesden
52283063,88960,88960,00550009210013,E09000007,Camden,Inner London - West,92,KINGSGATE ROAD,LONDON,NW6 4LA,Restaurants,234,Retail Restaurants & Cafes,Retail,58.7,14750.0,2017-04-01 00:00:00+00:00,2017,2021-03,7360.25,KARIM AND BROTHERS LTD,1623.24,True,2017-12-06,1212.0,True,5000372,17731898.0,CR08,,525196.0,184220.0,51.543001600000004,-0.19600920000000002,2,MEZE,,,92.0,,,,92.0,,,,,20400550,,N,osgb1000002298622991,13.0,osgb4000000030138940,7,osgb1000004203077,3,52283063.0,KINGSGATE ROAD,,KINGSGATE ROAD,LONDON,CAMDEN,LONDON,NW6 4LA,NW6 4LA,S,1R,D,E05000140,2012-03-19,2,CR,234.0,POINT (525197.727598605 184220.2832831726),2017-12-06 00:00:00,52283063,2021-04-01,1212,2010-04-01,2806 days,4018,0,1212,2806,1,False,True,Willesden
102815063,88872,88872,00550008510018,E09000007,Camden,Inner London - West,BST & GND F 85,KINGSGATE ROAD,LONDON,NW6 4JY,Shops,249,Retail High Street,Retail,54.2,6400.0,2017-04-01 00:00:00+00:00,2017,2021-03,3193.6,MWB UK MANAGEMENT LIMITED,2971.0,True,2018-04-13,1084.0,True,5035382,17731889.0,C,,525239.0,184209.0,51.5428932,-0.1953933,2,,,,85.0,,,,85.0,,,,,20400550,,N,osgb1000002298623023,9.0,osgb4000000030329712,5,osgb1000004203426,3,102815063.0,KINGSGATE ROAD,,KINGSGATE ROAD,LONDON,CAMDEN,LONDON,NW6 4JY,NW6 4JY,S,2Q,D,E05000140,2012-03-19,2,CS,249.0,POINT (525240.7325066183 184209.2820089038),2018-04-13 00:00:00,102815063,2021-04-01,1084,2010-04-01,2934 days,4018,0,1084,2934,1,False,True,Willesden
102821063,88543,88543,00550006800008,E09000007,Camden,Inner London - West,68,KINGSGATE ROAD,LONDON,NW6 4TE,Shops,249,Retail High Street,Retail,46.6,8000.0,2010-04-01 00:00:00+00:00,2010,2015-12,3840.0,ODU-DUA HOUSING ASSOCIATION LTD,301.46,True,2011-09-21,1563.0,True,5110028,,C,,525220.0,184134.0,51.5422234,-0.1956938,2,,,,,,,,68.0,,,,,20400550,,N,,,osgb4000000030329706,6,osgb1000004203195,4,102821063.0,KINGSGATE ROAD,,,LONDON,CAMDEN,,,NW6 4TE,,,L,E05000140,,0,CS,249.0,POINT (525221.7323904844 184134.2829407637),2011-09-21 00:00:00,102821063,2016-01-01,1563,2010-04-01,538 days,2101,1,1563,538,1,False,True,Willesden
102821063,88564,88564,00550006800008,E09000007,Camden,Inner London - West,68,KINGSGATE ROAD,LONDON,NW6 4TE,Shops,249,Retail High Street,Retail,46.6,9200.0,2017-04-01 00:00:00+00:00,2017,2021-03,4590.8,SINGLE HOMELESS PROJECT,575.16,True,2016-07-11,1725.0,True,5110028,,C,,525220.0,184134.0,51.5422234,-0.1956938,2,,,,,,,,68.0,,,,,20400550,,N,,,osgb4000000030329706,6,osgb1000004203195,4,102821063.0,KINGSGATE ROAD,,,LONDON,CAMDEN,,,NW6 4TE,,,L,E05000140,,0,CS,249.0,POINT (525221.7323904844 184134.2829407637),2016-07-11 00:00:00,102821063,2021-04-01,1725,2010-04-01,2293 days,4018,0,1725,2293,1,False,True,Willesden
102826063,88784,88784,00550008210015,E09000007,Camden,Inner London - West,BST & GND F 82,KINGSGATE ROAD,LONDON,NW6 4LA,Offices (Inc Computer Centres),203,Office General,Office,50.7,5400.0,2017-04-01 00:00:00+00:00,2017,2021-03,2694.6,WEST HAMPSTEAD HOUSING,300.46,True,2010-04-01,4018.0,True,5043982,17731899.0,CR08,,525209.0,184198.0,51.542801000000004,-0.1958296,1,WEST HAMPSTEAD HOUSING CO-OPERATIVE,,,82.0,,,,82.0,,,,,20400550,,N,osgb1000002298622997,12.0,osgb4000000030329712,5,osgb1000004203082,3,102826063.0,KINGSGATE ROAD,,KINGSGATE ROAD,LONDON,CAMDEN,LONDON,NW6 4LA,NW6 4LA,S,1E,D,E05000140,2012-03-19,1,CO,203.0,POINT (525210.7315256048 184198.2826882263),2010-04-01 00:00:00,102826063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Willesden
105173063,88476,88476,00548006110021,E09000007,Camden,Inner London - West,BST PT & GND F 61,HEMSTAL ROAD,LONDON,NW6 2AD,Shops,249,Retail High Street,Retail,61.0,8400.0,2017-04-01 00:00:00+00:00,2017,2021-03,4191.6,105173063,,True,2017-04-01,,True,5051812,17726613.0,CR,,525179.0,184383.0,51.544470200000006,-0.19619620000000002,2,HEMSTAL SELF SERVICE,,,61.0,,,,61.0,,,,,20400548,,N,osgb1000002298623714,10.0,osgb4000000030223239,5,osgb1000004203774,3,105173063.0,HEMSTAL ROAD,,HEMSTAL ROAD,LONDON,CAMDEN,LONDON,NW6 2AD,NW6 2AD,S,1T,D,E05000145,2012-03-19,2,CS,249.0,POINT (525180.733726723 184383.2792016137),2017-04-01 00:00:00,105173063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Willesden
