,Unnamed: 0,rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,geometry
2948,2948,00000224513039,E09000007,Camden,Inner London - West,96925063,ARCHES 78,RANDOLPH STREET,LONDON,NW1 0SR,Stores,268,Retail High Street,Retail,129.92,14500.0,2010-04-01 00:00:00+00:00,2010,2010-06,5901.5,ARCHGATE PROPERTIES LIMITED - IN LIQUIDA,4310.85,True,2010-04-01,91.0,True,5131043,,I,,,C,5124180.0,529282.0,184178.0,51.541704,-0.1371356,5,5210,E,2007-12-21,2020-02-08,2003-02-10,,,,,,,,,,,,ARCH 78,,,,,,RAILWAY ARCHES,,20400660,1,,,N,,,osgb4000000030153116,8,osgb5000005156541699,3,,96925063.0,RANDOLPH STREET,,,,,,,,,,,LONDON,CAMDEN,,,,NW1 0SR,,,L,,E05000131,,,0,CW3,268.0,,POINT (529283.781575461 184178.3000748332)
2949,2949,00000224513039,E09000007,Camden,Inner London - West,96925063,ARCHES 78,RANDOLPH STREET,LONDON,NW1 0SR,Stores,268,Retail High Street,Retail,129.92,14500.0,2010-04-01 00:00:00+00:00,2010,2010-09,5901.5,ARCHGATE PROPERTIES LIMITED - IN LIQUIDA,4310.85,True,2010-04-01,183.0,True,5131043,,I,,,C,5124180.0,529282.0,184178.0,51.541704,-0.1371356,5,5210,E,2007-12-21,2020-02-08,2003-02-10,,,,,,,,,,,,ARCH 78,,,,,,RAILWAY ARCHES,,20400660,1,,,N,,,osgb4000000030153116,8,osgb5000005156541699,3,,96925063.0,RANDOLPH STREET,,,,,,,,,,,LONDON,CAMDEN,,,,NW1 0SR,,,L,,E05000131,,,0,CW3,268.0,,POINT (529283.781575461 184178.3000748332)
2950,2950,00000224513039,E09000007,Camden,Inner London - West,96925063,ARCHES 78,RANDOLPH STREET,LONDON,NW1 0SR,Stores,268,Retail High Street,Retail,129.92,14500.0,2010-04-01 00:00:00+00:00,2010,2010-12,5901.5,ARCHGATE PROPERTIES LIMITED - IN LIQUIDA,4310.85,True,2010-04-01,275.0,True,5131043,,I,,,C,5124180.0,529282.0,184178.0,51.541704,-0.1371356,5,5210,E,2007-12-21,2020-02-08,2003-02-10,,,,,,,,,,,,ARCH 78,,,,,,RAILWAY ARCHES,,20400660,1,,,N,,,osgb4000000030153116,8,osgb5000005156541699,3,,96925063.0,RANDOLPH STREET,,,,,,,,,,,LONDON,CAMDEN,,,,NW1 0SR,,,L,,E05000131,,,0,CW3,268.0,,POINT (529283.781575461 184178.3000748332)
2951,2951,00000224513039,E09000007,Camden,Inner London - West,96925063,ARCHES 78,RANDOLPH STREET,LONDON,NW1 0SR,Stores,268,Retail High Street,Retail,129.92,14500.0,2010-04-01 00:00:00+00:00,2010,2011-03,5901.5,ARCHGATE PROPERTIES LIMITED - IN LIQUIDA,0.0,False,2011-03-03,29.0,True,5131043,,I,,,C,5124180.0,529282.0,184178.0,51.541704,-0.1371356,5,5210,E,2007-12-21,2020-02-08,2003-02-10,,,,,,,,,,,,ARCH 78,,,,,,RAILWAY ARCHES,,20400660,1,,,N,,,osgb4000000030153116,8,osgb5000005156541699,3,,96925063.0,RANDOLPH STREET,,,,,,,,,,,LONDON,CAMDEN,,,,NW1 0SR,,,L,,E05000131,,,0,CW3,268.0,,POINT (529283.781575461 184178.3000748332)
2952,2952,00000224513039,E09000007,Camden,Inner London - West,96925063,ARCHES 78,RANDOLPH STREET,LONDON,NW1 0SR,Stores,268,Retail High Street,Retail,129.92,14500.0,2010-04-01 00:00:00+00:00,2010,2011-06,6177.0,ARCHGATE PROPERTIES LIMITED - IN LIQUIDA,0.0,False,2011-03-03,120.0,True,5131043,,I,,,C,5124180.0,529282.0,184178.0,51.541704,-0.1371356,5,5210,E,2007-12-21,2020-02-08,2003-02-10,,,,,,,,,,,,ARCH 78,,,,,,RAILWAY ARCHES,,20400660,1,,,N,,,osgb4000000030153116,8,osgb5000005156541699,3,,96925063.0,RANDOLPH STREET,,,,,,,,,,,LONDON,CAMDEN,,,,NW1 0SR,,,L,,E05000131,,,0,CW3,268.0,,POINT (529283.781575461 184178.3000748332)
2953,2953,224513039,E09000007,Camden,Inner London - West,96925063,ARCHES 78,RANDOLPH STREET,LONDON,NW1 0SR,Stores,268,Retail High Street,Retail,129.92,14500.0,2010-04-01 00:00:00+00:00,2010,2011-09,6177.0,ARCHGATE PROPERTIES LIMITED - IN LIQUIDA,0.0,False,03/03/2011,212.0,True,5131043,,I,,,C,5124180.0,529282.0,184178.0,51.541704,-0.1371356,5,5210,E,2007-12-21,2020-02-08,2003-02-10,,,,,,,,,,,,ARCH 78,,,,,,RAILWAY ARCHES,,20400660,1,,,N,,,osgb4000000030153116,8,osgb5000005156541699,3,,96925063.0,RANDOLPH STREET,,,,,,,,,,,LONDON,CAMDEN,,,,NW1 0SR,,,L,,E05000131,,,0,CW3,268.0,,POINT (529283.781575461 184178.3000748332)
2954,2954,00000224513039,E09000007,Camden,Inner London - West,96925063,ARCHES 78,RANDOLPH STREET,LONDON,NW1 0SR,Stores,268,Retail High Street,Retail,129.92,14500.0,2010-04-01 00:00:00+00:00,2010,2011-12,6177.0,ARCHGATE PROPERTIES LIMITED - IN LIQUIDA,0.0,False,2011-03-03,304.0,True,5131043,,I,,,C,5124180.0,529282.0,184178.0,51.541704,-0.1371356,5,5210,E,2007-12-21,2020-02-08,2003-02-10,,,,,,,,,,,,ARCH 78,,,,,,RAILWAY ARCHES,,20400660,1,,,N,,,osgb4000000030153116,8,osgb5000005156541699,3,,96925063.0,RANDOLPH STREET,,,,,,,,,,,LONDON,CAMDEN,,,,NW1 0SR,,,L,,E05000131,,,0,CW3,268.0,,POINT (529283.781575461 184178.3000748332)
2955,2955,00000224513039,E09000007,Camden,Inner London - West,96925063,ARCHES 78,RANDOLPH STREET,LONDON,NW1 0SR,Stores,268,Retail High Street,Retail,129.92,14500.0,2010-04-01 00:00:00+00:00,2010,2012-03,6177.0,ARCHGATE PROPERTIES LIMITED - IN LIQUIDA,0.0,False,2011-03-03,395.0,True,5131043,,I,,,C,5124180.0,529282.0,184178.0,51.541704,-0.1371356,5,5210,E,2007-12-21,2020-02-08,2003-02-10,,,,,,,,,,,,ARCH 78,,,,,,RAILWAY ARCHES,,20400660,1,,,N,,,osgb4000000030153116,8,osgb5000005156541699,3,,96925063.0,RANDOLPH STREET,,,,,,,,,,,LONDON,CAMDEN,,,,NW1 0SR,,,L,,E05000131,,,0,CW3,268.0,,POINT (529283.781575461 184178.3000748332)
2956,2956,00000224513039,E09000007,Camden,Inner London - West,96925063,ARCHES 78,RANDOLPH STREET,LONDON,NW1 0SR,Stores,268,Retail High Street,Retail,129.92,14500.0,2010-04-01 00:00:00+00:00,2010,2012-06,6525.0,ARCHGATE PROPERTIES LIMITED - IN LIQUIDA,0.0,False,2011-03-03,486.0,True,5131043,,I,,,C,5124180.0,529282.0,184178.0,51.541704,-0.1371356,5,5210,E,2007-12-21,2020-02-08,2003-02-10,,,,,,,,,,,,ARCH 78,,,,,,RAILWAY ARCHES,,20400660,1,,,N,,,osgb4000000030153116,8,osgb5000005156541699,3,,96925063.0,RANDOLPH STREET,,,,,,,,,,,LONDON,CAMDEN,,,,NW1 0SR,,,L,,E05000131,,,0,CW3,268.0,,POINT (529283.781575461 184178.3000748332)
2957,2957,00000224513039,E09000007,Camden,Inner London - West,96925063,ARCHES 78,RANDOLPH STREET,LONDON,NW1 0SR,Stores,268,Retail High Street,Retail,129.92,14500.0,2010-04-01 00:00:00+00:00,2010,2012-09,6525.0,BY APPOINTMENT ONLY DESIGN LIMITED,4217.46,True,2012-07-18,75.0,True,5131043,,I,,,C,5124180.0,529282.0,184178.0,51.541704,-0.1371356,5,5210,E,2007-12-21,2020-02-08,2003-02-10,,,,,,,,,,,,ARCH 78,,,,,,RAILWAY ARCHES,,20400660,1,,,N,,,osgb4000000030153116,8,osgb5000005156541699,3,,96925063.0,RANDOLPH STREET,,,,,,,,,,,LONDON,CAMDEN,,,,NW1 0SR,,,L,,E05000131,,,0,CW3,268.0,,POINT (529283.781575461 184178.3000748332)
