,Unnamed: 0,rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,geometry
29260,29260,00210000100017,E09000007,Camden,Inner London - West,6249003000,GND FLR 1A,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,18.18,3550.0,2010-04-01 00:00:00+00:00,2010,2010-06,1444.85,,,True,2010-04-01,,True,5137400,27905155.0,I,,,C,,528289.0,185630.0,51.55497929999999,-0.15091749999999998,1,5210,E,2007-12-21,2018-11-11,2005-02-21,,,,,,1A,,,,,,,,1.0,A,,,,,20400210,1,,,N,osgb1000002298896851,11.0,osgb4000000030355826,4,osgb5000005160060579,1,,6249003000.0,MANSFIELD ROAD,,,MANSFIELD ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 2JD,NW3 2JD,S,1J,D,,E05000134,,2012-03-19,1,CO,249.0,,POINT (528290.7822341318 185630.3262101694)
29261,29261,00210000100017,E09000007,Camden,Inner London - West,6249003000,GND FLR 1A,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,18.18,3550.0,2010-04-01 00:00:00+00:00,2010,2010-09,1444.85,,,True,2010-04-01,,True,5137400,27905155.0,I,,,C,,528289.0,185630.0,51.55497929999999,-0.15091749999999998,1,5210,E,2007-12-21,2018-11-11,2005-02-21,,,,,,1A,,,,,,,,1.0,A,,,,,20400210,1,,,N,osgb1000002298896851,11.0,osgb4000000030355826,4,osgb5000005160060579,1,,6249003000.0,MANSFIELD ROAD,,,MANSFIELD ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 2JD,NW3 2JD,S,1J,D,,E05000134,,2012-03-19,1,CO,249.0,,POINT (528290.7822341318 185630.3262101694)
29262,29262,00210000100017,E09000007,Camden,Inner London - West,6249003000,GND FLR 1A,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,18.18,3550.0,2010-04-01 00:00:00+00:00,2010,2010-12,1444.85,,,True,2010-04-01,,True,5137400,27905155.0,I,,,C,,528289.0,185630.0,51.55497929999999,-0.15091749999999998,1,5210,E,2007-12-21,2018-11-11,2005-02-21,,,,,,1A,,,,,,,,1.0,A,,,,,20400210,1,,,N,osgb1000002298896851,11.0,osgb4000000030355826,4,osgb5000005160060579,1,,6249003000.0,MANSFIELD ROAD,,,MANSFIELD ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 2JD,NW3 2JD,S,1J,D,,E05000134,,2012-03-19,1,CO,249.0,,POINT (528290.7822341318 185630.3262101694)
29263,29263,00210000100017,E09000007,Camden,Inner London - West,6249003000,GND FLR 1A,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,18.18,3550.0,2010-04-01 00:00:00+00:00,2010,2011-03,1444.85,,,True,2010-04-01,,True,5137400,27905155.0,I,,,C,,528289.0,185630.0,51.55497929999999,-0.15091749999999998,1,5210,E,2007-12-21,2018-11-11,2005-02-21,,,,,,1A,,,,,,,,1.0,A,,,,,20400210,1,,,N,osgb1000002298896851,11.0,osgb4000000030355826,4,osgb5000005160060579,1,,6249003000.0,MANSFIELD ROAD,,,MANSFIELD ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 2JD,NW3 2JD,S,1J,D,,E05000134,,2012-03-19,1,CO,249.0,,POINT (528290.7822341318 185630.3262101694)
29264,29264,00210000100017,E09000007,Camden,Inner London - West,6249003000,GND FLR 1A,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,18.18,3550.0,2010-04-01 00:00:00+00:00,2010,2011-06,1512.3,,,True,2010-04-01,,True,5137400,27905155.0,I,,,C,,528289.0,185630.0,51.55497929999999,-0.15091749999999998,1,5210,E,2007-12-21,2018-11-11,2005-02-21,,,,,,1A,,,,,,,,1.0,A,,,,,20400210,1,,,N,osgb1000002298896851,11.0,osgb4000000030355826,4,osgb5000005160060579,1,,6249003000.0,MANSFIELD ROAD,,,MANSFIELD ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 2JD,NW3 2JD,S,1J,D,,E05000134,,2012-03-19,1,CO,249.0,,POINT (528290.7822341318 185630.3262101694)
29265,29265,2.1E+11,E09000007,Camden,Inner London - West,6249003000,GND FLR 1A,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,18.18,3550.0,2010-04-01 00:00:00+00:00,2010,2011-09,1512.3,,,True,01/04/2010,,True,5137400,27905155.0,I,,,C,,528289.0,185630.0,51.55497929999999,-0.15091749999999998,1,5210,E,2007-12-21,2018-11-11,2005-02-21,,,,,,1A,,,,,,,,1.0,A,,,,,20400210,1,,,N,osgb1000002298896851,11.0,osgb4000000030355826,4,osgb5000005160060579,1,,6249003000.0,MANSFIELD ROAD,,,MANSFIELD ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 2JD,NW3 2JD,S,1J,D,,E05000134,,2012-03-19,1,CO,249.0,,POINT (528290.7822341318 185630.3262101694)
29266,29266,00210000100017,E09000007,Camden,Inner London - West,6249003000,GND FLR 1A,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,18.18,3550.0,2010-04-01 00:00:00+00:00,2010,2011-12,1512.3,,,True,2010-04-01,,True,5137400,27905155.0,I,,,C,,528289.0,185630.0,51.55497929999999,-0.15091749999999998,1,5210,E,2007-12-21,2018-11-11,2005-02-21,,,,,,1A,,,,,,,,1.0,A,,,,,20400210,1,,,N,osgb1000002298896851,11.0,osgb4000000030355826,4,osgb5000005160060579,1,,6249003000.0,MANSFIELD ROAD,,,MANSFIELD ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 2JD,NW3 2JD,S,1J,D,,E05000134,,2012-03-19,1,CO,249.0,,POINT (528290.7822341318 185630.3262101694)
29267,29267,00210000100017,E09000007,Camden,Inner London - West,6249003000,GND FLR 1A,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,18.18,3550.0,2010-04-01 00:00:00+00:00,2010,2012-03,1512.3,,,True,2010-04-01,,True,5137400,27905155.0,I,,,C,,528289.0,185630.0,51.55497929999999,-0.15091749999999998,1,5210,E,2007-12-21,2018-11-11,2005-02-21,,,,,,1A,,,,,,,,1.0,A,,,,,20400210,1,,,N,osgb1000002298896851,11.0,osgb4000000030355826,4,osgb5000005160060579,1,,6249003000.0,MANSFIELD ROAD,,,MANSFIELD ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 2JD,NW3 2JD,S,1J,D,,E05000134,,2012-03-19,1,CO,249.0,,POINT (528290.7822341318 185630.3262101694)
29268,29268,00210000100017,E09000007,Camden,Inner London - West,6249003000,GND FLR 1A,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,18.18,3550.0,2010-04-01 00:00:00+00:00,2010,2012-06,1597.5,,,True,2010-04-01,,True,5137400,27905155.0,I,,,C,,528289.0,185630.0,51.55497929999999,-0.15091749999999998,1,5210,E,2007-12-21,2018-11-11,2005-02-21,,,,,,1A,,,,,,,,1.0,A,,,,,20400210,1,,,N,osgb1000002298896851,11.0,osgb4000000030355826,4,osgb5000005160060579,1,,6249003000.0,MANSFIELD ROAD,,,MANSFIELD ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 2JD,NW3 2JD,S,1J,D,,E05000134,,2012-03-19,1,CO,249.0,,POINT (528290.7822341318 185630.3262101694)
29269,29269,00210000100017,E09000007,Camden,Inner London - West,6249003000,GND FLR 1A,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,18.18,3550.0,2010-04-01 00:00:00+00:00,2010,2012-09,1597.5,,,True,2010-04-01,,True,5137400,27905155.0,I,,,C,,528289.0,185630.0,51.55497929999999,-0.15091749999999998,1,5210,E,2007-12-21,2018-11-11,2005-02-21,,,,,,1A,,,,,,,,1.0,A,,,,,20400210,1,,,N,osgb1000002298896851,11.0,osgb4000000030355826,4,osgb5000005160060579,1,,6249003000.0,MANSFIELD ROAD,,,MANSFIELD ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW3 2JD,NW3 2JD,S,1J,D,,E05000134,,2012-03-19,1,CO,249.0,,POINT (528290.7822341318 185630.3262101694)
