,Unnamed: 0,rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,geometry
32560,32560,00242002000003,E09000007,Camden,Inner London - West,105847063,ADJ 20,MILL LANE,LONDON,NW6 1NS,Stores,268,Retail High Street,Retail,14.7,1800.0,2010-04-01 00:00:00+00:00,2010,2010-06,732.6,HATTON PARTNERS LLP,,True,2010-04-01,91.0,True,5110114,,I,,,C,,524765.0,185081.0,51.5508349,-0.2019159,2,5210,E,2007-12-21,2018-12-09,2002-10-08,,,,,,,,,,,,,,20.0,,,,,,20400242,1,,,N,,,osgb4000000030223245,3,osgb1000004055214,3,,105847063.0,MILL LANE,,,,,,,,,,,LONDON,CAMDEN,,,,NW6 1NS,,,L,,E05000132,,,0,CW3,268.0,,POINT (524766.7348136291 185081.302780309)
32561,32561,00242002000003,E09000007,Camden,Inner London - West,105847063,ADJ 20,MILL LANE,LONDON,NW6 1NS,Stores,268,Retail High Street,Retail,14.7,1800.0,2010-04-01 00:00:00+00:00,2010,2010-09,732.6,HATTON PARTNERS LLP,,True,2010-04-01,183.0,True,5110114,,I,,,C,,524765.0,185081.0,51.5508349,-0.2019159,2,5210,E,2007-12-21,2018-12-09,2002-10-08,,,,,,,,,,,,,,20.0,,,,,,20400242,1,,,N,,,osgb4000000030223245,3,osgb1000004055214,3,,105847063.0,MILL LANE,,,,,,,,,,,LONDON,CAMDEN,,,,NW6 1NS,,,L,,E05000132,,,0,CW3,268.0,,POINT (524766.7348136291 185081.302780309)
32562,32562,00242002000003,E09000007,Camden,Inner London - West,105847063,ADJ 20,MILL LANE,LONDON,NW6 1NS,Stores,268,Retail High Street,Retail,14.7,1800.0,2010-04-01 00:00:00+00:00,2010,2010-12,732.6,HATTON PARTNERS LLP,,True,2010-04-01,275.0,True,5110114,,I,,,C,,524765.0,185081.0,51.5508349,-0.2019159,2,5210,E,2007-12-21,2018-12-09,2002-10-08,,,,,,,,,,,,,,20.0,,,,,,20400242,1,,,N,,,osgb4000000030223245,3,osgb1000004055214,3,,105847063.0,MILL LANE,,,,,,,,,,,LONDON,CAMDEN,,,,NW6 1NS,,,L,,E05000132,,,0,CW3,268.0,,POINT (524766.7348136291 185081.302780309)
32563,32563,00242002000003,E09000007,Camden,Inner London - West,105847063,ADJ 20,MILL LANE,LONDON,NW6 1NS,Stores,268,Retail High Street,Retail,14.7,1800.0,2010-04-01 00:00:00+00:00,2010,2011-03,732.6,HATTON PARTNERS LLP,,True,2010-04-01,365.0,True,5110114,,I,,,C,,524765.0,185081.0,51.5508349,-0.2019159,2,5210,E,2007-12-21,2018-12-09,2002-10-08,,,,,,,,,,,,,,20.0,,,,,,20400242,1,,,N,,,osgb4000000030223245,3,osgb1000004055214,3,,105847063.0,MILL LANE,,,,,,,,,,,LONDON,CAMDEN,,,,NW6 1NS,,,L,,E05000132,,,0,CW3,268.0,,POINT (524766.7348136291 185081.302780309)
32564,32564,00242002000003,E09000007,Camden,Inner London - West,105847063,ADJ 20,MILL LANE,LONDON,NW6 1NS,Stores,268,Retail High Street,Retail,14.7,1800.0,2010-04-01 00:00:00+00:00,2010,2011-06,766.8,ELECTRIC MARKETING LIMITED,1006.31,False,2011-04-01,91.0,True,5110114,,I,,,C,,524765.0,185081.0,51.5508349,-0.2019159,2,5210,E,2007-12-21,2018-12-09,2002-10-08,,,,,,,,,,,,,,20.0,,,,,,20400242,1,,,N,,,osgb4000000030223245,3,osgb1000004055214,3,,105847063.0,MILL LANE,,,,,,,,,,,LONDON,CAMDEN,,,,NW6 1NS,,,L,,E05000132,,,0,CW3,268.0,,POINT (524766.7348136291 185081.302780309)
32565,32565,2.42002E+11,E09000007,Camden,Inner London - West,105847063,ADJ 20,MILL LANE,LONDON,NW6 1NS,Stores,268,Retail High Street,Retail,14.7,1800.0,2010-04-01 00:00:00+00:00,2010,2011-09,766.8,THE DESIGN CONSPIRACY LTD,87.15,True,18/09/2011,13.0,True,5110114,,I,,,C,,524765.0,185081.0,51.5508349,-0.2019159,2,5210,E,2007-12-21,2018-12-09,2002-10-08,,,,,,,,,,,,,,20.0,,,,,,20400242,1,,,N,,,osgb4000000030223245,3,osgb1000004055214,3,,105847063.0,MILL LANE,,,,,,,,,,,LONDON,CAMDEN,,,,NW6 1NS,,,L,,E05000132,,,0,CW3,268.0,,POINT (524766.7348136291 185081.302780309)
32566,32566,00242002000003,E09000007,Camden,Inner London - West,105847063,ADJ 20,MILL LANE,LONDON,NW6 1NS,Stores,268,Retail High Street,Retail,14.7,1800.0,2010-04-01 00:00:00+00:00,2010,2011-12,766.8,THE DESIGN CONSPIRACY LTD,87.15,True,2011-09-18,105.0,True,5110114,,I,,,C,,524765.0,185081.0,51.5508349,-0.2019159,2,5210,E,2007-12-21,2018-12-09,2002-10-08,,,,,,,,,,,,,,20.0,,,,,,20400242,1,,,N,,,osgb4000000030223245,3,osgb1000004055214,3,,105847063.0,MILL LANE,,,,,,,,,,,LONDON,CAMDEN,,,,NW6 1NS,,,L,,E05000132,,,0,CW3,268.0,,POINT (524766.7348136291 185081.302780309)
32567,32567,00242002000003,E09000007,Camden,Inner London - West,105847063,ADJ 20,MILL LANE,LONDON,NW6 1NS,Stores,268,Retail High Street,Retail,14.7,1800.0,2010-04-01 00:00:00+00:00,2010,2012-03,766.8,THE DESIGN CONSPIRACY LTD,87.15,True,2011-09-18,196.0,True,5110114,,I,,,C,,524765.0,185081.0,51.5508349,-0.2019159,2,5210,E,2007-12-21,2018-12-09,2002-10-08,,,,,,,,,,,,,,20.0,,,,,,20400242,1,,,N,,,osgb4000000030223245,3,osgb1000004055214,3,,105847063.0,MILL LANE,,,,,,,,,,,LONDON,CAMDEN,,,,NW6 1NS,,,L,,E05000132,,,0,CW3,268.0,,POINT (524766.7348136291 185081.302780309)
32568,32568,00242002000003,E09000007,Camden,Inner London - West,105847063,ADJ 20,MILL LANE,LONDON,NW6 1NS,Stores,268,Retail High Street,Retail,14.7,1800.0,2010-04-01 00:00:00+00:00,2010,2012-06,810.0,THE DESIGN CONSPIRACY LTD,87.15,True,2011-09-18,287.0,True,5110114,,I,,,C,,524765.0,185081.0,51.5508349,-0.2019159,2,5210,E,2007-12-21,2018-12-09,2002-10-08,,,,,,,,,,,,,,20.0,,,,,,20400242,1,,,N,,,osgb4000000030223245,3,osgb1000004055214,3,,105847063.0,MILL LANE,,,,,,,,,,,LONDON,CAMDEN,,,,NW6 1NS,,,L,,E05000132,,,0,CW3,268.0,,POINT (524766.7348136291 185081.302780309)
32569,32569,00242002000003,E09000007,Camden,Inner London - West,105847063,ADJ 20,MILL LANE,LONDON,NW6 1NS,Stores,268,Retail High Street,Retail,14.7,1800.0,2010-04-01 00:00:00+00:00,2010,2012-09,810.0,THE DESIGN CONSPIRACY LTD,87.15,True,2011-09-18,379.0,True,5110114,,I,,,C,,524765.0,185081.0,51.5508349,-0.2019159,2,5210,E,2007-12-21,2018-12-09,2002-10-08,,,,,,,,,,,,,,20.0,,,,,,20400242,1,,,N,,,osgb4000000030223245,3,osgb1000004055214,3,,105847063.0,MILL LANE,,,,,,,,,,,LONDON,CAMDEN,,,,NW6 1NS,,,L,,E05000132,,,0,CW3,268.0,,POINT (524766.7348136291 185081.302780309)
