,Unnamed: 0,rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,geometry
92921,92921,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2010-06,3947.9,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92922,92922,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2010-09,3947.9,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92923,92923,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2010-12,3947.9,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92924,92924,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2011-03,3947.9,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92925,92925,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2011-06,4132.2,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92926,92926,6.05001E+11,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2011-09,4132.2,,,True,09/03/2010,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92927,92927,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2011-12,4132.2,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92928,92928,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2012-03,4132.2,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92929,92929,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2012-06,4365.0,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92930,92930,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2012-09,4365.0,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92931,92931,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2012-12,4365.0,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92932,92932,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2013-03,4365.0,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92933,92933,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2013-06,4481.4,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92934,92934,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2013-09,4481.4,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92935,92935,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2013-12,4481.4,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92936,92936,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2014-03,4481.4,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92937,92937,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2014-06,4568.7,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92938,92938,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2014-09,4568.7,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92939,92939,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2014-12,4568.7,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92940,92940,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2015-03,4568.7,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92941,92941,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2015-06,4656.0,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92942,92942,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2015-09,4656.0,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92943,92943,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2015-12,4656.0,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92944,92944,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2016-03,4656.0,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92945,92945,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2016-06,4694.8,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92946,92946,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2016-09,4694.8,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92947,92947,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2016-12,4694.8,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92948,92948,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,9700.0,2010-03-09 00:00:00+00:00,2010,2017-03,4694.8,,,True,2010-03-09,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92949,92949,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,10750.0,2017-04-01 00:00:00+00:00,2017,2017-06,5009.5,,,True,2017-04-01,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
92950,92950,00605000900008,E09000007,Camden,Inner London - West,111278063,9,ST GEORGES MEWS,LONDON,NW1 8XE,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,56.2,10750.0,2017-04-01 00:00:00+00:00,2017,2017-09,5009.5,,,True,2017-04-01,,True,5033057,17652464.0,I,,,CM02HL,,527799.0,184048.0,51.540873,-0.1585558,2,5210,E,2007-12-21,2015-08-23,2002-10-08,THE CENTRE FOR CRANIO-SACRAL THERAPY,,,,,,9.0,,,,,,,9.0,,,,,,20400605,1,,,N,osgb1000002298726243,10.0,osgb4000000030223420,3,osgb1000005162871,2,,111278063.0,ST GEORGE'S MEWS,,,ST. GEORGES MEWS,,,,,,,,LONDON,CAMDEN,LONDON,,NW1 8XE,NW1 8XE,S,1W,D,,E05000130,,2012-03-19,0,MH1,437.0,,POINT (527800.761736082 184048.2825896132)
