,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
11957063,31459,31459,0023300030000B,E09000007,Camden,Inner London - West,3,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,94.38,17500.0,2017-04-01 00:00:00+00:00,2017,2021-03,8732.5,EL-GAMAL & CO LIMITED,0.0,False,2014-11-07,2337.0,True,5068769,15533926.0,C,,529775.0,185005.0,51.5490231,-0.1297257,2,INSIDE OUT ESCAPE LONDON,,,3.0,,,,3.0,,,,,20400233,,N,osgb1000002298928997,11.0,osgb4000000030250596,4,osgb1000005440421,4,11957063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,1N,D,E05000139,2012-03-19,1,CS,249.0,POINT (529776.7972362216 185005.3245432741),2014-11-07 00:00:00,11957063,2021-04-01,2337,2010-04-01,1681 days,4018,0,2337,1681,0,False,True,Brecknock
98396063,31635,31635,00233001110013,E09000007,Camden,Inner London - West,GND F 11,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,87.4,17000.0,2017-04-01 00:00:00+00:00,2017,2021-03,8483.0,NEWQUEST PROPERTIES LTD,0.0,False,2011-05-27,3597.0,True,5061891,15533919.0,CR08,,529762.0,185023.0,51.5491878,-0.12990639999999998,1,UNIVERSAL DRY CLEANERS,,,11.0,,,,11.0,,,,,20400233,,N,osgb1000002298837686,13.0,osgb4000000030250596,4,osgb1000005440417,3,98396063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,1B,D,E05000139,2012-03-19,1,CS,249.0,POINT (529763.8006960376 185023.3195495345),2011-05-27 00:00:00,98396063,2021-04-01,3597,2010-04-01,421 days,4018,0,3597,421,0,False,True,Brecknock
98405063,32163,32163,00233004110022,E09000007,Camden,Inner London - West,PT LGND & GND FS 41,BRECKNOCK ROAD,LONDON,N7 0BT,Betting Offices,24,Retail Financial & Professional Services,Retail,70.9,18000.0,2017-04-01 00:00:00+00:00,2017,2021-03,8982.0,WILLIAM HILL ORGANIZATION LTD,0.0,False,2019-09-29,550.0,True,5048907,56456277.0,CR08,,529707.0,185110.0,51.549982299999996,-0.1306671,2,MOOMIN SHOP,,,41.0,,,,41.0,,,,,20400233,,Y,,,osgb4000000030250599,2,osgb1000005440288,4,98405063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BT,N7 0BT,S,3B,D,E05000139,2021-03-23,4,CS,249.0,POINT (529708.8021379472 185110.3231520839),2019-09-29 00:00:00,98405063,2021-04-01,550,2010-04-01,3468 days,4018,0,550,3468,0,False,True,Brecknock
109616063,64852,64852,0038700013013A,E09000007,Camden,Inner London - West,GND F BLK A 7 APOLLO STUDIOS 1-7,CHARLTON KINGS ROAD,LONDON,NW5 2SB,Offices (Inc Computer Centres),203,Office General,Office,73.4,18750.0,2017-04-01 00:00:00+00:00,2017,2021-03,9356.25,LOGICAL OFFICE LIMITED,61.44,False,2020-05-01,335.0,True,5087870,50420087.0,CO01,5104963.0,529555.0,185237.0,51.5511585,-0.1328114,2,LOGICAL OFFICE LTD,UNIT 7,APOLLO STUDIOS,,,,UNIT 7,,,,,APOLLO STUDIOS,20400387,,N,osgb1000002298933826,9.0,osgb5000005151691295,0,osgb1000005440733,5,109616063.0,CHARLTON KING'S ROAD,,CHARLTON KINGS ROAD,LONDON,CAMDEN,LONDON,NW5 2SB,NW5 2SB,S,2S,D,E05000139,2012-03-19,0,CO,203.0,POINT (529556.7978236314 185237.3243976603),2020-05-01 00:00:00,109616063,2021-04-01,335,2010-04-01,3683 days,4018,0,335,3683,0,False,True,Brecknock
109623063,64878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brecknock
182729063,31503,31503,00233000500017,E09000007,Camden,Inner London - West,GND F 5,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,70.6,14500.0,2017-04-01 00:00:00+00:00,2017,2021-03,7235.5,NEWQUEST PROPERTIES LTD,0.0,False,2014-08-01,2435.0,True,5046507,15533918.0,CR,,529770.0,185007.0,51.5490422,-0.129797,2,T R HARDWARE,,,5.0,,,,5.0,,,,,20400233,,N,osgb1000002298838473,15.0,osgb4000000030250596,4,osgb1000005440420,4,182729063.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,1P,D,E05000139,2012-03-19,1,CS,249.0,POINT (529771.7995624695 185007.322148582),2014-08-01 00:00:00,182729063,2021-04-01,2435,2010-04-01,1583 days,4018,0,2435,1583,0,False,True,Brecknock
207164000,87775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brecknock
2766759000,286949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brecknock
3452324000,286890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brecknock
3863401000,31665,31665,00233001300024,E09000007,Camden,Inner London - West,BST & GND FLR FRONT 13,BRECKNOCK ROAD,LONDON,N7 0BL,Cafes,409,Retail Restaurants & Cafes,Retail,85.0,8500.0,2017-04-01 00:00:00+00:00,2017,2017-09,3961.0,NEWQUEST PROPERTIES LTD,0.0,False,2016-04-01,548.0,True,5184393,28377838.0,CR07,,529755.0,185025.0,51.54920739999999,-0.1300066,1,SKIN HQ,,13A,,,,,13.0,A,,,,20400233,,,osgb1000002298917644,9.0,osgb4000000030990857,4,osgb1000005440416,3,3863401000.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BL,N7 0BL,S,2G,D,E05000139,2012-03-19,0,CR1,409.0,POINT (529756.797938582 185025.3215445412),2016-04-01 00:00:00,3863401000,2017-10-01,548,2010-04-01,2192 days,2740,0,548,2192,0,False,True,Brecknock
6288345000,84555,84555,5.28002E+11,E09000007,Camden,Inner London - West,THE INDUSTRY BUILDING 23-25,HAMPSHIRE STREET,LONDON,NW5 2TE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,962.96,90500.0,2017-04-01 00:00:00+00:00,2017,2019-12,45612.0,INDUSTRY HOUSE DEVELOPMENTS LTD,0.0,False,2018-02-15,685.0,True,5087820,50956340.0,CO02,,529728.0,184965.0,51.5486744,-0.13041789999999998,2,,,,23.0,,,,23.0,,25.0,,THE INDUSTRY BUILDING,20400528,,N,osgb1000002298947113,6.0,osgb4000000031228909,1,osgb1000005433929,14,6288345000.0,HAMPSHIRE STREET,,HAMPSHIRE STREET,LONDON,CAMDEN,LONDON,NW5 2TE,NW5 2TE,S,1F,D,E05000139,2012-03-19,0,IF3,96.0,POINT (529729.7967772977 184965.3207863403),2018-02-15 00:00:00,6288345000,2020-01-01,685,2010-04-01,2877 days,3562,0,685,2877,0,False,True,Brecknock
7999373000,87112,87112,00535022500018,E09000007,Camden,Inner London - West,UNIT 1 GND FLR 225,CAMDEN ROAD,LONDON,NW1 9AA,Recording Studios,232,Office Serviced Office,Office,17.84,3550.0,2017-04-01 00:00:00+00:00,2017,2021-03,1771.45,NAMULAS PENSION TRUSTEES LIMITED,5.6843418860808e-14,False,2019-04-01,731.0,True,5164965,,CO01,5079631.0,529771.0,184967.0,51.5486825,-0.1297973,2,,,,,,,UNIT 1,225.0,A,,,,20400535,,N,,,osgb5000005151691287,0,osgb1000005433933,4,7999373000.0,CAMDEN ROAD,,,LONDON,CAMDEN,,,NW1 9AA,,,C,E05000139,,0,CX,232.0,POINT (529772.8014813206 184967.3214821434),2019-04-01 00:00:00,7999373000,2021-04-01,731,2010-04-01,3287 days,4018,0,731,3287,0,False,False,Brecknock
7999376000,87156,87156,00535022500024,E09000007,Camden,Inner London - West,UNIT 2 GND FLR 225A,CAMDEN ROAD,LONDON,NW1 9AA,Recording Studios,232,Office Serviced Office,Office,32.6,6200.0,2017-04-01 00:00:00+00:00,2017,2021-03,3093.8,NAMULAS PENSION TRUSTEES LIMITED,0.0,False,2019-04-01,731.0,True,5164966,,CO01,5079631.0,529771.0,184967.0,51.5486825,-0.1297973,2,,,,,,,UNIT 2,225.0,A,,,,20400535,,N,,,osgb5000005151691287,0,osgb1000005433933,4,7999376000.0,CAMDEN ROAD,,,LONDON,CAMDEN,,,NW1 9AA,,,C,E05000139,,0,CX,232.0,POINT (529772.8014813206 184967.3214821434),2019-04-01 00:00:00,7999376000,2021-04-01,731,2010-04-01,3287 days,4018,0,731,3287,0,False,False,Brecknock
8794669000,346109,346109,00535022510002,E09000007,Camden,Inner London - West,(EXCL. UNITS 1-2&3) GND FLR 225A,CAMDEN ROAD,LONDON,NW1 9AA,Recording Studios,232,Office Serviced Office,Office,46.85,9300.0,2017-04-01 00:00:00+00:00,2017,2021-03,4640.7,NAMULAS PENSION TRUSTEES LIMITED,-2.27373675443232e-13,False,2019-04-01,731.0,True,5164971,,CO01,5079631.0,529771.0,184967.0,51.5486825,-0.1297973,2,,,,,,,STUDIO AND PREMISES AT GROUND FLOOR,225.0,A,,,,20400535,,N,,,osgb5000005151691287,0,osgb1000005433933,4,8794669000.0,CAMDEN ROAD,,,LONDON,CAMDEN,,,NW1 9AA,,,C,E05000139,,0,CX,232.0,POINT (529772.8014813206 184967.3214821434),2019-04-01 00:00:00,8794669000,2021-04-01,731,2010-04-01,3287 days,4018,0,731,3287,0,False,True,Brecknock
9787634000,364765,364765,00233003710035,E09000007,Camden,Inner London - West,P J DENTAL SURGERY AT 37,BRECKNOCK ROAD,LONDON,N7 0BT,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,140.23,23000.0,2017-04-01 00:00:00+00:00,2017,2021-03,11477.0,GROUND GILBEY LTD,0.0,False,2015-02-12,2240.0,True,5066326,15533965.0,CM01,,529710.0,185095.0,51.5498468,-0.13062939999999998,1,BRECKNOCK DENTAL,,,37.0,,,,37.0,,,,,20400233,,N,osgb1000002298837483,15.0,osgb4000000031138531,1,osgb1000005440291,4,9787634000.0,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BT,N7 0BT,S,1G,D,E05000139,2012-03-19,0,MH,437.0,POINT (529711.8009925119 185095.3217838815),2015-02-12 00:00:00,9787634000,2021-04-01,2240,2010-04-01,1778 days,4018,0,2240,1778,0,False,True,Brecknock
10992226000,392475,392475,00536000500008,E09000007,Camden,Inner London - West,8,CLIFF ROAD,LONDON,NW1 9AN,Offices (Inc Computer Centres),203,Office General,Office,31.79,6600.0,2016-07-09 00:00:00+00:00,2010,2016-09,3194.4,LYNDON GOODE ARCHITECTS LIMITED,0.0,False,2016-08-22,40.0,True,5189800,55376724.0,CO01,5087794.0,529846.0,184861.0,51.5477126,-0.1287554,1,LYNDON GOODE ARCHITECTS,,8 CLIFF ROAD STUDIOS,5.0,,,UNIT 8,5.0,,,,CLIFF ROAD STUDIOS,20400536,,N,,,osgb4000000030250609,0,osgb1000005434108,4,10992226000.0,CLIFF ROAD,,CLIFF ROAD,LONDON,CAMDEN,LONDON,NW1 9AN,NW1 9AN,S,2P,D,E05000131,2018-08-31,0,CO,203.0,POINT (529847.7981505134 184861.3120667603),2016-08-22 00:00:00,10992226000,2016-10-01,40,2010-04-01,2335 days,2375,0,40,2335,0,False,False,Brecknock
