,Unnamed: 0,rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,geometry,highstreet
131,31547,0023300071001B,E09000007,Camden,Inner London - West,98394063,GND F 7,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,48.6,10250.0,2017-04-01 00:00:00+00:00,2017,2021-03,5114.75,,,True,2017-04-01,,True,5020376,15533914.0,I,,,CR08,,529768.0,185014.0,51.5491056,-0.1298233,1,5210,E,2007-12-21,2018-12-09,2002-10-08,HAIR BY DEMETRA,,,,,,7.0,,,,,,,7.0,,,,,,20400233,1,,,N,osgb1000002298838472,12.0,osgb4000000030250596,4,osgb1000005440419,3,,98394063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1Q,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529769.795872824 185014.3258712663),Brecknock
175,31591,00233000910012,E09000007,Camden,Inner London - West,98395063,GND F 9,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,55.6,13500.0,2017-04-01 00:00:00+00:00,2017,2021-03,6736.5,KNIGHT FRANK LLP,4875.47,True,2014-11-10,2334.0,True,5002520,15533927.0,I,,,CR02,,529764.0,185019.0,51.5491514,-0.12987910000000005,2,5210,E,2007-12-21,2015-08-23,2002-10-08,SELECT DRY CLEANERS & LAUNDRY,,,,,,9.0,,,,,,,9.0,,,,,,20400233,1,,,N,osgb1000002298884143,13.0,osgb4000000030250596,4,osgb1000005440418,4,,98395063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1R,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529765.796941604 185019.320109525),Brecknock
263,31679,00233001300024,E09000007,Camden,Inner London - West,3863401000,BST & GND FLR FRONT 13,BRECKNOCK ROAD,LONDON,N7 0BL,Cafes,409,Retail Restaurants & Cafes,Retail,85.0,8500.0,2017-04-01 00:00:00+00:00,2017,2021-03,4241.5,PENGUIN TUITION LIMITED,1533.79,True,2017-10-03,1276.0,True,5184393,28377838.0,I,,,CR07,,529755.0,185025.0,51.54920739999999,-0.1300066,1,5210,E,2016-01-26,2019-10-06,2016-01-26,SKIN HQ,,,,,13A,,,,,,,,13.0,A,,,,,20400233,1,,,,osgb1000002298917644,9.0,osgb4000000030990857,4,osgb1000005440416,3,,3863401000.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,2G,D,,E05000139,,2012-03-19,0,CR1,409.0,,POINT (529756.797938582 185025.3215445412),Brecknock
307,31767,00233001710019,E09000007,Camden,Inner London - West,98400063,GND F 17,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,83.7,10500.0,2017-04-01 00:00:00+00:00,2017,2021-03,5239.5,,,True,2017-04-01,,True,5056731,15533925.0,I,,,C,,529745.0,185036.0,51.5493085,-0.13014669999999998,2,5210,E,2007-12-21,2015-08-23,2002-10-08,,,,,,,17.0,,,,,,,17.0,,,,,,20400233,1,,,N,osgb1000002298837653,13.0,osgb4000000030990857,4,osgb1000005440411,5,,98400063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,2E,D,,E05000139,,2012-03-19,3,CS,249.0,,POINT (529746.7971715669 185036.3159716321),Brecknock
351,31811,00233001900019,E09000007,Camden,Inner London - West,1122864000,GND FLR 19,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,71.7,10250.0,2017-04-01 00:00:00+00:00,2017,2021-03,5114.75,,,True,2017-04-01,,True,5066821,15533917.0,I,,,CR10,,529742.0,185041.0,51.5493542,-0.1301881,1,5210,E,2007-12-21,2018-11-11,2002-10-08,STAR FISH BAR,,,,,,19.0,,,,,,,19.0,,,,,,20400233,1,,,N,osgb1000002298837651,10.0,osgb4000000030990857,4,osgb1000005440410,4,,1122864000.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1G,D,,E05000139,,2012-03-19,3,CS,249.0,,POINT (529743.7969366038 185041.3246281325),Brecknock
395,31855,00233002110011,E09000007,Camden,Inner London - West,831464000,GND F 21,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,67.9,15000.0,2017-04-01 00:00:00+00:00,2017,2021-03,7485.0,,,True,2017-04-01,,True,5053391,15533916.0,I,,,CR08,,529739.0,185045.0,51.5493908,-0.1302298,2,5210,E,2007-12-21,2015-08-23,2002-10-08,AURA PHARMACY,,,,,,21.0,,,,,,,21.0,,,,,,20400233,1,,,N,osgb1000002298837509,11.0,osgb4000000030990857,4,osgb1000005440409,5,,831464000.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,1H,D,,E05000139,,2012-03-19,3,CS,249.0,,POINT (529740.8017757032 185045.3207967155),Brecknock
439,31899,00233002300007,E09000007,Camden,Inner London - West,11955063,23,BRECKNOCK ROAD,LONDON,N7 0BL,Shops,249,Retail High Street,Retail,179.0,24500.0,2017-04-01 00:00:00+00:00,2017,2021-03,12225.5,THE CLASSIC SHOE REPAIR COMPANY LIMITED,9330.55,True,2017-04-01,1461.0,True,5083509,53296364.0,I,,,CR,,529734.0,185054.0,51.5494728,-0.1302986,2,5210,E,2007-12-21,2017-06-18,2002-10-08,CLASSIC SHOES,,,,,23-25,,,,,,,,23.0,,25.0,,,,20400233,1,,,N,osgb5000005114835795,3.0,osgb4000000031138724,2,osgb1000005440407,4,,11955063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BL,N7 0BL,S,2N,D,,E05000139,,2013-10-22,13,CS,249.0,,POINT (529735.7986901217 185054.3176096606),Brecknock
483,31943,00233002700008,E09000007,Camden,Inner London - West,4711728000,27,BRECKNOCK ROAD,LONDON,N7 0BT,Shops,249,Retail High Street,Retail,104.5,19250.0,2017-04-01 00:00:00+00:00,2017,2021-03,9605.75,THE THIRD ESTATE LTD,6655.0,True,2016-04-01,1826.0,True,5050368,15533970.0,I,,,CR08,,529723.0,185069.0,51.5496102,-0.1304516,1,5210,E,2007-12-21,2018-12-09,2002-10-08,THE THIRD ESTATE,,,,,,27.0,,,,,,,27.0,,,,,,20400233,1,,,N,osgb1000002298928995,8.0,osgb4000000031138724,2,osgb1000005440298,3,,4711728000.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BT,N7 0BT,S,1A,D,,E05000139,,2012-03-19,3,CS,249.0,,POINT (529724.8004767821 185069.3259291202),Brecknock
527,31987,00233002900002,E09000007,Camden,Inner London - West,3863835000,GND FLR FRONT 29,BRECKNOCK ROAD,LONDON,N7 0BT,Shops,249,Retail High Street,Retail,45.1,12500.0,2017-04-01 00:00:00+00:00,2017,2021-03,6237.5,ONKAD LIMITED,1377.73,True,2010-04-01,4018.0,True,5046684,15533958.0,I,,,CR08,,529722.0,185075.0,51.5496643,-0.1304638,1,5210,E,2007-12-21,2018-12-09,2002-10-08,ONKAD LTD,,,,,,29.0,,,,,,,29.0,,,,,,20400233,1,,,N,osgb1000002298837488,14.0,osgb4000000031138724,2,osgb1000005440297,4,,3863835000.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BT,N7 0BT,S,1B,D,,E05000139,,2012-03-19,0,CS,249.0,,POINT (529723.8008710563 185075.3204562679),Brecknock
571,32031,00233003100003,E09000007,Camden,Inner London - West,831505000,GND F 31,BRECKNOCK ROAD,LONDON,N7 0BT,Shops,249,Retail High Street,Retail,35.0,11500.0,2017-04-01 00:00:00+00:00,2017,2021-03,5738.5,,,True,2017-04-01,,True,5042842,15533971.0,I,,,CR08,,529721.0,185080.0,51.5497095,-0.1304764,2,5210,E,2007-12-21,2016-05-06,2002-10-08,GLOSS HAIR & BEAUTY,,,,,,31.0,,,,,,,31.0,,,,,,20400233,1,,,N,osgb1000002298928057,13.0,osgb4000000030250599,2,osgb1000005440296,4,,831505000.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BT,N7 0BT,S,1D,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529722.7988309315 185080.3245576184),Brecknock
