,total_buildings,total_floor_area,mean_floor_area,total_rental_valuation,mean_rental_valuation,Industrial General,Industrial Light,Leisure Amusement & Entertainment Centres,Leisure Budget Hotels,Leisure Cultural Attractions,Leisure General Hotels (3 star),Leisure Sports centres and Private Clubs,Office General,Office IT / Data Centres,Office Serviced Office,Other Commercial,Other Public,Retail Financial & Professional Services,Retail Food Superstores,Retail High Street,Retail Other Superstores/ Retail Warehouses,Retail Restaurants & Cafes,Warehousing  Large Scale and High Bay,ATMs,Advertising Right,Amusement Arcades,Banks/Insurance/Building Society Offices & Other A2 Uses,Betting Offices,Bingo Halls (National Scheme),Cafes,Cafes/Restaurants Within/Part of Specialist Property,Car Parks (Multi-Storey),Car Parks (Surfaced Open),Car Showrooms,Car Spaces,Car Washes (Stand Alone),Cemeteries (National Scheme),Clubs & Institutions,Commercial Miscellaneous,Communication Stations (National Scheme),Community Day Centres,Concert Halls (National Scheme),Day Nurseries/Play Schools,Educational Miscellaneous,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",Fire Stations,Food Stores,Funeral Parlours/Chapels Of Rest,Garages (Transport and Commercial),Garden Centres,Gymnasia/Fitness Suites,Hairdressing/Beauty Salons,Hostels,Hotels (3 Star And Under),Hypermarkets/Superstores (over 2500m^2),Large Food Stores (750 - 2500m^2),Large Shops (Over 1850m^2),Libraries,Local Authority Schools (National Scheme),Markets (Other Than Livestock),Miscellaneous,Museums and Art Galleries (Contractors),Night Clubs & Discotheques,Nurseries/Creches Within/Part of Specialist Property,Offices (Inc Computer Centres),Petrol Filling Stations (National Scheme),Police Stations,Post Offices,Public Conveniences (National Scheme),Public Halls,Public Houses/Pub Restaurants (National Scheme),Public Telephone Kiosks (National Scheme),Public and Independent Schools (National Scheme),Recording Studios,Restaurants,Retail Warehouses and Foodstores,Sales Kiosks,Shops,Shops Within/Part of Specialist Property,Showrooms,Sports & Leisure Centres (Private)(Dry Only),Sports & Leisure Centres (Private)(Wet & Dry),Sports & Leisure Centres Within/Part of Specialist Property,Stores,Studios,"Surgeries, Clinics, Health Centres (Contractors Valuation)","Surgeries, Clinics, Health Centres (Rental Valuation)",Tennis Courts/Clubs,Vehicle Repair Workshops & Garages,Veterinary Clinics / Animal Clinics,"Village Halls, Scout Huts, Cadet Huts Etc",Wine Bars,Industrial,Leisure,Office,Other,Retail,total_rates_paid,mean_rates_paid,total_rates_expected,mean_rates_expected,rates_diff
Belsize,679,63309.57924901238,93.23943924744091,16526340.0,24339.234167893963,27,0,0,0,0,3,0,240,0,0,0,0,0,0,372,0,37,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,35,0,0,366,0,0,0,0,0,4,0,0,0,0,0,0,0,0,27,3,240,0,409,2119443.299999995,4388.081366459617,8260943.659999996,12166.338232695134,6141500.360000001
Brecknock,1043,78485.2765037528,75.24954602469109,14851550.0,14239.261744966443,27,0,0,0,0,0,0,120,0,350,0,44,0,0,496,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,120,0,0,0,0,43,4,0,0,350,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,470,44,502,1351522.8800000036,3078.639817767662,7438658.949999905,7131.983652924166,6087136.069999902
CamdenT,11736,1842299.9859999008,156.97852641444283,758574264.0,64636.52556237219,309,0,134,1,0,3,73,2837,0,0,313,136,48,0,7440,35,401,6,0,20,1,42,6,1,38,0,2,4,0,12,0,0,3,70,8,0,43,2,0,309,0,0,0,0,0,43,12,1,3,8,0,26,0,4,12,228,2,89,0,2520,0,0,0,76,0,38,0,8,0,325,0,2,7394,0,1,30,0,0,20,315,8,8,0,0,0,2,0,315,211,2837,449,7924,149853563.17999893,15559.501939570027,386013522.2359973,32891.40441683686,236159959.05599838
Cricklewood,621,54196.81255455621,87.27345016836749,11481400.0,18488.56682769726,0,0,0,0,0,0,0,10,0,0,0,6,1,0,574,3,27,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,25,0,0,572,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,6,605,1649943.369999998,4319.223481675387,5734808.600000002,9234.796457326896,4084865.230000004
Eversholt,1198,154736.51060825732,129.16236277817805,51672550.0,43132.34557595993,0,0,0,0,0,0,0,430,0,0,6,15,0,0,714,0,33,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,5,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,2,0,0,0,25,0,0,702,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,430,21,747,6105201.830000004,6399.582631027258,26275813.950000044,21933.066736227083,20170612.120000042
Fortress,4829,625320.4751505748,129.49274697671873,149837010.0,31028.579416028162,146,0,3,0,35,0,34,306,0,0,0,45,26,13,4019,26,176,0,0,22,0,24,2,0,20,0,0,0,0,0,35,0,0,0,3,0,0,0,0,111,1,13,35,0,0,0,8,0,0,0,26,0,1,1,0,0,0,3,0,306,0,1,0,0,0,10,0,0,0,146,0,2,3993,0,0,34,0,0,16,0,0,16,0,0,0,0,0,146,72,306,45,4260,24013436.35000019,7159.641129994094,75453962.99000016,15625.173532822564,51440526.63999997
Fortune,763,71489.81195489943,93.69569063551694,16685250.0,21867.955439056357,0,0,0,0,0,0,12,44,6,0,35,13,0,0,634,2,17,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,35,0,0,0,4,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,15,0,0,624,0,2,12,0,0,8,0,0,8,0,0,0,0,0,0,12,50,48,653,3788443.800000004,5828.375076923083,8401443.749999985,11011.066513761449,4612999.949999981
Hampstead,4095,431168.78716614115,105.29152311749479,253360950.0,61870.80586080586,0,0,0,0,0,0,86,460,0,0,43,43,48,0,3287,0,128,0,0,0,0,48,0,0,6,0,0,0,0,8,0,0,0,35,5,0,0,0,0,0,0,0,0,0,0,86,6,0,0,0,0,0,0,4,4,0,0,0,0,460,0,0,1,0,2,2,0,8,0,120,0,0,3276,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,86,460,86,3463,64202557.290000424,18203.163393819228,128816449.05000001,31457.008315018316,64613891.75999959
Haverstock,1054,143668.2744802659,136.30766079721624,46504050.0,44121.48956356736,0,1,0,0,0,0,43,230,0,0,4,9,0,0,712,13,42,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,1,0,0,0,0,0,230,1,0,0,0,0,0,0,0,0,40,0,0,704,0,0,0,0,0,4,0,0,4,43,0,0,0,0,1,43,230,13,767,11866887.139999986,12997.68580503832,23530735.450000055,22325.175948766657,11663848.31000007
Kentish,1566,204671.29151489047,130.69686559060693,31687640.0,20234.76372924649,99,2,0,0,0,0,0,275,0,0,76,48,0,0,987,36,43,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,44,0,0,0,99,0,0,0,0,35,0,4,0,0,0,0,0,0,0,0,76,0,0,0,240,0,0,0,0,0,10,0,0,0,25,0,0,962,13,1,0,0,0,8,35,0,0,0,2,0,0,0,101,0,275,124,1066,3636262.7700000005,3156.4780989583337,15916736.86000007,10163.944355044745,12280474.09000007
