highstreet_name,objectid_left,st_areasha,st_lengths,All usual residents,%,Age 0 to 4,%.1,Age 5 to 7,%.2,Age 8 to 9,%.3,Age 10 to 14,%.4,Age 15,%.5,Age 16 to 17,%.6,Age 18 to 19,%.7,Age 20 to 24,%.8,Age 25 to 29,%.9,Age 30 to 44,%.10,Age 45 to 59,%.11,Age 60 to 64,%.12,Age 65 to 74,%.13,Age 75 to 84,%.14,Age 85 to 89,%.15,Age 90 and over,%.16,Mean Age,Median Age,index_right,objectid_right,highstreet,area_ha
Belsize,858.6666666666666,139849.74318066667,2154.098573333333,1566.0,100.0,114.66666666666667,7.3,51.333333333333336,3.2999999999999994,30.333333333333332,1.9666666666666668,51.0,3.266666666666667,12.666666666666666,0.7999999999999999,14.666666666666666,0.9333333333333332,13.0,0.8333333333333334,45.333333333333336,2.9333333333333336,146.66666666666666,9.4,532.0,33.96666666666667,273.3333333333333,17.433333333333334,75.66666666666667,4.833333333333333,110.0,7.033333333333334,67.33333333333333,4.3,18.666666666666668,1.1666666666666667,9.333333333333334,0.6,38.63333333333333,37.333333333333336,4.0,303.0,303.0,5.06961484384459
Brecknock,884.6,97168.778032,1922.7571051999998,1727.6,100.0,100.6,5.860000000000001,39.2,2.28,33.8,2.0,81.6,4.84,16.0,0.9,30.8,1.8399999999999999,36.4,2.12,183.2,10.419999999999998,235.6,13.540000000000001,508.4,29.24,246.4,14.459999999999999,62.6,3.6199999999999997,89.6,5.2,48.4,2.8200000000000003,11.8,0.72,3.2,0.18,34.49999999999999,31.6,6.0,97.0,97.0,15.327960683253702
CamdenT,888.5,126851.39209764285,2173.0747247857144,1726.0714285714287,100.0,97.64285714285714,5.657142857142858,56.142857142857146,3.2428571428571424,37.357142857142854,2.15,93.21428571428571,5.335714285714286,15.928571428571429,0.9214285714285715,33.5,1.9357142857142857,41.142857142857146,2.392857142857143,197.21428571428572,11.385714285714286,208.85714285714286,12.2,444.14285714285717,25.778571428571432,258.85714285714283,14.999999999999998,64.07142857142857,3.707142857142857,92.07142857142857,5.321428571428571,64.42857142857143,3.728571428571428,13.857142857142858,0.8071428571428572,7.642857142857143,0.45000000000000007,34.871428571428574,31.25,5.0,287.0,287.0,56.349257608422015
Cricklewood,854.5,227014.053544,3438.5996880000002,1783.0,100.0,101.5,5.75,42.5,2.4,32.0,1.8499999999999999,87.0,4.949999999999999,10.0,0.6000000000000001,29.5,1.65,24.5,1.35,120.0,6.65,275.0,15.15,523.0,29.049999999999997,314.0,17.8,79.0,4.5,80.0,4.55,46.0,2.65,11.0,0.6000000000000001,8.0,0.5,35.75,33.75,1.0,322.0,322.0,28.3388593314369
Eversholt,938.5,111693.209736,1777.208,1563.5,100.0,111.0,7.1,63.5,4.05,42.5,2.75,108.0,6.9,18.5,1.2,31.0,2.0,59.0,3.75,232.0,14.85,130.0,8.35,354.0,22.65,228.0,14.55,51.5,3.25,60.0,3.8,58.5,3.75,13.0,0.8500000000000001,3.0,0.2,32.4,30.0,0.0,594.0,594.0,6.30369789940396
Fortress,882.6,144907.7111218,2587.5931361,1721.8,100.0,101.4,5.94,50.5,2.95,36.2,2.1000000000000005,90.0,5.26,17.5,1.0100000000000002,36.4,2.12,46.7,2.8,157.2,9.1,216.9,12.45,449.0,25.940000000000005,286.3,16.63,65.5,3.8600000000000003,95.4,5.54,54.0,3.18,11.6,0.6599999999999999,7.2,0.44000000000000006,35.18,32.4,3.0,285.0,285.0,28.3257187701928
Fortune,859.6,194467.6947268,2696.7751921999998,1594.0,100.0,108.2,6.82,45.8,2.9200000000000004,27.6,1.7600000000000002,68.4,4.32,12.4,0.8,26.4,1.6800000000000004,62.4,3.8600000000000003,112.8,7.0200000000000005,183.4,11.419999999999998,427.4,26.839999999999996,249.6,15.7,82.4,5.159999999999999,100.6,6.32,59.8,3.7400000000000007,18.0,1.1199999999999999,8.8,0.54,36.58,34.2,2.0,372.0,372.0,6.581487285476581
Hampstead,875.1428571428571,319416.133816,3396.6715755714285,1559.5714285714287,100.0,111.0,7.142857142857143,63.57142857142857,4.085714285714286,31.428571428571427,2.0,65.42857142857143,4.171428571428571,10.714285714285714,0.6714285714285715,22.571428571428573,1.457142857142857,24.857142857142858,1.6428571428571428,61.714285714285715,4.028571428571429,110.0,6.985714285714286,428.42857142857144,27.457142857142856,268.0,17.17142857142857,88.85714285714286,5.671428571428572,136.85714285714286,8.771428571428572,93.14285714285714,5.957142857142856,26.0,1.657142857142857,17.0,1.0857142857142859,40.199999999999996,39.142857142857146,12.0,554.0,554.0,18.0157243581419
Haverstock,854.75,118208.84283725,1929.2122975,1682.25,100.0,118.5,7.0,48.75,2.8500000000000005,24.5,1.4749999999999999,52.75,3.075,15.5,0.9,18.5,1.05,19.0,1.1,84.25,4.95,190.0,11.4,572.25,34.2,253.25,15.0,74.5,4.475,112.25,6.675000000000001,69.75,4.175,19.75,1.1749999999999998,8.75,0.5249999999999999,37.625,35.5,11.0,306.0,306.0,7.07433248040949
Kentish,877.1666666666666,135904.66267716666,2298.499305,1808.3333333333333,100.0,106.16666666666667,5.8500000000000005,54.666666666666664,3.016666666666667,34.166666666666664,1.8833333333333335,96.33333333333333,5.3500000000000005,18.0,1.0,29.833333333333332,1.6333333333333335,61.833333333333336,3.2833333333333337,235.5,13.016666666666666,240.16666666666666,13.4,467.8333333333333,25.8,260.6666666666667,14.383333333333333,60.0,3.4000000000000004,80.0,4.45,47.666666666666664,2.6666666666666665,10.833333333333334,0.6,4.666666666666667,0.25,33.31666666666667,30.333333333333332,14.0,98.0,98.0,11.4539499385882
