highstreet_name,objectid_left,st_areasha,st_lengths,All usual residents,%,Age 0 to 4,%.1,Age 5 to 7,%.2,Age 8 to 9,%.3,Age 10 to 14,%.4,Age 15,%.5,Age 16 to 17,%.6,Age 18 to 19,%.7,Age 20 to 24,%.8,Age 25 to 29,%.9,Age 30 to 44,%.10,Age 45 to 59,%.11,Age 60 to 64,%.12,Age 65 to 74,%.13,Age 75 to 84,%.14,Age 85 to 89,%.15,Age 90 and over,%.16,Mean Age,Median Age,index_right,objectid_right,highstreet,area_ha
Belsize,2576,419549.229542,6462.29572,4698,300,344,21.9,154,9.899999999999999,91,5.9,153,9.8,38,2.4,44,2.8,39,2.5,136,8.8,440,28.200000000000003,1596,101.9,820,52.3,227,14.5,330,21.1,202,12.899999999999999,56,3.5,28,1.7999999999999998,115.89999999999999,112.0,12,909,909,15.20884453153377
Brecknock,4423,485843.89016,9613.785526,8638,500,503,29.300000000000004,196,11.399999999999999,169,10.0,408,24.2,80,4.5,154,9.2,182,10.6,916,52.099999999999994,1178,67.7,2542,146.2,1232,72.3,313,18.099999999999998,448,26.0,242,14.100000000000001,59,3.6,16,0.8999999999999999,172.49999999999997,158.0,30,485,485,76.6398034162685
CamdenT,12439,1775919.4893669998,30423.046147,24165,1400,1367,79.20000000000002,786,45.39999999999999,523,30.099999999999998,1305,74.7,223,12.9,469,27.1,576,33.5,2761,159.4,2924,170.79999999999998,6218,360.90000000000003,3624,209.99999999999997,897,51.9,1289,74.5,902,52.199999999999996,194,11.3,107,6.300000000000001,488.20000000000005,437.5,70,4018,4018,788.8896065179082
Cricklewood,1709,454028.107088,6877.1993760000005,3566,200,203,11.5,85,4.8,64,3.6999999999999997,174,9.899999999999999,20,1.2000000000000002,59,3.3,49,2.7,240,13.3,550,30.3,1046,58.099999999999994,628,35.6,158,9.0,160,9.1,92,5.3,22,1.2000000000000002,16,1.0,71.5,67.5,2,644,644,56.6777186628738
Eversholt,1877,223386.419472,3554.416,3127,200,222,14.2,127,8.1,85,5.5,216,13.8,37,2.4,62,4.0,118,7.5,464,29.7,260,16.7,708,45.3,456,29.1,103,6.5,120,7.6,117,7.5,26,1.7000000000000002,6,0.4,64.8,60.0,0,1188,1188,12.60739579880792
Fortress,8826,1449077.111218,25875.931361,17218,1000,1014,59.400000000000006,505,29.5,362,21.000000000000004,900,52.599999999999994,175,10.100000000000001,364,21.200000000000003,467,28.0,1572,91.0,2169,124.5,4490,259.40000000000003,2863,166.29999999999998,655,38.6,954,55.4,540,31.8,116,6.6,72,4.4,351.8,324.0,30,2850,2850,283.257187701928
Fortune,4298,972338.4736339999,13483.875960999998,7970,500,541,34.1,229,14.600000000000001,138,8.8,342,21.6,62,4.0,132,8.400000000000002,312,19.3,564,35.1,917,57.099999999999994,2137,134.2,1248,78.5,412,25.799999999999997,503,31.6,299,18.700000000000003,90,5.6,44,2.7,182.9,171.0,10,1860,1860,32.907436427382905
Hampstead,6126,2235912.936712,23776.701029,10917,700,777,50.0,445,28.6,220,14.0,458,29.199999999999996,75,4.7,158,10.2,174,11.5,432,28.200000000000003,770,48.9,2999,192.2,1876,120.19999999999999,622,39.7,958,61.400000000000006,652,41.699999999999996,182,11.6,119,7.6000000000000005,281.4,274.0,84,3878,3878,126.11007050699328
Haverstock,3419,472835.371349,7716.84919,6729,400,474,28.0,195,11.400000000000002,98,5.8999999999999995,211,12.3,62,3.6,74,4.2,76,4.4,337,19.8,760,45.6,2289,136.8,1013,60.0,298,17.9,449,26.700000000000003,279,16.7,79,4.699999999999999,35,2.0999999999999996,150.5,142.0,44,1224,1224,28.29732992163796
Kentish,5263,815427.9760629999,13790.995829999998,10850,600,637,35.1,328,18.1,205,11.3,578,32.1,108,6.0,179,9.8,371,19.700000000000003,1413,78.1,1441,80.4,2807,154.8,1564,86.3,360,20.400000000000002,480,26.7,286,16.0,65,3.6,28,1.5,199.90000000000003,182.0,84,588,588,68.7236996315292
Kilburn,5474,669875.794229,12202.071097,10784,600,619,34.300000000000004,287,15.899999999999999,160,8.8,380,21.099999999999998,83,4.6,171,9.5,176,9.8,856,47.9,1694,94.5,3173,177.0,1503,83.69999999999999,531,29.400000000000002,597,33.2,408,22.400000000000002,106,5.8,40,2.3000000000000003,217.8,196.0,78,2010,2010,239.9051600349372
Loudoun,4698,549480.7804630001,9843.366001,8088,500,595,36.8,247,15.299999999999999,154,9.5,334,20.5,74,4.7,99,6.1000000000000005,107,6.6,538,33.0,1076,66.7,2532,156.8,1141,70.69999999999999,331,20.5,424,26.1,292,17.900000000000002,88,5.5,56,3.4,178.5,165.0,40,1520,1520,40.394354806862694
Mansfield,3507,1211000.959271,11164.723039,6309,400,406,25.700000000000003,208,13.200000000000001,151,9.6,370,23.3,89,5.6,151,9.5,149,9.3,423,26.6,575,36.4,1555,99.0,1192,75.7,306,19.5,416,26.5,227,14.399999999999999,64,4.1,27,1.7000000000000002,147.0,142.0,28,1872,1872,14.03216690925748
Mill,6197,705673.047677,12585.736690999998,11096,700,688,43.3,289,18.1,159,9.899999999999999,332,20.400000000000002,75,4.6000000000000005,161,10.0,169,10.299999999999999,798,50.0,1728,109.69999999999999,3676,233.7,1458,91.49999999999999,473,29.799999999999997,656,41.3,305,19.0,86,5.300000000000001,43,2.6999999999999997,250.4,229.0,70,2485,2485,46.25977018499487
Queens,6157,659544.647504,13085.788544,11553,700,809,48.900000000000006,427,25.8,297,17.5,715,42.7,143,8.7,301,18.400000000000002,310,18.7,990,58.6,1196,72.5,2695,163.79999999999998,1885,114.6,468,28.8,687,42.2,435,26.900000000000002,124,7.700000000000001,71,4.5,247.2,229.0,63,2296,2296,72.2034501641733
Regents,4255,740889.852525,10838.071112,7733,500,391,25.200000000000003,229,14.7,137,8.6,334,20.999999999999996,67,4.0,136,8.2,114,7.0,448,27.5,813,51.4,2244,145.3,1361,88.6,398,26.799999999999997,639,43.1,305,20.5,75,5.0,42,2.7,195.60000000000002,186.0,80,1620,1620,32.8415595990372
SouthEnd,5263,1374232.40565,17229.791486,9459,600,658,41.800000000000004,319,20.3,166,10.500000000000002,406,25.799999999999997,67,4.2,132,8.4,79,5.0,393,24.7,904,56.9,2905,184.1,1596,101.6,469,29.9,733,46.6,421,26.7,128,7.8999999999999995,83,5.2,232.8,223.0,90,1842,1842,36.7885866538074
WestEnd,14637,2162815.2955010002,34714.540072,26544,1600,1749,105.50000000000001,705,42.400000000000006,441,26.6,1036,62.30000000000001,169,9.999999999999998,339,19.9,342,20.299999999999997,1647,98.9,3883,234.1,8669,523.8000000000001,3717,223.69999999999996,1035,62.3,1482,89.7,862,51.900000000000006,274,16.599999999999998,194,11.6,576.6,534.0,288,8880,8880,747.9836714065617
Willesden,4652,636072.944048,10936.303558,8809,500,479,27.200000000000003,188,10.5,99,5.5,247,13.899999999999999,55,3.0999999999999996,113,6.2,109,6.0,659,37.2,1643,93.5,2885,164.4,1145,65.0,407,23.2,440,25.2,254,14.299999999999999,55,3.1,31,2.0,178.49999999999997,160.0,85,1865,1865,25.1759253579475
