highstreet_name,OBJECTID,GridIdEx,GridIdKm,X_COORD,Y_COORD,Area,AreaRound,Shape_Leng,Shape_Area,CheckTLRN,NOxTaxi08,NOxPCar08,NOxDCar08,NOxPLgv08,NOxDLgv08,NOxTotal08,NOxTaxi10,NOxPCar10,NOxDCar10,NOxPLgv10,NOxDLgv10,NOxTotal10,NOxTaxi13,NOxPCar13,NOxDCar13,NOxPLgv13,NOxDLgv13,NOxTotal13,NOxTaxi20,NOxPCar20,NOxDCar20,NOxPLgv20,NOxDLgv20,NOxTotal20,NOxTaxi25,NOxDCar25,NOxPLgv25,NOxDLgv25,NOxTotal25,NOxTaxi30,NOxPCar30,NOxDCar30,NOxPLgv30,NOxDLgv30,NOxTotal30,PM10ExT08,PM10ExPC08,PM10ExDC08,PM10ExPL08,PM10DL08,PM10Tot08,PM10ExT10,PM10ExPC10,PM10ExDC10,PM10ExPL10,PM10DL10,PM10Tot10,PM10ExT13,PM10ExPC13,PM10ExDC13,PM10ExPL13,PM10DL13,PM10Tot13,PM10ExT20,PM10ExPC20,PM10ExDC20,PM10ExPL20,PM10DL20,PM10Tot20,PM10ExT25,PM10ExPC25,PM10ExDC25,PM10ExPL25,PM10DL25,PM10Tot25,PM10ExT30,PM10ExPC30,PM10ExDC30,PM10ExPL30,PM10DL30,PM10Tot30,PM25ExT08,PM25ExPC08,PM25ExDC08,PM25ExPL08,PM25DL08,PM25Tot08,PM25ExT10,PM25ExPC10,PM25ExDC10,PM25ExPL10,PM25DL10,PM25Tot10,PM25ExT13,PM25ExPC13,PM25ExDC13,PM25ExPL13,PM25DL13,PM25Tot13,PM25ExT20,PM25ExPC20,PM25ExDC20,PM25ExPL20,PM25DL20,PM25Tot20,PM25ExT25,PM25ExPC25,PM25ExDC25,PM25ExPL25,PM25DL25,PM25Tot25,PM25ExT30,PM25ExPC30,PM25ExDC30,PM25ExPL30,PM25DL30,PM25Tot30,index_right,objectid,highstreet,area_ha
Belsize,4245,4245.0,18216.0,1053000.0,370000.0,1.9936880902660001,2.0,8000.00395594,2000001.97796,0,0.1124,2.0106710000000003,0.81055,0.02519,0.5319659999999999,3.4907779999999997,0.109732,1.772621,0.825234,0.020569999999999998,0.502178,3.230334,0.094062,0.974622,0.8320000000000001,0.0060999999999999995,0.43338600000000005,2.340169,0.035108,0.229652,0.591482,0.002032,0.2364,1.094674,0.015181,0.397064,0.001212,0.155123,0.6796139999999999,0.00583,0.10794699999999999,0.321123,0.001152,0.121188,0.557239,0.0324,0.0,0.209227,0.0,0.16,0.40162699999999996,0.0304,0.0,0.19147,0.0,0.1363,0.35817,0.02316,0.0,0.15639999999999998,0.0,0.0946,0.27416,0.0051129999999999995,0.0,0.064116,0.0,0.022821,0.092051,0.000862,0.0,0.030267000000000002,0.0,0.007051,0.037318,0.00010200000000000001,0.0,0.02075,0.0,0.005559,0.026410999999999997,0.030776,0.0,0.19870500000000002,0.0,0.152,0.381481,0.028900000000000002,0.0,0.181867,0.0,0.1296,0.340367,0.02191,0.0,0.1486,0.0,0.08990000000000001,0.26041,0.0048579999999999995,0.0,0.06091,0.0,0.02168,0.087448,0.000818,0.0,0.028753,0.0,0.006698,0.03627,9.7e-05,0.0,0.019713,0.0,0.005281,0.02509,8,606,606,10.13922968768918
Brecknock,8693,8693.0,54840.0,3179000.0,1109000.0,2.9904676403003,3.0,16743.104946332,2999999.7204275,0,0.20751999999999998,1.55877,0.628406,0.032377,0.6827030000000001,3.1097780000000004,0.202797,1.374208,0.639799,0.026362999999999994,0.644477,2.887644,0.17368,0.7555740000000001,0.644976,0.007822,0.5561210000000001,2.138173,0.06533,0.177812,0.457967,0.002633,0.30624199999999996,1.009983,0.028352000000000002,0.30745600000000006,0.001574,0.201372,0.624728,0.010922999999999999,0.08361199999999999,0.248729,0.0014980000000000002,0.157466,0.502227,0.059903,0.0,0.162169,0.0,0.20521999999999999,0.42729199999999995,0.056221999999999994,0.0,0.148471,0.0,0.174982,0.379675,0.042735,0.0,0.121296,0.0,0.12140100000000001,0.28543199999999996,0.009514,0.0,0.049643,0.0,0.029563000000000002,0.08872100000000001,0.001609,0.0,0.023436000000000002,0.0,0.009152,0.032588,0.00019,0.0,0.016072,0.0,0.0072239999999999995,0.023486999999999997,0.056936,0.0,0.154059,0.0,0.19495,0.405945,0.053375,0.0,0.141065,0.0,0.166287,0.360727,0.040555999999999995,0.0,0.11518700000000001,0.0,0.11530499999999999,0.271048,0.009039,0.0,0.047160999999999995,0.0,0.028086,0.084284,0.001529,0.0,0.022264000000000003,0.0,0.008695,0.032486999999999995,0.00018099999999999998,0.0,0.015267000000000001,0.0,0.006862000000000001,0.022313,36,582,582,91.96776409952221
CamdenT,7231,7231.0,37130.0,2116000.0,736000.0,3.755777415643,3.77,15759.61377712,3767723.9298570007,0,0.522043,2.500315,1.007937,0.04914500000000001,1.037884,5.117326,0.5100469999999999,2.2042930000000003,1.026197,0.04002,0.979767,4.760324000000001,0.436975,1.211964,1.034611,0.0119,0.8455509999999999,3.541001,0.163117,0.285577,0.735522,0.003965,0.46122399999999997,1.649404,0.07053100000000001,0.49375900000000006,0.002365,0.30265200000000003,1.007379,0.027085000000000005,0.13423400000000002,0.399324,0.0022500000000000003,0.236441,0.799334,0.1506,0.0,0.2601,0.0,0.3121,0.7227999999999999,0.14150000000000001,0.0,0.23820000000000002,0.0,0.26609999999999995,0.6458,0.1074,0.0,0.19440000000000002,0.0,0.18452000000000002,0.48632,0.023755000000000002,0.0,0.07973,0.0,0.044525,0.148012,0.004000999999999999,0.0,0.037638000000000005,0.0,0.013756,0.051392999999999994,0.000472,0.0,0.025802999999999996,0.0,0.010846,0.037120999999999994,0.14309999999999998,0.0,0.247165,0.0,0.296539,0.686804,0.134265,0.0,0.2263,0.0,0.25279999999999997,0.6133649999999999,0.102024,0.0,0.18484,0.0,0.1753,0.462164,0.022568,0.0,0.075743,0.0,0.0423,0.14060999999999998,0.0038020000000000003,0.0,0.035757,0.0,0.013068,0.052625000000000005,0.000448,0.0,0.024512,0.0,0.010303999999999999,0.035266000000000006,20,1148,1148,225.397030433688
Cricklewood,16130,16130.0,71811.0,4191000.0,1486000.0,2.9905543116499604,3.0,19782.864276135,2999981.47825395,0,0.056873999999999994,2.433325,0.980988,0.021702000000000003,0.457491,3.950381,0.056350000000000004,2.176692,1.0133940000000001,0.017909,0.437761,3.7021059999999997,0.050487000000000004,1.273372,1.086969,0.005629,0.399853,2.816311,0.018777000000000002,0.330472,0.986807,0.001902,0.23130299999999998,1.569262,0.008107,0.620348,0.0011330000000000001,0.152524,0.933653,0.003111,0.14855400000000002,0.441921,0.001123,0.118055,0.712763,0.016431,0.0,0.25311300000000003,0.0,0.137488,0.40703199999999995,0.015614,0.0,0.235083,0.0,0.11880600000000001,0.369503,0.012441,0.0,0.204416,0.0,0.087337,0.30419399999999996,0.002734,0.0,0.11978500000000002,0.0,0.022684000000000003,0.145203,0.00046,0.0,0.051526999999999996,0.0,0.006929,0.058458,5.5e-05,0.0,0.028555000000000004,0.0,0.005415999999999999,0.03402500000000001,0.015615,0.0,0.240441,0.0,0.13079200000000002,0.386848,0.014834,0.0,0.223346,0.0,0.11287900000000001,0.351058,0.011819,0.0,0.19403299999999998,0.0,0.082902,0.288754,0.0025979999999999996,0.0,0.11379700000000001,0.0,0.02155,0.13794299999999998,0.000437,0.0,0.048953,0.0,0.006583,0.055971999999999994,5.1000000000000006e-05,0.0,0.027127,0.0,0.005144999999999999,0.03232399999999999,8,2576,2576,226.71087465149523
Eversholt,5446,5446.0,18910.0,1059000.0,366000.0,1.5893173743640001,1.5899999999999999,7504.34166973,1594374.452699,0,1.016176,1.108027,0.446673,0.024300000000000002,0.5127710000000001,3.107946,0.9928990000000001,0.9768429999999999,0.45476399999999995,0.019790000000000002,0.484058,2.928354,0.8505050000000001,0.537088,0.458492,0.00588,0.417748,2.2697130000000003,0.317525,0.126555,0.32594999999999996,0.001959,0.227869,0.999858,0.137297,0.218812,0.001169,0.149527,0.567991,0.052724,0.059486,0.176962,0.001111,0.116815,0.407099,0.29315,0.0,0.11526,0.0,0.1542,0.562609,0.275355,0.0,0.1055,0.0,0.1314,0.512255,0.209048,0.0,0.08610000000000001,0.0,0.09112,0.38626799999999994,0.046242000000000005,0.0,0.035333,0.0,0.021998,0.103574,0.00779,0.0,0.01668,0.0,0.006796,0.023475000000000003,0.000919,0.0,0.011434,0.0,0.005359,0.017712,0.278507,0.0,0.109465,0.0,0.14646599999999999,0.534439,0.261522,0.0,0.1003,0.0,0.124864,0.48668599999999995,0.198645,0.0,0.08184,0.0,0.0866,0.367085,0.04393,0.0,0.033566,0.0,0.020898,0.09839500000000001,0.0074,0.0,0.015846,0.0,0.006456,0.029702,0.0008730000000000001,0.0,0.010862,0.0,0.005091,0.016827,0,1188,1188,12.60739579880792
Fortress,9246,9246.0,45467.0,2645500.0,925500.0,3.968532723769,3.9800000000000004,18415.61377663,3981162.8718160004,0,0.2546,2.3007229999999996,0.927489,0.044224,0.933575,4.460613,0.24880000000000002,2.0283320000000002,0.944306,0.036019999999999996,0.881302,4.1387599999999996,0.21309999999999998,1.115199,0.951977,0.010699,0.7605040000000001,3.051479,0.079648,0.262718,0.676647,0.003571,0.41549299999999995,1.4380780000000002,0.034460000000000005,0.45424100000000006,0.002131,0.272736,0.8905899999999999,0.01324,0.123498,0.367386,0.0020280000000000003,0.213103,0.7192540000000001,0.07342,0.0,0.2394,0.0,0.2807,0.5935199999999999,0.06899999999999999,0.0,0.2192,0.0,0.23933699999999997,0.527537,0.05241,0.0,0.179,0.0,0.165902,0.397312,0.011599,0.0,0.073347,0.0,0.040109,0.125058,0.0019549999999999997,0.0,0.034626000000000004,0.0,0.012395000000000002,0.04702099999999999,0.00023,0.0,0.023739,0.0,0.009776,0.033746,0.0698,0.0,0.2274,0.0,0.266639,0.563839,0.065495,0.0,0.2081,0.0,0.227381,0.5009760000000001,0.049774,0.0,0.1701,0.0,0.1577,0.377574,0.01102,0.0,0.069681,0.0,0.038106,0.11880500000000001,0.001858,0.0,0.032894,0.0,0.011775999999999998,0.046528,0.000219,0.0,0.022552000000000003,0.0,0.009287,0.032060000000000005,15,1425,1425,141.628593850964
Fortune,4897,4897.0,18041.0,1050000.0,371000.0,1.5694090506110001,1.5699999999999998,7857.00081778,1574367.543666,0,0.051199999999999996,0.855453,0.344854,0.011689999999999999,0.246387,1.509585,0.0501,0.754173,0.351101,0.00952,0.23259400000000002,1.397488,0.042896000000000004,0.414659,0.35397900000000004,0.00283,0.200711,1.015076,0.016023,0.097707,0.25165,0.0009420000000000001,0.109497,0.47581799999999996,0.006929,0.168934,0.000561,0.071851,0.295514,0.00266,0.045926999999999996,0.136624,0.000534,0.056132,0.241877,0.014790000000000001,0.0,0.089,0.0,0.0741,0.17789,0.013900000000000001,0.0,0.08146999999999999,0.0,0.06309999999999999,0.15847,0.01055,0.0,0.06659999999999999,0.0,0.0438,0.12095,0.002333,0.0,0.027278999999999998,0.0,0.01057,0.040182999999999996,0.000393,0.0,0.012877,0.0,0.0032649999999999997,0.016142999999999998,4.6e-05,0.0,0.008827999999999999,0.0,0.002575,0.01145,0.01406,0.0,0.08460000000000001,0.0,0.070409,0.16906900000000002,0.0132,0.0,0.0773,0.0,0.06,0.1505,0.01002,0.0,0.0632,0.0,0.041596999999999995,0.114817,0.0022170000000000002,0.0,0.025915,0.0,0.010041999999999999,0.038174,0.00037299999999999996,0.0,0.012233,0.0,0.0031019999999999997,0.015710000000000002,4.4e-05,0.0,0.008387,0.0,0.002446,0.010877000000000001,4,744,744,13.16297457095316
Hampstead,4205,4205.0,17872.0,1053000.0,372000.0,1.99368401151,2.0,8000.00395593,2000001.97796,0,0.0648,1.265427,0.510124,0.01415,0.298386,2.1528869999999998,0.06319999999999999,1.115609,0.519366,0.011519999999999999,0.281724,1.991418,0.0542,0.613383,0.523624,0.0034200000000000003,0.243122,1.437749,0.020229,0.144532,0.372252,0.00114,0.13261799999999999,0.6707730000000001,0.008747,0.249894,0.000679,0.087023,0.416224,0.003359,0.067937,0.2021,0.0006460000000000001,0.06798599999999999,0.342028,0.01867,0.0,0.131694,0.0,0.0897,0.240064,0.0175,0.0,0.1205,0.0,0.0765,0.2145,0.01331,0.0,0.0985,0.0,0.053000000000000005,0.16480999999999998,0.002946,0.0,0.040352,0.0,0.012802,0.056101,0.0004969999999999999,0.0,0.019049,0.0,0.0039559999999999994,0.023004,5.9000000000000004e-05,0.0,0.013059000000000001,0.0,0.0031190000000000002,0.016237,0.017745999999999998,0.0,0.125,0.0,0.0853,0.228046,0.01662,0.0,0.1144,0.0,0.0727,0.20372,0.01265,0.0,0.0935,0.0,0.0504,0.15655,0.0027990000000000003,0.0,0.038334,0.0,0.012162000000000001,0.053295,0.000472,0.0,0.018096,0.0,0.003758,0.022325,5.6000000000000006e-05,0.0,0.012407,0.0,0.0029630000000000004,0.015424,24,1108,1108,36.0314487162838
Haverstock,2885,2885.0,18218.0,1055000.0,370000.0,1.9936593147980002,2.0,7999.97097569,1999985.48786,0,0.1255,1.693047,0.682508,0.01795,0.378511,2.8975169999999997,0.12260000000000001,1.492601,0.694872,0.01461,0.35731599999999997,2.681998,0.10500000000000001,0.820661,0.700569,0.00434,0.308368,1.938939,0.039198,0.193374,0.498047,0.001446,0.168206,0.900271,0.016949,0.33433999999999997,0.000863,0.110376,0.556022,0.006509,0.090895,0.27039599999999997,0.00082,0.086229,0.454847,0.0362,0.0,0.1762,0.0,0.1138,0.32620000000000005,0.034,0.0,0.1612,0.0,0.09709999999999999,0.2923,0.0258,0.0,0.1318,0.0,0.0673,0.2249,0.0057090000000000005,0.0,0.053988,0.0,0.016239,0.075935,0.000961,0.0,0.025486,0.0,0.005017,0.030502,0.00011300000000000001,0.0,0.017472,0.0,0.003955,0.021540999999999998,0.0344,0.0,0.1674,0.0,0.1081,0.3099,0.032314,0.0,0.1532,0.0,0.0922,0.277714,0.0245,0.0,0.12510000000000002,0.0,0.0639,0.21350000000000002,0.005424,0.0,0.051288,0.0,0.015425999999999999,0.072138,0.000913,0.0,0.024211999999999997,0.0,0.004765999999999999,0.02989,0.000108,0.0,0.016599,0.0,0.003758,0.020464,22,612,612,14.14866496081898
Kentish,2939,2939.0,18566.0,1059000.0,368000.0,1.9748834602110001,1.98,7878.87419998,1981170.8910170002,0,0.301317,0.9918070000000001,0.399821,0.0233,0.492756,2.209002,0.294427,0.874383,0.407064,0.019020000000000002,0.465164,2.060058,0.252224,0.480753,0.41040200000000004,0.0056500000000000005,0.40144199999999997,1.550471,0.09415799999999999,0.11328099999999999,0.29176199999999997,0.001882,0.218975,0.720057,0.040713,0.195861,0.0011229999999999999,0.14368999999999998,0.436157,0.015635,0.053247,0.15840100000000001,0.001068,0.112255,0.34060599999999996,0.0869,0.0,0.1032,0.0,0.1482,0.3383,0.0817,0.0,0.0945,0.0,0.1263,0.3025,0.062,0.0,0.0771,0.0,0.08762,0.22671999999999998,0.013712,0.0,0.031627,0.0,0.021139,0.066479,0.00231,0.0,0.014929999999999999,0.0,0.006531,0.02146,0.000272,0.0,0.010235000000000001,0.0,0.00515,0.015656999999999997,0.08259999999999999,0.0,0.098065,0.0,0.1408,0.321465,0.0775,0.0,0.0898,0.0,0.12,0.2873,0.058924,0.0,0.07334,0.0,0.0832,0.215464,0.013027,0.0,0.030045000000000002,0.0,0.020083,0.063155,0.002195,0.0,0.014184,0.0,0.0062039999999999994,0.022581999999999998,0.000259,0.0,0.009722999999999999,0.0,0.0048920000000000005,0.014875,28,196,196,22.9078998771764
