highstreet_name,objectid_left,st_areasha,st_lengths,Unnamed: 0,count_95Q1,count_95Q2,count_95Q3,count_95Q4,count_96Q1,count_96Q2,count_96Q3,count_96Q4,count_97Q1,count_97Q2,count_97Q3,count_97Q4,count_98Q1,count_98Q2,count_98Q3,count_98Q4,count_99Q1,count_99Q2,count_99Q3,count_99Q4,count_00Q1,count_00Q2,count_00Q3,count_00Q4,count_01Q1,count_01Q2,count_01Q3,count_01Q4,count_02Q1,count_02Q2,count_02Q3,count_02Q4,count_03Q1,count_03Q2,count_03Q3,count_03Q4,count_04Q1,count_04Q2,count_04Q3,count_04Q4,count_05Q1,count_05Q2,count_05Q3,count_05Q4,count_06Q1,count_06Q2,count_06Q3,count_06Q4,count_07Q1,count_07Q2,count_07Q3,count_07Q4,count_08Q1,count_08Q2,count_08Q3,count_08Q4,count_09Q1,count_09Q2,count_09Q3,count_09Q4,count_10Q1,count_10Q2,count_10Q3,count_10Q4,count_11Q1,count_11Q2,count_11Q3,count_11Q4,count_12Q1,count_12Q2,count_12Q3,count_12Q4,count_13Q1,count_13Q2,count_13Q3,count_13Q4,count_14Q1,count_14Q2,count_14Q3,count_14Q4,count_15Q1,count_15Q2,count_15Q3,count_15Q4,count_16Q1,count_16Q2,count_16Q3,count_16Q4,count_17Q1,count_17Q2,count_17Q3,count_17Q4,count_18Q1,count_18Q2,count_18Q3,count_18Q4,index_right,objectid_right,highstreet,area_ha,house transactions
Belsize,2576,419549.229542,6462.29572,2579,28.0,32.0,32.0,33.0,23.0,35.0,46.0,53.0,40.0,47.0,35.0,46.0,29.0,36.0,35.0,27.0,28.0,35.0,42.0,38.0,31.0,26.0,29.0,35.0,31.0,46.0,35.0,17.0,23.0,45.0,38.0,36.0,21.0,20.0,34.0,21.0,28.0,22.0,30.0,26.0,26.0,34.0,36.0,22.0,25.0,40.0,44.0,37.0,38.0,27.0,34.0,22.0,14.0,14.0,23.0,16.0,11.0,9.0,25.0,32.0,23.0,19.0,27.0,23.0,25.0,20.0,27.0,13.0,25.0,15.0,22.0,12.0,17.0,29.0,24.0,18.0,26.0,28.0,21.0,21.0,14.0,22.0,31.0,22.0,23.0,12.0,18.0,15.0,19.0,19.0,17.0,16.0,14.0,21.0,22.0,13.0,12,909,909,15.20884453153377,3
Brecknock,15264,981623.085096,17395.082236,15273,31.0,19.0,33.0,35.0,31.0,35.0,35.0,41.0,38.0,46.0,71.0,57.0,46.0,49.0,60.0,46.0,37.0,38.0,66.0,57.0,36.0,49.0,49.0,46.0,41.0,44.0,57.0,43.0,63.0,68.0,87.0,47.0,39.0,36.0,52.0,53.0,58.0,77.0,85.0,58.0,47.0,60.0,62.0,71.0,50.0,57.0,87.0,68.0,54.0,63.0,93.0,71.0,37.0,43.0,22.0,13.0,23.0,20.0,47.0,32.0,36.0,36.0,43.0,32.0,34.0,35.0,58.0,60.0,40.0,37.0,62.0,83.0,55.0,48.0,64.0,41.0,31.0,48.0,55.0,45.0,35.0,28.0,36.0,48.0,42.0,20.0,34.0,29.0,43.0,27.0,40.0,35.0,26.0,23.0,28.0,29.0,54,873,873,137.95164614928333,9
CamdenT,12439,1775919.4893669998,30423.046147,12453,37.0,45.0,58.0,55.0,57.0,60.0,98.0,111.0,95.0,91.0,74.0,79.0,58.0,74.0,86.0,75.0,49.0,60.0,89.0,89.0,59.0,75.0,84.0,53.0,44.0,54.0,88.0,68.0,50.0,92.0,86.0,74.0,63.0,64.0,87.0,80.0,75.0,124.0,106.0,56.0,56.0,70.0,73.0,69.0,74.0,81.0,108.0,78.0,76.0,96.0,93.0,85.0,54.0,81.0,67.0,67.0,37.0,57.0,48.0,54.0,53.0,63.0,71.0,81.0,58.0,67.0,71.0,53.0,53.0,54.0,67.0,44.0,40.0,42.0,79.0,95.0,78.0,80.0,77.0,48.0,50.0,73.0,94.0,46.0,94.0,58.0,66.0,103.0,79.0,77.0,43.0,58.0,45.0,48.0,53.0,41.0,70,4018,4018,788.8896065179082,14
Cricklewood,4519,1756820.8451909998,22506.707124,4527,36.0,52.0,43.0,55.0,32.0,44.0,51.0,49.0,43.0,70.0,80.0,71.0,52.0,55.0,74.0,55.0,60.0,72.0,74.0,66.0,51.0,64.0,60.0,55.0,45.0,67.0,72.0,70.0,52.0,58.0,93.0,48.0,45.0,44.0,44.0,54.0,42.0,71.0,63.0,48.0,28.0,47.0,57.0,54.0,40.0,49.0,64.0,66.0,49.0,64.0,73.0,45.0,29.0,37.0,27.0,15.0,4.0,26.0,24.0,34.0,45.0,33.0,34.0,41.0,24.0,24.0,37.0,41.0,37.0,28.0,30.0,58.0,29.0,35.0,44.0,52.0,48.0,49.0,46.0,43.0,43.0,39.0,50.0,48.0,68.0,31.0,38.0,41.0,23.0,34.0,42.0,30.0,32.0,38.0,30.0,18.0,8,2576,2576,226.71087465149523,8
Eversholt,1877,223386.419472,3554.416,1879,2.0,0.0,0.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,2.0,6.0,5.0,6.0,7.0,4.0,0.0,3.0,9.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,6.0,4.0,0.0,1.0,12.0,20.0,19.0,6.0,3.0,3.0,0.0,4.0,2.0,32.0,0.0,2.0,3.0,5.0,3.0,3.0,5.0,6.0,5.0,5.0,6.0,3.0,5.0,3.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,1.0,5.0,5.0,3.0,2.0,1.0,0.0,0,1188,1188,12.60739579880792,2
Fortress,8826,1449077.111218,25875.931361,8836,22.0,32.0,48.0,42.0,19.0,41.0,61.0,56.0,30.0,46.0,60.0,47.0,55.0,65.0,76.0,64.0,46.0,63.0,67.0,68.0,40.0,38.0,46.0,32.0,29.0,53.0,73.0,61.0,39.0,60.0,66.0,48.0,56.0,55.0,57.0,62.0,55.0,80.0,57.0,46.0,41.0,47.0,63.0,70.0,54.0,78.0,82.0,62.0,52.0,51.0,72.0,49.0,31.0,77.0,50.0,78.0,32.0,39.0,50.0,48.0,34.0,32.0,51.0,41.0,38.0,39.0,40.0,53.0,38.0,30.0,38.0,34.0,32.0,31.0,53.0,77.0,66.0,57.0,57.0,54.0,29.0,38.0,52.0,67.0,43.0,28.0,36.0,43.0,45.0,51.0,40.0,54.0,55.0,39.0,46.0,28.0,30,2850,2850,283.257187701928,10
Fortune,4298,972338.4736339999,13483.875960999998,4303,24.0,35.0,46.0,30.0,35.0,43.0,41.0,27.0,33.0,45.0,63.0,40.0,26.0,44.0,43.0,33.0,29.0,56.0,49.0,74.0,66.0,50.0,59.0,71.0,54.0,61.0,59.0,43.0,65.0,49.0,59.0,43.0,32.0,34.0,49.0,38.0,46.0,42.0,51.0,36.0,37.0,36.0,43.0,38.0,46.0,45.0,69.0,66.0,43.0,41.0,47.0,37.0,33.0,35.0,17.0,13.0,9.0,22.0,36.0,27.0,44.0,28.0,43.0,39.0,22.0,20.0,41.0,32.0,23.0,28.0,47.0,39.0,18.0,41.0,36.0,44.0,38.0,46.0,41.0,39.0,38.0,37.0,32.0,28.0,49.0,37.0,40.0,19.0,23.0,37.0,30.0,22.0,26.0,49.0,43.0,30.0,10,1860,1860,32.907436427382905,5
Hampstead,6126,2235912.936712,23776.701029,6133,61.0,57.0,54.0,38.0,29.0,68.0,85.0,86.0,72.0,77.0,85.0,94.0,65.0,97.0,68.0,51.0,61.0,68.0,86.0,69.0,51.0,70.0,68.0,52.0,67.0,58.0,70.0,52.0,43.0,96.0,70.0,59.0,45.0,51.0,67.0,57.0,54.0,68.0,61.0,43.0,43.0,56.0,60.0,65.0,62.0,69.0,90.0,74.0,76.0,50.0,68.0,44.0,28.0,37.0,32.0,22.0,23.0,32.0,44.0,50.0,49.0,34.0,45.0,46.0,41.0,26.0,53.0,35.0,40.0,27.0,36.0,47.0,42.0,35.0,49.0,36.0,37.0,63.0,54.0,41.0,39.0,39.0,48.0,41.0,46.0,34.0,35.0,24.0,29.0,47.0,45.0,34.0,39.0,38.0,44.0,27.0,84,3878,3878,126.11007050699328,7
Haverstock,3419,472835.371349,7716.84919,3423,25.0,33.0,29.0,41.0,27.0,30.0,55.0,48.0,34.0,38.0,37.0,43.0,27.0,41.0,43.0,26.0,34.0,43.0,46.0,42.0,43.0,44.0,35.0,37.0,24.0,29.0,32.0,22.0,20.0,36.0,49.0,40.0,31.0,18.0,30.0,34.0,31.0,37.0,43.0,33.0,25.0,35.0,43.0,33.0,36.0,52.0,46.0,55.0,43.0,33.0,36.0,32.0,24.0,20.0,24.0,16.0,14.0,19.0,31.0,33.0,22.0,21.0,37.0,26.0,22.0,25.0,29.0,20.0,28.0,26.0,27.0,23.0,21.0,16.0,31.0,26.0,41.0,27.0,23.0,23.0,18.0,30.0,25.0,24.0,37.0,11.0,13.0,21.0,23.0,30.0,42.0,34.0,19.0,21.0,15.0,22.0,44,1224,1224,28.29732992163796,4
Kentish,5263,815427.9760629999,13790.995829999998,5269,18.0,26.0,32.0,30.0,23.0,24.0,40.0,34.0,28.0,30.0,27.0,27.0,28.0,29.0,37.0,34.0,28.0,32.0,36.0,40.0,27.0,26.0,27.0,24.0,25.0,40.0,40.0,29.0,14.0,36.0,38.0,32.0,34.0,30.0,31.0,39.0,24.0,25.0,31.0,29.0,22.0,36.0,34.0,28.0,21.0,39.0,59.0,43.0,28.0,26.0,39.0,65.0,22.0,15.0,21.0,7.0,11.0,14.0,20.0,25.0,24.0,17.0,23.0,25.0,17.0,29.0,26.0,26.0,17.0,17.0,35.0,13.0,19.0,18.0,29.0,41.0,45.0,29.0,23.0,18.0,23.0,17.0,30.0,25.0,31.0,40.0,17.0,16.0,24.0,66.0,41.0,49.0,27.0,19.0,24.0,79.0,84,588,588,68.7236996315292,6
