highstreet_name,objectid_left,st_areasha,st_lengths,SHP_ID,GRP_CD,index_right,objectid_right,highstreet,area_ha
Belsize,858.6666666666666,139849.74318066667,2154.098573333333,12397.333333333334,2,4.0,303.0,303.0,5.06961484384459
Brecknock,1696.0,109069.23167733333,1932.7869151111108,15915.888888888889,3,6.0,97.0,97.0,15.327960683253703
CamdenT,888.5,126851.39209764285,2173.0747247857144,17837.64285714286,4,5.0,287.0,287.0,56.349257608422015
Cricklewood,564.875,219602.60564887497,2813.3383905,12616.75,3,1.0,322.0,322.0,28.338859331436904
Eversholt,938.5,111693.209736,1777.208,20523.0,5,0.0,594.0,594.0,6.30369789940396
Fortress,882.6,144907.7111218,2587.5931361,13251.6,3,3.0,285.0,285.0,28.3257187701928
Fortune,859.6,194467.6947268,2696.7751921999998,16208.6,2,2.0,372.0,372.0,6.581487285476581
Hampstead,875.1428571428571,319416.133816,3396.6715755714285,19719.428571428572,2,12.0,554.0,554.0,18.0157243581419
Haverstock,854.75,118208.84283725,1929.2122975,15185.0,2,11.0,306.0,306.0,7.07433248040949
Kentish,877.1666666666666,135904.66267716666,2298.499305,18663.166666666668,3,14.0,98.0,98.0,11.4539499385882
Kilburn,927.875,137701.0785049375,2080.3814785625,15057.3125,3,13.0,335.0,335.0,39.98419333915619
Loudoun,1538.5,127048.26670383335,2135.0676233333334,16605.833333333332,3,8.0,304.0,304.0,8.07887096137254
Mansfield,876.75,302750.23981775,2791.18075975,14954.0,3,7.0,468.0,468.0,3.50804172731437
Mill,885.2857142857143,100810.43538242858,1797.962384428571,9719.42857142857,2,10.0,355.0,355.0,6.60853859785641
Queens,879.5714285714286,94220.66392914286,1869.3983634285712,13274.42857142857,5,9.0,328.0,328.0,10.3147785948819
Regents,851.0,148177.970505,2167.6142224,19336.8,3,16.0,324.0,324.0,6.56831191980744
SouthEnd,877.1666666666666,229038.73427500002,2871.631914333333,19826.166666666668,2,15.0,307.0,307.0,6.1314311089679
WestEnd,914.8125,135175.95596881252,2169.6587545,15402.1875,2,18.0,555.0,555.0,46.74897946291011
Willesden,930.4,127214.58880960001,2187.2607116,14806.4,2,17.0,373.0,373.0,5.0351850715895
