highstreet_name,objectid_left,st_areasha,st_lengths,Mean 2001/02,Mean 2002/03,Mean 2003/04,Mean 2004/05,Mean 2005/06,Mean 2006/07,Mean 2007/08,Mean 2008/09,Mean 2009/10,Mean 2010/11,Mean 2011/12,Mean 2012/13,Median 2001/02,Median 2002/03,Median 2003/04,Median 2004/05,Median 2005/06,Median 2006/07,Median 2007/08,Median 2008/09,Median 2009/10,Median 2010/11,Median 2011/12,Median 2012/13,index_right,objectid_right,highstreet,area_ha
Belsize,858.6666666666666,139849.74318066667,2154.098573333333,62240.0,63473.333333333336,66700.0,71173.33333333333,72756.66666666667,77590.0,79210.0,85160.0,85426.66666666667,88880.0,92280.0,94443.33333333333,39020.0,39846.666666666664,41230.0,43883.333333333336,44153.333333333336,46893.333333333336,48426.666666666664,50076.666666666664,52386.666666666664,53923.333333333336,56660.0,57830.0,4.0,303.0,303.0,5.06961484384459
Brecknock,1696.0,109069.23167733333,1932.7869151111108,37864.444444444445,38238.88888888889,39863.333333333336,42263.333333333336,42982.22222222222,45656.666666666664,46460.0,49833.333333333336,49896.666666666664,51841.11111111111,53772.22222222222,54998.88888888889,26112.222222222223,26440.0,27166.666666666668,28751.11111111111,28798.88888888889,30477.777777777777,31390.0,32392.222222222223,33836.666666666664,34790.0,36526.666666666664,37261.11111111111,6.0,97.0,97.0,15.327960683253703
CamdenT,888.5,126851.39209764285,2173.0747247857144,39125.0,39615.71428571428,41394.28571428572,43968.57142857143,44781.42857142857,47612.142857142855,48477.857142857145,52002.857142857145,52063.57142857143,54072.142857142855,56047.857142857145,57279.28571428572,25773.571428571428,26158.571428571428,26936.428571428572,28556.428571428572,28642.85714285714,30340.0,31260.714285714286,32266.428571428572,33695.0,34630.71428571428,36338.57142857143,37038.57142857143,5.0,287.0,287.0,56.349257608422015
Cricklewood,564.875,219602.60564887497,2813.3383905,36983.75,37161.25,38523.75,40605.0,41047.5,43335.0,43828.75,46721.25,46506.25,48038.75,49545.0,50398.75,27948.75,28151.25,28767.5,30266.25,30132.5,31696.25,32442.5,33277.5,34551.25,35313.75,36867.5,37401.25,1.0,322.0,322.0,28.338859331436904
Eversholt,938.5,111693.209736,1777.208,30840.0,31250.0,32710.0,34845.0,35625.0,38050.0,38930.0,41995.0,42295.0,44200.0,46115.0,47435.0,20395.0,20715.0,21380.0,22735.0,22895.0,24370.0,25245.0,26210.0,27535.0,28485.0,30085.0,30875.0,0.0,594.0,594.0,6.30369789940396
Fortress,882.6,144907.7111218,2587.5931361,41521.0,42084.0,44007.0,46782.0,47685.0,50741.0,51713.0,55530.0,55656.0,57872.0,60063.0,61462.0,27411.0,27853.0,28707.0,30461.0,30577.0,32416.0,33432.0,34541.0,36115.0,37156.0,39034.0,39836.0,3.0,285.0,285.0,28.3257187701928
Fortune,859.6,194467.6947268,2696.7751921999998,58410.0,59454.0,62364.0,66444.0,67832.0,72256.0,73694.0,79174.0,79378.0,82556.0,85700.0,87712.0,36986.0,37712.0,38968.0,41420.0,41634.0,44170.0,45578.0,47108.0,49258.0,50684.0,53248.0,54344.0,2.0,372.0,372.0,6.581487285476581
Hampstead,875.1428571428571,319416.133816,3396.6715755714285,67782.85714285714,69132.85714285714,72640.0,77500.0,79205.71428571429,84448.57142857143,86190.0,92652.85714285714,92937.14285714286,96690.0,100398.57142857143,102772.85714285714,41820.0,42700.0,44172.857142857145,46998.57142857143,47272.857142857145,50188.57142857143,51812.857142857145,53571.42857142857,56034.28571428572,57668.57142857143,60597.142857142855,61851.42857142857,12.0,554.0,554.0,18.0157243581419
Haverstock,854.75,118208.84283725,1929.2122975,52192.5,53475.0,56450.0,60500.0,62107.5,66487.5,68120.0,73485.0,73955.0,77175.0,80357.5,82470.0,33662.5,34525.0,35867.5,38322.5,38700.0,41240.0,42720.0,44310.0,46480.0,47965.0,50525.0,51685.0,11.0,306.0,306.0,7.07433248040949
Kentish,877.1666666666666,135904.66267716666,2298.499305,38525.0,38933.333333333336,40606.666666666664,43065.0,43803.333333333336,46523.333333333336,47326.666666666664,50735.0,50771.666666666664,52715.0,54635.0,55840.0,25568.333333333332,25906.666666666668,26636.666666666668,28200.0,28251.666666666668,29895.0,30778.333333333332,31751.666666666668,33143.333333333336,34051.666666666664,35726.666666666664,36413.333333333336,14.0,98.0,98.0,11.4539499385882
Kilburn,927.875,137701.0785049375,2080.3814785625,35988.75,36338.125,37861.25,40110.625,40753.75,43235.625,43938.75,47058.125,47044.375,48801.875,50538.75,51606.875,26513.125,26856.875,27600.625,29203.75,29238.125,30921.875,31815.0,32798.125,34215.625,35133.125,36838.125,37525.625,13.0,335.0,335.0,39.98419333915619
Loudoun,1538.5,127048.26670383335,2135.0676233333334,51970.0,52675.0,55066.666666666664,58523.333333333336,59645.0,63475.0,64715.0,69545.0,69771.66666666667,72640.0,75511.66666666667,77413.33333333333,32928.333333333336,33426.666666666664,34420.0,36485.0,36590.0,38761.666666666664,39958.333333333336,41271.666666666664,43146.666666666664,44405.0,46670.0,47658.333333333336,8.0,304.0,304.0,8.07887096137254
Mansfield,876.75,302750.23981775,2791.18075975,43227.5,44022.5,46227.5,49327.5,50432.5,53810.0,54962.5,59132.5,59357.5,61797.5,64200.0,65755.0,28405.0,28975.0,29970.0,31897.5,32100.0,34105.0,35237.5,36460.0,38162.5,39305.0,41325.0,42202.5,7.0,468.0,468.0,3.50804172731437
Mill,885.2857142857143,100810.43538242858,1797.962384428571,50781.42857142857,51575.71428571428,54001.42857142857,57448.57142857143,58567.142857142855,62310.0,63474.28571428572,68120.0,68218.57142857143,70874.28571428571,73492.85714285714,75140.0,32831.42857142857,33408.57142857143,34464.28571428572,36584.28571428572,36724.28571428572,38921.42857142857,40118.57142857143,41422.857142857145,43271.42857142857,44481.42857142857,46688.57142857143,47605.71428571428,10.0,355.0,355.0,6.60853859785641
Queens,879.5714285714286,94220.66392914286,1869.3983634285712,36884.28571428572,37097.142857142855,38522.857142857145,40681.42857142857,41211.42857142857,43605.71428571428,44202.857142857145,47227.142857142855,47108.57142857143,48757.142857142855,50384.28571428572,51342.857142857145,24411.428571428572,24608.571428571428,25180.0,26532.85714285714,26467.14285714286,27894.285714285714,28610.0,29405.714285714286,30590.0,31327.14285714286,32767.14285714286,33295.71428571428,9.0,328.0,328.0,10.3147785948819
Regents,851.0,148177.970505,2167.6142224,47320.0,48278.0,50784.0,54268.0,55568.0,59364.0,60708.0,65378.0,65690.0,68452.0,71178.0,72952.0,30824.0,31506.0,32640.0,34798.0,35072.0,37310.0,38594.0,39978.0,41888.0,43180.0,45434.0,46430.0,16.0,324.0,324.0,6.56831191980744
SouthEnd,877.1666666666666,229038.73427500002,2871.631914333333,61458.333333333336,62776.666666666664,66056.66666666667,70578.33333333333,72233.33333333333,77115.0,78800.0,84810.0,85161.66666666667,88695.0,92185.0,94455.0,38530.0,39391.666666666664,40806.666666666664,43473.333333333336,43783.333333333336,46536.666666666664,48091.666666666664,49775.0,52111.666666666664,53681.666666666664,56451.666666666664,57665.0,15.0,307.0,307.0,6.1314311089679
WestEnd,914.8125,135175.95596881252,2169.6587545,54148.125,54885.625,57350.0,60881.25,61942.5,65776.25,66886.25,71658.125,71649.375,74328.125,76965.625,78580.625,34715.0,35265.0,36315.625,38480.625,38560.0,40800.625,41990.0,43289.375,45157.5,46360.0,48598.75,49492.5,18.0,555.0,555.0,46.74897946291011
Willesden,930.4,127214.58880960001,2187.2607116,45560.0,45946.0,47790.0,50530.0,51224.0,54214.0,54956.0,58706.0,58534.0,60560.0,62548.0,63700.0,29830.0,30164.0,30938.0,32662.0,32622.0,34412.0,35310.0,36304.0,37772.0,38682.0,40454.0,41102.0,17.0,373.0,373.0,5.0351850715895
