highstreet_name,objectid_left,st_areasha,st_lengths,Unnamed: 0,median_95Q1,median_95Q2,median_95Q3,median_95Q4,median_96Q1,median_96Q2,median_96Q3,median_96Q4,median_97Q1,median_97Q2,median_97Q3,median_97Q4,median_98Q1,median_98Q2,median_98Q3,median_98Q4,median_99Q1,median_99Q2,median_99Q3,median_99Q4,median_00Q1,median_00Q2,median_00Q3,median_00Q4,median_01Q1,median_01Q2,median_01Q3,median_01Q4,median_02Q1,median_02Q2,median_02Q3,median_02Q4,median_03Q1,median_03Q2,median_03Q3,median_03Q4,median_04Q1,median_04Q2,median_04Q3,median_04Q4,median_05Q1,median_05Q2,median_05Q3,median_05Q4,median_06Q1,median_06Q2,median_06Q3,median_06Q4,median_07Q1,median_07Q2,median_07Q3,median_07Q4,median_08Q1,median_08Q2,median_08Q3,median_08Q4,median_09Q1,median_09Q2,median_09Q3,median_09Q4,median_10Q1,median_10Q2,median_10Q3,median_10Q4,median_11Q1,median_11Q2,median_11Q3,median_11Q4,median_12Q1,median_12Q2,median_12Q3,median_12Q4,median_13Q1,median_13Q2,median_13Q3,median_13Q4,median_14Q1,median_14Q2,median_14Q3,median_14Q4,median_15Q1,median_15Q2,median_15Q3,median_15Q4,median_16Q1,median_16Q2,median_16Q3,median_16Q4,median_17Q1,median_17Q2,median_17Q3,median_17Q4,median_18Q1,median_18Q2,median_18Q3,median_18Q4,index_right,objectid_right,highstreet,area_ha,house prices
Belsize,858.6666666666666,139849.74318066667,2154.098573333333,859.6666666666666,149575.0,179991.66666666666,141000.0,145816.66666666666,169983.33333333334,152083.33333333334,176916.66666666666,214666.66666666666,249000.0,200016.66666666666,240916.66666666666,215833.33333333334,201166.66666666666,248333.33333333334,245333.33333333334,203500.0,216583.33333333334,267916.6666666667,294750.0,344991.6666666667,351158.3333333333,344666.6666666667,325833.3333333333,347039.6666666667,366083.3333333333,332158.3333333333,398000.0,524583.3333333334,372958.3333333333,440833.3333333333,549150.0,389158.3333333333,629158.3333333334,568333.3333333334,496027.0,384750.0,539166.6666666666,447666.6666666667,530750.0,558500.0,438750.0,447183.3333333333,454166.6666666667,441000.0,433333.3333333333,554333.3333333334,536666.6666666666,528583.3333333334,593966.6666666666,768333.3333333334,605833.3333333334,732083.3333333334,549166.6666666666,747000.0,766500.0,828333.3333333334,687666.6666666666,756233.3333333334,659166.6666666666,575416.6666666666,1073000.0,816283.3333333334,893367.0,602083.3333333334,843333.3333333334,715833.3333333334,812000.0,753483.3333333334,921500.0,997500.0,1045100.0,955333.3333333334,866583.3333333334,837333.3333333334,1026083.3333333334,781658.3333333334,992500.0,1053333.3333333333,1059000.0,1208333.3333333333,1321666.6666666667,1232583.3333333333,1232083.3333333333,1347500.0,1141833.3333333333,871666.6666666666,975000.0,1125833.3333333333,966666.6666666666,1365833.3333333333,1259166.6666666667,993333.3333333334,1525000.0,1202500.0,1285000.0,1312083.3333333333,4.0,303.0,303.0,5.06961484384459,1.0
Brecknock,1696.0,109069.23167733333,1932.7869151111108,1697.0,73437.5,84291.66666666667,80249.64285714286,77106.25,81928.57142857143,80071.42857142857,112178.57142857143,96638.88888888889,92546.42857142857,119944.16666666667,114431.25,97499.44444444444,100499.375,127343.75,121677.8125,113937.5,136218.75,114750.0,139986.38888888888,134580.55555555556,148546.94444444444,179910.55555555556,160500.0,159161.11111111112,165250.0,164375.0,237411.11111111112,207735.83333333334,176819.44444444444,200538.88888888888,205611.11111111112,214937.5,184425.4375,226156.25,210636.11111111112,200000.0,216966.66666666666,231438.88888888888,287055.55555555556,238624.94444444444,245618.75,256413.33333333334,252375.0,258605.55555555556,257902.77777777778,266055.55555555556,239933.33333333334,272937.0625,281636.1111111111,271938.6111111111,301955.5,280436.1111111111,319969.44444444444,377305.55555555556,354312.5,448042.6,294250.0,294496.875,317221.94444444444,284777.6666666667,345996.875,336444.44444444444,365830.55555555556,347687.5,449999.72222222225,340611.05555555556,408750.0,418138.22222222225,400443.8888888889,465710.71428571426,431289.5,364438.8888888889,369022.1666666667,422246.44444444444,465266.8888888889,421141.8333333333,423413.8888888889,446528.125,481402.6666666667,514358.3333333333,539777.7777777778,566380.2777777778,550300.0,580277.7777777778,549608.3333333334,557843.75,490611.6666666667,568336.1111111111,639637.5,484635.55555555556,710781.25,761777.7777777778,588888.8888888889,642903.125,579938.8888888889,637390.625,6.0,97.0,97.0,15.327960683253703,1.0
CamdenT,888.5,126851.39209764285,2173.0747247857144,889.5,104916.66666666667,106898.21428571429,100041.66666666667,104596.07692307692,134890.0,104370.83333333333,117610.79166666667,116694.84615384616,129004.16666666667,156788.46153846153,137035.7142857143,164954.16666666666,140393.75,129933.92857142857,143182.5,167894.23076923078,186916.66666666666,222321.15384615384,195831.25,207588.63636363635,223622.91666666666,213317.70833333334,255226.7857142857,242075.0,231918.75,220393.75,253517.85714285713,250347.14285714287,229567.85714285713,293791.6666666667,299424.96153846156,278612.5,277760.71428571426,282630.76923076925,261613.26923076922,237076.92307692306,239688.46153846153,302794.64285714284,304975.0,339855.9090909091,267232.0714285714,284842.3076923077,566076.9230769231,325209.0,314446.1538461539,321746.4285714286,305248.07692307694,359918.28571428574,303449.0,343194.64285714284,377658.9285714286,386495.8333333333,422000.0,540875.0,438352.0833333333,351038.63636363635,373957.6923076923,349857.6923076923,389989.5833333333,367770.8333333333,580880.7692307692,386334.125,467708.3333333333,406437.5,440954.54545454547,650344.2307692308,575453.5714285715,388989.28571428574,434577.0833333333,439961.53846153844,538065.6923076923,645500.0,522872.9166666667,625134.6153846154,617853.5714285715,455094.03571428574,737885.4166666666,761288.6538461539,566335.7142857143,563884.6153846154,947818.1818181818,726728.8461538461,681375.0,783216.3076923077,746330.1428571428,634816.0357142857,724355.7692307692,1387373.076923077,714167.0833333334,712666.6923076923,817185.3333333334,583769.2307692308,752851.5384615385,762731.0769230769,914908.1538461539,711687.5,5.0,287.0,287.0,56.349257608422015,1.0
Cricklewood,564.875,219602.60564887497,2813.3383905,565.875,88398.4375,100718.75,82712.1875,80075.0,82084.375,105875.0,100093.75,105475.0,90562.5,95525.0,102415.625,111146.875,113150.0,135684.375,113350.0,123806.25,120128.125,137337.5,134968.75,151125.0,156456.1875,198781.25,186253.125,222121.875,197906.25,196278.125,180712.5,196825.875,211750.0,258962.5,216390.625,304343.75,251028.125,247125.0,259750.0,239437.5,238374.8125,304312.4375,278190.4375,272406.25,259615.625,244343.75,300306.25,272309.375,359125.0,272009.375,287854.375,282262.5,297857.5,323718.75,319931.25,320843.75,344360.3125,282031.25,356215.625,266782.14285714284,1477250.0,370031.25,409999.9285714286,395871.875,355375.0,330687.5,441410.71428571426,395028.125,595218.75,337414.28571428574,395153.125,443406.25,371718.75,391328.125,427812.5,364437.5,414357.14285714284,440840.5,519141.9375,392093.8125,462945.25,435016.1875,744115.625,644035.7142857143,531703.125,544431.125,514687.5,450805.9285714286,509350.0,604687.5,695968.75,575875.0,2247312.5,1490493.75,789687.5,666104.125,762031.25,1333392.857142857,692464.2857142857,528750.0,1.0,322.0,322.0,28.338859331436904,1.0
Eversholt,938.5,111693.209736,1777.208,939.5,68750.0,,,64500.0,36000.0,118000.0,60000.0,66750.0,131000.0,64000.0,67500.0,95000.0,95000.0,60000.0,74850.0,105000.0,91100.0,,133500.0,100750.0,136250.0,,180750.0,,,,130500.0,145000.0,220000.0,242800.0,179375.0,197500.0,194750.0,295000.0,180500.0,203000.0,172250.0,178750.0,199750.0,176750.0,,217000.0,265000.0,275000.0,295000.0,254000.0,208000.0,267250.0,194000.0,225000.0,248750.0,250000.0,257500.0,254997.5,325562.5,,250000.0,777500.0,512500.0,504375.0,612500.0,363000.0,260000.0,,463500.0,477205.0,370809.0,,768500.0,395000.0,370887.5,363789.0,815250.0,333375.0,450000.0,343866.25,762500.0,2462500.0,486249.5,6633750.0,575000.0,553750.0,517500.0,397500.0,785500.0,840000.0,509452.5,2650000.0,1470000.0,480000.0,280000.0,1238880.0,653620.0,565000.0,575000.0,,0.0,594.0,594.0,6.30369789940396,1.0
Fortress,882.6,144907.7111218,2587.5931361,883.6,109562.5,116750.0,107833.33333333333,118833.33333333333,158446.42857142858,147955.55555555556,123670.0,116637.25,126136.11111111111,125494.5,128925.0,186971.94444444444,120320.0,146950.0,152912.25,171666.66666666666,171735.83333333334,217400.0,187833.33333333334,191774.5,193830.27777777778,213845.0,248575.0,202967.5,185187.5,251575.0,275917.5,214588.25,184650.0,257222.22222222222,279384.95,287195.0,257000.0,287175.0,254552.77777777778,257420.0,241395.0,300720.0,258114.5,289250.0,259349.9,314775.0,284149.95,309722.4,306647.5,375775.0,295325.0,369191.6666666667,403542.5,379604.75,344389.95,405766.6666666667,334499.75,528697.2222222222,396497.4,423351.55555555556,389749.75,363250.0,413472.5,396672.5,515400.0,473625.0,467200.0,516125.0,420138.8888888889,554347.5,490025.0,407425.0,451117.5,480616.0,523805.27777777775,599888.3333333334,564974.75,482177.22222222225,1030274.5,564850.0,569014.75,825339.7777777778,746250.0,545023.0,735361.1111111111,757055.5555555555,742630.05,816750.0,1412560.3,1989124.9,902992.95,735252.5,1065714.5,815112.3,730749.95,754388.8888888889,826700.0,699755.0,739859.5,684750.0,3.0,285.0,285.0,28.3257187701928,1.0
Fortune,859.6,194467.6947268,2696.7751921999998,860.6,213090.0,226740.5,158350.0,149000.0,196650.0,185900.0,200745.0,175600.0,158250.0,183600.0,184140.0,214400.0,234600.0,209890.0,229100.0,202600.0,240333.3,256650.0,261790.0,259300.4,316700.0,406545.0,395485.0,300890.0,443490.0,323250.0,317250.0,329400.0,356500.0,294000.0,396000.2,349600.0,360945.0,403200.0,460199.9,413400.0,372500.0,490790.0,501300.0,718000.0,440490.0,659950.0,730495.0,565895.0,577999.8,449900.0,488100.0,430625.0,567450.0,455700.0,702561.0,685290.0,655500.0,644460.0,913750.0,440562.5,2698000.0,780700.0,510599.9,817200.0,627200.0,663445.0,806700.0,771495.0,795000.0,1039760.0,849400.0,700490.0,904807.625,1085999.9,827496.4,672650.0,1326595.0,752159.8,1242300.0,777999.8,837465.0,1039805.2,1011197.6,883240.0,1138500.0,803000.0,860242.0,1061083.3,1171810.0,1001000.0,1550600.0,1095210.0,901500.0,1281700.0,1478493.4,1177916.6,1189000.0,1262000.0,817050.0,1255613.2,2.0,372.0,372.0,6.581487285476581,1.0
Hampstead,875.1428571428571,319416.133816,3396.6715755714285,876.1428571428571,203889.2857142857,203392.85714285713,214589.2857142857,184017.85714285713,279063.9285714286,279178.5714285714,260714.2857142857,212214.2857142857,270142.85714285716,294035.71428571426,243285.7142857143,270442.85714285716,257321.42857142858,348750.0,287639.28571428574,252860.7142857143,322353.5714285714,321982.14285714284,380392.85714285716,381821.4285714286,343067.85714285716,426314.28571428574,456564.28571428574,337513.4285714286,493714.28571428574,561785.7142857143,498571.4285714286,599100.0,435786.35714285716,558107.1428571428,562100.0,581067.8571428572,592499.8571428572,590357.0714285715,477392.85714285716,590928.5714285715,736607.1428571428,455593.0714285714,621071.4285714285,753749.2857142857,699642.8571428572,623500.0,567857.1428571428,428000.0,802107.1428571428,700639.2857142857,662178.5714285715,620714.2857142857,782500.0,961214.2857142857,797000.0,628178.5714285715,843571.4285714285,1170321.4285714286,1248214.2857142857,1065624.9166666667,1060535.7142857143,896071.4285714285,742253.5714285715,724927.8571428572,1121850.0,749157.1428571428,1204928.5714285714,964706.0,1348342.857142857,1341200.0,949754.7857142857,996367.2857142857,1298285.7142857143,979571.0714285715,1290000.0,1081071.4285714286,1193857.142857143,1041428.5714285715,1179285.7142857143,1168928.5714285714,1178142.642857143,1260857.142857143,1488128.5714285714,1233071.4285714286,1264671.4285714286,1168214.2857142857,1997442.857142857,1704969.9285714286,1187360.4285714286,1555535.7142857143,1836071.4285714286,1767678.5714285714,1280785.7142857143,1919285.7142857143,1459658.2857142857,1564928.5714285714,1844571.4285714286,1214285.7142857143,1616245.7142857143,1357599.2857142857,12.0,554.0,554.0,18.0157243581419,1.0
Haverstock,854.75,118208.84283725,1929.2122975,855.75,110916.66666666667,135868.75,205312.5,120250.0,133187.5,147250.0,133375.0,170000.0,172437.5,167000.0,175431.25,165187.5,222000.0,190250.0,226750.0,187218.75,189000.0,270937.5,202937.5,243325.0,236906.25,292250.0,212000.0,369000.0,331125.0,280868.75,364368.75,322000.0,326000.0,329250.0,386868.75,323237.5,276806.25,304500.0,335625.0,304625.0,378100.0,368875.0,346625.0,351493.75,386916.6666666667,271333.3333333333,356250.0,287062.5,369687.5,474250.0,434375.125,481937.25,447212.5,611250.25,548750.0,584437.5,476875.0,603750.0,544000.0,541625.0,897696.75,355800.0,495750.0,541125.0,526612.5,658531.25,495056.5,530937.5,585312.5,521106.5,634875.0,823875.0,591875.0,662687.5,688333.3333333334,683000.0,1078125.0,945875.0,793062.5,1238306.25,863506.25,850000.0,920000.0,885625.0,913500.0,1159530.375,870937.5,852012.5,852500.0,888750.0,711687.5,954687.5,1498750.0,890312.5,1232325.0,831625.0,749226.6666666666,1171625.0,776933.3333333334,1018000.0,11.0,306.0,306.0,7.07433248040949,1.0
Kentish,877.1666666666666,135904.66267716666,2298.499305,878.1666666666666,96916.66666666667,110108.33333333333,104875.0,89416.66666666667,142075.0,93895.0,98625.0,89833.33333333333,124166.66666666667,94759.5,136958.33333333334,141791.66666666666,110075.0,137800.0,120916.25,148353.75,160241.66666666666,168829.16666666666,160362.5,178575.0,162000.0,190170.83333333334,226120.83333333334,221916.66666666666,180308.33333333334,234745.83333333334,215833.33333333334,192458.33333333334,215000.0,317050.0,243037.5,199390.0,223166.66666666666,220500.0,203166.66666666666,198116.66666666666,211250.0,257075.0,223995.0,268333.3333333333,204958.16666666666,268041.6666666667,247416.66666666666,245519.5,236333.33333333334,328750.0,283708.3333333333,318741.6666666667,274125.0,275120.8333333333,361375.0,392066.6666666667,352749.5833333333,308750.0,351500.0,507000.0,295900.0,430450.0,450745.0,309666.6666666667,424125.0,398125.0,437166.6666666667,453916.6666666667,296195.0,429708.3333333333,423333.3333333333,360162.5,377666.6666666667,337190.0,393612.5,472125.0,391037.5,381058.3333333333,483083.3333333333,515783.3333333333,559191.6666666666,632945.5,599125.0,495246.0,820960.5833333334,645500.0,546916.6666666666,780000.0,621375.0,1299995.75,581800.0,1064506.25,565589.8,757793.3333333334,556608.3333333334,716312.5,4286109.0,632545.8333333334,669333.3333333334,535800.0,14.0,98.0,98.0,11.4539499385882,1.0
