highstreet_name,code,arts_centre,artwork,atm,attraction,bakery,bank,bar,beauty_shop,bench,beverages,bicycle_rental,bicycle_shop,bookshop,butcher,cafe,camera_surveillance,car_dealership,car_rental,car_sharing,car_wash,chemist,cinema,clothes,college,comms_tower,community_centre,computer_shop,convenience,courthouse,dentist,department_store,doctors,doityourself,drinking_water,fast_food,florist,fountain,furniture_shop,garden_centre,gift_shop,greengrocer,guesthouse,hairdresser,hospital,hostel,hotel,jeweller,kindergarten,kiosk,laundry,library,mall,memorial,mobile_phone_shop,monument,museum,newsagent,nightclub,observation_tower,optician,park,pharmacy,picnic_site,playground,police,post_box,post_office,pub,recycling,recycling_clothes,recycling_glass,recycling_paper,restaurant,ruins,school,shelter,shoe_shop,sports_centre,sports_shop,stationery,supermarket,swimming_pool,telephone,theatre,toilet,tourist_info,toy_shop,travel_agent,university,vending_any,vending_machine,vending_parking,veterinary,video_shop,viewpoint,waste_basket,water_well,wayside_shrine,index_right,objectid,highstreet,area_ha,public toilets,trees,bus_stops,train,pois
Belsize,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,606,606,10.13922968768918,0.0,66,0.0,0.0,2
Brecknock,22688,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,970,970,153.27960683253704,0.0,1620,60.0,0.0,10
CamdenT,834013,0,5,12,2,6,2,13,3,19,2,6,0,3,1,16,8,0,1,0,0,1,1,26,0,1,1,0,3,0,0,0,0,0,0,14,1,0,2,1,2,0,0,7,0,1,3,5,0,0,0,1,0,4,3,2,1,2,2,0,1,0,4,0,1,0,7,1,7,11,0,0,1,43,0,0,2,8,2,1,2,2,0,30,0,7,8,1,0,0,1,0,1,0,1,0,16,0,0,1705,97867,97867,19215.096844471926,3069.0,138105,10230.0,1023.0,341
Cricklewood,72239,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9660,9660,850.1657799431066,0.0,1860,420.0,0.0,30
Eversholt,56034,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14256,14256,151.28874958569503,0.0,3192,0.0,0.0,24
Fortress,306491,0,0,9,0,0,0,2,4,1,0,0,1,1,1,9,1,1,0,1,1,0,0,0,0,0,0,0,6,0,2,0,1,0,0,4,0,0,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,7,1,3,4,0,0,0,15,0,0,0,0,1,1,1,2,0,7,0,0,4,0,0,0,0,0,1,0,0,0,20,0,0,375,35625,35625,3540.7148462741093,375.0,36250,2125.0,125.0,125
Fortune,17944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2976,2976,52.651898283812656,0.0,792,40.0,0.0,8
Hampstead,113200,0,3,1,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,564,26038,26038,846.7390448326698,0.0,7708,329.0,47.0,47
Haverstock,65284,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,8568,8568,198.08130945146567,0.0,2688,112.0,28.0,28
Kentish,97909,0,0,0,0,0,0,0,1,4,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,546,3822,3822,446.70404760494,0.0,7917,195.0,39.0,39
