highstreet_name,objectid_left,st_areasha,st_lengths,Fatal,Serious,Slight,2010 Total,Fatal,Serious,Slight,2011 Total,Fatal,Serious,Slight,2012 Total,Fatal,Serious,Slight,2013 Total,Fatal,Serious,Slight,2014 Total,Fatal,Serious,Slight,2015 Total,Fatal,Serious,Slight,2016 Total,Fatal,Serious,Slight,2017 Total,Fatal,Serious,Slight,2018 Total,index_right,objectid_right,highstreet,area_ha
Belsize,2576,419549.229542,6462.29572,0.0,1.0,5.0,6.0,0.0,1.0,3.0,4.0,0.0,1.0,11.0,12.0,0.0,0.0,7.0,7.0,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,1.0,10.0,11.0,0.0,1.0,5.0,6.0,0.0,1.0,3.0,4.0,12,909,909,15.20884453153377
Brecknock,15264,981623.085096,17395.082236,0.0,5.0,29.0,34.0,0.0,6.0,65.0,71.0,0.0,3.0,37.0,40.0,0.0,3.0,33.0,36.0,0.0,1.0,41.0,42.0,0.0,4.0,51.0,55.0,0.0,8.0,56.0,64.0,2.0,4.0,44.0,50.0,1.0,8.0,43.0,52.0,54,873,873,137.95164614928333
CamdenT,12439,1775919.4893669998,30423.046147,3.0,19.0,137.0,159.0,1.0,14.0,113.0,128.0,0.0,18.0,116.0,134.0,0.0,17.0,117.0,134.0,0.0,6.0,135.0,141.0,1.0,10.0,168.0,179.0,2.0,16.0,125.0,143.0,0.0,19.0,142.0,161.0,0.0,32.0,157.0,189.0,70,4018,4018,788.8896065179082
Cricklewood,4519,1756820.8451909998,22506.707124,2.0,2.0,85.0,89.0,0.0,9.0,55.0,64.0,1.0,6.0,69.0,76.0,0.0,8.0,58.0,66.0,0.0,10.0,77.0,87.0,0.0,3.0,67.0,70.0,0.0,7.0,86.0,93.0,0.0,9.0,61.0,70.0,1.0,7.0,65.0,73.0,8,2576,2576,226.71087465149523
Eversholt,1877,223386.419472,3554.416,0.0,2.0,20.0,22.0,0.0,2.0,19.0,21.0,1.0,3.0,15.0,19.0,0.0,0.0,13.0,13.0,0.0,1.0,15.0,16.0,0.0,1.0,27.0,28.0,0.0,5.0,27.0,32.0,0.0,3.0,17.0,20.0,0.0,6.0,22.0,28.0,0,1188,1188,12.60739579880792
Fortress,8826,1449077.111218,25875.931361,1.0,12.0,70.0,83.0,0.0,12.0,87.0,99.0,0.0,13.0,68.0,81.0,0.0,9.0,72.0,81.0,0.0,3.0,84.0,87.0,0.0,4.0,101.0,105.0,1.0,15.0,84.0,100.0,0.0,12.0,79.0,91.0,2.0,9.0,88.0,99.0,30,2850,2850,283.257187701928
Fortune,4298,972338.4736339999,13483.875960999998,1.0,2.0,11.0,14.0,0.0,1.0,15.0,16.0,0.0,1.0,17.0,18.0,0.0,1.0,16.0,17.0,0.0,0.0,20.0,20.0,0.0,1.0,31.0,32.0,0.0,2.0,18.0,20.0,0.0,8.0,22.0,30.0,0.0,5.0,31.0,36.0,10,1860,1860,32.907436427382905
Hampstead,6126,2235912.936712,23776.701029,0.0,5.0,24.0,29.0,0.0,1.0,15.0,16.0,1.0,3.0,31.0,35.0,0.0,1.0,29.0,30.0,0.0,0.0,32.0,32.0,0.0,4.0,34.0,38.0,0.0,3.0,39.0,42.0,0.0,4.0,31.0,35.0,0.0,1.0,15.0,16.0,84,3878,3878,126.11007050699328
Haverstock,3419,472835.371349,7716.84919,1.0,1.0,16.0,18.0,0.0,0.0,13.0,13.0,0.0,1.0,7.0,8.0,0.0,2.0,11.0,13.0,0.0,1.0,17.0,18.0,0.0,0.0,20.0,20.0,0.0,1.0,15.0,16.0,0.0,3.0,12.0,15.0,0.0,1.0,8.0,9.0,44,1224,1224,28.29732992163796
Kentish,5263,815427.9760629999,13790.995829999998,1.0,11.0,60.0,72.0,1.0,9.0,59.0,69.0,0.0,5.0,46.0,51.0,0.0,12.0,47.0,59.0,0.0,3.0,58.0,61.0,1.0,4.0,97.0,102.0,2.0,7.0,56.0,65.0,0.0,11.0,65.0,76.0,1.0,17.0,69.0,87.0,84,588,588,68.7236996315292
