highstreet_name,objectid_left,st_areasha,st_lengths,Mean 2001/02,Mean 2002/03,Mean 2003/04,Mean 2004/05,Mean 2005/06,Mean 2006/07,Mean 2007/08,Mean 2008/09,Mean 2009/10,Mean 2010/11,Mean 2011/12,Mean 2012/13,Median 2001/02,Median 2002/03,Median 2003/04,Median 2004/05,Median 2005/06,Median 2006/07,Median 2007/08,Median 2008/09,Median 2009/10,Median 2010/11,Median 2011/12,Median 2012/13,index_right,objectid_right,highstreet,area_ha
Belsize,2576,419549.229542,6462.29572,186720.0,190420.0,200100.0,213520.0,218270.0,232770.0,237630.0,255480.0,256280.0,266640.0,276840.0,283330.0,117060.0,119540.0,123690.0,131650.0,132460.0,140680.0,145280.0,150230.0,157160.0,161770.0,169980.0,173490.0,12,909,909,15.20884453153377
Brecknock,15264,981623.085096,17395.082236,340780.0,344150.0,358770.0,380370.0,386840.0,410910.0,418140.0,448500.0,449070.0,466570.0,483950.0,494990.0,235010.0,237960.0,244500.0,258760.0,259190.0,274300.0,282510.0,291530.0,304530.0,313110.0,328740.0,335350.0,54,873,873,137.95164614928333
CamdenT,12439,1775919.4893669998,30423.046147,547750.0,554620.0,579520.0,615560.0,626940.0,666570.0,678690.0,728040.0,728890.0,757010.0,784670.0,801910.0,360830.0,366220.0,377110.0,399790.0,401000.0,424760.0,437650.0,451730.0,471730.0,484830.0,508740.0,518540.0,70,4018,4018,788.8896065179082
Cricklewood,4519,1756820.8451909998,22506.707124,295870.0,297290.0,308190.0,324840.0,328380.0,346680.0,350630.0,373770.0,372050.0,384310.0,396360.0,403190.0,223590.0,225210.0,230140.0,242130.0,241060.0,253570.0,259540.0,266220.0,276410.0,282510.0,294940.0,299210.0,8,2576,2576,226.71087465149523
Eversholt,1877,223386.419472,3554.416,61680.0,62500.0,65420.0,69690.0,71250.0,76100.0,77860.0,83990.0,84590.0,88400.0,92230.0,94870.0,40790.0,41430.0,42760.0,45470.0,45790.0,48740.0,50490.0,52420.0,55070.0,56970.0,60170.0,61750.0,0,1188,1188,12.60739579880792
Fortress,8826,1449077.111218,25875.931361,415210.0,420840.0,440070.0,467820.0,476850.0,507410.0,517130.0,555300.0,556560.0,578720.0,600630.0,614620.0,274110.0,278530.0,287070.0,304610.0,305770.0,324160.0,334320.0,345410.0,361150.0,371560.0,390340.0,398360.0,30,2850,2850,283.257187701928
Fortune,4298,972338.4736339999,13483.875960999998,292050.0,297270.0,311820.0,332220.0,339160.0,361280.0,368470.0,395870.0,396890.0,412780.0,428500.0,438560.0,184930.0,188560.0,194840.0,207100.0,208170.0,220850.0,227890.0,235540.0,246290.0,253420.0,266240.0,271720.0,10,1860,1860,32.907436427382905
Hampstead,6126,2235912.936712,23776.701029,474480.0,483930.0,508480.0,542500.0,554440.0,591140.0,603330.0,648570.0,650560.0,676830.0,702790.0,719410.0,292740.0,298900.0,309210.0,328990.0,330910.0,351320.0,362690.0,375000.0,392240.0,403680.0,424180.0,432960.0,84,3878,3878,126.11007050699328
Haverstock,3419,472835.371349,7716.84919,208770.0,213900.0,225800.0,242000.0,248430.0,265950.0,272480.0,293940.0,295820.0,308700.0,321430.0,329880.0,134650.0,138100.0,143470.0,153290.0,154800.0,164960.0,170880.0,177240.0,185920.0,191860.0,202100.0,206740.0,44,1224,1224,28.29732992163796
Kentish,5263,815427.9760629999,13790.995829999998,231150.0,233600.0,243640.0,258390.0,262820.0,279140.0,283960.0,304410.0,304630.0,316290.0,327810.0,335040.0,153410.0,155440.0,159820.0,169200.0,169510.0,179370.0,184670.0,190510.0,198860.0,204310.0,214360.0,218480.0,84,588,588,68.7236996315292
Kilburn,14846,2203217.256079,33286.103657,575820.0,581410.0,605780.0,641770.0,652060.0,691770.0,703020.0,752930.0,752710.0,780830.0,808620.0,825710.0,424210.0,429710.0,441610.0,467260.0,467810.0,494750.0,509040.0,524770.0,547450.0,562130.0,589410.0,600410.0,208,5360,5360,639.7470934264991
Loudoun,9231,762289.600223,12810.40574,311820.0,316050.0,330400.0,351140.0,357870.0,380850.0,388290.0,417270.0,418630.0,435840.0,453070.0,464480.0,197570.0,200560.0,206520.0,218910.0,219540.0,232570.0,239750.0,247630.0,258880.0,266430.0,280020.0,285950.0,48,1824,1824,48.47322576823523
Mansfield,3507,1211000.959271,11164.723039,172910.0,176090.0,184910.0,197310.0,201730.0,215240.0,219850.0,236530.0,237430.0,247190.0,256800.0,263020.0,113620.0,115900.0,119880.0,127590.0,128400.0,136420.0,140950.0,145840.0,152650.0,157220.0,165300.0,168810.0,28,1872,1872,14.03216690925748
Mill,6197,705673.047677,12585.736690999998,355470.0,361030.0,378010.0,402140.0,409970.0,436170.0,444320.0,476840.0,477530.0,496120.0,514450.0,525980.0,229820.0,233860.0,241250.0,256090.0,257070.0,272450.0,280830.0,289960.0,302900.0,311370.0,326820.0,333240.0,70,2485,2485,46.25977018499487
Queens,6157,659544.647504,13085.788544,258190.0,259680.0,269660.0,284770.0,288480.0,305240.0,309420.0,330590.0,329760.0,341300.0,352690.0,359400.0,170880.0,172260.0,176260.0,185730.0,185270.0,195260.0,200270.0,205840.0,214130.0,219290.0,229370.0,233070.0,63,2296,2296,72.2034501641733
Regents,4255,740889.852525,10838.071112,236600.0,241390.0,253920.0,271340.0,277840.0,296820.0,303540.0,326890.0,328450.0,342260.0,355890.0,364760.0,154120.0,157530.0,163200.0,173990.0,175360.0,186550.0,192970.0,199890.0,209440.0,215900.0,227170.0,232150.0,80,1620,1620,32.8415595990372
SouthEnd,5263,1374232.40565,17229.791486,368750.0,376660.0,396340.0,423470.0,433400.0,462690.0,472800.0,508860.0,510970.0,532170.0,553110.0,566730.0,231180.0,236350.0,244840.0,260840.0,262700.0,279220.0,288550.0,298650.0,312670.0,322090.0,338710.0,345990.0,90,1842,1842,36.7885866538074
WestEnd,14637,2162815.2955010002,34714.540072,866370.0,878170.0,917600.0,974100.0,991080.0,1052420.0,1070180.0,1146530.0,1146390.0,1189250.0,1231450.0,1257290.0,555440.0,564240.0,581050.0,615690.0,616960.0,652810.0,671840.0,692630.0,722520.0,741760.0,777580.0,791880.0,288,8880,8880,747.9836714065617
Willesden,4652,636072.944048,10936.303558,227800.0,229730.0,238950.0,252650.0,256120.0,271070.0,274780.0,293530.0,292670.0,302800.0,312740.0,318500.0,149150.0,150820.0,154690.0,163310.0,163110.0,172060.0,176550.0,181520.0,188860.0,193410.0,202270.0,205510.0,85,1865,1865,25.1759253579475
