highstreet_name,objectid_left,st_areasha,st_lengths,Unnamed: 0,median_95Q1,median_95Q2,median_95Q3,median_95Q4,median_96Q1,median_96Q2,median_96Q3,median_96Q4,median_97Q1,median_97Q2,median_97Q3,median_97Q4,median_98Q1,median_98Q2,median_98Q3,median_98Q4,median_99Q1,median_99Q2,median_99Q3,median_99Q4,median_00Q1,median_00Q2,median_00Q3,median_00Q4,median_01Q1,median_01Q2,median_01Q3,median_01Q4,median_02Q1,median_02Q2,median_02Q3,median_02Q4,median_03Q1,median_03Q2,median_03Q3,median_03Q4,median_04Q1,median_04Q2,median_04Q3,median_04Q4,median_05Q1,median_05Q2,median_05Q3,median_05Q4,median_06Q1,median_06Q2,median_06Q3,median_06Q4,median_07Q1,median_07Q2,median_07Q3,median_07Q4,median_08Q1,median_08Q2,median_08Q3,median_08Q4,median_09Q1,median_09Q2,median_09Q3,median_09Q4,median_10Q1,median_10Q2,median_10Q3,median_10Q4,median_11Q1,median_11Q2,median_11Q3,median_11Q4,median_12Q1,median_12Q2,median_12Q3,median_12Q4,median_13Q1,median_13Q2,median_13Q3,median_13Q4,median_14Q1,median_14Q2,median_14Q3,median_14Q4,median_15Q1,median_15Q2,median_15Q3,median_15Q4,median_16Q1,median_16Q2,median_16Q3,median_16Q4,median_17Q1,median_17Q2,median_17Q3,median_17Q4,median_18Q1,median_18Q2,median_18Q3,median_18Q4,index_right,objectid_right,highstreet,area_ha,house prices
Belsize,2576,419549.229542,6462.29572,2579,448725.0,539975.0,423000.0,437450.0,509950.0,456250.0,530750.0,644000.0,747000.0,600050.0,722750.0,647500.0,603500.0,745000.0,736000.0,610500.0,649750.0,803750.0,884250.0,1034975.0,1053475.0,1034000.0,977500.0,1041119.0,1098250.0,996475.0,1194000.0,1573750.0,1118875.0,1322500.0,1647450.0,1167475.0,1887475.0,1705000.0,1488081.0,1154250.0,1617500.0,1343000.0,1592250.0,1675500.0,1316250.0,1341550.0,1362500.0,1323000.0,1300000.0,1663000.0,1610000.0,1585750.0,1781900.0,2305000.0,1817500.0,2196250.0,1647500.0,2241000.0,2299500.0,2485000.0,2063000.0,2268700.0,1977500.0,1726250.0,3219000.0,2448850.0,2680101.0,1806250.0,2530000.0,2147500.0,2436000.0,2260450.0,2764500.0,2992500.0,3135300.0,2866000.0,2599750.0,2512000.0,3078250.0,2344975.0,2977500.0,3160000.0,3177000.0,3625000.0,3965000.0,3697750.0,3696250.0,4042500.0,3425500.0,2615000.0,2925000.0,3377500.0,2900000.0,4097500.0,3777500.0,2980000.0,4575000.0,3607500.0,3855000.0,3936250.0,12,909,909,15.20884453153377,3
Brecknock,15264,981623.085096,17395.082236,15273,587500.0,505750.0,561747.5,616850.0,573500.0,560500.0,785250.0,869750.0,647825.0,1079497.5,915450.0,877495.0,803995.0,1018750.0,973422.5,911500.0,1089750.0,1032750.0,1259877.5,1211225.0,1336922.5,1619195.0,1284000.0,1432450.0,1322000.0,1315000.0,2136700.0,1869622.5,1591375.0,1804850.0,1850500.0,1719500.0,1475403.5,1809250.0,1895725.0,1600000.0,1952700.0,2082950.0,2583500.0,2147624.5,1964950.0,2307720.0,2271375.0,2327450.0,2321125.0,2394500.0,2159400.0,2183496.5,2534725.0,2447447.5,2717599.5,2523925.0,2879725.0,3395750.0,2834500.0,2240213.0,2354000.0,2355975.0,2854997.5,2562999.0,2767975.0,3028000.0,3292475.0,2781500.0,4049997.5,3065499.5,3678750.0,3763244.0,3603995.0,3259975.0,3881605.5,3279950.0,3321199.5,3800218.0,4187402.0,3790276.5,3810725.0,3572225.0,4332624.0,4629225.0,4858000.0,5097422.5,4952700.0,5222500.0,4946475.0,4462750.0,4415505.0,5115025.0,5117100.0,4361720.0,5686250.0,6856000.0,5300000.0,5143225.0,5219450.0,5099125.0,54,873,873,137.95164614928333,9
CamdenT,12439,1775919.4893669998,30423.046147,12453,944250.0,1496575.0,1200500.0,1359749.0,1348900.0,1252450.0,1411329.5,1517033.0,1548050.0,2038250.0,1918500.0,1979450.0,1684725.0,1819075.0,1861372.5,2182625.0,2243000.0,2890175.0,2349975.0,2283475.0,2683475.0,2559812.5,3573175.0,3146975.0,2783025.0,2644725.0,3549250.0,3504860.0,3213950.0,3525500.0,3892524.5,3900575.0,3888650.0,3674200.0,3400972.5,3082000.0,3115950.0,4239125.0,3964675.0,3738415.0,3741249.0,3702950.0,7359000.0,4227717.0,4087800.0,4504450.0,3968225.0,5038856.0,4248286.0,4804725.0,5287225.0,4637950.0,5908000.0,5949625.0,5260225.0,3861425.0,4861450.0,4548150.0,4679875.0,4413250.0,7551450.0,4636009.5,5612500.0,4877250.0,4850500.0,8454475.0,8056350.0,5445850.0,5214925.0,5719500.0,6994854.0,7746000.0,6274475.0,8126750.0,8649950.0,6371316.5,8854625.0,9896752.5,7928700.0,7330500.0,10426000.0,9447475.0,9539250.0,10181812.0,10448622.0,8887424.5,9416625.0,18035850.0,8570005.0,9264667.0,9806224.0,7589000.0,9787070.0,9915504.0,11893806.0,8540250.0,70,4018,4018,788.8896065179082,14
Cricklewood,4519,1756820.8451909998,22506.707124,4527,707187.5,805750.0,661697.5,640600.0,656675.0,847000.0,800750.0,843800.0,724500.0,764200.0,819325.0,889175.0,905200.0,1085475.0,906800.0,990450.0,961025.0,1098700.0,1079750.0,1209000.0,1251649.5,1590250.0,1490025.0,1776975.0,1583250.0,1570225.0,1445700.0,1574607.0,1694000.0,2071700.0,1731125.0,2434750.0,2008225.0,1977000.0,2078000.0,1915500.0,1906998.5,2434499.5,2225523.5,2179250.0,2076925.0,1954750.0,2402450.0,2178475.0,2873000.0,2176075.0,2302835.0,2258100.0,2382860.0,2589750.0,2559450.0,2566750.0,2754882.5,2256250.0,2849725.0,1867475.0,5909000.0,2960250.0,2869999.5,3166975.0,2843000.0,2645500.0,3089875.0,3160225.0,4761750.0,2361900.0,3161225.0,3547250.0,2973750.0,3130625.0,3422500.0,2915500.0,2900500.0,3526724.0,4153135.5,3136750.5,3703562.0,3480129.5,5952925.0,4508250.0,4253625.0,4355449.0,4117500.0,3155641.5,4074800.0,4837500.0,5567750.0,4607000.0,17978500.0,11923950.0,6317500.0,5328833.0,6096250.0,9333750.0,4847250.0,3701250.0,8,2576,2576,226.71087465149523,8
Eversholt,1877,223386.419472,3554.416,1879,68750.0,0.0,0.0,64500.0,36000.0,118000.0,60000.0,66750.0,131000.0,64000.0,67500.0,95000.0,95000.0,60000.0,149700.0,105000.0,91100.0,0.0,267000.0,201500.0,272500.0,0.0,361500.0,0.0,0.0,0.0,261000.0,145000.0,220000.0,485600.0,358750.0,395000.0,389500.0,295000.0,361000.0,406000.0,344500.0,357500.0,399500.0,353500.0,0.0,434000.0,530000.0,275000.0,295000.0,508000.0,416000.0,534500.0,388000.0,225000.0,497500.0,250000.0,515000.0,509995.0,651125.0,0.0,250000.0,777500.0,1025000.0,1008750.0,612500.0,363000.0,260000.0,0.0,927000.0,954410.0,741618.0,0.0,768500.0,395000.0,741775.0,363789.0,1630500.0,666750.0,450000.0,687732.5,1525000.0,4925000.0,972499.0,13267500.0,575000.0,553750.0,517500.0,397500.0,785500.0,840000.0,509452.5,2650000.0,1470000.0,480000.0,560000.0,1238880.0,1307240.0,565000.0,575000.0,0.0,0,1188,1188,12.60739579880792,2
Fortress,8826,1449077.111218,25875.931361,8836,876500.0,934000.0,970500.0,1069500.0,1109125.0,1331600.0,1236700.0,1166372.5,1135225.0,1254945.0,1289250.0,1682747.5,1203200.0,1469500.0,1529122.5,1545000.0,1545622.5,2174000.0,1690500.0,1917745.0,1744472.5,2138450.0,2237175.0,2029675.0,1851875.0,2264175.0,2759175.0,2145882.5,1846500.0,2315000.0,2793849.5,2871950.0,2570000.0,2871750.0,2290975.0,2574200.0,2413950.0,3007200.0,2581145.0,2892500.0,2593499.0,3147750.0,2841499.5,3097224.0,3066475.0,3757750.0,2953250.0,3322725.0,4035425.0,3796047.5,3443899.5,3651900.0,3344997.5,4758275.0,3964974.0,3810164.0,3897497.5,3269250.0,4134725.0,3966725.0,5154000.0,4736250.0,4672000.0,4129000.0,3781250.0,5543475.0,4900250.0,4074250.0,4511175.0,4325544.0,4714247.5,5398995.0,5649747.5,4339595.0,10302745.0,5648500.0,5690147.5,7428058.0,7462500.0,5450230.0,6618250.0,6813500.0,7426300.5,8167500.0,14125603.0,19891249.0,9029929.5,7352525.0,10657145.0,8151123.0,7307499.5,6789500.0,8267000.0,6997550.0,7398595.0,5478000.0,30,2850,2850,283.257187701928,10
Fortune,4298,972338.4736339999,13483.875960999998,4303,1065450.0,1133702.5,791750.0,596000.0,983250.0,929500.0,1003725.0,878000.0,791250.0,918000.0,920700.0,1072000.0,1173000.0,1049450.0,1145500.0,1013000.0,1201666.5,1283250.0,1308950.0,1296502.0,1583500.0,2032725.0,1977425.0,1504450.0,2217450.0,1616250.0,1586250.0,1647000.0,1782500.0,1470000.0,1980001.0,1748000.0,1804725.0,2016000.0,2300999.5,2067000.0,1862500.0,2453950.0,2506500.0,3590000.0,2202450.0,3299750.0,3652475.0,2829475.0,2889999.0,2249500.0,2440500.0,2153125.0,2837250.0,2278500.0,3512805.0,3426450.0,3277500.0,3222300.0,4568750.0,1762250.0,13490000.0,3903500.0,2552999.5,4086000.0,3136000.0,3317225.0,4033500.0,3857475.0,3975000.0,5198800.0,4247000.0,3502450.0,3619230.5,5429999.5,4137482.0,3363250.0,6632975.0,3760799.0,6211500.0,3889999.0,4187325.0,5199026.0,5055988.0,4416200.0,5692500.0,4015000.0,4301210.0,5305416.5,5859050.0,5005000.0,7753000.0,4380840.0,4507500.0,6408500.0,7392467.0,5889583.0,5945000.0,6310000.0,4085250.0,6278066.0,10,1860,1860,32.907436427382905,5
Hampstead,6126,2235912.936712,23776.701029,6133,1427225.0,1423750.0,1502125.0,1288125.0,1953447.5,1954250.0,1825000.0,1485500.0,1891000.0,2058250.0,1703000.0,1893100.0,1801250.0,2441250.0,2013475.0,1770025.0,2256475.0,2253875.0,2662750.0,2672750.0,2401475.0,2984200.0,3195950.0,2362594.0,3456000.0,3932500.0,3490000.0,4193700.0,3050504.5,3906750.0,3934700.0,4067475.0,4147499.0,4132499.5,3341750.0,4136500.0,5156250.0,3189151.5,4347500.0,5276245.0,4897500.0,4364500.0,3975000.0,2996000.0,5614750.0,4904475.0,4635250.0,4345000.0,5477500.0,6728500.0,5579000.0,4397250.0,5905000.0,8192250.0,8737500.0,6393749.5,7423750.0,6272500.0,5195775.0,5074495.0,7852950.0,5244100.0,8434500.0,6752942.0,9438400.0,9388400.0,6648283.5,6974571.0,9088000.0,6856997.5,9030000.0,7567500.0,8357000.0,7290000.0,8255000.0,8182500.0,8246998.5,8826000.0,10416900.0,8631500.0,8852700.0,8177500.0,13982100.0,11934789.5,8311523.0,10888750.0,12852500.0,12373750.0,8965500.0,13435000.0,10217608.0,10954500.0,12912000.0,8500000.0,11313720.0,9503195.0,84,3878,3878,126.11007050699328,7
Haverstock,3419,472835.371349,7716.84919,3423,332750.0,543475.0,821250.0,481000.0,532750.0,589000.0,533500.0,680000.0,689750.0,501000.0,701725.0,660750.0,888000.0,761000.0,907000.0,748875.0,756000.0,1083750.0,811750.0,729975.0,947625.0,1169000.0,848000.0,1476000.0,1324500.0,1123475.0,1457475.0,1288000.0,1304000.0,1317000.0,1547475.0,1292950.0,1107225.0,913500.0,1342500.0,1218500.0,1512400.0,1475500.0,1386500.0,1405975.0,1160750.0,814000.0,1425000.0,1148250.0,1478750.0,1897000.0,1737500.5,1927749.0,1788850.0,2445001.0,2195000.0,2337750.0,1907500.0,2415000.0,1632000.0,2166500.0,3590787.0,1423200.0,1983000.0,2164500.0,2106450.0,2634125.0,1980226.0,2123750.0,2341250.0,2084426.0,2539500.0,3295500.0,2367500.0,2650750.0,2065000.0,2732000.0,4312500.0,3783500.0,3172250.0,4953225.0,3454025.0,3400000.0,3680000.0,3542500.0,3654000.0,4638121.5,3483750.0,3408050.0,3410000.0,3555000.0,2846750.0,3818750.0,5995000.0,3561250.0,4929300.0,3326500.0,2247680.0,4686500.0,2330800.0,4072000.0,44,1224,1224,28.29732992163796,4
Kentish,5263,815427.9760629999,13790.995829999998,5269,581500.0,660650.0,629250.0,536500.0,710375.0,469475.0,591750.0,539000.0,745000.0,568557.0,821750.0,850750.0,660450.0,689000.0,725497.5,890122.5,961450.0,1012975.0,962175.0,1071450.0,972000.0,1141025.0,1356725.0,1331500.0,1081850.0,1408475.0,1295000.0,1154750.0,1290000.0,1585250.0,1458225.0,996950.0,1339000.0,1323000.0,1219000.0,1188700.0,1267500.0,1542450.0,1119975.0,1610000.0,1229749.0,1608250.0,1484500.0,1473117.0,1418000.0,1972500.0,1702250.0,1912450.0,1644750.0,1650725.0,2168250.0,2352400.0,2116497.5,1543750.0,1757500.0,2535000.0,1479500.0,2152250.0,2253725.0,1858000.0,2544750.0,2388750.0,2623000.0,2723500.0,1480975.0,2578250.0,2540000.0,2160975.0,2266000.0,1685950.0,1574450.0,1888500.0,2346225.0,2286350.0,2898500.0,3094700.0,3355150.0,3164727.5,3594750.0,2476230.0,4925763.5,3227500.0,3281500.0,4680000.0,3728250.0,7799974.5,2909000.0,6387037.5,2827949.0,4546760.0,3339650.0,4297875.0,25716654.0,3795275.0,4016000.0,2679000.0,84,588,588,68.7236996315292,6
