highstreet_name,objectid_left,st_areasha,st_lengths,AvPTAI2015,PTAIHigh,PTAILow,index_right,objectid_right,highstreet,area_ha
Belsize,2576,419549.229542,6462.29572,51.016000000000005,73.1562,35.6605,12,909,909,15.20884453153377
Brecknock,15264,981623.085096,17395.082236,145.86181,196.57720000000003,93.06654,54,873,873,137.95164614928333
CamdenT,12439,1775919.4893669998,30423.046147,441.32620000000003,598.0468,288.6767,70,4018,4018,788.8896065179082
Cricklewood,4519,1756820.8451909998,22506.707124,119.23376000000002,170.6629,68.90294,8,2576,2576,226.71087465149523
Eversholt,1877,223386.419472,3554.416,147.6628,194.75150000000002,84.1885,0,1188,1188,12.60739579880792
Fortress,8826,1449077.111218,25875.931361,256.90000000000003,341.54299999999995,156.96679,30,2850,2850,283.257187701928
Fortune,4298,972338.4736339999,13483.875960999998,58.138,99.00150000000001,25.94635,10,1860,1860,32.907436427382905
Hampstead,6126,2235912.936712,23776.701029,83.68138,139.5614,41.23758,84,3878,3878,126.11007050699328
Haverstock,3419,472835.371349,7716.84919,67.0227,83.1748,52.7225,44,1224,1224,28.29732992163796
Kentish,5263,815427.9760629999,13790.995829999998,197.10109999999997,266.84180000000003,116.40618,84,588,588,68.7236996315292
Kilburn,14846,2203217.256079,33286.103657,343.4191,447.9,238.85188,208,5360,5360,639.7470934264991
Loudoun,9231,762289.600223,12810.40574,148.9699,199.74669999999998,92.98240999999999,48,1824,1824,48.47322576823523
Mansfield,3507,1211000.959271,11164.723039,46.10356,84.4307,22.456319999999998,28,1872,1872,14.03216690925748
Mill,6197,705673.047677,12585.736690999998,125.4633,164.12199999999999,79.04459,70,2485,2485,46.25977018499487
Queens,6157,659544.647504,13085.788544,100.3313,151.7416,63.89959,63,2296,2296,72.2034501641733
Regents,4255,740889.852525,10838.071112,75.20152999999999,112.5659,39.79413,80,1620,1620,32.8415595990372
SouthEnd,5263,1374232.40565,17229.791486,83.45491,121.7067,54.85594999999999,90,1842,1842,36.7885866538074
WestEnd,14637,2162815.2955010002,34714.540072,431.2125,579.1326,291.89270999999997,288,8880,8880,747.9836714065617
Willesden,4652,636072.944048,10936.303558,131.8148,167.9625,95.06553,85,1865,1865,25.1759253579475
